"id","dept_code","name_en","desc_en","is_active","is_drf","is_internal_service"
"IRB-ISS00","IRB","Internal Services","Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of the ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department as per Section 6.2 of the Guide on Recording and Reporting of Internal Services Expenditures.",1,1,1
"IRB-SO0631","IRB","Resolve immigration and refugee cases before the Immigration and Refugee Board of Canada efficiently, fairly and in accordance with the law","",0,0,0
"IRB-SO1999","IRB","Internal Services","",0,0,1
"ISC-BNN00","ISC","People, Skills and Communities","",1,1,0
"ISC-BNO00","ISC","Science, Technology, Research and Commercialization","",1,1,0
"ISC-BNP00","ISC","Companies, Investment and Growth","",1,1,0
"ISC-ISS00","ISC","Internal Services","",1,1,1
"ISC-SO0661","ISC","Advancements in science and technology, knowledge, and innovation strengthen the Canadian economy","",0,0,0
"ISC-SO0662","ISC","Canadian businesses and communities are competitive","",0,0,0
"ISC-SO0663","ISC","The Canadian marketplace is efficient and competitive","",0,0,0
"ISC-SO1999","ISC","Internal Services","",0,0,1
"JCCB-SO1271","JCCB","Safe and efficient transit on the infrastructure maintained, operated and managed by the Jacques Cartier and Champlain Bridges Incorporated","",0,0,0
"JUS-BNX00","JUS","Legal Services","",1,1,0
"JUS-BNY00","JUS","Justice System Support","",1,1,0
"JUS-ISS00","JUS","Internal Services","",1,1,1
"JUS-SO0691","JUS","A Federal Government that is Supported by High-Quality Legal Services","",0,0,0
"JUS-SO0692","JUS","A fair, relevant and accessible Canadian justice system","",0,0,0
"JUS-SO1999","JUS","Internal Services","",0,0,1
"LAC-BSI00","LAC","Acquiring and preserving documentary heritage","",1,1,0
"LAC-BSJ00","LAC","Providing access to documentary heritage","",1,1,0
"LAC-ISS00","LAC","Internal Services","Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of the ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department as per Section 6.2 of the Guide on Recording and Reporting of Internal Services Expenditures.",1,1,1
"LAC-SO0701","LAC","Canada's documentary heritage is preserved and accessible to current and future generations","",0,0,0
"LAC-SO0702","LAC","Current government information is managed to support government accountability","",0,0,0
"LAC-SO1999","LAC","Internal Services","",0,0,1
"LP-SO0711","LP","An Informed and Accessible Parliament","",0,0,0
"LP-SO1999","LP","Internal Services","",0,0,1
"MPCC-SO0741","MPCC","The Military Police Complaints Commission (MPCC) ensures that the Canadian Forces Military Police has the highest standard of conduct according to law and police best practices, and is free from interference in its investigations","",0,0,0
"MPCC-SO1999","MPCC","Internal Services","",0,0,1
"NAC-SO0751","NAC","Strong and dynamic performing arts in the National Capital Region and across Canada","",0,0,0
"NBC-BFO00","NBC","Conservation","",1,1,0
"NBC-BFY00","NBC","Promotion of Heritage","",1,1,0
"NBC-ISS00","NBC","Internal Services","Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of the ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department as per Section 6.2 of the Guide on Recording and Reporting of Internal Services Expenditures.",1,1,1
"NBC-SO0761","NBC","The Battlefields Park of Quebec is a prestigious, natural, accessible, safe and educational historic and urban site","",0,0,0
"NBC-SO1999","NBC","Internal Services","",0,0,1
"NCC-SO0771","NCC","Canada's Capital Region is of national significance and is a source of pride for Canadians","",0,0,0
"ND-BUN00","ND","Operations","",1,1,0
"ND-BUO00","ND","Ready Forces","",1,1,0
"ND-BUP00","ND","Defence Team","",1,1,0
"ND-BUQ00","ND","Future Force Design","",1,1,0
"ND-BUR00","ND","Procurement of Capabilities","",1,1,0
"ND-BUS00","ND","Sustainable Bases, Information Technology Systems and Infrastructure","",1,1,0
"ND-ISS00","ND","Internal Services","",1,1,1
"ND-SO0781","ND","Defence Operations and Services Improve Stability and Security, and Promote Canadian Interests and Values","",0,0,0
"ND-SO0782","ND","Defence Remains Continually Prepared to Deliver National Defence and Defence Services in Alignment with Canadian Interests and Values","",0,0,0
"ND-SO0783","ND","National Defence is ready to meet Government Defence Expectations","",0,0,0
"ND-SO0784","ND","Resources are acquired to meet Government Defence Expectations","",0,0,0
"ND-SO0785","ND","Defence operations improve peace, stability and security wherever deployed","",0,0,0
"ND-SO0786","ND","Care and Support to the Canadian Forces and Contribution to Canadian Society","",0,0,0
"ND-SO1999","ND","Internal Services","",0,0,1
"NEB-BTA00","NEB","Energy Adjudication","",1,1,0
"NEB-BTB00","NEB","Safety and Environment Oversight","",1,1,0
"NEB-BTC00","NEB","Energy Information","",1,1,0
"NEB-BTD00","NEB","Engagement","",1,1,0
"NEB-ISS00","NEB","Internal Services","Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of the ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department as per Section 6.2 of the Guide on Recording and Reporting of Internal Services Expenditures.",1,1,1
"NEB-SO0791","NEB","The regulation of pipelines, power lines, energy development and energy trade contributes to the safety of Canadians, the protection of the environment and efficient energy infrastructure and markets, while respecting the rights and interests of those affected by National Energy Board decisions and recommendations","",0,0,0
"NEB-SO1999","NEB","Internal Services","",0,0,1
"NFB-BSM00","NFB","Audiovisual programming and production","",1,1,0
"NFB-BSP00","NFB","Content accessibility and audience engagement","",1,1,0
"NFB-ISS00","NFB","Internal Services","Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of the ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department as per Section 6.2 of the Guide on Recording and Reporting of Internal Services Expenditures.",1,1,1
"NFB-SO0801","NFB","Canadian stories and perspectives are reflected in audiovisual media and accessible to Canadians and the world","",0,0,0
"NFB-SO1999","NFB","Internal Services","",0,0,1
"NGC-SO0811","NGC","Interest in, knowledge of and appreciation and respect for visual art through collections of historic and contemporary works of art, programs and research that reflect a special but not exclusive perspective on Canada","",0,0,0
"NMST-SO0821","NMST","Interest in, knowledge of and appreciation and respect for science and technology through collections of scientific and technological objects, programs and research reflecting a Canadian perspective","",0,0,0
"NPA-SO0871","NPA","The planning and construction of the Canadian portion of the Alaska Highway Gas Pipeline project is efficient and expeditious while ensuring environmental protection and social and economic benefits for Canadians","",0,0,0
"NPB-BUA00","NPB","Conditional Release Decisions","",1,1,0
"NPB-BUB00","NPB","Conditional Release Openness and Accountability","",1,1,0
"NPB-BUC00","NPB","Record Suspension Decisions/Clemency Recommendations","",1,1,0
"NPB-ISS00","NPB","Internal Services","Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of the ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department as per Section 6.2 of the Guide on Recording and Reporting of Internal Services Expenditures.",1,1,1
"NPB-SO1021","NPB","Conditional release and record suspension decisions and decision processes that safeguard Canadian communities","",0,0,0
"NPB-SO1999","NPB","Internal Services","",0,0,1
"NR-BTL00","NR","Natural Resource Science and Risk Mitigation","",1,1,0
"NR-BTM00","NR","Innovative and Sustainable Natural Resources Development","",1,1,0
"NR-BTO00","NR","Globally Competitive Natural Resource Sectors","",1,1,0
"NR-ISS00","NR","Internal Services","",1,1,1
"NR-SO0851","NR","Canada's natural resource sectors are globally competitive","",0,0,0
"NR-SO0852","NR","Canadians have information to manage their lands and natural resources, and are protected from related risks","",0,0,0
"NR-SO0853","NR","Natural Resource Sectors and Consumers are Environmentally Responsible","",0,0,0
"NR-SO1999","NR","Internal Services","",0,0,1
"NRC-BNQ00","NRC","Science and Innovation","",1,1,0
"NRC-ISS00","NRC","Internal Services","",1,1,1
"NRC-SO0831","NRC","Canadian businesses prosper from innovative technologies","",0,0,0
"NRC-SO0832","NRC","Research and Development infrastructure for an innovative and knowledge-based economy","",0,0,0
"NRC-SO0833","NRC","Advancements in the development and deployment of innovative technologies in targeted Canadian industries and national priority areas in support of federal priorities in innovation and science and technology","",0,0,0
"NRC-SO0834","NRC","Canadians have access to research and development information and infrastructure","",0,0,0
"NRC-SO1999","NRC","Internal Services","",0,0,1
"NRTEE-SO0841","NRTEE","Federal policy development and decisions in other key sectors are influenced by advice on sustainable development issues pertaining to the environment and the economy","",0,0,0
"NRTEE-SO1999","NRTEE","Internal Services","",0,0,1
"NSERC-BNR00","NSERC","Funding Natural Sciences and Engineering Research and Training","",1,1,0
"NSERC-ISS00","NSERC","Internal Services","",1,1,1
"NSERC-SO0861","NSERC","Canada is a world leader in advancing, connecting and applying new knowledge in the natural sciences and engineering","",0,0,0
"NSERC-SO0862","NSERC","Discovery: High quality Canadian-based competitive research in the natural sciences and engineering","",0,0,0
"NSERC-SO0863","NSERC","Innovation: Knowledge and skills in the natural sciences and engineering are transferred to and used productively by the user sector in Canada","",0,0,0
"NSERC-SO0864","NSERC","People: Highly skilled science and engineering professionals in Canada","",0,0,0
"NSERC-SO1999","NSERC","Internal Services","",0,0,1
"NSICP-BUE00","NSICP","Assist the National Security and Intelligence Committee of Parliamentarians in fulfilling its mandate","",1,1,0
"NSICP-ISS00","NSICP","Internal Services","Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of the ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department as per Section 6.2 of the Guide on Recording and Reporting of Internal Services Expenditures.",1,1,1
"OAG-SO0041","OAG","Through legislative auditing, we contribute to a well-managed and accountable government for Canadians","",0,0,0
"OCI-BVL00","OCI","Independent Oversight of Federal Corrections","",1,1,0
"OCI-ISS00","OCI","Internal Services","Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of the ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department as per Section 6.2 of the Guide on Recording and Reporting of Internal Services Expenditures.",1,1,1
"OCI-SO0941","OCI","The problems of offenders in the federal correctional system are identified and addressed in a timely fashion","",0,0,0
"OCI-SO1999","OCI","Internal Services","",0,0,1
"OCOL-BGH00","OCOL","Protection of rights related to Official Languages","",1,1,0
"OCOL-BGI00","OCOL","Advancement of French and English in Canadian society","",1,1,0
"OCOL-ISS00","OCOL","Internal Services","Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of the ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department as per Section 6.2 of the Guide on Recording and Reporting of Internal Services Expenditures.",1,1,1
"OCOL-SO0901","OCOL","Rights guaranteed by the Official Languages Act are protected and linguistic duality is promoted as a fundamental value of Canadian society","",0,0,0
"OCOL-SO1999","OCOL","Internal Services","",0,0,1
"OCSEC-SO0911","OCSEC","The Communications Security Establishment performs its duties and functions in accordance with the laws of Canada and with due regard for the privacy of Canadians","",0,0,0
"OCSEC-SO1999","OCSEC","Internal Services","",0,0,1
"ODPP-BRD00","ODPP","Prosecution Services","",1,1,0
"ODPP-BRE00","ODPP","Electoral Compliance and Enforcement","",1,1,0
"ODPP-ISS00","ODPP","Internal Services","Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of the ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department as per Section 6.2 of the Guide on Recording and Reporting of Internal Services Expenditures.",1,1,1
"ODPP-SO0951","ODPP","Criminal and regulatory offences under federal law are prosecuted in an independent, impartial and fair manner","",0,0,0
"ODPP-SO0952","ODPP","Compliance and enforcement activities under the Canada Elections Act and Referendum Act are conducted by the Commissioner of Canada Elections in an independent, impartial and fair manner","",0,0,0
"ODPP-SO1999","ODPP","Internal Services","",0,0,1
"OEC-SO0921","OEC","The public can feel confident that public office holders and members of Parliament are meeting the requirements of the conflict of interest compliance measures","",0,0,0
"OEC-SO1999","OEC","Internal Services","",0,0,1
"OICC-BTK00","OICC","Public Infrastructure","",1,1,0
"OICC-ISS00","OICC","Internal Services","",1,1,1
"OICC-SO0881","OICC","Public Infrastructure for a More Prosperous Canada","",0,0,0
"OICC-SO0882","OICC","Funding for quality, cost-effective public infrastructure that meets the needs of Canadians in a competitive economy, a cleaner environment and liveable communities is provided","",0,0,0
"OICC-SO0883","OICC","Construction-ready infrastructure projects are provided with federal funding support","",0,0,0
"OICC-SO1999","OICC","Internal Services","",0,0,1
"OPSIC-SO0961","OPSIC","Wrongdoing in the federal public sector is addressed and public servants are protected in case of reprisal","",0,0,0
"OPSIC-SO1999","OPSIC","Internal Services","",0,0,1
"ORL-BVA00","ORL","Ensure transparency and accountability in the lobbying of public office holders in order to contribute to confidence in the integrity of government decision making","",1,1,0
"ORL-ISS00","ORL","Internal Services","Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of the ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department as per Section 6.2 of the Guide on Recording and Reporting of Internal Services Expenditures.",1,1,1
"ORL-SO0891","ORL","Ensure transparency and accountability in the lobbying of public office holders in order to contribute to confidence in the integrity of government decision making","",0,0,0
"ORL-SO1999","ORL","Internal Services","",0,0,1
"OSEO-SO1191","OSEO","Senators meet their obligations under the Conflict of Interest Code in a manner that contributes to the integrity of the Senate as an institution","",0,0,0
"OSFI-BVN00","OSFI","Financial Institution and Pension Plan Regulation and Supervision","",1,1,0
"OSFI-BVO00","OSFI","Actuarial Services to Federal Government Organizations","",1,1,0
"OSFI-ISS00","OSFI","Internal Services","Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of the ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department as per Section 6.2 of the Guide on Recording and Reporting of Internal Services Expenditures.",1,1,1
"OSFI-SO0971","OSFI","A financially sound and sustainable Canadian public retirement income system","",0,0,0
"OSFI-SO0972","OSFI","A safe and sound Canadian financial system","",0,0,0
"OSFI-SO1999","OSFI","Internal Services","",0,0,1
"PACS-SO1061","PACS","To ensure fair and competency-based processes are in place for the recruitment and selection of qualified individuals for Governor-in-Council appointments across agencies, boards, commissions and Crown Corporations","",0,0,0
"PACS-SO1999","PACS","Internal Services","",0,0,1
"PCA-BGW00","PCA","Protecting and Presenting Canada's Natural and Cultural Heritage","",1,1,0
"PCA-ISS00","PCA","Internal Services","",1,1,1
"PCA-SO1001","PCA","Canadians have a strong sense of connection to their national parks, national historic sites, heritage canals, and national marine conservation areas and these protected places are experienced in ways that leave them unimpaired for the enjoyment of present and future generations","",0,0,0
"PCA-SO1999","PCA","Internal Services","",0,0,1
"PCC-AYX00","PCC","Civilian review of Royal Canadian Mounted Police members' conduct in the performance of their duties","The Civilian Review and Complaints Commission for the RCMP (CRCC) is an independent agency created by Parliament to provide fair and independent civilian review of RCMP members’ conduct in the performance of their duties. The CRCC accomplishes this by receiving complaints from the public about the conduct of RCMP members and monitoring the RCMP’s investigations of such complaints. Where a complainant is not satisfied with the outcome of the RCMP’s response to a complaint, a request can be made to the CRCC for an independent review of the members’ conduct and the RCMP’s handling of the matter. In reviewing complaints, the CRCC may find that it is satisfied with the RCMP’s handling of the complaint or it may make findings and recommendations to the RCMP Commissioner and the Minister of Public Safety with respect to matters addressed in the complaint. The CRCC also conducts reviews of specified RCMP activities, reports to provinces which contract RCMP services, conducts research, program outreach and public education, and provides independent observers to investigations of serious incidents involving RCMP members.",1,1,0
"PCC-ISS00","PCC","Internal Services","Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of the ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department as per Section 6.2 of the Guide on Recording and Reporting of Internal Services Expenditures.",1,1,1
"PCC-SO1999","PCC","Internal Services","",0,0,1
"PCO-BWW00","PCO","Serve the Prime Minister and Cabinet","",1,1,0
"PCO-ISS00","PCO","Internal Services","Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of the ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department as per Section 6.2 of the Guide on Recording and Reporting of Internal Services Expenditures.",1,1,1
"PCO-SO1051","PCO","The Government's agenda and decision making are supported and implemented and the institutions of government are supported and maintained","",0,0,0
"PCO-SO1999","PCO","Internal Services","",0,0,1
"PHAC-BVP00","PHAC","Health Promotion and Chronic Disease Prevention","",1,1,0
"PHAC-BVQ00","PHAC","Infectious Disease Prevention and Control","",1,1,0
"PHAC-BVR00","PHAC","Health Security","",1,1,0
"PHAC-ISS00","PHAC","Internal Services","",1,1,1
"PHAC-SO1071","PHAC","Protecting Canadians and empowering them to improve their health","",0,0,0
"PHAC-SO1072","PHAC","Canada is able to promote health, reduce health inequalities, and prevent and mitigate disease and injury","",0,0,0
"PHAC-SO1999","PHAC","Internal Services","",0,0,1
"PMPRB-BVM00","PMPRB","Regulate Patented Medicine Prices","",1,1,0
"PMPRB-ISS00","PMPRB","Internal Services","Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of the ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department as per Section 6.2 of the Guide on Recording and Reporting of Internal Services Expenditures.",1,1,1
"PMPRB-SO1031","PMPRB","Canadians are protected from excessive prices for patented medicines sold in Canada and stakeholders are informed on pharmaceutical trends","",0,0,0
"PMPRB-SO1999","PMPRB","Internal Services","",0,0,1
"PPP-SO1041","PPP","Transform Canada into a leader for public-private partnerships (P3)","",0,0,0
"PPS-SO1011","PPS","Physical security of Parliamentarians, employees, visitors, the premises or parts of premises that form part of the parliamentary Precinct and any assets located within or events that take place therein, and of Parliament Hill","",0,0,0
"PSC-BWB00","PSC","Public Service Hiring and Non-partisanship","",1,1,0
"PSC-ISS00","PSC","Internal Services","Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of the ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department as per Section 6.2 of the Guide on Recording and Reporting of Internal Services Expenditures.",1,1,1
"PSC-SO1091","PSC","A highly competent, non-partisan and representative public service, able to provide service in both official languages, in which appointments are based on merit and the values of fairness, access, representativeness and transparency","",0,0,0
"PSC-SO1999","PSC","Internal Services","",0,0,1
"PSEP-SO1081","PSEP","A safe and resilient Canada","",0,0,0
"PSEP-SO1999","PSEP","Internal Services","",0,0,1
"PSSRB-SO1101","PSSRB","Resolution of labour relations issues in the federal public service and in Parliament in an impartial manner","",0,0,0
"PSSRB-SO1999","PSSRB","Internal Services","",0,0,1
"PSST-SO1111","PSST","Fair and impartial resolution of disputes related to internal appointments and lay offs in the federal public service","",0,0,0
"PSST-SO1999","PSST","Internal Services","",0,0,1
"RCMP-AYO00","RCMP","Police Operations","Under the authority of the RCMP Act, this Program provides Canadians with policing services at the federal, provincial and municipal levels and within Aboriginal communities. As described in the RCMP Act, these services include all duties that are assigned to peace officers in relation to: the preservation of the peace, the prevention of crime and of offences against the laws of Canada and the laws in force in any province in which they may be employed, and the apprehension of criminals and offenders and others who may be lawfully taken into custody; the execution of all warrants, and performing all duties and services in relation thereto, that may, under the RCMP Act or the laws of Canada or the laws in force in any province, be lawfully executed and performed by peace officers; and, performing other duties and functions as are prescribed by the Governor in Council or the Commissioner. This Program contributes to a safe and secure Canada by providing general law enforcement activities, as well as education and awareness activities delivered by employees of the RCMP to the public, businesses and other agencies/organizations within Canada. The RCMP’s education and awareness activities, such as information sessions on crime prevention, national security, financial crime, and drugs and organized crime, are aimed at reducing victimization of Canadians. This Program also ensures the protection of designated persons and security at major events, which in turn mitigates any potential threats to Canada’s population. Finally, the Program delivers a high level of technical and operational support to the Canadian law enforcement community. Taken together, these activities ensure the RCMP reaches its overarching goal of reducing criminal activity affecting Canadians.",1,1,0
"RCMP-AYR00","RCMP","Canadian Law Enforcement Services","This Program provides the Canadian law enforcement community with the necessary scientific, technical, investigative and educational support to deliver proactive, intelligence-based policing and law enforcement services to their respective communities and partners. Additionally, this Program provides educational opportunities to members of the Canadian law enforcement community to enable them to develop their skills, thus increasing their effectiveness in contributing to a safer Canada.",1,1,0
"RCMP-HGD00","RCMP","International Policing Operations","Under authority of the RCMP Act, this Program furthers Canada’s global peace and security agenda by cooperating with and supporting the international law enforcement community, thereby ensuring that both Canadians and the global community are safer. This Program addresses the transnational scope of crime by building relationships with international policing partners and by participating in the INTERPOL global information sharing network. Additionally, the RCMP actively participates in multiple missions abroad in a peacekeeping role and provides support to nations at risk to build their law enforcement capacity.",1,1,0
"RCMP-HGE00","RCMP","Canadian Police Culture and Heritage","In order to protect the RCMP’s internationally recognized image, reputation and rich heritage, this Program works to promote the positive image of the RCMP while building relationships with domestic and international law enforcement, government and community partners. The Program provides advice and analysis to internal and external clients, including federal, provincial and municipal partners, academic institutions, Royal Household representatives, and non-government organizations, regarding appropriate ceremonial features of special events and occurrences (e.g., Olympics, expos, summits, police officer funerals).Through the activities of this Program, the RCMP contributes to Canada’s vibrant culture and heritage.",1,1,0
"RCMP-HGF00","RCMP","Transfer Payments","This Program ensures that RCMP employees and their families are provided income security at their pension or in the event of disability or death, and that an appropriate level of support is afforded to those who are affected by circumstances beyond their control and as a result of their employment with the RCMP. The activities within this Program are regulated by either the terms and conditions of the grant or are statutory payments, for example, the RCMP Pension Continuation Act payments.",1,1,0
"RCMP-ISS00","RCMP","Internal Services","",1,1,1
"RCMP-SO1999","RCMP","Internal Services","",0,0,1
"RPSDP-SO1112","RPSDP","Fair and impartial resolution of disputes related to internal appointments and lay offs in the federal public service","",0,0,0
"RSCT-SO1141","RSCT","Efficient administration of the Specific Claims Tribunal","",0,0,0
"RSCT-SO1999","RSCT","Internal Services","",0,0,1
"SC-BNV00","SC","Statistical Information","",1,1,0
"SC-ISS00","SC","Internal Services","",1,1,1
"SC-SO1231","SC","Canadians have access to timely, relevant and quality statistical information on Canada's changing economy and society for informed debate, research and decision making on social and economic issues","",0,0,0
"SC-SO1241","SC","Specific client needs for high-quality and timely statistical services are met","",0,0,0
"SC-SO1999","SC","Internal Services","",0,0,1
"SCA-SO1221","SCA","Canada has an effective and efficient National Standards System","",0,0,0
"SCC-BRH00","SCC","The administration of Canada's final court of appeal","",1,1,0
"SCC-ISS00","SCC","Internal Services","Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of the ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department as per Section 6.2 of the Guide on Recording and Reporting of Internal Services Expenditures.",1,1,1
"SCC-SO1251","SCC","The administration of Canada's final court of appeal is effective and independent","",0,0,0
"SCC-SO1999","SCC","Internal Services","",0,0,1
"SEN-SO1281","SEN","To provide the best possible environment for Senators to effectively contribute to federal legislation and public policy issues in the best interest of all Canadians","",0,0,0
"SHARE-SO1201","SHARE","Modern, reliable, secure and cost-effective information technology (IT) infrastructure services to support government priorities and program delivery","",0,0,0
"SHARE-SO1999","SHARE","Internal Services","",0,0,1
"SIRC-BWY00","SIRC","Investigations of Canadian Security Intelligence Services' operational activities","",1,1,0
"SIRC-ISS00","SIRC","Internal Services","Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of the ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department as per Section 6.2 of the Guide on Recording and Reporting of Internal Services Expenditures.",1,1,1
"SIRC-SO1181","SIRC","Canadian Security Intelligence Service performs its duties and functions in accordance with the law, policy and ministerial direction","",0,0,0
"SIRC-SO1999","SIRC","Internal Services","",0,0,1
"SSHRC-BNT00","SSHRC","Funding Social Sciences and Humanities Research and Training","",1,1,0
"SSHRC-BNU00","SSHRC","Institutional support for the indirect costs of research","",1,1,0
"SSHRC-ISS00","SSHRC","Internal Services","",1,1,1
"SSHRC-SO1211","SSHRC","Canada has the institutional capacity to enable research and research-related activities in social sciences and humanities, natural sciences and engineering and health","",0,0,0
"SSHRC-SO1212","SSHRC","Canada is a world leader in social sciences and humanities research and research training","",0,0,0
"SSHRC-SO1999","SSHRC","Internal Services","",0,0,1
"SWC-BWH00","SWC","Mobilizing Partners and Promoting Equality for Women and Girls","",1,1,0
"SWC-ISS00","SWC","Internal Services","Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of the ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department as per Section 6.2 of the Guide on Recording and Reporting of Internal Services Expenditures.",1,1,1
"SWC-SO0931","SWC","Equality between women and men is promoted and advanced in Canada","",0,0,0
"SWC-SO0932","SWC","Equality for women and their full participation in the economic, social and democratic life of Canada","",0,0,0
"SWC-SO1999","SWC","Internal Services","",0,0,1
"TBC-BXA00","TBC","Spending Oversight","",1,1,0
"TBC-BXB00","TBC","Administrative Leadership","",1,1,0
"TBC-BXC00","TBC","Employer","",1,1,0
"TBC-BXD00","TBC","Regulatory Oversight","",1,1,0
"TBC-ISS00","TBC","Internal Services","",1,1,1
"TBC-SO1311","TBC","Government is well managed and accountable, and resources are allocated to achieve results","",0,0,0
"TBC-SO1312","TBC","Good governance and sound stewardship to enable efficient and effective service to Canadians","",0,0,0
"TBC-SO1999","TBC","Internal Services","",0,0,1
"TC-BTW00","TC","Safe and Secure Transportation System","",1,1,0
"TC-BTX00","TC","Green and Innovative Transportation System","",1,1,0
"TC-BTY00","TC","Efficient Transportation System","",1,1,0
"TC-ISS00","TC","Internal Services","",1,1,1
"TC-SO1291","TC","A Clean Transportation System","",0,0,0
"TC-SO1292","TC","A Safe and Secure Transportation System","",0,0,0
"TC-SO1293","TC","An Efficient Transportation System","",0,0,0
"TC-SO1999","TC","Internal Services","",0,0,1
"TOUR-SO0381","TOUR","Canadian economy benefits from strong tourism demand from Canadian Tourism Commission's markets","",0,0,0
"TRC-SO0651","TRC","Disclosure and recognition of the truth regarding Indian Residential Schools furthers healing and reconciliation for the individuals and communities affected","",0,0,0
"TRC-SO1999","TRC","Internal Services","",0,0,1
"VAC-BWI00","VAC","Benefits, Services and Support","",1,1,0
"VAC-BWJ00","VAC","Commemoration","",1,1,0
"VAC-BWK00","VAC","Veterans Ombudsman","",1,1,0
"VAC-ISS00","VAC","Internal Services","",1,1,1
"VAC-SO1321","VAC","Canadians remember and demonstrate their recognition of all those who served in Canada's efforts during war, military conflict and peace","",0,0,0
"VAC-SO1322","VAC","Financial, physical and mental well being of eligible Veterans","",0,0,0
"VAC-SO1323","VAC","Veterans' rights to services and benefits that address their needs are considered by the Veterans Affairs Portfolio","",0,0,0
"VAC-SO1999","VAC","Internal Services","",0,0,1
"VIA-SO1341","VIA","A national passenger rail transportation service that is safe, secure, efficient, reliable, and environmentally sustainable and that meets the needs of travellers in Canada","",0,0,0
"VRAB-BWL00","VRAB","Appeals","",1,1,0
"VRAB-ISS00","VRAB","Internal Services","Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of the ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department as per Section 6.2 of the Guide on Recording and Reporting of Internal Services Expenditures.",1,1,1
"VRAB-SO1331","VRAB","An independent and fair appeal process for disability pension, award and allowance decisions made by Veterans Affairs Canada","",0,0,0
"WDBA-SO1361","WDBA","A safe, secure, and efficient international crossing for commercial and passenger traffic across the Windsor-Detroit Bridge","",0,0,0
"WDO-BNW00","WDO","Economic development in western Canada","",1,1,0
