"Deptcode","Vote","Votestattype","DescEn","Descfr","Auth2012","Exp2012","Auth2013","Exp2013","Auth2014","Exp2014","Auth2015","Exp2015","Auth2016","Exp2016"
"CITT","S",999,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés",1192867,1192867,1272647.00,1272647.00,683255,683255.00,0,0,0,0
"CITT","S",999,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État",885,885,903.00,903.00,119,0.00,0,0,0,0
"CLVM",10,5,"Payments to Crown Corps","Paiement aux sociétés d'État",25173000,24472000,24472000.00,17196000.00,0,0.00,0,0,0,0
"CMC",1,5,"Payments to Crown Corps","Paiement aux sociétés d'État",64364831,64364831,62850567.00,62850567.00,68923716,68923716.00,83587255,83587255,77746477,77746477
"CMHC",1,5,"Payments to Crown Corps","Paiement aux sociétés d'État",2139812000,2086397954,2100578000.00,2054849627.00,2097353000,2053213063.00,2025629000,2008369383,3176101049,3129131175
"CMHC","S",999,"Pursuant to Section 129 of the Economic Action Plan 2013 Act, No. 1, a payment to CHC to provide funding to Nunavut for housing in a sum not exceeding $30,000,000","En vertu de l'article 129 À la Loi no 1 sur le plan d'action économique de 2013, un paiement à la SCHL afin de fournir du financement au Nunavut pour le logement d'une somme n'excédant pas 30 000 000 $",0,0,30000000.00,30000000.00,0,0.00,0,0,0,0
"CMHR",1,5,"Payments to Crown Corps","Paiement aux sociétés d'État",56935796,56935796,32016180.00,32016180.00,21700000,21700000.00,21700000,21700000,33604000,33604000
"CMI",1,5,"Payments to Crown Corps","Paiement aux sociétés d'État",9976473,9976473,18450000.00,18450000.00,9900000,9900000.00,7700000,7700000,7900000,7900000
"CMN",1,5,"Payments to Crown Corps","Paiement aux sociétés d'État",34370062,34370062,26770876.00,26770876.00,26276818,26276818.00,26452593,26452593,29770297,29770297
"CNEDA",1,1,"Operating/Program","Fonctionnement/Programme",13867834,12720066,14221003.00,12849474.00,14605534,13538591.00,14971158,13317446,14263757,13618933
"CNEDA",5,3,"Grants & Contributions","Subventions et Contributions",39861803,38365705,38664119.00,36499299.00,36617328,34119582.00,35064622,32291373,40187121,38647536
"CNEDA","S",999,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés",1302839,1302839,1430705.00,1430705.00,1462388,1462388.00,1339601,1339601,1372580,1372580
"CNEDA","S",999,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État",0,0,81.00,0.00,503,0.00,481,0,59,0
"CNMI",1,5,"Payments to Crown Corps","Paiement aux sociétés d'État",185376000,184876000,154430000.00,154430000.00,127484000,127484000.00,374331000,350859000,146222000,98967000
"CPC",1,5,"Payments to Crown Corps","Paiement aux sociétés d'État",22210000,22210000,22210000.00,22210000.00,22210000,22210000.00,22210000,22210000,22210000,22210000
"CPCC",1,1,"Operating/Program","Fonctionnement/Programme",1262944,1220138,2449626.00,2445699.00,2469953,2236843.00,10740742,9160760,19215842,15363078
"CPCC",7,2,"Capital","Capital",0,0,0.00,0.00,0,0.00,0,0,0,0
"CPCC",9,3,"Grants & Contributions","Subventions et Contributions",0,0,0.00,0.00,0,0.00,0,0,0,0
"CPCC","S",999,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés",97597,97597,144310.00,144310.00,118424,118424.00,413878,413878,503400,503400
"CRTC",1,1,"Operating/Program","Fonctionnement/Programme",12540836,8411912,6839138.00,3755004.00,7976954,4975396.00,7940193,4582800,7836585,5158521
"CRTC","S",999,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés",6321849,6321849,6624723.00,6624723.00,6462883,6462883.00,6415197,6415197,6232070,6232070
"CRTC","S",999,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État",3435,0,134.00,134.00,7883,7883.00,420,420,955,955
"CSA",1,1,"Operating/Program","Fonctionnement/Programme",176416453,168611889,171891828.00,165008980.00,169442074,164163675.00,191597334,180370115,184497707,170422135
"CSA",5,2,"Capital","Capital",162227680,110576477,294606552.00,200820185.00,262285203,162036938.00,255909337,179207386,210228106,153704864
"CSA",10,3,"Grants & Contributions","Subventions et Contributions",37599169,30669125,33630000.00,32682181.00,41892854,40816215.00,45356265,44567709,55941501,55515568
"CSA","S",999,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés",10367049,10367049,10188185.00,10188185.00,9050883,9050883.00,8645484,8645484,8633129,8633129
"CSA","S",999,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État",24497,20875,41182.00,15709.00,69927,23227.00,60508,8364,48203,22582
"CSC",1,1,"Operating/Program","Fonctionnement/Programme",2415408296,1968711838,2204205566.00,2116015356.00,2163604666,2134769681.00,1993402119,1969350061,2027305608,2003124017
"CSC",5,2,"Capital","Capital",547553914,437736337,456920598.00,378371594.00,257579343,200606427.00,239716351,168684074,230192182,153756625
"CSC","S",999,"CORCAN Revolving Fund","Fonds renouvelable CORCAN",6740414,1257479,5482935.00,219498.00,5263437,1018289.00,4245148,89458,4155690,-3916587
"CSC","S",999,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés",234153300,234153300,254372287.00,254372287.00,236735090,236735090.00,218512983,218512983,208106840,208106840
"CSC","S",999,"Refunds of amounts credited to revenues in previous years","Remboursements de montants portés aux revenus d'exercices antérieurs",0,0,3188.00,3188.00,34216,34216.00,27805,27805,1846,1846
"CSC","S",999,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État",2588791,1140257,2046067.00,1309552.00,2371800,2064609.00,1464084,1120264,1914968,1731660
"CSEC",1,1,"Operating/Program","Fonctionnement/Programme",408766775,382112733,434518645.00,409487182.00,829160824,818666848.00,595876254,580515741,581593832,557106928
"CSEC","S",999,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés",32291131,32291131,34185863.00,34185863.00,37658522,37658522.00,38975757,38975757,33670717,33670717
"CSEC","S",999,"Losses on Foreign Exchange","Pertes d'opérations de change",90693,90693,0.00,0.00,0,0.00,30884,30884,9113,9113
"CSEC","S",999,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État",27119,0,96910.00,0.00,112892,107868.00,52348,25676,74301,73436
"CSIS",1,1,"Operating/Program","Fonctionnement/Programme",486635856,450434151,487028603.00,468801655.00,479859189,468194844.00,528563466,489566324,561558807,543277271
"CSIS","S",999,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés",45663041,45663041,47127351.00,47127351.00,46859341,46859341.00,46525295,46525295,45631679,45631679
"CSIS","S",999,"Refunds of amounts credited to revenues in previous years","Remboursements de montants portés aux revenus d'exercices antérieurs",3326,3326,0.00,0.00,0,0.00,0,0,0,0
"CSIS","S",999,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État",640265,320431,598116.00,376723.00,643623,221393.00,979367,472229,991000,507245
"CT",1,1,"Operating/Program","Fonctionnement/Programme",2280697,1583752,2290984.00,1028926.00,492548,482548.00,0,0,0,0
"CT","S",999,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés",153060,153060,126497.00,126497.00,92830,92830.00,0,0,0,0
"CTA",1,1,"Operating/Program","Fonctionnement/Programme",26401209,25289763,26663324.00,25561336.22,25898344,25547820.68,25840718,25022975,25217735,23869488
"CTA","S",999,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés",3410858,3410858,3415232.00,3415232.00,3220407,3220407.00,3231244,3231244,3078589,3078589
"CTA","S",999,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État",223,223,370.00,370.00,9621,9621.00,13,13,0,0
"CTAIB",1,1,"Operating/Program","Fonctionnement/Programme",29481754,28046242,29622160.00,29455776.00,28736067,28655526.00,27079699,26574772,27453762,26597957
"CTAIB","S",999,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés",3546858,3546858,3747088.00,3747088.00,3521615,3521615.00,3418391,3418391,3314521,3314521
"CTAIB","S",999,"Expenditures pursuant to Paragraph 29.1(1) of Financial Administration Act","Dépenses aux termes du paragraphe 29.1(1) de la Loi sur la gestion des finances publiques",37357,37357,60725.00,60725.00,28698,28698.00,35690,35690,70592,70592
"CTAIB","S",999,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État",53900,25820,53095.00,39605.00,17128,13492.00,13311,3637,20195,9675
"EA",1,1,"Operating/Program","Fonctionnement/Programme",1595594453,1464355221,1567264072.00,1479493543.00,1590882219,1517360409.00,1601369913,1529980770,1665866604,1533816561
"EA",5,2,"Capital","Capital",341230392,268087804,212621773.00,139921051.00,323433537,207347828.00,180759813,135740375,213417219,158503511
"EA",10,3,"Grants & Contributions","Subventions et Contributions",3973804620,3532813903,3660682492.00,3509899511.00,3667074556,3607883948.00,3938481338,3834875859,4251965821,4073558164
"EA",15,1,"Operating/Program","Fonctionnement/Programme",72668001,70085763,65380000.00,65364001.00,52532339,52235785.00,64507724,64032147,64706000,62385033
"EA",16,4,"Debt Forgiveness","Radiation de dettes",0,0,8306202.00,8306202.00,0,0.00,0,0,0,0
"EA",17,4,"Debt Forgiveness","Radiation de dettes",0,0,0.00,0.00,0,0.00,0,0,18009733,18009733
"EA",20,9,"Other","Autre",0,0,0.00,0.00,1,0.00,2,0,1,0
"EA","S",999,"Advance Market Commitment for Pneumococcal Vaccines","Mécanisme de garantie de marchés pour le vaccin antipneumococcique",24443233,24443233,17000000.00,17000000.00,10915566,10915566.00,0,0,0,0
"EA","S",999,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés",113320771,113320771,109884216.00,109884216.00,110749366,110749366.00,106177207,106177207,101376652,101376652
"EA","S",999,"Court Awards","Montants adjugés par une cour",28693,28693,0.00,0.00,0,0.00,0,0,0,0
"EA","S",999,"Losses on Foreign Exchange","Pertes d'opérations de change",16808339,16808339,77921565.00,77921565.00,142710469,142710469.00,36763571,36763571,28965984,28965984
"EA","S",999,"Passport Canada Revolving Fund (Revolving Funds Act)","Fonds renouvelable de Passeport Canada (Loi sur les fonds renouvelables)",138820367,23139633,13578219.00,13578219.00,0,0.00,0,0,0,0
"EA","S",999,"Payments to International Financial Institutions - Direct payments","Paiements aux institutions financières internationales - Paiements directs",247881121,247881121,244461121.00,244461121.00,239022627,239022627.00,287539955,287539955,240772641,240772641
"EA","S",999,"Payments under the Diplomatic Service (Special) Superannuation Act","Paiements en vertu de la Loi sur la pension spéciale du service diplomatique",79000,79000,119775.00,119775.00,202230,202230.00,241205,241205,381467,381467
"EA","S",999,"Pursuant to section 24.1 of the Financial Administration Act, to forgive an amount up to $449,533,044 owed by the Government of the Islamic Republic of Pakistan, in relation to loan agreements, subject to the conditions described in the Memorandum of Understanding signed on April 20, 2006 between the Government of Canada and the Government of the Islamic Republic of Pakistan","Conformément à l'article 24.1 de la Loi sur la gestion des finances publiques, faire grâce d'un montant jusqu'à concurrence de 449 533 044 $ que doit le gouvernement de la République islamique du Pakistan relativement à des ententes de prêt, sous réserve des conditions énoncées dans le protocole d'entente signé le 20 avril 2006 entre le gouvernement du Canada et le gouvernement de la République islamique du Pakistan",303048359,40864654,262183705.00,89931699.00,172252006,47612029.00,124639977,0,124639977,39946304
"EA","S",999,"Refunds of amounts credited to revenues in previous years","Remboursements de montants portés aux revenus d'exercices antérieurs",3264,3264,50492.00,50492.00,16086,16086.00,20116,20116,58256,58256
"EA","S",999,"Salary and Motor Car Allowance","Traitement et allocation pour automobile",234548,234548,238106.00,238106.00,236759,236759.00,248173,248173,250500,250500
"EA","S",999,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État",3051632,2290598,2864853.00,1574213.00,3304887,3051055.00,3747716,1233188,4572788,2000000
"EC",1,1,"Operating/Program","Fonctionnement/Programme",768509474,725061714,767736572.00,755227966.00,757511855,726024848.00,743871139,683915798,750844255,715399847
"EC",5,2,"Capital","Capital",60794612,46622606,63788618.00,50013831.00,66983518,55250545.00,84386878,61845115,73872049,57787760
"EC",10,3,"Grants & Contributions","Subventions et Contributions",171638255,103654358,119598662.00,67998405.00,132315225,94023122.00,119225980,118530623,149433359,148617669
"EC","S",999,"Canada Foundation for Sustainable Development Technology Grant","Subvention pour la Fondation du Canada pour l'appui technologique au développement durable",0,0,0.00,0.00,0,0.00,337616,337616,2290112,2290112
"EC","S",999,"Collection Agency Fees","Honoraires - Agence de recouvrement",0,0,0.00,0.00,0,0.00,0,0,2305,2305
"EC","S",999,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés",89492736,89492736,93649547.00,93649547.00,89525214,89525214.00,84274229,84274229,80175344,80175344
"EC","S",999,"Nature Conservancy of Canada","La société canadienne pour la conservation de la nature",24029852,24029852,11207512.00,11207512.00,8792488,8792488.00,0,0,0,0
"EC","S",999,"Refunds of amounts credited to revenues in previous years","Remboursements de montants portés aux revenus d'exercices antérieurs",0,0,407218.00,407218.00,546668,546668.00,845530,845530,0,0
"EC","S",999,"Salary and Motor Car Allowance","Traitement et allocation pour automobile",77516,77516,75315.00,75315.00,80300,80300.00,82100,82100,83500,83500
"EC","S",999,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État",2217868,716680,2920733.00,369754.00,2698781,1943452.00,1686334,1096384,1939146,1511743
"ECBC",1,5,"Payments to Crown Corps","Paiement aux sociétés d'État",60667000,60667000,52848000.00,50844000.00,12384000,9865841.00,0,0,0,0
"EDC","S",999,"Administrative fees","Frais administratif",0,0,5533173.99,5533173.99,2597096,2597096.00,3699980,3699980,8210494,8210494
"EDC","S",999,"Payments to Export Development Canada to discharge obligations incurred pursuant to Section 23 of the Export Development Act (Canada Account) for the purpose of facilitating and developing trade between Canada and other countries (S.C., 2001, c. 33) - Transfer from non-budgetary authority related to section 24","Versements à Exportation et développement Canada pour acquitter ses obligations encourues en vertu de l'article 23 de la Loi sur le développement des exportations (Compte du Canada) afin de faciliter et d'accroître les échanges commerciaux entre le Canada et les autres pays (L.C. (2001), ch.33) - Virement de l'autorisation non budgétaire reliée à l'article 24",231192530,231192530,116862707.00,116862707.00,0,0.00,0,0,0,0
"ERC",1,1,"Operating/Program","Fonctionnement/Programme",1617117,1451185,1639562.00,1445271.00,1610094,1430085.00,1491043,1363839,1490040,1368145
"ERC","S",999,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés",144410,144410,160657.00,160657.00,154521,154521.00,154130,154130,156133,156133
"FBCL",1,5,"Payments to Crown Corps","Paiement aux sociétés d'État",26224693,18185400,14338293.00,13190982.38,21040000,8138200.00,35281996,20119299,41781864,41781858
"FCAC","S",999,"Payments under section 13 of the Financial Consumer Agency of Canada Act","Paiements en vertu de l'article 13 de la Loi sur l'Agence de la consommation en matière financière du Canada",12890555,12890555,14719789.00,14719789.00,17890076,17890076.00,16272429,16272429,17426626,17426626
"FCAC","S",999,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État",0,0,129.00,129.00,290,290.00,136,136,38,38
"FEDSO",1,1,"Operating/Program","Fonctionnement/Programme",27824934,26645913,28733030.00,26887683.00,27318530,26659973.00,27160948,26703067,26869850,25451659
"FEDSO",5,3,"Grants & Contributions","Subventions et Contributions",231947760,212041526,214718410.00,204169344.00,177631522,74386300.00,182239502,159879944,227679871,193845849
"FEDSO","S",999,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés",3033528,3033528,3222120.00,3222120.00,3054870,3054870.00,3213095,3213095,2838104,2838104
"FEDSO","S",999,"Salary and Motor Car Allowance","Traitement et allocation pour automobile",0,0,1258.00,1258.00,2000,2000.00,1189,1189,0,0
"FEDSO","S",999,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État",3193,0,33863.00,0.00,33545,0.00,0,0,0,0
"FIN",1,1,"Operating/Program","Fonctionnement/Programme",351061927,134470996,136501005.00,131682165.00,132808512,119941036.00,112157439,100498865,112597180,107057071
"FIN",5,9,"Other","Autre",0,0,0.00,0.00,1,0.00,1,0,1,0
"FIN",7,9,"Other","Autre",0,0,1.00,0.00,0,0.00,0,0,1,0
"FIN",8,9,"Other","Autre",0,0,0.00,0.00,1,0.00,0,0,0,0
"FIN",9,9,"Other","Autre",0,0,0.00,0.00,1,0.00,0,0,0,0
"FIN",10,9,"Other","Autre",1,0,1.00,0.00,0,0.00,0,0,0,0
"FIN","S",999,"Additional Fiscal Equalization Offset Payment to Nova Scotia (Nova Scotia and Newfoundland and Labrador Additional Fiscal Equalization Offset Payments Act)","Paiement de péréquation compensatoire supplémentaire - Nouvelle-Écosse (Loi sur les paiements de péréquation compensatoires supplémentaires à la Nouvelle-Écosse et à Terre-Neuve-et-Labrador)",146059000,146059000,89461000.00,89461000.00,64481000,64481000.00,36779000,36779000,33255000,33255000
"FIN","S",999,"Additional Fiscal Equalization Payment - Total Transfer Protection (Economic Action Plan 2013 Act, No. 1, Section 111, which amends Part I of the Federal-Provincial Fiscal Arrangements Act)","Paiement de péréquation additionnel - Protection sur les transferts totaux (Loi no 1 sur le plan d'action économique de 2013, Section 111, qui modifie la partie I de la Loi sur les arrangements fiscaux entre le gouvernement fédéral et les provinces)",679660000,679660000,0.00,0.00,0,0.00,0,0,0,0
"FIN","S",999,"Additional fiscal equalization to Nova Scotia (Part I - Federal-Provincial Fiscal Arrangements Act)","Paiement de péréquation supplémentaire - Nouvelle-Écosse (Partie I - Loi sur les arrangements fiscaux entre le gouvernement fédéral et les provinces)",297317000,297317000,260257000.00,260257000.00,131184000,131184000.00,88186000,88186000,10598000,10598000
"FIN","S",999,"Alternative Payments for Standing Programs (Part VI - Federal-Provincial Fiscal Arrangements Act)","Paiements de remplacement au titre des programmes permanents (Partie VI - Loi sur les arrangements fiscaux entre le gouvernement fédéral et les provinces)",-3357025000,-3357025000,-3459827000.00,-3459827000.00,-3466658000,-3466658000.00,-3640752000,-3640752000,-3646468000,-3646468000
"FIN","S",999,"Canada Health Transfer (Part V.1 - Federal-Provincial Fiscal Arrangements Act)","Transfert canadien en matière de santé (Partie V.1 - Loi sur les arrangements fiscaux entre le gouvernement fédéral et les provinces)",28568644223,28568644223,30282900196.00,30282900196.00,32114006363,32114006363.00,34024617855,34024617855,36057581263,36057581263
"FIN","S",999,"Canada social Transfer (Part V.1 - Federal-Provincial Fiscal Arrangements Act)","Transfert canadien en matière de programmes sociaux (Partie V.1 - Loi sur les arrangements fiscaux entre le gouvernement fédéral et les provinces)",11859486000,11859486000,12215271000.00,12215271000.00,12581729000,12581729000.00,12959181000,12959181000,13347956000,13347956000
"FIN","S",999,"Canadian Millennium Scholarship Foundation (Budget Implementation Act, 1998)","Fondation canadienne des bourses d'études du millénaire (Loi d'exécution du budget 1998)",0,0,-10823.00,-10823.00,0,0.00,0,0,0,0
"FIN","S",999,"Canadian Securities Regulation Regime Transition Office (Canadian Securities Regulation Regime Transition Office Act)","Bureau de transition vers un régime canadien de réglementation des valeurs mobilières (Loi sur le Bureau de transition vers un régime canadien de réglementation des valeurs mobilières)",0,0,10000000.00,10000000.00,53100000,53100000.00,0,0,0,0
"FIN","S",999,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés",12232622,12232622,12081486.00,12081486.00,11630383,11630383.00,11025974,11025974,10488783,10488783
"FIN","S",999,"Debt payments on behalf of poor countries to international organizations pursuant to section 18(1) of the Economic Recovery Act","Paiements de dettes à des organisations internationales au nom des pays pauvres en vertu du paragraphe 18(1) de la Loi sur la reprise économique",51200000,51200000,51200000.00,51200000.00,51200000,51200000.00,51200000,51200000,51200000,51200000
"FIN","S",999,"Establishment of a Canadian Securities Regulation Regime and Canadian Regulatory Authority (Budget Implementation Act, 2009)","Mise sur pied d'un régime canadien et d'un organisme national de réglementation des valeurs mobilières (Loi d'exécution du budget de 2009)",0,0,55806000.00,55806000.00,169000000,169000000.00,0,0,0,0
"FIN","S",999,"Fiscal Equalization (Part I - Federal-Provincial Fiscal Arrangements Act)","Péréquation fiscale (Partie I - Loi sur les arrangements fiscaux entre le gouvernement fédéral et les provinces)",15422503000,15422503000,16105194000.00,16105194000.00,16669278000,16669278000.00,17341310000,17341310000,17880415000,17880415000
"FIN","S",999,"Fiscal Stabilization (Part II — Federal-Provincial Fiscal Arrangements Act)","Stabilisation fiscale (Partie II — Loi sur les arrangements fiscaux entre le gouvernement fédéral et les provinces)",0,0,0.00,0.00,103400000,103400000.00,283059600,283059600,0,0
"FIN","S",999,"Incentive for provinces to eliminate taxes on capital (Part IV Federal-Provincial Fiscal Arrangements Act)","Incitatif pour l'élimination des impôts provinciaux sur le capital (Partie IV — Loi sur les arrangements fiscaux entre le gouvernement fédéral et les provinces)",5486000,5486000,1405000.00,1405000.00,95042000,95042000.00,52100000,52100000,0,0
"FIN","S",999,"Interest on Unmatured Debt","Intérêt sur la dette non échue",16932094462,16932094462,16427887249.00,16427887249.00,15351976738,15351976738.00,15101078440,15101078440,14138650586,14138650586
"FIN","S",999,"Losses on Foreign Exchange","Pertes d'opérations de change",66504775,66504775,268249984.00,268249984.00,78362168,78362168.00,55377329,55377329,22752076,22752076
"FIN","S",999,"Other Interest Costs","Autres frais d'intérêts",9050112469,9050112469,8583878921.00,8583878921.00,8136044563,8136044563.00,7543413434,7543413434,7027348310,7027348310
"FIN","S",999,"Payment of liabilities previously recorded as revenue","Paiement de dettes comptabilisées antérieurement à titre de revenus",2159620,2159620,4991861.00,4991861.00,3677143,3677143.00,3013084,3013084,4658431,4658431
"FIN","S",999,"Payment to Ontario related to the Canada Health Transfer (Budget Implementation Act,2009)","Paiement à l'Ontario pour le transfert canadien en matière de santé (Partie V.1 - Loi sur les arrangements fiscaux entre le gouvernement fédéral et les provinces)",93710000,93710000,10052000.00,10052000.00,0,0.00,0,0,0,0
"FIN","S",999,"Payment to the International Bank for reconstruction and development for the Agriculture Advance Market commitment (Bretton Woods and Related Agreements Act, section 8)","Paiement à la Banque internationale pour la reconstruction et le développement pour les garanties de marché en matière d'agriculture (Loi sur les accords de Bretton Woods et les accords connexes, section 8)",10000000,10000000,10000000.00,10000000.00,10000000,10000000.00,0,0,0,0
"FIN","S",999,"Payments to International Development Association","Paiements à l'Association internationale de développement",441620000,441620000,441610000.00,441610000.00,883220000,883220000.00,441610000,441610000,441620000,441620000
"FIN","S",999,"Payments to depositors of Canadian Commercial Bank, CCB Mortgage Investment Corporation and Northland Bank pursuant to the Financial Institutions Depositors Compensation Act","Paiements aux déposants de la Banque Commerciale du Canada, de la Compagnie de placements hypothécaires CCB et de la Norbanque conformément à la Loi sur l'indemnité aux déposants de certaines institutions financières",68571831,0,68571831.00,0.00,68571831,0.00,68571831,0,68571831,0
"FIN","S",999,"Payments to provinces regarding sales tax harmonization (Part III,I -Federal-Provincial Fiscal Arrangements Act)","Paiements aux provinces relatifs à l'harmonisation des taxes de vente (partie III.I - Loi sur les arrangements fiscaux entre le gouvernement fédéral et les provinces)",438200000,438200000,1161200000.00,1161200000.00,-319800000,-319800000.00,-319800000,-319800000,0,0
"FIN","S",999,"Purchase of Domestic Coinage","Achat de la monnaie canadienne",130816640,130816640,106075973.00,106075973.00,105671550,105671550.00,90547116,90547116,93554938,93554938
"FIN","S",999,"Refunds of amounts credited to revenues in previous years","Remboursements de montants portés aux revenus d'exercices antérieurs",356926,356926,155.00,155.00,155612,155612.00,0,0,0,0
"FIN","S",999,"Salary and Motor Car Allowance","Traitement et allocation pour automobile",79516,79516,80706.00,80706.00,82133,82133.00,83517,83517,83500,83500
"FIN","S",999,"Small and Medium Enterprise (SME) Finance Challenge","Projet de financement des petites et moyennes entreprises (PME)",-1402080,-1402080,0.00,0.00,0,0.00,0,0,0,0
"FIN","S",999,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État",4748,0,5069.00,0.00,1407,0.00,1822,0,15568,0
"FIN","S",999,"Statutory Subsidies (Constitution Acts, 1867-1982, and other statutory authorities)","Subventions législatives (Lois constitutionnelles de 1867 à 1982, et autres autorisations législatives)",32149329,32149329,34118831.00,34118831.00,34363164,34363164.00,34362809,34362809,42355839,42355839
"FIN","S",999,"Territorial Financing (Part I.1 - Federal-Provincial Fiscal Arrangements Act)","Financement des territoires (Partie I.1 - Loi sur les arrangements fiscaux entre le gouvernement fédéral et les provinces)",3110679940,3110679940,3288281700.00,3288281700.00,3469215474,3469215474.00,3561034002,3561034002,3602979726,3602979726
"FIN","S",999,"Wait Times Reduction Transfer (PartV.1) Federal-Provincial Fiscal Arrangements Act)","Transfert visant la réduction des temps d'attente (Partie V.I - Loi sur les arrangements fiscaux entre le gouvernement fédéral et les provinces)",250000000,250000000,250000000.00,250000000.00,0,0.00,0,0,0,0
"FIN","S",999,"Youth Allowances Recovery (Federal-Provincial Fiscal Revision Act, 1964)","Recouvrement ayant trait aux allocations aux jeunes (Loi de 1964 sur la révision des arrangements fiscaux entre le gouvernement fédéral et les provinces)",-736513992,-736513992,-762975225.00,-762975225.00,-767147511,-767147511.00,-810613866,-810613866,-804534285,-804534285
"FJA",1,1,"Operating/Program","Fonctionnement/Programme",8942753,8523525,9228335.00,8552642.00,9167040,8160332.00,9393635,7703337,9850888,8542826
"FJA",5,1,"Operating/Program","Fonctionnement/Programme",1589923,1463552,1614741.00,1526534.00,3212464,2944764.00,3589292,2302903,3110713,2571867
"FJA","S",999,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés",898303,898303,912668.00,912668.00,825717,825717.00,777547,777547,794821,794821
"FJA","S",999,"Judges' salaries, allowances and annuities, annuities to spouses and children of judges and lump sum payments to spouses of judges who die while in office","Traitements, indemnités et pensions des juges, pensions aux conjoints et aux enfants des juges et montants forfaitaires versés aux conjoints des juges qui décèdent pendant leur mandat",474217220,474217220,490350437.00,490350437.00,505689613,505689613.00,532643045,532643045,534886933,534886933
"FJA","S",999,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État",0,0,269.00,0.00,269,0.00,211,0,211,0
"FNSI",30,5,"Payments to Crown Corps","Paiement aux sociétés d'État",5000000,2028410,0.00,0.00,0,0.00,0,0,0,0
"FO",1,1,"Operating/Program","Fonctionnement/Programme",1308196042,1241000803,1342830136.00,1283415415.00,1218749887,1192531762.00,1324553594,1253876670,1457907255,1342300961
"FO",5,2,"Capital","Capital",396353393,307868372,409220882.00,299367218.00,486379801,328877619.00,843027082,705255421,1064918555,792860998
"FO",10,3,"Grants & Contributions","Subventions et Contributions",88932881,88186047,88234171.00,85270463.00,91509966,89709841.00,96921760,94266293,101998451,99552292
"FO","S",999,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés",135852795,135852795,136349927.00,136349927.00,123462717,123462717.00,116954768,116954768,115253587,115253587
"FO","S",999,"Losses on Foreign Exchange","Pertes sur opérations de change",0,0,5191.00,5191.00,564483,564483.00,0,0,14155,14155
"FO","S",999,"Refunds of amounts credited to revenues in previous years","Remboursements de montants portés aux revenus d'exercices antérieurs",33575,33575,77932.00,77932.00,94510,94510.00,770457,770457,24129,24129
"FO","S",999,"Salary and Motor Car Allowance","Traitement et allocation pour automobile",77516,77516,79102.00,79102.00,80300,80300.00,82328,82328,65045,65045
"FO","S",999,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État",5866016,4086136,3498411.00,1837938.00,3183217,1646057.00,4041765,1591998,6417822,2607069
