"DeptCode","VoteNumberModified","VoteStatType","DescE","DescF","TotalAuthorityCurrent","ExpenditureatquarterendCurrent","TotalExpenditureCurrent","TotalAuthorityPrevious","ExpenditureatquarterendPrevious","TotalExpenditurePrevious"
"HRSD","S",999,"(S) – Canada Education Savings grant payments to Registered Education Savings Plan (RESP) trustees on behalf of RESP beneficiaries to encourage Canadians to save for post-secondary education for their children","(L) – Paiements de Subventions canadiennes pour l'épargne-études aux fiduciaires de régimes enregistrés d'épargne-études (REEE) au nom des bénéficiaires des REEE afin d'encourager les Canadiens à épargner pour les études postsecondaires de leurs enfants",843000000,206655000,206655000,824000000,193331000,193331000
"HRSD","S",999,"(S) – Canada Learning Bond payments to Registered Education Savings Plan (RESP) trustees on behalf of RESP beneficiaries to support access to post-secondary education for children from low-income families","(L) – Paiements de Bons d'études canadiens aux fiduciaires de régimes enregistrés d'épargne-études (REEE) au nom des bénéficiaires des REEE afin d'appuyer l'accès à l'éducation postsecondaire des enfants de familles à faible revenu",143000000,28019000,28019000,133000000,19863000,19863000
"HRSD","S",999,"(S) – Canada Student Grants to qualifying full and part-time students pursuant to the Canada Student Financial Assistance Act","(L) – Bourses canadiennes aux fins d'études destinées aux étudiants à temps plein et à temps partiel admissibles aux termes de la Loi fédérale sur l’aide financière aux étudiants",1135016000,85669000,85669000,763845000,61851000,61851000
"HRSD","S",999,"(S) – Civil Service Insurance actuarial liability adjustments","(L) – Redressements du passif actuariel de l'assurance de la fonction publique",145000,0,0,145000,0,0
"HRSD","S",999,"(S) – Contributions to employee benefit plans","(L) – Contributions aux régimes d'avantages sociaux des employés",233986000,57855000,57855000,265226000,60427000,60427000
"HRSD","S",999,"(S) – Guaranteed Income Supplement Payments (Old Age Security Act)","(L) – Versements du Supplément de revenu garanti (Loi sur la sécurité de la vieillesse)",11848000000,2824170000,2824170000,10804379000,2568105000,2568105000
"HRSD","S",999,"Minister's Salary and Motor Car Allowance","Traitement et allocation pour automobile du ministre",84000,7000,7000,84000,7000,7000
"HRSD","S",999,"Minister's Salary and Motor Car Allowance","Traitement et allocation pour automobile du ministre",84000,21000,21000,84000,6000,6000
"HRSD","S",999,"(S) – Old Age Security Pension Payments (Old Age Security Act)","(L) – Versements de pension de la Sécurité de la vieillesse (Loi sur la sécurité de la vieillesse)",38810000000,9810832000,9810832000,37086489000,9352563000,9352563000
"HRSD","S",999,"(S) – Payment related to direct financing arrangement under the Apprentice Loans Act","(L) – Paiements liés aux modalités de financement direct accordés en vertu de la Loi sur les prêts aux apprentis",3219000,202000,202000,4273000,425000,425000
"HRSD","S",999,"(S) – Payments of compensation respecting government employees (Government Employees Compensation Act) and merchant seamen (Merchant Seamen Compensation Act)","(L) – Paiements d'indemnités à des agents de l'État (Loi sur l'indemnisation des agents de l'État) et à des marins marchands (Loi sur l'indemnisation des marins marchands)",44000000,25109000,25109000,44000000,13574000,13574000
"HRSD","S",999,"(S) – Payments related to the direct financing arrangement under the Canada Student Financial Assistance Act","(L) – Paiements liés aux modalités de financement direct accordés en vertu de la Loi fédérale sur l'aide financière aux étudiants",795376000,56531000,56531000,705088000,51170000,51170000
"HRSD","S",999,"Refunds of amounts credited to revenues in previous years","Remboursements de montants portés aux revenus d'exercices antérieurs",12000,12000,12000,38000,38000,38000
"HRSD","S",999,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État",216000,0,0,220000,1000,1000
"HRSD","S",999,"Spending pursuant to section 12(4) of the Canada Education Savings Act","Dépenses en vertu du paragraphe 12(4) de la Loi canadienne sur l'épargne-études",1652000,764000,764000,1151000,284000,284000
"HRSD","S",999,"(S) – Supplementary Retirement Benefits—Annuities agents' pensions","(L) – Prestations de retraite supplémentaires—Pensions pour les agents des rentes sur l'État",35000,0,0,35000,0,0
"HRSD","S",999,"(S) – The provision of funds for interest and other payments to lending institutions and liabilities under the Canada Student Financial Assistance Act","(L) – Paiements d'intérêts et autres obligations aux institutions de crédit en vertu de la Loi fédérale sur l'aide financière aux étudiants",7359000,1391000,1391000,6892000,640000,640000
"HRSD","S",999,"(S) – The provision of funds for interest payments to lending institutions under the Canada Student Loans Act","(L) – Paiements d'intérêts aux institutions de crédit en vertu de la Loi fédérale sur les prêts aux étudiants",0,0,0,1000,0,0
"HRSD","S",999,"(S) – The provision of funds for liabilities including liabilities in the form of guaranteed loans under the Canada Student Loans Act","(L) – Paiements relatifs aux obligations contractées sous forme de prêts garantis en vertu de la Loi fédérale sur les prêts aux étudiants",-3572000,16000,16000,-4080000,-386000,-386000
"HRSD","S",999,"(S) – Universal Child Care Benefit (Universal Child Care Benefit Act)","(L) – Prestation universelle pour la garde d'enfants (Loi sur la prestation universelle pour la garde d'enfants)",24000000,1217000,1217000,1924955000,1897338000,1897338000
"HRSD","S",999,"(S) – Wage Earner Protection Program payments to eligible applicants owed wages and vacation pay, severance pay and termination pay from employers who are either bankrupt or in receivership as well as payments to trustees and receivers who will provide the necessary information to determine eligibility","(L) – Paiements en vertu du Programme de protection des salariés aux personnes admissibles pour les salaires et les indemnités de vacances, les indemnités de départ et les indemnités de cessation d'emploi qui sont dus par les employeurs en faillite ou mis sous séquestre, de même que les paiements aux syndics et aux séquestres qui fourniront les renseignements nécessaires pour déterminer l’admissibilité",49250000,8136000,8136000,49250000,5731000,5731000
"INAC",1,1,"Operating and Program","Fonctionnement et Programme",912175000,141487000,141487000,863000000,137159000,137159000
"INAC",5,2,"Capital","Capital",44496000,596000,596000,54698000,2590000,2590000
"INAC",10,3,"Grants & Contributions","Subventions et Contributions",9665783000,1874524000,1874524000,7634597000,1758386000,1758386000
"INAC","S",999,"Contributions in connection with First Nations infrastructure","Contributions relatives à l’infrastructure des Premières Nations",28067000,148000,148000,28067000,579000,579000
"INAC","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",57401000,14168000,14168000,59151000,13182000,13182000
"INAC","S",999,"Grants to Aboriginal organizations designated to receive claim settlement payments pursuant to Comprehensive Land Claim Settlement Acts","Subvention au gouvernement du Nunatsiavut pour la mise en oeuvre de l'Accord sur les revendications territoriales des Inuits du Labrador en vertu de la Loi sur l'Accord sur les revendications territoriales des Inuits du Labrador",62089000,14564000,14564000,66317000,21051000,21051000
"INAC","S",999,"Grassy Narrows and Islington Bands Mercury Disability Board","Comité chargé des cas d'invalidité dus au mercure dans les bandes indiennes de Grassy Narrows et d'Islington",15000,0,0,15000,0,0
"INAC","S",999,"Indian Annuities Treaty payments","Rentes versées aux Indiens – Paiements en vertu de traités",1400000,2910000,2910000,1400000,2761000,2761000
"INAC","S",999,"Liabilities in respect of loan guarantees made to Indians for Housing and Economic Development","Obligations relatives aux garanties de prêts accordés aux Indiens pour le logement et le développement économique",2000000,0,0,2000000,0,0
"INAC","S",999,"Minister's Salary and Motor Car Allowance","Traitement et allocation pour automobile du ministre",84000,21000,21000,84000,7000,7000
"INAC","S",999,"Other","Autres",0,618000,618000,0,728000,728000
"INAC","S",999,"Payments to comprehensive claim beneficiaries in compensation for resource royalties","Paiements d'indemnités aux bénéficiaires des revendications territoriales globales pour des redevances sur les ressources",2931000,0,0,2544000,0,0
"IPC",1,1,"Operating and Program","Fonctionnement et Programme",9947000,2192000,2192000,9927000,2581000,2581000
"IPC",5,1,"Operating and Program","Fonctionnement et Programme",22075000,5322000,5322000,22037000,4979000,4979000
"IPC","S",999,"Statutory Authorities","Autorisations législatives",3517000,879000,879000,3845000,961000,961000
"IRB",1,1,"Operating and Program","Fonctionnement et Programme",117143000,24023000,24023000,100834000,22943000,22943000
"IRB","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",13587000,3458000,3458000,13669000,3417000,3417000
"ISC",1,1,"Operating and Program","Fonctionnement et Programme",357801000,89259000,89259000,350802000,79651000,79651000
"ISC",5,2,"Capital","Capital",16030000,1978000,1978000,16352000,1213000,1213000
"ISC",10,3,"Grants & Contributions","Subventions et Contributions",2057305000,434261000,434261000,1311175000,119181000,119181000
"ISC","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",53807000,13452000,13452000,57885000,14358000,14358000
"ISC","S",999,"Genome Canada","Genome Canada",33100000,23700000,23700000,68000000,15475000,15475000
"ISC","S",999,"Liabilities under the Canada Small Business Financing Act & the Small Business Loans Act","Obligations contractées en vertu de la Loi sur le financement des petites entreprises du Canada et la Loi sur les prêts aux petites entreprises",69030000,5909000,5909000,77908000,5006000,5006000
"ISC","S",999,"Minister's Salary and Motor Car Allowance","Traitement et allocation pour automobile du ministre",88000,22000,22000,88000,7000,7000
"ISC","S",999,"Next Gen BioFuels Fund","Biocarburants de la prochaine génération",800000,0,0,0,0,0
"ISC","S",999,"Other statutory grants and contributions","Autres subventions et contributions législatives",0,1000,1000,0,0,0
"ISC","S",999,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État",130000,0,0,199000,0,0
"ISC","S",999,"Refunds of amounts credited to revenues in previous years","Remboursements de montants portés aux revenus d'exercices antérieurs",0,149000,149000,0,144000,144000
"ISC","S",999,"Revolving Fund Net Expenditures","Dépenses nettes du fonds renouvelable",28029000,4488000,4488000,18959000,2063000,2063000
"JUS",1,1,"Operating and Program","Fonctionnement et Programme",240195000,110859000,110859000,235000000,82213000,82213000
"JUS",5,3,"Grants & Contributions","Subventions et Contributions",390315000,7848000,7848000,365234000,10815000,10815000
"JUS","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",71459000,17865000,17865000,78543000,19636000,19636000
"JUS","S",999,"Minister's Salary and Motor Car Allowance","Traitement et allocation pour automobile du ministre",84000,21000,21000,84000,7000,7000
"JUS","S",999,"Refunds of amounts credited to revenues in previous years","Remboursements de montants portés aux revenus d'exercices antérieurs",0,0,0,0,0,0
"JUS","S",999,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État",3000,0,0,2000,0,0
"LAC",1,1,"Operating and Program","Fonctionnement et Programme",92746852,22840763,22840763,94905525,21047623,21047623
"LAC",5,2,"Capital","Capital",12153065,523243,523243,11937824,224077,224077
"LAC","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",10319298,2579825,2579825,10015218,2503805,2503805
"LAC","S",999,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État",12028,0,0,28770,0,0
"MPCC",1,1,"Operating and Program","Fonctionnement et Programme",4208000,756000,756000,4217000,701000,701000
"MPCC","S",999,"Statutory Authorities","Autorisations législatives",430000,108000,108000,468000,117000,117000
"NBC",1,1,"Operating and Program","Fonctionnement et Programme",7521000,834000,834000,6462000,926000,926000
"NBC","S",999,"Statutory Authorities","Autorisations législatives",343000,86000,86000,376000,94000,94000
"NBC","S",999,"Expenditures pursuant to subsection 29.1(1) of the Financial Administration Act","Dépenses aux termes du paragraphe 29.1(1) de la Loi sur la gestion des finances publiques",1850000,496000,496000,1850000,498000,498000
"ND",1,1,"Operating and Program","Fonctionnement et Programme",14201615000,3353678000,3353678000,13765147000,2881049000,2881049000
"ND",5,2,"Capital","Capital",3102711000,497976000,497976000,3395930000,388938000,388938000
"ND",10,3,"Grants & Contributions","Subventions et Contributions",164695000,4432000,4432000,164593000,3652000,3652000
"ND","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",273777000,68465000,68465000,302927000,75426000,75426000
"ND","S",999,"Contributions to employee benefit plans: Members of the military","Contributions aux régimes d’avantages sociaux des employés : Membres militaires",916559000,236433000,236433000,1009616000,217978000,217978000
"ND","S",999,"Minister's Salary and Motor Car Allowance","Traitement et allocation pour automobile du ministre",84000,21000,21000,84000,7000,7000
"ND","S",999,"Payments to dependants of certain members of the Royal Canadian Air Force killed while serving as instructors under the British Commonwealth Air Training Plan (Appropriation Act No. 4, 1968)","Versements aux ayants droit de certains membres de l’Aviation royale du Canada tués dans l’exercice de leurs fonctions alors qu’ils servaient à titre d’instructeurs dans le cadre du Plan d’entraînement des aviateurs du Commonwealth britannique (Loi nº4 de 1968 portant affectation de crédits)",26000,4000,4000,26000,6000,6000
"ND","S",999,"Payments under parts I to IV of the Defence Services Pension Continuation Act (R.S.C., 1970, c. D-3)","Versements en vertu des parties I à IV de la Loi sur la continuation de la pension des services de défense (L.R.C. (1970), ch. D-3)",500000,51000,51000,600000,93000,93000
"ND","S",999,"Payments under the Supplementary Retirement Benefits Act","Versement en vertu de la Loi sur les prestations de retraite supplémentaires",2100000,263000,263000,2700000,444000,444000
"ND","S",999,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État",24028000,350000,350000,8226000,215000,215000
"NEB",1,1,"Operating and Program","Fonctionnement et Programme",77404000,3518000,3518000,80581000,16570000,16570000
"NEB","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",8268000,1840000,1840000,8844000,2211000,2211000
"NFB",1,1,"Operating and Program","Fonctionnement et Programme",74375345,13192372,13192372,61894820,14430152,14430152
"NPA",1,1,"Operating and Program","Fonctionnement et Programme",465000,6937,6937,701095,13740,13740
"NPA","S",999,"Statutory Authority - Employee Benefit Plans","Législatif - Contributions aux régimes d’avantages sociaux des employés",29830,7457,7457,50740,12685,12685
"NPB",1,1,"Operating and Program","Fonctionnement et Programme",40678000,9525000,9525000,40671000,11326000,11326000
"NPB","S",999,"Statutory Authority - Employee Benefit Plans","Législatif - Contributions aux régimes d’avantages sociaux des employés",5586000,1396000,1396000,6119000,1530000,1530000
"NR",1,1,"Operating and Program","Fonctionnement et Programme",497392000,117558000,117558000,517355000,111733000,111733000
"NR",5,2,"Capital","Capital",55781000,3465000,3465000,82589000,4532000,4532000
"NR",10,3,"Grants & Contributions","Subventions et Contributions",332870000,23294000,23294000,283665000,39663000,39663000
"NR","S",999,"Canada Foundation for Sustainable   Development Technology Grant","Subvention accordée à la Fondation du Canada pour l’appui technologique au développement durable",0,0,0,0,2290000,2290000
"NR","S",999,"Contribution to the Canada and Nova Scotia  Offshore Petroleum Board","Contribution à l’Office Canada-Nouvelle-Écosse des hydrocarbures extracôtiers",4355000,1089000,1089000,4013000,2178000,2178000
"NR","S",999,"Contribution to the Canada and   Newfoundland Offshore Petroleum Board","Contribution accordée à l’Office Canada-Terre-Neuve des hydrocarbures extracôtiers",8835000,0,0,8835000,0,0
"NR","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",53524000,13351000,13351000,59384000,13324000,13324000
"NR","S",999,"Crown Share Adjustment Payments for Nova  Scotia Offshore Petroleum Resources","Paiements de rajustement à l’égard de la part de la Couronne pour les ressources pétrolières extracôtières de la Nouvelle-Écosse",1818000,0,0,2408000,0,0
"NR","S",999,"Minister's Salary and Motor Car Allowance","Traitement et allocation pour automobile du ministre",84000,21000,21000,84000,7000,7000
"NR","S",999,"Payments to the Newfoundland Offshore  Petroleum Resource Revenue Fund","Versements au Fonds terre-neuvien des recettes provenant des ressources en hydrocarbures",387367000,42925000,42925000,713253000,21084000,21084000
"NR","S",999,"Payments to the Nova Scotia Offshore  Revenue Account","Versements au Compte néo-écossais des recettes extracôtières",6624000,740000,740000,14828000,622000,622000
"NRC",1,1,"Operating and Program","Fonctionnement et Programme",401517000,71882000,71882000,401656000,71647000,71647000
"NRC",5,2,"Capital","Capital",92640000,4220000,4220000,112109000,5417000,5417000
"NRC",10,3,"Grants & Contributions","Subventions et Contributions",363336000,77966000,77966000,369875000,50697000,50697000
"NRC","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",46707000,9872000,9872000,49302000,12323000,12323000
"NRC","S",999,"Statutory revenue","Revenus législatifs",300883000,44937000,44937000,324566000,46025000,46025000
"NSERC",1,1,"Operating and Program","Fonctionnement et Programme",44692000,10297000,10297000,44109000,10214000,10214000
"NSERC",5,3,"Grants & Contributions","Subventions et Contributions",1156972000,311615000,311615000,1078435000,305319000,305319000
"NSERC","S",999,"Contributions to the employee benefit plan","Législatif - Contributions aux régimes d’avantages sociaux des employés",4787000,1197000,1197000,5213000,1285000,1285000
"NSERC","S",999,"Spending of revenues pursuant to subsection 4(2) of the Natural Sciences and Engineering Research Council Act","Dépense des revenus en vertu du paragraphe 4(2) de la Loi sur le Conseil de recherches en sciences naturelles et en génie",579000,0,0,379000,0,0
"OAG",1,1,"Operating and Program","Fonctionnement et Programme",70929000,18257000,18257000,70779000,17543000,17543000
"OAG","S",999,"Revenues","Revenus",-2660000,-106000,-106000,-2510000,-412000,-412000
"OAG","S",999,"Statutory Authority - Employee Benefit Plans","Législatif - Contributions aux régimes d’avantages sociaux des employés",9421000,2308000,2308000,10265000,2566000,2566000
"OCI",1,1,"Operating and Program","Fonctionnement et Programme",4102301,924909,924909,4102301,926423,926423
"OCI","S",999,"Statutory Authority - Employee Benefit Plans","Législatif - Contributions aux régimes d’avantages sociaux des employés",513203,128301,128301,562235,140559,140559
"OCOL",1,1,"Operating and Program","Fonctionnement et Programme",18596000,3970000,3970000,18559000,4125000,4125000
"OCOL","S",999,"Statutory Authorities","Autorisations législatives",2134000,534000,534000,2332000,583000,583000
"OCSEC",1,1,"Operating and Program","Fonctionnement et Programme",1940000,336000,336000,1942000,410000,410000
"OCSEC","S",999,"Statutory Authorities","Autorisations législatives",169000,42000,42000,181000,46000,46000
"ODPP",1,1,"Operating and Program","Fonctionnement et Programme",161657000,37805000,37805000,163791000,41931000,41931000
"ODPP","S",999,"Electoral expenditures","Dépenses électorales",1554000,379000,379000,1992000,599000,599000
"ODPP","S",999,"Statutory Authority - Employee Benefit Plans","Législatif - Contributions aux régimes d’avantages sociaux des employés",18216000,4554000,4554000,19882000,4970000,4970000
"OICC",1,1,"Operating and Program","Fonctionnement et Programme",126917000,9723000,9723000,124731000,11011000,11011000
"OICC",5,2,"Capital","Capital",523660000,1805000,1805000,68691000,973000,973000
"OICC",10,3,"Grants & Contributions","Subventions et Contributions",4282963000,79327000,79327000,2996452000,157608000,157608000
"OICC","S",999,"(S) – Contributions to employee benefit plans","Législatif - Contributions aux régimes d’avantages sociaux des employés",6106000,1527000,1527000,6781000,1469000,1469000
"OICC","S",999,"(S) – Gas Tax Fund","Fonds fédéral de la taxe sur l'essence",2071933000,0,0,2071933000,0,0
"OICC","S",999,"Minister's Salary and Motor Car Allowance","Traitement et allocation pour automobile du ministre",84000,21000,21000,84000,7000,7000
"OPSIC",1,1,"Operating and Program","Fonctionnement et Programme",4957842,922479,922479,4936421,811336,811336
"OPSIC","S",999,"Statutory Authorities","Autorisations législatives",483539,120885,120885,526053,131513,131513
"ORL",1,1,"Operating and Program","Fonctionnement et Programme",4027000,832000,832000,4027000,814000,814000
"ORL","S",999,"Statutory Authority - Employee Benefit Plans","Législatif - Contributions aux régimes d’avantages sociaux des employés",398000,100000,100000,436000,109000,109000
"PCA",1,1,"Operating and Program","Fonctionnement et Programme",1554014000,161748000,161748000,1224473000,130990000,130990000
"PCA",5,9,"Other","Autre",500000,0,0,500000,0,0
"PCA","S",999,"Autorisations législatives - Dépenses qui équivalent aux revenus résultant de la poursuite des opérations en vertu de l'article 20 de la Loi sur l'Agence Parcs Canada","Autorisations législatives - Dépenses qui équivalent aux revenus résultant de la poursuite des opérations en vertu de l'article 20 de la Loi sur l'Agence Parcs Canada",99232000,21075000,21075000,138591000,31059000,31059000
"PCA","S",999,"Statutory Authority - Employee Benefit Plans","Législatif - Contributions aux régimes d’avantages sociaux des employés",49481000,12328000,12328000,53230000,13209000,13209000
"PCO",1,1,"Operating and Program","Fonctionnement et Programme",163047000,27531000,27531000,126842000,23358000,23358000
"PCO","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",15904000,2436000,2436000,15202000,3650000,3650000
"PCO","S",999,"Minister's Salary and Motor Car Allowance","Traitement et allocation pour automobile du ministre",84000,0,0,84000,7000,7000
"PCO","S",999,"Minister's Salary and Motor Car Allowance","Traitement et allocation pour automobile du ministre",84000,7000,7000,84000,7000,7000
"PCO","S",999,"Minister's Salary and Motor Car Allowance","Traitement et allocation pour automobile du ministre",174000,44000,44000,172000,14000,14000
"PCO","S",999,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État",34000,0,0,14000,0,0
"PHAC",1,1,"Operating and Program","Fonctionnement et Programme",322135000,57736000,57736000,334720000,53306000,53306000
"PHAC",5,2,"Capital","Capital",7199000,74000,74000,5854000,258000,258000
"PHAC",10,3,"Grants & Contributions","Subventions et Contributions",216327000,90209000,90209000,206779000,93011000,93011000
"PHAC","S",999,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État",51000,10000,10000,20000,3000,3000
"PHAC","S",999,"(S) Spending of revenues pursuant to section 4.2 of the Department of Health Act","(S) Utilisation des revenus conformément au paragraphe 4(2) de la Loi sur le ministère de la Santé",13413000,0,0,13413000,0,0
"PHAC","S",999,"Statutory Authority - Employee Benefit Plans","Législatif - Contributions aux régimes d’avantages sociaux des employés",28261000,7065000,7065000,30669000,7630000,7630000
"PMPRB",1,1,"Operating and Program","Fonctionnement et Programme",9930000,1731000,1731000,9943000,1518000,1518000
"PMPRB","S",999,"Statutory Authority - Employee Benefit Plans","Législatif - Contributions aux régimes d’avantages sociaux des employés",936000,234000,234000,1022000,256000,256000
"PSC",1,1,"Operating and Program","Fonctionnement et Programme",72138000,16295000,16295000,71160000,16582000,16582000
"PSC","S",999,"Statutory - Employer Contributions to Employee Benefit Plans","Législatif - Contributions aux régimes d’avantages sociaux des employés",11373000,1896000,1896000,12443000,3111000,3111000
"PSEP",1,1,"Operating and Program","Fonctionnement et Programme",127465602,27041546,27041546,128080019,27195867,27195867
"PSEP",5,3,"Grants & Contributions","Subventions et Contributions",914540358,65243829,65243829,952867801,337507534,337507534
"PSEP","S",999,"Minister's Salary and Motor Car Allowance","Traitement et allocation pour automobile du ministre",84400,21150,21150,83500,6958,6958
"PSEP","S",999,"Statutory Authority - Employee Benefit Plans","Législatif - Contributions aux régimes d’avantages sociaux des employés",14999364,3684485,3684485,15927088,3981772,3981772
"RCMP",1,1,"Operating and Program","Fonctionnement et Programme",1888011000,710111000,710111000,1835514000,348387000,348387000
"RCMP",5,2,"Capital","Capital",327466000,19079000,19079000,246781000,20875000,20875000
"RCMP",10,3,"Grants & Contributions","Subventions et Contributions",223573000,52054000,52054000,194973000,44587000,44587000
"RCMP","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",70293000,17573000,17573000,75916000,18846000,18846000
"RCMP","S",999,"Court Awards","Montants adjugés par une cour",0,0,0,0,0,0
"RCMP","S",999,"Pensions and other employee benefits - Members of the Force","Pensions et autres prestations des employés - Membres de la GRC",363215000,100121000,100121000,395891000,85610000,85610000
"RCMP","S",999,"Pensions under the Royal Canadian Mounted Police Pension Continuation Act","Pensions aux termes de la Loi sur la continuation des pensions de la Gendarmerie royale du Canada",10000000,2106000,2106000,11000000,2447000,2447000
"RCMP","S",999,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État",6947000,0,0,5473000,0,0
"RCMP","S",999,"Refunds of amounts credited to revenues in previous years","Remboursements de montants portés aux revenus d'exercices antérieurs",0,83000,83000,0,12000,12000
"SC",1,1,"Operating and Program","Fonctionnement et Programme",405572000,105824000,105824000,672654000,218701000,218701000
"SC","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",65492000,16373000,16373000,78837000,19709000,19709000
"SCC",1,1,"Operating and Program","Fonctionnement et Programme",24916433,5275927,5275927,24339745,4905443,4905443
"SCC","S",999,"Statutory Authorities","Autorisations législatives",9966489,1556703,1556703,9890737,1537054,1537054
"SHARE",1,1,"Operating and Program","Fonctionnement et Programme",1263902000,330329000,330329000,1302082000,331069000,331069000
"SHARE",5,2,"Capital","Capital",379955000,26656000,26656000,429893000,38073000,38073000
"SHARE","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",81688000,20422000,20422000,89962000,22341000,22341000
"SIRC",1,1,"Operating and Program","Fonctionnement et Programme",6477000,807000,807000,6522000,633000,633000
"SIRC","S",999,"Statutory Authorities","Autorisations législatives",545000,136000,136000,625000,54000,54000
"SSHRC",1,1,"Operating and Program","Fonctionnement et Programme",24768000,5403000,5403000,24148000,5464000,5464000
"SSHRC",5,3,"Grants & Contributions","Subventions et Contributions",751815000,182148000,182148000,708996000,81743000,81743000
"SSHRC","S",999,"Statutory Authorities","Autorisations législatives",95000,0,0,95000,0,0
"SSHRC","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",2566000,641000,641000,2751000,679000,679000
"SWC",1,1,"Operating and Program","Fonctionnement et Programme",36188000,9360000,9360000,30431000,4609000,4609000
"SWC","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",1787000,447000,447000,1305000,326000,326000
"SWC","S",999,"Minister's Salary and Motor Car Allowance","Traitement et allocation pour automobile du ministre",2000,0,0,0,0,0
"TBC",1,1,"Operating and Program","Fonctionnement et Programme",249305302,50793704,50793704,255057889,49599783,49599783
"TBC",20,6,"Treasury Board Central","Crédit du Conseil du Trésor",2398570604,620667939,620667939,2338970604,563358796,563358796
"TBC","S",999,"Minister's Salary and Motor Car Allowance","Traitement et allocation pour automobile du ministre",84400,21150,21150,83500,6958,6958
"TBC","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",27342934,6775186,6775186,28242292,6984173,6984173
"TBC","S",999,"A145 - Unallocated employer contributions made under the PSSA and other retirement acts and the Employment Act (EI)","A145 – Contributions de l’employeur non affectées et versées en vertu de la LPFP, d’autres lois concernant la retraite et la Loi sur l’assurance-emploi",340000000,-81739525,-81739525,443000000,-177848113,-177848113
"TBC","S",999,"A681 - Payments under the Public Service Pension Adjustment Act","A681 – Versements en vertu de la Loi sur la mise au point des pensions du service public",0,67,67,0,88,88
"TC",1,1,"Operating and Program","Fonctionnement et Programme",637575000,114197000,114197000,552279000,114268000,114268000
"TC",5,2,"Capital","Capital",139092000,3908000,3908000,143333000,4223000,4223000
"TC",10,3,"Grants & Contributions","Subventions et Contributions",113976000,2077000,2077000,258354000,5425000,5425000
"TC",15,3,"Grants & Contributions","Subventions et Contributions",185062000,9089000,9089000,122252000,24658000,24658000
"TC",20,3,"Grants & Contributions","Subventions et Contributions",47124000,0,0,46690000,3000,3000
"TC","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",73114000,0,0,73010000,0,0
"TC","S",999,"Minister's Salary and Motor Car Allowance","Traitement et allocation pour automobile du ministre",84000,21000,21000,84000,7000,7000
"TC","S",999,"Northumberland Strait Crossing Subsidy Payment","Paiement de subvention pour l’ouvrage de franchissement du détroit de Northumberland",65845000,64942000,64942000,65344000,63588000,63588000
"TC","S",999,"Payments in respect of St. Lawrence Seaway Agreements","Paiements versés conformément aux ententes de la Voie maritime du Saint-Laurent",92821000,25000000,25000000,127200000,42002000,42002000
"TC","S",999,"Payments to the Canadian National Railway Company – Victoria Bridge, Montreal","Versements à la Compagnie des chemins de fer nationaux du Canada – le pont Victoria, Montréal",3300000,940000,940000,3300000,716000,716000
"TC","S",999,"Refunds of amounts credited to revenues in previous years","Remboursements de montants portés aux revenus d'exercices antérieurs",0,0,0,0,1000,1000
"VAC",1,1,"Operating and Program","Fonctionnement et Programme",931959000,201374000,201374000,870518000,209661000,209661000
"VAC",5,3,"Grants & Contributions","Subventions et Contributions",3728239000,1381360000,1381360000,2725592000,720101000,720101000
