dept_submissions__document__year,dept_id,dept__name_en,dept__name_fr,dept__tbs_dept_code,eternal_id,name_en,name_fr,description_en,description_fr,first_active_year,last_active_year,collects_fees,last_gender_analysis,account_reg_digital_status,authentication_status,application_digital_status,decision_digital_status,issuance_digital_status,issue_res_digital_status,digital_enablement_comment_en,digital_enablement_comment_fr,last_accessibility_review,last_improve_from_feedback,scope_name_en,scope_name_fr,scope_code,service_type_name_en,service_type_name_fr,service_type_code,designations_name_en,designations_name_fr,designations_code,target_groups_id,target_groups_name_en,target_groups_name_fr,programs_activity_code,feedback_channels_name_en,feedback_channels_name_fr,feedback_channels_code,digital_identity_platforms_name_en,digital_identity_platforms_name_fr,digital_identity_platforms_code,accessibility_assessors_name_en,accessibility_assessors_name_fr,accessibility_assessors_code,recipient_type_name_en,recipient_type_name_fr,recipient_type_code
2018,132,Department of Justice,Ministère de la Justice,JUS,663,Access to Justice in Both Official Languages Support Fund,Fonds d’appui à l’accès à la justice dans les deux langues officielles,"The Support Fund is designed to provide resources to facilitate access to justice in both official languages through various means, such as the creation of legal and linguistic tools, workshops and training to bilingual lawyers and stakeholders of the justice system, the development of related training material and the provision of public legal education and information. The activities and projects undertaken pursuant to the Support Fund are aligned with the Government commitments of encouraging the participation of all Canadians in linguistic duality, and in supporting official language minority communities.","Le Fonds d’appui vise à fournir des ressources afin de faciliter l’accès à la justice dans les deux langues officielles, notamment en créant des outils juridiques et linguistiques, en offrant des ateliers et de la formation aux juristes et autres intervenants bilingues du système de justice, en développant du matériel didactique et en fournissant de l’information juridique à l’intention du public. Les activités et les projets entrepris en vertu du Fonds d’appui corroborent les engagements du gouvernement visant à encourager tous les Canadiens à tirer profit de la dualité linguistique et d’appuyer les communautés de langue officielle en situation minoritaire.",2018,,FALSE,2018,NOT_ENABLED,NOT_ENABLED,ENABLED,NOT_ENABLED,NOT_ENABLED,NOT_ENABLED,"Bilingual - A Departmental web portal for grant and contribution programs is expected to be launch in the coming months which would allow online account registration, authentication, application and issue resolution & feedback.","Bilingue - un portail web du ministère pour les programmes de subvention et de contribution devrait être le lancement dans les prochains mois qui permettrait l’enregistrement d’un compte en ligne, authentification, application et problème résolution & rétroaction",,,External Service,Service externe,external,Resources,Ressources,resource,None,Aucun,none,TGC005<>TGC007,"Non-Profit Institutions and Organizations<>Provinces, Territories and Communities","Institutions et organisations sans but lucratif<>Provinces, territoires et communautés",BNY09,Email<>In-Person<>Telephone,Par courriel<>En personne<>Par téléphone,email<>person<>tel,,,,,,,,,
2019,132,Department of Justice,Ministère de la Justice,JUS,663,Access to Justice in Both Official Languages Support Fund,Fonds d’appui à l’accès à la justice dans les deux langues officielles,"The Support Fund is designed to provide resources to facilitate access to justice in both official languages through various means, such as the creation of legal and linguistic tools, workshops and training to bilingual lawyers and stakeholders of the justice system, the development of related training material and the provision of public legal education and information. The activities and projects undertaken pursuant to the Support Fund are aligned with the Government commitments of encouraging the participation of all Canadians in linguistic duality, and in supporting official language minority communities.","Le Fonds d’appui vise à fournir des ressources afin de faciliter l’accès à la justice dans les deux langues officielles, notamment en créant des outils juridiques et linguistiques, en offrant des ateliers et de la formation aux juristes et autres intervenants bilingues du système de justice, en développant du matériel didactique et en fournissant de l’information juridique à l’intention du public. Les activités et les projets entrepris en vertu du Fonds d’appui corroborent les engagements du gouvernement visant à encourager tous les Canadiens à tirer profit de la dualité linguistique et d’appuyer les communautés de langue officielle en situation minoritaire.",2018,,FALSE,2019,NOT_ENABLED,NOT_ENABLED,ENABLED,NOT_ENABLED,NOT_ENABLED,NOT_ENABLED,"Bilingual - A Departmental web portal for grant and contribution programs is expected to be launch in the coming months which would allow online account registration, authentication, application and issue resolution & feedback.","Bilingue - un portail web du ministère pour les programmes de subvention et de contribution devrait être le lancement dans les prochains mois qui permettrait l’enregistrement d’un compte en ligne, authentification, application et problème résolution & rétroaction",,,External Service,Service externe,external,Grants and Contributions<>Resources,Subventions et Contributions<>Ressources,gnc<>resource,None,Aucun,none,TGC005<>TGC007,"Non-Profit Institutions and Organizations<>Provinces, Territories and Communities","Institutions et organisations sans but lucratif<>Provinces, territoires et communautés",BNY09,Email<>Other<>In-Person<>Telephone,Par courriel<>Autre<>En personne<>Par téléphone,email<>other<>person<>tel,Other,Autre,other,,,,,,
2018,26,Canada Border Services Agency,Agence des services frontaliers du Canada,CBSA,664,NEXUS Program Application,Traitement des demandes de participation au programme NEXUS,"To participate in the NEXUS Program, an applicant must submit, along with the requisite application fee, either an online application through the  new Trusted Traveller Programs Portal that is operated by US Customs and Border Protection (CBP), or a paper application to the CBSA, which will process the application through one of its Canadian Processing Centres (either in Montreal, QC, or Niagara Falls, ON). The application processing involves a risk assessment of the clients by both the US CBP and the CBSA to determine whether they meet the requirements to participate in the program, followed by an interview at an enrolment center by CBP and CBSA officers to finalize enrolment.","Pour participer au programme NEXUS, le demandeur doit soumettre, avec les frais exigés, soit une demande en ligne au moyen du Global Online Enrollment System (GOES) exploité par le Customs and Border Protection (CBP) des États-Unis, soit une demande papier à l'Agence des services frontaliers du Canada, laquelle traitera la demande dans l'un des Centres de traitement canadien (soit à Montréal, QC, ou à Niagara Falls, ON). Le traitement de la demande comprend une évaluation des risques du demandeur par le CBP des États-Unis et par l'ASFC pour déterminer s'il répond aux exigences du programme, suivi d'une entrevue à un centre de l'enregistrement par un agent du CBP et de l'ASFC pour finaliser l'enregistrement.",2018,,TRUE,,ENABLED,ENABLED,ENABLED,ENABLED,NA,ENABLED,No online issuance available as clients are issued a NEXUS card.,"Aucune émission en ligne n'est disponible, car les clients reçoivent une carte NEXUS.",,,External Service,Service externe,external,"Agreements, Permissions, Inspections, Rulings<>High Volume Regulatory Transactions (HVRT)","Accords, autorisations, inspections, décisions<>Transaction réglementaires à demande élevée (TRDE)",reg<>reg_vol,Priority Service,Service prioritaire,priority,TGC001<>TGC006,Economic Segments<>Persons,Segments économiques<>Étiquettes associées aux personnes,BUF07,Email<>Online,Par courriel<>En ligne,email<>online,,,,,,,,,
2019,26,Canada Border Services Agency,Agence des services frontaliers du Canada,CBSA,664,NEXUS Program Application,Traitement des demandes de participation au programme NEXUS,"To participate in the NEXUS Program, an applicant must submit, along with the requisite application fee, either an online application through the  new Trusted Traveller Programs Portal that is operated by US Customs and Border Protection (CBP), or a paper application to the CBSA, which will process the application through one of its Canadian Processing Centres (either in Montreal, QC, or Niagara Falls, ON). The application processing involves a risk assessment of the clients by both the US CBP and the CBSA to determine whether they meet the requirements to participate in the program, followed by an interview at an enrolment center by CBP and CBSA officers to finalize enrolment.","Pour participer au programme NEXUS, le demandeur doit soumettre, avec les frais exigés, soit une demande en ligne au moyen du Global Online Enrollment System (GOES) exploité par le Customs and Border Protection (CBP) des États-Unis, soit une demande papier à l'Agence des services frontaliers du Canada, laquelle traitera la demande dans l'un des Centres de traitement canadien (soit à Montréal, QC, ou à Niagara Falls, ON). Le traitement de la demande comprend une évaluation des risques du demandeur par le CBP des États-Unis et par l'ASFC pour déterminer s'il répond aux exigences du programme, suivi d'une entrevue à un centre de l'enregistrement par un agent du CBP et de l'ASFC pour finaliser l'enregistrement.",2018,,TRUE,,ENABLED,ENABLED,ENABLED,ENABLED,NA,ENABLED,No online issuance available as clients are issued a NEXUS card.,"Aucune émission en ligne n'est disponible, car les clients reçoivent une carte NEXUS.",,,External Service,Service externe,external,"Agreements, Permissions, Inspections, Rulings<>High Volume Regulatory Transactions (HVRT)","Accords, autorisations, inspections, décisions<>Transaction réglementaires à demande élevée (TRDE)",reg<>reg_vol,Priority Service,Service prioritaire,priority,TGC001<>TGC006,Economic Segments<>Persons,Segments économiques<>Étiquettes associées aux personnes,BUF07,Email<>Online,Par courriel<>En ligne,email<>online,Other,Autre,other,,,,,,
2018,26,Canada Border Services Agency,Agence des services frontaliers du Canada,CBSA,665,CANPASS Suite of Programs Application,Traitement des demandes de participation à la suite de programmes CANPASS,"To participate in one of the CANPASS Programs (Private Aircraft/Corporate Aircraft), an applicant must submit a paper application, along with the requisite application fee, to the CBSA, which will process the application through one of its Canadian Processing Centres (Surrey, BC, Montreal, QC, and Niagara Falls, ON). The application processing involves a risk assessment of the clients to determine whether they meet the requirements to participate in the applied-for program.","Pour participer à l'un des programmes CANPASS (CANPASS Aéronef privé/Aéronef d'affaires), le demandeur doit soumettre une demande papier avec les frais exigés à l'Agence des services frontaliers du Canada, laquelle traitera la demande dans l'un des Centres de traitement canadiens (Surrey, C.-B.; Montréal, QC; et Niagara Falls, ON).  Le traitement de la demande comprend une évaluation des risques du demandeur pour déterminer s'il répond aux exigences du programme qui fait l'objet de la demande",2018,,TRUE,,NA,NOT_ENABLED,NOT_ENABLED,NOT_ENABLED,NOT_ENABLED,NOT_ENABLED,Service not available online.,Service non disponible en ligne.,,,External Service,Service externe,external,"Agreements, Permissions, Inspections, Rulings<>High Volume Regulatory Transactions (HVRT)","Accords, autorisations, inspections, décisions<>Transaction réglementaires à demande élevée (TRDE)",reg<>reg_vol,None,Aucun,none,TGC006,Persons,Étiquettes associées aux personnes,BUF07,Email<>Online,Par courriel<>En ligne,email<>online,,,,,,,,,
2019,26,Canada Border Services Agency,Agence des services frontaliers du Canada,CBSA,665,CANPASS Suite of Programs Application,Traitement des demandes de participation à la suite de programmes CANPASS,"To participate in one of the CANPASS Programs (Private Aircraft/Corporate Aircraft), an applicant must submit a paper application, along with the requisite application fee, to the CBSA, which will process the application through one of its Canadian Processing Centres (Surrey, BC, Montreal, QC, and Niagara Falls, ON). The application processing involves a risk assessment of the clients to determine whether they meet the requirements to participate in the applied-for program.","Pour participer à l'un des programmes CANPASS (CANPASS Aéronef privé/Aéronef d'affaires), le demandeur doit soumettre une demande papier avec les frais exigés à l'Agence des services frontaliers du Canada, laquelle traitera la demande dans l'un des Centres de traitement canadiens (Surrey, C.-B.; Montréal, QC; et Niagara Falls, ON).  Le traitement de la demande comprend une évaluation des risques du demandeur pour déterminer s'il répond aux exigences du programme qui fait l'objet de la demande",2018,,TRUE,,NA,NOT_ENABLED,NOT_ENABLED,NOT_ENABLED,NOT_ENABLED,NOT_ENABLED,Service not available online.,Service non disponible en ligne.,,,External Service,Service externe,external,"Agreements, Permissions, Inspections, Rulings<>High Volume Regulatory Transactions (HVRT)","Accords, autorisations, inspections, décisions<>Transaction réglementaires à demande élevée (TRDE)",reg<>reg_vol,None,Aucun,none,TGC006,Persons,Étiquettes associées aux personnes,BUF07,Email<>Online,Par courriel<>En ligne,email<>online,,,,,,,,,
2018,26,Canada Border Services Agency,Agence des services frontaliers du Canada,CBSA,666,Remote Area Border Crossing (RABC) Permit Application,Permis de Passage à la frontiète dans les régions éloignées (PFRE),"The RABC program facilitates the border clearance process for individuals wishing to cross the border into Canada in the following remote areas:
•from Pigeon River, ON, through to and including Lake of the Woods;
•the Canadian shore of Lake Superior;
•Cockburn Island, ON;
•Sault Ste. Marie, ON, (upper lock system).
The RABC permit applications can be submitted by mail to the Thunder Bay CBSA office or in person at one of five POEs: Fort Frances, Rainy River, Pigeon River, Sault Ste. Marie, and Emerson West Lynne. Applications are processed in Thunder Bay.","Le programme de passage à la frontière dans les régions éloignées (PFRE) facilite les formalités douanières pour les personnes qui souhaitent traverser la frontière canadienne dans les régions éloignées suivantes :
• la zone s’étendant de Pigeon River, en Ontario, jusqu’au lac des Bois inclusivement;
• la rive canadienne du lac Supérieur;
• l’île Cockburn en Ontario;
• Sault Ste. Marie en Ontario (système des écluses en amont).
Les demandes de permis dans le cadre du programme de PFRE peuvent être présentées par courrier au bureau de l’ASFC à Thunder Bay ou en personne à l’un des cinq bureaux d’entrée suivants : Fort Frances, Rainy River, Pigeon River,  Sault Ste. Marie et Emerson West Lynne. Les demandes sont traitées à Thunder Bay.",2018,,TRUE,,NA,NOT_ENABLED,NOT_ENABLED,NOT_ENABLED,NOT_ENABLED,NOT_ENABLED,Service not available online.,Service non disponible en ligne.,,,External Service,Service externe,external,"Agreements, Permissions, Inspections, Rulings","Accords, autorisations, inspections, décisions",reg,None,Aucun,none,TGC006,Persons,Étiquettes associées aux personnes,BUF07,Email<>Online,Par courriel<>En ligne,email<>online,,,,,,,,,
2019,26,Canada Border Services Agency,Agence des services frontaliers du Canada,CBSA,666,Remote Area Border Crossing (RABC) Permit Application,Permis de Passage à la frontiète dans les régions éloignées (PFRE),"The RABC program facilitates the border clearance process for individuals wishing to cross the border into Canada in the following remote areas:
•from Pigeon River, ON, through to and including Lake of the Woods;
•the Canadian shore of Lake Superior;
•Cockburn Island, ON;
•Sault Ste. Marie, ON, (upper lock system).
The RABC permit applications can be submitted by mail to the Thunder Bay CBSA office or in person at one of five POEs: Fort Frances, Rainy River, Pigeon River, Sault Ste. Marie, and Emerson West Lynne. Applications are processed in Thunder Bay.","Le programme de passage à la frontière dans les régions éloignées (PFRE) facilite les formalités douanières pour les personnes qui souhaitent traverser la frontière canadienne dans les régions éloignées suivantes :
• la zone s’étendant de Pigeon River, en Ontario, jusqu’au lac des Bois inclusivement;
• la rive canadienne du lac Supérieur;
• l’île Cockburn en Ontario;
• Sault Ste. Marie en Ontario (système des écluses en amont).
Les demandes de permis dans le cadre du programme de PFRE peuvent être présentées par courrier au bureau de l’ASFC à Thunder Bay ou en personne à l’un des cinq bureaux d’entrée suivants : Fort Frances, Rainy River, Pigeon River,  Sault Ste. Marie et Emerson West Lynne. Les demandes sont traitées à Thunder Bay.",2018,,TRUE,,NA,NOT_ENABLED,NOT_ENABLED,NOT_ENABLED,NOT_ENABLED,NOT_ENABLED,Service not available online.,Service non disponible en ligne.,,,External Service,Service externe,external,"Agreements, Permissions, Inspections, Rulings","Accords, autorisations, inspections, décisions",reg,None,Aucun,none,TGC006,Persons,Étiquettes associées aux personnes,BUF07,Email<>Online,Par courriel<>En ligne,email<>online,,,,,,,,,
2018,26,Canada Border Services Agency,Agence des services frontaliers du Canada,CBSA,667,Free and Secure Trade Program (FAST) Driver Application,Traitement des demandes de participation au programme Expéditions rapides et sécuritaires (EXPRES),"To participate in the FAST Program, an applicant must submit, along with the requisite application fee, either an online application through the new Trusted Traveller Programs Portal that is operated by US Customs and Border Protection (CBP), or a paper application to the CBSA, which will process the application through its Canadian Processing Centre in Niagara Falls, ON. Only drivers have to submit an application form and fees. Importers and carriers must be approved in the CSA program and must have signed a PIP memorandum of understanding to be eligible for FAST. The application processing involves a risk assessment of the applicant, carrier and importer by both the US CBP and the CBSA to determine whether they meet the requirements to participate in the program, followed by an interview at an enrolment center by CBP and CBSA officers to finalize enrolment.","Pour participer au programme EXPRES, le demandeur doit soumettre, avec les frais exigés, soit une demande en ligne au moyen du Trusted Traveler Programs (TTP) System exploité par le Customs and Border Protection (CBP) des États-Unis, soit une demande papier à l'Agence des services frontaliers du Canada, laquelle traitera la demande au Centre de traitement canadien à Niagara Falls (ON). Seulement les chauffeurs doivent soumettre un formulaire de demande de participation et les frais de traitement. Les transporteurs et importateurs canadiens sont automatiquement approuvés pour le programme EXPRES lorsqu'ils deviennent des membres approuvés des programmes d'autocotisation des douanes (PAD) et partenaires en protection (PEP).  Le traitement de la demande comprend une évaluation des risques du demandeur, transporteur et importateur par le CBP des États-Unis et par l'ASFC pour déterminer s'il répond aux exigences pour participer au programme, suivi d'une entrevue à un centre de l'enregistrement par un agent du CBP ou de l'ASFC pour finaliser l'enregistrement.",2018,,TRUE,,ENABLED,ENABLED,ENABLED,ENABLED,NA,NOT_ENABLED,No online issuance available as clients are issued a FAST card.,"Aucune émission en ligne n'est disponible, car les clients reçoivent une carte EXPRES.",,,External Service,Service externe,external,"Agreements, Permissions, Inspections, Rulings<>High Volume Regulatory Transactions (HVRT)","Accords, autorisations, inspections, décisions<>Transaction réglementaires à demande élevée (TRDE)",reg<>reg_vol,Priority Service,Service prioritaire,priority,TGC006,Persons,Étiquettes associées aux personnes,BUF07,Email<>Online,Par courriel<>En ligne,email<>online,,,,,,,,,
2019,26,Canada Border Services Agency,Agence des services frontaliers du Canada,CBSA,667,Free and Secure Trade Program (FAST) Driver Application,Traitement des demandes de participation au programme Expéditions rapides et sécuritaires (EXPRES),"To participate in the FAST Program, an applicant must submit, along with the requisite application fee, either an online application through the new Trusted Traveller Programs Portal that is operated by US Customs and Border Protection (CBP), or a paper application to the CBSA, which will process the application through its Canadian Processing Centre in Niagara Falls, ON. Only drivers have to submit an application form and fees. Importers and carriers must be approved in the CSA program and must have signed a PIP memorandum of understanding to be eligible for FAST. The application processing involves a risk assessment of the applicant, carrier and importer by both the US CBP and the CBSA to determine whether they meet the requirements to participate in the program, followed by an interview at an enrolment center by CBP and CBSA officers to finalize enrolment.","Pour participer au programme EXPRES, le demandeur doit soumettre, avec les frais exigés, soit une demande en ligne au moyen du Trusted Traveler Programs (TTP) System exploité par le Customs and Border Protection (CBP) des États-Unis, soit une demande papier à l'Agence des services frontaliers du Canada, laquelle traitera la demande au Centre de traitement canadien à Niagara Falls (ON). Seulement les chauffeurs doivent soumettre un formulaire de demande de participation et les frais de traitement. Les transporteurs et importateurs canadiens sont automatiquement approuvés pour le programme EXPRES lorsqu'ils deviennent des membres approuvés des programmes d'autocotisation des douanes (PAD) et partenaires en protection (PEP).  Le traitement de la demande comprend une évaluation des risques du demandeur, transporteur et importateur par le CBP des États-Unis et par l'ASFC pour déterminer s'il répond aux exigences pour participer au programme, suivi d'une entrevue à un centre de l'enregistrement par un agent du CBP ou de l'ASFC pour finaliser l'enregistrement.",2018,,TRUE,,ENABLED,ENABLED,ENABLED,ENABLED,NA,ENABLED,No online issuance available as clients are issued a FAST card.,"Aucune émission en ligne n'est disponible, car les clients reçoivent une carte EXPRES.",,,External Service,Service externe,external,"Agreements, Permissions, Inspections, Rulings<>High Volume Regulatory Transactions (HVRT)","Accords, autorisations, inspections, décisions<>Transaction réglementaires à demande élevée (TRDE)",reg<>reg_vol,Priority Service,Service prioritaire,priority,TGC006,Persons,Étiquettes associées aux personnes,BUF07,Email<>Online,Par courriel<>En ligne,email<>online,Other,Autre,other,,,,,,
2018,26,Canada Border Services Agency,Agence des services frontaliers du Canada,CBSA,668,Commercial Driver Registration Program (CDRP) Application,Traitement des demandes du Programme d'inscription des chauffeurs du secteur commercial (PICSC),"To participate in the CDRP, a client must submit a paper application to the CBSA, which will process the application through its Canadian Processing Centre in Niagara Falls, ON. The application processing involves a risk assessment of the clients to determine whether they meet the requirements to participate in the program.","Pour participer au PICSC, le demandeur doit soumettre une demande papier à l'Agence des services frontaliers du Canada, laquelle traitera la demande au Centre de traitement canadien à Niagara Falls (ON). Le traitement de la demande comprend une évaluation des risques du demandeur pour déterminer s'il répond aux exigences du programme.",2018,,FALSE,,NA,NOT_ENABLED,NOT_ENABLED,NOT_ENABLED,NOT_ENABLED,NOT_ENABLED,Service not available online.,Service non disponible en ligne.,,,External Service,Service externe,external,"Agreements, Permissions, Inspections, Rulings<>High Volume Regulatory Transactions (HVRT)","Accords, autorisations, inspections, décisions<>Transaction réglementaires à demande élevée (TRDE)",reg<>reg_vol,None,Aucun,none,TGC006,Persons,Étiquettes associées aux personnes,BUF07,Email<>Online,Par courriel<>En ligne,email<>online,,,,,,,,,
2019,26,Canada Border Services Agency,Agence des services frontaliers du Canada,CBSA,668,Commercial Driver Registration Program (CDRP) Application,Traitement des demandes du Programme d'inscription des chauffeurs du secteur commercial (PICSC),"To participate in the CDRP, a client must submit a paper application to the CBSA, which will process the application through its Canadian Processing Centre in Niagara Falls, ON. The application processing involves a risk assessment of the clients to determine whether they meet the requirements to participate in the program.","Pour participer au PICSC, le demandeur doit soumettre une demande papier à l'Agence des services frontaliers du Canada, laquelle traitera la demande au Centre de traitement canadien à Niagara Falls (ON). Le traitement de la demande comprend une évaluation des risques du demandeur pour déterminer s'il répond aux exigences du programme.",2018,,FALSE,,NA,NOT_ENABLED,NOT_ENABLED,NOT_ENABLED,NOT_ENABLED,NOT_ENABLED,Service not available online.,Service non disponible en ligne.,,,External Service,Service externe,external,"Agreements, Permissions, Inspections, Rulings<>High Volume Regulatory Transactions (HVRT)","Accords, autorisations, inspections, décisions<>Transaction réglementaires à demande élevée (TRDE)",reg<>reg_vol,None,Aucun,none,TGC006,Persons,Étiquettes associées aux personnes,BUF07,Email<>Online,Par courriel<>En ligne,email<>online,,,,,,,,,
2018,26,Canada Border Services Agency,Agence des services frontaliers du Canada,CBSA,669,Highway Traveller Processing,Traitement primaire des voyageurs - mode routier,The CBSA receives and processes travellers entering and exiting at Canadian POEs via highway mode.,Traitement primaire des voyageurs dans le mode routier.,2018,,FALSE,,NA,NA,NA,NA,NA,NA,Section 11 of the Customs Act requires persons entering Canada to present themselves to a CBSA officer.  No online services available.,L'article 11 de la Loi sur les douanes oblige les personnes entrant au Canada à se présenter à un agent de l'ASFC.  Aucun service en ligne disponible.,,,External Service,Service externe,external,"Agreements, Permissions, Inspections, Rulings","Accords, autorisations, inspections, décisions",reg,Essential Service<>Priority Service,Service essentiel<>Service prioritaire,essential<>priority,TGC006,Persons,Étiquettes associées aux personnes,BUF04,Email<>Online,Par courriel<>En ligne,email<>online,,,,,,,,,
2019,26,Canada Border Services Agency,Agence des services frontaliers du Canada,CBSA,669,Highway Traveller Processing,Traitement primaire des voyageurs - mode routier,The CBSA receives and processes travellers entering and exiting at Canadian POEs via highway mode.,Traitement primaire des voyageurs dans le mode routier.,2018,,FALSE,,NA,NA,NA,NA,NA,NA,Section 11 of the Customs Act requires persons entering Canada to present themselves to a CBSA officer.  No online services available.,L'article 11 de la Loi sur les douanes oblige les personnes entrant au Canada à se présenter à un agent de l'ASFC.  Aucun service en ligne disponible.,,,External Service,Service externe,external,"Agreements, Permissions, Inspections, Rulings","Accords, autorisations, inspections, décisions",reg,Essential Service<>Priority Service,Service essentiel<>Service prioritaire,essential<>priority,TGC006,Persons,Étiquettes associées aux personnes,BUF04,Email<>Online,Par courriel<>En ligne,email<>online,,,,,,,,,
2018,26,Canada Border Services Agency,Agence des services frontaliers du Canada,CBSA,670,Air Traveller Processing,Traitement primaire des voyageurs - mode aérien,The CBSA receives and processes travellers entering at Canadian POEs via air mode.,Traitement primaire des voyageurs dans le mode aérien.,2018,,FALSE,2016,NA,NA,NA,NA,NA,NA,Section 11 of the Customs Act requires persons entering Canada to present themselves to a CBSA officer.  No online services available.,L'article 11 de la Loi sur les douanes oblige les personnes entrant au Canada à se présenter à un agent de l'ASFC.  Aucun service en ligne disponible.,,,External Service,Service externe,external,"Agreements, Permissions, Inspections, Rulings","Accords, autorisations, inspections, décisions",reg,Essential Service<>Priority Service,Service essentiel<>Service prioritaire,essential<>priority,TGC006,Persons,Étiquettes associées aux personnes,BUF04,Email<>Online,Par courriel<>En ligne,email<>online,,,,,,,,,
2019,26,Canada Border Services Agency,Agence des services frontaliers du Canada,CBSA,670,Air Traveller Processing,Traitement primaire des voyageurs - mode aérien,The CBSA receives and processes travellers entering at Canadian POEs via air mode.,Traitement primaire des voyageurs dans le mode aérien.,2018,,FALSE,2016,NA,NA,NA,NA,NA,NA,Section 11 of the Customs Act requires persons entering Canada to present themselves to a CBSA officer.  No online services available.,L'article 11 de la Loi sur les douanes oblige les personnes entrant au Canada à se présenter à un agent de l'ASFC.  Aucun service en ligne disponible.,,,External Service,Service externe,external,"Agreements, Permissions, Inspections, Rulings","Accords, autorisations, inspections, décisions",reg,Essential Service<>Priority Service,Service essentiel<>Service prioritaire,essential<>priority,TGC006,Persons,Étiquettes associées aux personnes,BUF04,Email<>Online,Par courriel<>En ligne,email<>online,,,,,,,,,
2018,26,Canada Border Services Agency,Agence des services frontaliers du Canada,CBSA,671,Rail Traveller Processing,Traitement primaire des voyageurs - mode ferroviaire,The CBSA receives and processes travellers entering at Canadian POEs via rail mode.,Traitement primaire des voyageurs dans le mode ferroviaire,2018,,FALSE,,NA,NA,NA,NA,NA,NA,Service not available online.,Service non disponible en ligne.,,,External Service,Service externe,external,"Agreements, Permissions, Inspections, Rulings","Accords, autorisations, inspections, décisions",reg,Essential Service,Service essentiel,essential,TGC006,Persons,Étiquettes associées aux personnes,BUF04,Email,Par courriel,email,,,,,,,,,
2019,26,Canada Border Services Agency,Agence des services frontaliers du Canada,CBSA,671,Rail Traveller Processing,Traitement primaire des voyageurs - mode ferroviaire,The CBSA receives and processes travellers entering at Canadian POEs via rail mode.,Traitement primaire des voyageurs dans le mode ferroviaire,2018,,FALSE,,NA,NA,NA,NA,NA,NA,Service not available online.,Service non disponible en ligne.,,,External Service,Service externe,external,"Agreements, Permissions, Inspections, Rulings","Accords, autorisations, inspections, décisions",reg,Essential Service,Service essentiel,essential,TGC006,Persons,Étiquettes associées aux personnes,BUF04,Email<>Online<>In-Person,Par courriel<>En ligne<>En personne,email<>online<>person,,,,,,,,,
2018,26,Canada Border Services Agency,Agence des services frontaliers du Canada,CBSA,672,Marine Traveller Processing,Traitement primaire des voyageurs - mode maritime,The CBSA receives and processes travellers entering at Canadian POEs via marine mode.,Traitement primaire des voyageurs dans le mode maritime.,2018,,FALSE,,NA,NA,NA,NA,NA,NA,Service not available online.,Service non disponible en ligne.,,,External Service,Service externe,external,"Agreements, Permissions, Inspections, Rulings","Accords, autorisations, inspections, décisions",reg,Essential Service,Service essentiel,essential,TGC006,Persons,Étiquettes associées aux personnes,BUF04,Email<>Online,Par courriel<>En ligne,email<>online,,,,,,,,,
2019,26,Canada Border Services Agency,Agence des services frontaliers du Canada,CBSA,672,Marine Traveller Processing,Traitement primaire des voyageurs - mode maritime,The CBSA receives and processes travellers entering at Canadian POEs via marine mode.,Traitement primaire des voyageurs dans le mode maritime.,2018,,FALSE,,NA,NA,NA,NA,NA,NA,Service not available online.,Service non disponible en ligne.,,,External Service,Service externe,external,"Agreements, Permissions, Inspections, Rulings","Accords, autorisations, inspections, décisions",reg,Essential Service,Service essentiel,essential,TGC006,Persons,Étiquettes associées aux personnes,BUF04,Email<>Online<>In-Person<>Telephone,Par courriel<>En ligne<>En personne<>Par téléphone,email<>online<>person<>tel,,,,,,,,,
2018,26,Canada Border Services Agency,Agence des services frontaliers du Canada,CBSA,673,Immigration Secondary (Temporary Resident Program)- Visitor,Immigration secondarie (Programme des résidents temporaires) Visiteur,The Temporary Resident- Visitor applications processing at Canadian POEs.,Traitement des demandes de visiteurs - résidents temporaires  dans les points d’entrée canadiens.,2018,,TRUE,,NA,NOT_ENABLED,NOT_ENABLED,NOT_ENABLED,NOT_ENABLED,NOT_ENABLED,"In 2018-2019, Visitor Record processing was conducted in-person only.","En 2018-2019, le traitement des demandes de visiteur a été effectué en personne seulement.",,,External Service,Service externe,external,"Agreements, Permissions, Inspections, Rulings","Accords, autorisations, inspections, décisions",reg,Essential Service,Service essentiel,essential,TGC006,Persons,Étiquettes associées aux personnes,BUF04,Email<>Online,Par courriel<>En ligne,email<>online,,,,,,,,,
2019,26,Canada Border Services Agency,Agence des services frontaliers du Canada,CBSA,673,Immigration Secondary (Temporary Resident Program)- Visitor,Immigration secondarie (Programme des résidents temporaires) Visiteur,The Temporary Resident- Visitor applications processing at Canadian POEs.,Traitement des demandes de visiteurs - résidents temporaires  dans les points d’entrée canadiens.,2018,,TRUE,,NA,NOT_ENABLED,NOT_ENABLED,NOT_ENABLED,NOT_ENABLED,NOT_ENABLED,Section 11 of the Customs Act requires persons entering Canada to present themselves to a CBSA officer.  No online services available.,L'article 11 de la Loi sur les douanes oblige les personnes entrant au Canada à se présenter à un agent de l'ASFC.  Aucun service en ligne disponible.,,,External Service,Service externe,external,"Agreements, Permissions, Inspections, Rulings","Accords, autorisations, inspections, décisions",reg,Essential Service,Service essentiel,essential,TGC006,Persons,Étiquettes associées aux personnes,BUF04,Email<>Online,Par courriel<>En ligne,email<>online,,,,,,,,,
