"ProgElemID","ParentID","Name_EN","Description_EN","Active"
"ORL-ISS00","ORL","Internal Services","Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of the ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department. These services are Acquisition Management Services, Communications Services, Financial Management Services, Human Resources Management Services, Information Management Services, Information Technology Services, Legal Services, Materiel Management Services, Management and Oversight Services, Real Property Management Services.",1
"ORL-SO0891","ORL","Ensure transparency and accountability in the lobbying of public office holders in order to contribute to confidence in the integrity of government decision making","",0
"ORL-SO1999","ORL","Internal Services","",0
"OSEO-SO1191","OSEO","Senators meet their obligations under the Conflict of Interest Code in a manner that contributes to the integrity of the Senate as an institution","",1
"OSFI-SO0971","OSFI","A financially sound and sustainable Canadian public retirement income system","",1
"OSFI-SO0972","OSFI","A safe and sound Canadian financial system","",1
"OSFI-SO1999","OSFI","Internal Services","",1
"PACS-SO1061","PACS","To ensure fair and competency-based processes are in place for the recruitment and selection of qualified individuals for Governor-in-Council appointments across agencies, boards, commissions and Crown Corporations","",0
"PACS-SO1999","PACS","Internal Services","",0
"PCA-SO1001","PCA","Canadians have a strong sense of connection to their national parks, national historic sites, heritage canals, and national marine conservation areas and these protected places are experienced in ways that leave them unimpaired for the enjoyment of present and future generations","",1
"PCA-SO1999","PCA","Internal Services","",1
"PCC-SO1171","PCC","Public Confidence in the Royal Canadian Mounted Police","",1
"PCC-SO1999","PCC","Internal Services","",1
"PCO-SO1051","PCO","The Government's agenda and decision making are supported and implemented and the institutions of government are supported and maintained","",1
"PCO-SO1999","PCO","Internal Services","",1
"PHAC-SO1071","PHAC","Protecting Canadians and empowering them to improve their health","",1
"PHAC-SO1072","PHAC","Canada is able to promote health, reduce health inequalities, and prevent and mitigate disease and injury","",0
"PHAC-SO1999","PHAC","Internal Services","",1
"PMPRB-SO1031","PMPRB","Canadians are protected from excessive prices for patented medicines sold in Canada and stakeholders are informed on pharmaceutical trends","",1
"PMPRB-SO1999","PMPRB","Internal Services","",1
"PPP-SO1041","PPP","Transform Canada into a leader for public-private partnerships (P3)","",1
"PPS-SO1011","PPS","Physical security of Parliamentarians, employees, visitors, the premises or parts of premises that form part of the parliamentary Precinct and any assets located within or events that take place therein, and of Parliament Hill","",1
"PSC-SO1091","PSC","A highly competent, non-partisan and representative public service, able to provide service in both official languages, in which appointments are based on merit and the values of fairness, access, representativeness and transparency","",1
"PSC-SO1999","PSC","Internal Services","",1
"PSEP-SO1081","PSEP","A safe and resilient Canada","",1
"PSEP-SO1999","PSEP","Internal Services","",1
"PSSRB-SO1101","PSSRB","Resolution of labour relations issues in the federal public service and in Parliament in an impartial manner","",0
"PSSRB-SO1999","PSSRB","Internal Services","",0
"PSST-SO1111","PSST","Fair and impartial resolution of disputes related to internal appointments and lay offs in the federal public service","",0
"PSST-SO1999","PSST","Internal Services","",0
"RCMP-SO1155","RCMP","Canada's police provide international collaboration and assistance while maintaining a rich police heritage nationally","",1
"RCMP-SO1156","RCMP","Criminal activity affecting Canadians is reduced","",1
"RCMP-SO1157","RCMP","Incomes are secure for RCMP members and their survivors affected by disability or death","",1
"RCMP-SO1999","RCMP","Internal Services","",1
"RPSDP-SO1112","RPSDP","Fair and impartial resolution of disputes related to internal appointments and lay offs in the federal public service","",0
"RSCT-SO1141","RSCT","Efficient administration of the Specific Claims Tribunal","",0
"RSCT-SO1999","RSCT","Internal Services","",0
"SC-SO1231","SC","Canadians have access to timely, relevant and quality statistical information on Canada's changing economy and society for informed debate, research and decision making on social and economic issues","",1
"SC-SO1241","SC","Specific client needs for high-quality and timely statistical services are met","",1
"SC-SO1999","SC","Internal Services","",1
"SCA-SO1221","SCA","Canada has an effective and efficient National Standards System","",1
"SCC-SO1251","SCC","The administration of Canada's final court of appeal is effective and independent","",1
"SCC-SO1999","SCC","Internal Services","",1
"SEN-SO1281","SEN","To provide the best possible environment for Senators to effectively contribute to federal legislation and public policy issues in the best interest of all Canadians","",1
"SEN-SO1282","SEN","To enable the Senate to carry out its constitutional role and to administer the affairs of the Senate","",0
"SHARE-SO1201","SHARE","Modern, reliable, secure and cost-effective information technology (IT) infrastructure services to support government priorities and program delivery","",1
"SHARE-SO1999","SHARE","Internal Services","",1
"SIRC-SO1181","SIRC","Canadian Security Intelligence Service performs its duties and functions in accordance with the law, policy and ministerial direction","",1
"SIRC-SO1999","SIRC","Internal Services","",1
"SSHRC-SO1211","SSHRC","Canada has the institutional capacity to enable research and research-related activities in social sciences and humanities, natural sciences and engineering and health","",1
"SSHRC-SO1212","SSHRC","Canada is a world leader in social sciences and humanities research and research training","",1
"SSHRC-SO1213","SSHRC","Research: New knowledge based on excellent research in the social sciences and humanities","",0
"SSHRC-SO1214","SSHRC","Knowledge mobilization: Facilitating the use of social sciences and humanities knowledge within and beyond academia","",0
"SSHRC-SO1999","SSHRC","Internal Services","",1
"SWC-SO0931","SWC","Equality between women and men is promoted and advanced in Canada","",1
"SWC-SO0932","SWC","Equality for women and their full participation in the economic, social and democratic life of Canada","",0
"SWC-SO1999","SWC","Internal Services","",1
"TBC-BXA00","TBC","Spending Oversight","Review spending proposals and authorities; review existing and proposed government programs for efficiency, effectiveness and relevance; provide information to Parliament and Canadians on government spending.",1
"TBC-BXB00","TBC","Administrative Leadership","Lead government-wide initiatives; develop policies and set the strategic direction for government administration related to service delivery and access to government information, as well as the management of assets, finances, information and technology.",1
"TBC-BXC00","TBC","Employer","Develop policies and set the strategic direction for people management in the public service; manage total compensation (including pensions and benefits) and labour relations; undertake initiatives to improve performance in support of recruitment and retention objectives.",1
"TBC-BXD00","TBC","Regulatory Oversight","Develop and oversee policies to promote good regulatory practices, review proposed regulations to ensure they adhere to the requirements of Government policy, and advance regulatory cooperation across jurisdictions.",1
"TBC-ISS00","TBC","Internal Services","Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of the ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department. These services are Acquisition Management Services, Communications Services, Financial Management Services, Human Resources Management Services, Information Management Services, Information Technology Services, Legal Services, Materiel Management Services, Management and Oversight Services, Real Property Management Services.",1
"TBC-SO1311","TBC","Government is well managed and accountable, and resources are allocated to achieve results","",0
"TBC-SO1312","TBC","Good governance and sound stewardship to enable efficient and effective service to Canadians","",0
"TBC-SO1999","TBC","Internal Services","",0
"TC-SO1291","TC","A Clean Transportation System","",1
"TC-SO1292","TC","A Safe and Secure Transportation System","",1
"TC-SO1293","TC","An Efficient Transportation System","",1
"TC-SO1999","TC","Internal Services","",1
"TOUR-SO0381","TOUR","Canadian economy benefits from strong tourism demand from Canadian Tourism Commission's markets","",1
"TRC-SO0651","TRC","Disclosure and recognition of the truth regarding Indian Residential Schools furthers healing and reconciliation for the individuals and communities affected","",0
"TRC-SO1999","TRC","Internal Services","",0
"VAC-SO1321","VAC","Canadians remember and demonstrate their recognition of all those who served in Canada's efforts during war, military conflict and peace","",1
"VAC-SO1322","VAC","Financial, physical and mental well being of eligible Veterans","",1
"VAC-SO1323","VAC","Veterans' rights to services and benefits that address their needs are considered by the Veterans Affairs Portfolio","",1
"VAC-SO1324","VAC","Well-being of eligible Veterans and other clients","",0
"VAC-SO1999","VAC","Internal Services","",1
"VIA-SO1341","VIA","A national passenger rail transportation service that is safe, secure, efficient, reliable, and environmentally sustainable and that meets the needs of travellers in Canada","",1
"VRAB-SO1331","VRAB","An independent and fair appeal process for disability pension, award and allowance decisions made by Veterans Affairs Canada","",1
"WDBA-SO1361","WDBA","A safe, secure, and efficient international crossing for commercial and passenger traffic across the Windsor-Detroit Bridge","",1
"WDO-SO1351","WDO","A growing and diversified western Canadian economy","",1
"WDO-SO1352","WDO","The western Canadian economy is developed and diversified","",0
"WDO-SO1999","WDO","Internal Services","",1

