"RMCID","ParentID","Title_fr","Description_fr","PlannedSpending1718","PlannedSpending1819","PlannedSpending1920","PlannedFTE1718","PlannedFTE1819","PlannedFTE1920","ExpNoPlanSpend_FR","ExpSpendTrend_FR","ExpNoPlanFTE_FR","ExpFTETrend_FR","PlannedSpending1617","ActualSpending1617","Expl_Spending_fr","PlannedFTE1617","ActualFTE1617","Expl_FTE_fr"
"P1005-0102","EA-DAP00","Enfants et jeunes, y compris la santé des mères, des nouveau-nés et des enfants","Le sous-programme Enfants et jeunes, y compris la santé des mères, des nouveau-nés et des enfants contribue au bien-être et à l’autonomisation des enfants et des jeunes dans les pays en développement ciblés en permettant d’améliorer les résultats liés à la santé des filles et des garçons, d’augmenter le taux de réussite d’un cycle d’éducation de base de qualité, en particulier des filles, et d’accroître la protection des droits des filles et des garçons. Il y parvient en améliorant la santé des mères et des enfants, en favorisant l’accès équitable des enfants et des jeunes à une éducation de qualité et à des possibilités d’apprentissage, et en les protégeant contre la violence, l’exploitation et les abus. Les contributions ciblent les gouvernements des pays en développement, leurs institutions et organismes, les institutions de développement multilatéral et les organisations non gouvernementales. Ce sous-programme est financé par des fonds provenant des paiements de transfert du Programme d’aide au développement international, du programme Institutions financières internationales et du Mécanisme de garantie de marchés pour le programme de vaccin antipneumococcique.",954406636.00,1082448459.00,1063197167.00,307.00,307.00,307.00,"","Les dépenses prévues de 2017-2018 à 2018-2019 ont augmenté de 128,0 M$. L’écart (+13 %) est principalement attribuable au financement des programmes de santé des mères, des nouveau-nés et des enfants (108,0 M$).","","",995433209.00,1055001221.00,"",309.00,298.00,""
"P1005-0103","EA-DAP00","Sécurité alimentaire","Le sous-programme Sécurité alimentaire contribue à accroître la production et la productivité des petits exploitants agricoles, à renforcer les systèmes d’innovation agricole et à accroître la consommation d’aliments nutritifs ou de suppléments par les familles qui dépendent de l’aide alimentaire, sont sous-alimentées ou touchées par l’insécurité alimentaire. Ce sous-programme y parvient en améliorant le développement agricole durable à l’échelle locale, nationale et régionale, en offrant un financement plus souple, plus prévisible et fondé sur les besoins afin de répondre aux besoins urgents et à long terme en matière d’alimentation et de nutrition des populations les plus vulnérables, en particulier les femmes et les jeunes enfants, et en élargissant et approfondissant les recherches qui contribuent à améliorer sensiblement la sécurité alimentaire. Les contributions ciblent les gouvernements des pays en développement, leurs institutions et organismes, les institutions de développement multilatéral et les organisations non gouvernementales. Ce sous-programme est financé par des fonds provenant des paiements de transfert du Programme d’aide au développement international et du programme Institutions financières internationales.",417631025.00,412665315.00,412687980.00,140.00,140.00,140.00,"","","","",428445934.00,434194398.00,"",140.00,133.00,""
"P1005-0104","EA-DAP00","Assistance multisectorielle, développement social et engagement au développement","Le sous-programme Assistance multisectorielle, développement social et engagement au développement offre des services qui appuient les interventions ciblées d’autres programmes de développement et permet l’engagement continu des Canadiens en tant que citoyens du monde. À cette fin, le sous-programme assure la coordination de programmes complémentaires clés dans des domaines tels que l’assistance multisectorielle et le développement social, dont des programmes de santé qui ne visent pas les enfants et les jeunes, et l’égalité entre les sexes. Il veille aussi à l’engagement continu des Canadiens en tant que citoyens du monde grâce à des occasions d’apprentissage et d’échanges en lien avec le développement international. Les subventions ciblent les gouvernements nationaux, leurs institutions et organismes, les institutions multilatérales, les organisations non gouvernementales et des institutions canadiennes comme les collèges, les universités et les conseils de développement provinciaux. Ce sous-programme est financé par des fonds provenant des paiements de transfert du Programme d’aide au développement international et du programme Institutions financières internationales.",195378583.00,194710835.00,194867275.00,145.00,145.00,145.00,"","","","",197915867.00,211965929.00,"",143.00,134.00,""
"P1005-0105","EA-DAQ00","Programmation humanitaire","Le sous-programme Programmation humanitaire assure une réponse efficace et en temps opportun aux crises humanitaires dans les pays en développement. Il répond à des demandes d’aide précises et fournit aux populations touchées une protection et une assistance humanitaire fondées sur des besoins évalués. Il y parvient par l’entremise de partenaires d’assistance humanitaire expérimentés qui œuvrent dans le pays. Les subventions ciblent des organisations d’assistance humanitaire reconnues internationalement. Ce sous-programme est financé par des fonds provenant des paiements de transfert du Programme d’aide au développement international.",594256092.00,518136305.00,352513217.00,57.00,57.00,57.00,"","Les dépenses prévues de 2017-2018 à 2018-2019 ont diminué de 76,1 M$. L’écart (-13 %) est principalement attribuable au financement qui prend fin, comme celui versé dans le cadre de la Convention relative à l’assistance alimentaire (70,0 M$); le financement pourrait être renouvelé.



Les dépenses prévues de 2018 2019 à 2019 2020 ont diminué de 165,6 M$. L’écart ( 32 %) est principalement attribuable au financement des programmes qui prennent fin visant à gérer les crises en Irak et en Syrie et leurs conséquences dans la région (165,6 M$).","","",430353397.00,718320286.00,"L’écart est attribuable au financement reçu dans le cadre du budget supplémentaire des dépenses en vue de fournir une aide humanitaire essentielle pour répondre aux besoins des personnes touchées par les conflits en cours, p. ex. au Soudan du Sud, en Syrie et en Irak.",57.00,57.00,""
"P1005-0106","EA-DAQ00","Partenaires pour une assistance humanitaire","Le sous-programme Partenaires pour une assistance humanitaire améliore l’efficacité du système humanitaire international à mieux réagir aux crises humanitaires. Il y parvient en offrant un soutien institutionnel à long terme à des partenaires d’assistance humanitaire clés pour qu’ils améliorent leur efficacité et maintiennent leur préparation aux catastrophes dans un contexte mondial politique et environnemental qui évolue sans cesse. Les partenaires peuvent ainsi mieux remplir leur mandat et réaliser des résultats sur le terrain. Les subventions ciblent des partenaires d’assistance humanitaire tels que le Programme alimentaire mondial, la Banque canadienne des grains, le Comité international de la Croix-Rouge, le Haut-Commissariat des Nations Unies pour les réfugiés, le Bureau de la coordination des affaires humanitaires et le Fonds central d’intervention d’urgence des Nations Unies. Ce sous-programme est financé par des fonds provenant des paiements de transfert du Programme d’aide au développement international.",132187468.00,121045181.00,121046278.00,13.00,13.00,12.00,"","","","",131569217.00,133725564.00,"",12.00,12.00,""
"P1006-0001","FIN-BLH00","Fiscalité","Ce sous-programme fournit des analyses, des recherches et des conseils au ministre des Finances et au ministre d’État (Finances) pour qu’ils soient en mesure de prendre des décisions éclairées sur le programme en matière de politique fiscale du gouvernement du Canada. Le sous-programme vise l’impôt sur le revenu des particuliers, l’impôt sur le revenu tiré d’une entreprise, les taxes de vente et d’accise ainsi que la politique fiscale autochtone. Pour appuyer le programme en matière de politique fiscale du gouvernement, les cadres supérieurs du ministère des Finances fournissent des conseils et des recommandations afin d’améliorer la compétitivité, l’efficience, la simplicité et l’équité du régime fiscal tout en générant suffisamment de revenus pour financer les programmes et les priorités du gouvernement. Ce sous-programme permet d’élaborer et d’évaluer les politiques et les lois fiscales du gouvernement fédéral; il négocie des conventions fiscales internationales et des accords d’échange de renseignements fiscaux ainsi que les éléments fiscaux des revendications territoriales globales et des ententes visant l’autonomie gouvernementale avec les gouvernements autochtones. Le sous-programme examine aussi les questions de politique de l’impôt à l’échelle internationale, d’harmonisation et de coordination fiscale entre le gouvernement fédéral et les provinces, d’accords fédéraux-provinciaux de perception fiscale et de réciprocité fiscale, d’accords d’administration fiscale entre les gouvernements fédéral et autochtones ainsi que de recherche et d’évaluation concernant la politique de l’impôt.",19105070.00,19105070.00,19105070.00,147.00,147.00,147.00,"","","","",19837696.00,19001353.00,"",147.00,136.00,""
"P1006-0002","FIN-BLH00","Politiques économique et budgétaire, planification et prévisions","Ce sous-programme fournit des analyses, des recherches et des conseils aux ministres et aux cadres supérieurs pour qu’ils soient en mesure de prendre des décisions éclairées au regard du programme économique et budgétaire du gouvernement du Canada. Le sous-programme analyse la situation économique et financière du Canada, des provinces et d’autres pays; il fournit des conseils au sujet du cadre de la politique économique, du cadre de planification budgétaire et des priorités stratégiques du gouvernement; il surveille et prépare les prévisions sur la situation économique et financière du Canada; il joue un rôle directeur dans la gestion du cadre budgétaire du gouvernement, et il fournit du soutien analytique sur une vaste gamme de questions économiques et financières relativement aux politiques macroéconomiques et structurelles du gouvernement.",8891301.00,8891301.00,8891301.00,70.00,70.00,70.00,"","","","",8997638.00,9919602.00,"Les dépenses réelles étaient supérieures aux dépenses prévues étant donné que les fonds pour les dépenses publicitaires ont été reçus dans le cadre du Budget supplémentaire des dépenses.",70.00,67.00,""
"P1006-0003","FIN-BLH00","Politique du développement économique","Ce sous-programme fournit des analyses, des recherches et des conseils aux ministres et aux cadres supérieurs pour qu’ils soient en mesure de prendre des décisions éclairées au regard de l’incidence économique et budgétaire des politiques et des programmes microéconomiques et sectoriels. Le sous-programme permet au ministère des Finances Canada de remplir le rôle d’effectuer une analyse critique des enjeux des politiques microéconomiques et sectorielles en effectuant l’analyse des politiques et la recherche connexe au regard de l’incidence économique et budgétaire des politiques et des propositions économiques élaborées par d’autres ministères dans les secteurs de l’économie axée sur le savoir, du financement des entreprises, de la défense, des transports, de l’infrastructure publique, de l’environnement, de l’énergie et des ressources naturelles, de l’agriculture et des pêches. Ce sous-programme mène des recherches et fournit des analyses et des conseils au ministre des Finances et aux cadres supérieurs pour les aider à se préparer pour les réunions du Cabinet et de ses comités, le budget annuel et les mises à jour relativement à la situation financière. Par ailleurs, le sous-programme joue un rôle de premier plan lorsqu’il s’agit de présenter des conseils au gouvernement sur la gestion de ses actifs.",5590869.00,5590869.00,5590869.00,49.00,49.00,49.00,"","","","",5241836.00,5807744.00,"L’écart entre les dépenses réelles et prévues pour ce sous-programme s’explique par des exigences de personnel plus élevées que prévu pour faire face aux pressions découlant de la charge de travail considérablement accrue, en lien avec les principaux domaines prioritaires de politique gouvernementale.",40.00,46.00,"L’écart entre les ETP pour ce sous-programme s’explique par des exigences de personnel plus élevées que prévu pour faire face aux pressions découlant de la charge de travail considérablement accrue, en lien avec les principaux domaines prioritaires de politique gouvernementale."
"P1006-0004","FIN-BLH00","Relations fédérales-provinciales et politique sociale","Ce sous-programme se charge d’élaborer des arrangements fiscaux entre le Canada et les provinces et les territoires qui permettront de financer des priorités communes et de soutenir la prestation de services raisonnablement comparables à des taux d’imposition raisonnablement comparables d’un bout à l’autre du pays. Le sous-programme prépare les lois et les règlements relatifs aux transferts importants qui relèvent de la compétence du ministre des Finances. Ce sous-programme fournit également des analyses, des recherches et des conseils aux ministres et aux cadres supérieurs sur l’incidence économique et budgétaire des relations fédérales-provinciales et des politiques, des programmes et des enjeux sociaux. Le sous-programme remplit le rôle d’analyse critique qui incombe au ministère des Finances Canada en effectuant une analyse et des recherches stratégiques quant à l’incidence économique et budgétaire des politiques et des programmes sociaux se rapportant aux soins de santé, à l’immigration, à la justice ainsi qu’à la sécurité publique, à l’assurance-emploi et aux pensions, à l’enseignement postsecondaire, aux programmes culturels et autochtones de même qu’aux programmes à l’intention des personnes âgées, des personnes handicapées, des anciens combattants et des jeunes. Ce sous-programme mène des recherches et fournit des analyses et des conseils au ministre des Finances et aux cadres supérieurs pour les aider à se préparer pour les réunions du Cabinet et de ses comités, le budget annuel et les mises à jour financières de même qu’à s’acquitter des responsabilités prévues par les lois sur l’assurance-emploi et le Régime de pensions du Canada.",6760796.00,6760796.00,6760796.00,55.00,55.00,55.00,"","","","",6014746.00,16001097.00,"L’écart entre les dépenses réelles et prévues pour ce sous-programme est attribuable principalement à un paiement versé au Québec relatif à une déduction du Transfert canadien en matière de santé suite aux nouveaux règlements interdisant les frais supplémentaires et d'utilisation depuis janvier 2017.",47.00,51.00,""
"P1006-0005","FIN-BLH00","Politique du secteur financier","Ce sous-programme fournit des analyses, des recherches et des conseils aux ministres et aux cadres supérieurs pour qu’ils soient en mesure de prendre des décisions éclairées au regard de questions ayant une incidence sur le programme stratégique du secteur financier du gouvernement du Canada. Le sous-programme permet de veiller à la stabilité globale, à la solidité, à l’efficience et à la compétitivité du secteur financier canadien afin de garantir une croissance forte et durable de l’économie canadienne. Il présente aussi des analyses sur le secteur des services financiers et des marchés financiers du Canada en plus d’élaborer les cadres législatif et réglementaire du gouvernement fédéral qui régissent les institutions financières (c. à d. les banques, les sociétés de fiducie et de prêt, les sociétés d’assurances et les associations coopératives de crédit) de même que les régimes de pension qui sont réglementés par le gouvernement fédéral. Ce sous-programme joue également un rôle directeur dans la stratégie fédérale visant à lutter contre le blanchiment d’argent et le financement d’activités terroristes, la représentation du Canada aux forums internationaux, l’entretien des relations du Canada avec les administrations étrangères et la négociation de ses engagements envers ces dernières dans le domaine du commerce des services financiers. Le sous-programme travaille en collaboration avec les provinces et territoires pour améliorer le système de réglementation des marchés de capitaux.",12165839.00,11850839.00,11563339.00,76.00,76.00,76.00,"","","","",11320293.00,11579655.00,"",76.00,82.00,""
"P1006-0006","FIN-BLH00","Finances et échanges internationaux","Ce sous-programme fournit des analyses, des recherches et des conseils aux ministres et aux cadres supérieurs pour qu’ils soient en mesure de prendre des décisions éclairées au regard du programme stratégique du gouvernement du Canada en matière de finances et d’échanges internationaux. Le sous-programme élabore et met en œuvre des politiques sur le commerce et les tarifs, l’aide au développement international et les finances ainsi que la coordination macroéconomique mondiale afin de favoriser une croissance économique durable aux échelles internationale et nationale. Le sous-programme gère également la participation du ministère des Finances Canada aux institutions financières internationales comme le Fonds monétaire international et la Banque mondiale, des banques multilatérales de développement régionales comme la Banque européenne pour la reconstruction et le développement et des groupes internationaux de coordination économique comme le G 7, le G 20 et le Forum de coopération économique Asie-Pacifique.",7730039.00,7730039.00,7730039.00,67.00,67.00,67.00,"","","","",9027902.00,7547316.00,"L’écart entre les dépenses réelles et prévues pour ce sous-programme s’explique par un roulement du personnel plus élevé que prévu.",70.00,58.00,"L’écart entre les  ETP pour ce sous-programme s’explique par un roulement du personnel plus élevé que prévu."
"P1006-7001","FIN-BLJ01","Arrangements fiscaux avec les provinces et les territoires - Emploi et sécurité du revenu","Ce sous-programme s’assure que les arrangements fiscaux entre le gouvernement du Canada et les provinces et territoires sont gérés de manière efficiente. Le sous-programme administre les paiements de transfert aux provinces et territoires conformément aux lois et aux ententes négociées. De plus, le sous-programme fournit, de temps à autre, une aide ciblée, pendant une période limitée, aux provinces et aux territoires dans des secteurs de priorités communes. Le sous-programme utilise le financement provenant des paiements de transfert suivants : la péréquation fiscale (partie I – Loi sur les arrangements fiscaux entre le gouvernement fédéral et les provinces); la formule de financement des territoires (partie I.1 — Loi sur les arrangements fiscaux entre le gouvernement fédéral et les provinces), le Transfert canadien en matière de santé (partie V.1 — Loi sur les arrangements fiscaux entre le gouvernement fédéral et les provinces); le Transfert canadien en matière de programmes sociaux (partie V.1 – Loi sur les arrangements fiscaux entre le gouvernement fédéral et les provinces), les subventions législatives (Loi constitutionnelle de 1867, Loi constitutionnelle de 1982 et autres autorisations législatives), les paiements de péréquation supplémentaires à la Nouvelle-Écosse (partie I — Loi sur les arrangements fiscaux entre le gouvernement fédéral et les provinces), les paiements de péréquation compensatoires supplémentaires à la Nouvelle-Écosse (Loi sur les paiements de péréquation compensatoires supplémentaires à la Nouvelle-Écosse et à Terre-Neuve-et-Labrador), le Recouvrement ayant trait aux allocations aux jeunes (Loi de 1964 sur la révision des arrangements fiscaux entre le gouvernement fédéral et les provinces) et les paiements de remplacement pour les programmes permanents (partie VI — Loi sur les arrangements fiscaux entre le gouvernement fédéral et les provinces).",30807300825.00,31698182329.00,32685252299.00,5.00,5.00,5.00,"","","","",29922850143.00,30467145409.00,"",5.00,5.00,""
"P1006-7006","FIN-BLJ06","Arrangements fiscaux avec les provinces et les territoires - Santé","Ce sous-programme s’assure que les arrangements fiscaux entre le gouvernement du Canada et les provinces et territoires sont gérés de manière efficiente. Le sous-programme administre les paiements de transfert aux provinces et territoires conformément aux lois et aux ententes négociées. De plus, le sous-programme fournit, de temps à autre, une aide ciblée, pendant une période limitée, aux provinces et aux territoires dans des secteurs de priorités communes. Le sous-programme utilise le financement provenant des paiements de transfert suivants : la péréquation fiscale (partie I – Loi sur les arrangements fiscaux entre le gouvernement fédéral et les provinces); la formule de financement des territoires (partie I.1 — Loi sur les arrangements fiscaux entre le gouvernement fédéral et les provinces), le Transfert canadien en matière de santé (partie V.1 — Loi sur les arrangements fiscaux entre le gouvernement fédéral et les provinces); le Transfert canadien en matière de programmes sociaux (partie V.1 – Loi sur les arrangements fiscaux entre le gouvernement fédéral et les provinces), les subventions législatives (Loi constitutionnelle de 1867, Loi constitutionnelle de 1982 et autres autorisations législatives), les paiements de péréquation supplémentaires à la Nouvelle-Écosse (partie I — Loi sur les arrangements fiscaux entre le gouvernement fédéral et les provinces), les paiements de péréquation compensatoires supplémentaires à la Nouvelle-Écosse (Loi sur les paiements de péréquation compensatoires supplémentaires à la Nouvelle-Écosse et à Terre-Neuve-et-Labrador), le Recouvrement ayant trait aux allocations aux jeunes (Loi de 1964 sur la révision des arrangements fiscaux entre le gouvernement fédéral et les provinces) et les paiements de remplacement pour les programmes permanents (partie VI — Loi sur les arrangements fiscaux entre le gouvernement fédéral et les provinces).",37149703000.00,38359814000.00,39894304000.00,0.00,0.00,0.00,"","","","",36067673000.00,36057581263.00,"",0.00,0.00,""
"P1006-0008","FIN-BLJ02","Accords de perception fiscale et d’administration fiscale","Ce sous-programme permet de s’assurer que les obligations et arrangements du gouvernement du Canada en matière de recouvrement et d’administration de l’impôt et les autres paiements relatifs à des politiques fiscales sont gérés de manière efficiente. Le sous-programme gère la Loi sur les arrangements fiscaux entre le gouvernement fédéral et les provinces, la Loi concernant la taxe sur les produits et services des premières nations et les paiements aux provinces et aux territoires et aux gouvernements autochtones conformément aux modalités des accords de perception fiscale, des accords d’administration fiscale et des ententes intégrées globales de coordination fiscale. Les paiements sont relatifs à l’impôt provincial et territorial sur le revenu des particuliers et à l’impôt sur le revenu des sociétés, aux produits financiers provinciaux associés à la taxe de vente harmonisée ainsi qu’aux taxes de vente et à l’impôt sur le revenu des autochtones. Le sous-programme utilise le financement du paiement de transfert suivant : incitatif pour l’élimination de l’impôt provincial sur le capital (partie IV – Loi sur les arrangements fiscaux entre le gouvernement fédéral et les provinces).",612286.00,612286.00,612286.00,5.00,5.00,5.00,"","","","",626600.00,621373.00,"",5.00,5.00,""
"P1006-9002","FIN-BLJ02","Engagements envers des organisations financières internationales - Croissance économique","Ce sous-programme permet de veiller à ce que les engagements du gouvernement du Canada envers des organisations financières internationales soient financés de manière efficiente. Le sous programme administre la délivrance et l’encaissement des billets à vue et des souscriptions au capital actions associés aux engagements du Canada envers les institutions financières internationales comme l’Association internationale de développement de la Banque mondiale et d’autres banques multilatérales de développement régionales telles que la Banque européenne pour la reconstruction et le développement. Le sous programme utilise le financement issu des paiements de transfert suivants : paiements versés à l’Association internationale de développement et paiements de dettes à des organisations internationales au nom des pays pauvres en vertu du paragraphe 18(1) de la Loi sur la reprise économique (mesures incitatives) et les Garanties de marché en matière d’agriculture de la Banque internationale pour la reconstruction et le développement (Loi sur les accords Bretton Woods et des accords connexes, article 8).",0.00,0.00,0.00,0.00,0.00,0.00,"","","","",4567413.00,4567413.00,"",0.00,0.00,""
"P1006-9011","FIN-BLJ11","Engagements envers des organisations financières internationales - Développement international","Ce sous-programme permet de veiller à ce que les engagements du gouvernement du Canada envers des organisations financières internationales soient financés de manière efficiente. Le sous programme administre la délivrance et l’encaissement des billets à vue et des souscriptions au capital actions associés aux engagements du Canada envers les institutions financières internationales comme l’Association internationale de développement de la Banque mondiale et d’autres banques multilatérales de développement régionales telles que la Banque européenne pour la reconstruction et le développement. Le sous programme utilise le financement issu des paiements de transfert suivants : paiements versés à l’Association internationale de développement et paiements de dettes à des organisations internationales au nom des pays pauvres en vertu du paragraphe 18(1) de la Loi sur la reprise économique (mesures incitatives) et les Garanties de marché en matière d’agriculture de la Banque internationale pour la reconstruction et le développement (Loi sur les accords Bretton Woods et des accords connexes, article 8).",492872596.00,492872596.00,489762596.00,1.00,1.00,1.00,"","","","",488371016.00,492935976.00,"",1.00,1.00,""
"P1006-0010","FIN-BLJ09","Sommes reçues de particuliers et d’organisations ou paiements qui leur sont versés","Ce sous-programme permet de s’assurer que les paiements dus à des particuliers et à des organisations ou à recevoir d’eux sont gérés de manière efficiente. Le sous-programme administre les paiements conformément aux modalités convenues. Le sous-programme utilise un financement du paiement de transfert suivant : Programme de financement du Harbourfront Centre (crédit 5).",0.00,0.00,0.00,0.00,0.00,0.00,"Le Programme de financement du Harbourfront Centre a été transféré au ministère du Patrimoine canadien.","","Le Programme de financement du Harbourfront Centre a été transféré au ministère du Patrimoine canadien.","",149000.00,4105569.00,"L’écart entre les dépenses réelles et les dépenses prévues s’explique par le calendrier prévu du financement reçu dans le budget supplémentaire des dépenses (B) de 2016-2017 pour un paiement au Programme de financement du Harbourfront Centre. Ce programme a été transféré au ministère du Patrimoine canadien en juillet 2016.",1.00,1.00,""
"P1006-0011","FIN-BLI00","Gestion de la dette fédérale","Ce sous-programme présente des analyses, des recherches et des conseils aux ministres et aux cadres supérieurs sur la gestion de la dette fédérale. Le programme de gestion de la dette du gouvernement comprend le paiement des frais d’intérêt sur les titres de créance et les frais de service des nouveaux emprunts. Le sous-programme veille à ce que le gouvernement du Canada puisse financer ses exigences financières de façon efficace et en temps opportun.",21487932000.00,22569932000.00,24685932000.00,10.00,10.00,10.00,"","","","",22779606000.00,21333678866.00,"",10.00,10.00,""
"P1006-0012","FIN-BLI00","Emprunts des principaux organismes fédéraux bénéficiant de la garantie du gouvernement","Ce sous-programme fournit des analyses, des recherches et des conseils aux ministres et aux cadres supérieurs sur les activités d’emprunt des organismes qui bénéficient de la garantie intégrale du gouvernement du Canada comme les sociétés d’État et d’autres entités similaires. Le sous-programme s’assure que les principaux organismes fédéraux bénéficiant de la garantie du gouvernement obtiennent un financement efficace et en temps opportun et que leurs emprunts soient rentables et conformes aux pratiques de gestion prudente du risque.",477000.00,477000.00,477000.00,5.00,5.00,5.00,"","","","",695000.00,693000.00,"",5.00,5.00,""
"P1006-0013","FIN-BLI00","Gestion de la liquidité prudentielle et des réserves","Ce sous-programme fournit des analyses, des recherches et des conseils aux ministres et aux cadres supérieurs sur la gestion de la liquidité prudentielle et des réserves. Le sous-programme permet de s’assurer que le gouvernement du Canada peut répondre à ses besoins en matière de liquidité de façon efficace et en temps opportun. Le sous-programme garantit la capacité du gouvernement de respecter ses obligations de paiements lorsque l’accès normal aux marchés de financement est perturbé, et il favorise la liquidité en devises et les conditions ordonnées pour le dollar canadien sur les marchés de change étrangers, au besoin. La gestion de la liquidité prudentielle et des réserves suppose le maintien de dépôts en dollars canadiens à la Banque du Canada et dans les institutions financières ainsi que l’acquisition et la gestion des réserves d’encaisse, des prêts, des dotations en capital et des avances dans le compte du fonds des changes du gouvernement.",1114000.00,1114000.00,1114000.00,9.00,9.00,9.00,"","","","",1210000.00,-146029876.00,"Les dépenses prévues tiennent compte des ETP requis pour appuyer ce sous-programme. Les dépenses réelles comprennent les prévisions de dépenses qui étaient incluses dans les estimations des dépenses prévues en 2016-2017 pour le sous programme Gestion de la dette fédérale. Les prévisions des dépenses prévues pour les sous programmes Gestion de la dette fédérale et Gestion de la liquidité prudentielle et des réserves correspondent aux prévisions présentées dans le Budget principal des dépenses 2016-2017 pour les « intérêts sur la dette non échue » et les « autres frais d’intérêt ».",9.00,9.00,""
"P1006-0014","FIN-BLI00","Système de la monnaie nationale","Ce sous-programme fournit des analyses, des recherches et des conseils aux ministres et aux cadres supérieurs sur le système de la monnaie, qui englobe la production de billets de banque par la Banque du Canada et de pièces de circulation par la Monnaie royale canadienne. Le sous-programme permet de s’assurer que le gouvernement du Canada dispose d’un approvisionnement adéquat, durable et rentable de monnaie nationale afin de répondre aux besoins de l’économie canadienne.",104477000.00,102477000.00,101477000.00,4.00,4.00,4.00,"","","","",96489000.00,94054938.00,"",4.00,4.00,""
"P1007-0001","EC-AGL00","Politiques et priorités sur la biodiversité","Ce programme permet à Environnement et Changement climatique de jouer un rôle prépondérant à l’échelle nationale en faisant participer les intervenants, les gouvernements provinciaux, territoriaux et d’autres ministères fédéraux à la mise en œuvre par le Canada de la Convention des Nations Unies sur la diversité biologique. Le programme fournit de l’expertise scientifique, des orientations et des conseils aux décideurs, élabore des politiques et des initiatives pour promouvoir la conservation et le développement durable. Le programme pilote et coordonne, aux niveaux fédéral et national, des initiatives clés comme la diffusion d’information sur la biodiversité et l’élaboration et l’application de modèles pour l’évaluation sociale, culturelle et économique des services écosystémiques afin d’appuyer la prise de décisions en matière de développement durable. Parmi les stratégies utilisées au Canada, il y a la Stratégie canadienne de la biodiversité et le Cadre axé sur les résultats en matière de biodiversité. Ce programme coordonne aussi la réponse du gouvernement fédéral à la Stratégie nationale sur les espèces exotiques envahissantes de 2004, mise en œuvre par les ministères et organismes fédéraux à vocation scientifique et réglementaire, dont l’Agence canadienne d’inspection des aliments, Agriculture et Agroalimentaire Canada, Ressources naturelles Canada et Pêches et Océans Canada. Sur la scène internationale, le Canada participe de plus à la Convention sur la diversité biologique, au Protocole de Nagoya sur l’accès aux ressources génétiques et le partage juste et équitable des avantages découlant de leur utilisation, au Protocole additionnel de Nagoya Kuala Lumpur sur la responsabilité et la réparation dans le cadre du Protocole de Cartagena sur la prévention des risques biotechnologiques, et à Conservation de la flore et de la faune arctiques dans le cadre du groupe de travail du Conseil de l’Arctique. Le programme joue en outre le rôle de responsable et de point de contact national pour la Plateforme intergouvernementale sur la biodiversité et les services écosystémiques parrainée par les Nations Unies. Ce programme verse chaque année la contribution du Canada au Secrétariat de la Convention sur la diversité biologique et soutient financièrement les groupes de travail internationaux. Ce programme peut aussi utiliser du financement provenant du paiement de transfert au titre de la Biodiversité – Espèces sauvages et habitats.",2476086.00,2475765.00,2385370.00,16.00,16.00,15.00,"","","","",2502761.00,5307011.00,"Cela est principalement attribuable à l’affectation de fonds supplémentaires au Service canadien de la faune.",20.00,34.00,"Cela est principalement attribuable aux ressources supplémentaires affectées au Service canadien de la faune."
"P1007-0002","EC-AGL00","Espèces en péril","La mise en œuvre de la Loi sur les espèces en péril (LEP) est la raison d’être de ce programme. La LEP est le principal engagement du gouvernement fédéral pour empêcher que des espèces sauvages ne soient menacées et disparaissent, pour prendre les mesures nécessaires au rétablissement d’espèces sauvages disparues au Canada, en voie de disparition ou menacées, et pour gérer les espèces préoccupantes afin qu’elles ne deviennent pas en voie de disparition ou menacées. Ce programme prévoit la publication de documents sur le rétablissement, la désignation de l’habitat essentiel, la protection des espèces sauvages et de leurs habitats essentiels et la production de rapports sur les progrès réalisés. Le rétablissement des espèces est réalisé en partie par le Programme d’intendance de l’habitat (PIH), le Fonds autochtone pour les espèces en péril, le Fonds interministériel pour le rétablissement et l’Initiative de protection des espèces en péril sur les terres agricoles, par le biais desquels les peuples autochtones et les autres Canadiens participent à diverses activités de conservation, de rétablissement des espèces en péril, de protection et de restauration de l’habitat essentiel. Le programme s’appuie sur des partenariats avec des gouvernements provinciaux et territoriaux et d’autres gouvernements, ainsi qu’avec des organisations autochtones et autres organisations (p. ex. organisations voués à la protection de l’environnement, associations sectorielles). Les autorités de ce programme sont fondées sur la LEP et les obligations du Canada en vertu de la Convention sur le commerce international des espèces de faune et de flore sauvages menacées d’extinction (CITES) et de la Loi sur la protection d’espèces animales ou végétales sauvages et la réglementation de leur commerce international et interprovincial. Ce programme peut aussi utiliser du financement provenant des paiements de transfert suivants : Biodiversité – Espèces sauvages et habitats, Programme de contributions d’intendance de l’habitat et Contribution à la CITES.",57218289.00,45245780.00,44896225.00,244.00,200.00,197.00,"","","","",60001840.00,57153715.00,"",238.00,245.00,""
