"ID","SubjectClass","subjectID","fyear1","fyear2","keys","footnote_en"
97,"dept","CSC","2017-18","2017-18","EST_PROC","The Correctional Service of Canada is estimating budgetary expenditures of $2,400.71 million in 2017–18. Of this amount, $2,171.29 million requires approval by Parliament. The remaining $229.42 million represents statutory forecasts that do not require additional approval and are provided for information purposes. This represents a net increase of $38.12 million from 2016–17 Main Estimates.


The major changes are as follows:
* An increase of $40.95 million related to funding received to cover expenditures due to changes in offender population volumes and price fluctuations;
* An increase of $0.24 million related to Federal Infrastructure Initiative;
* An increase of $0.43 million related to 2017–18 Funding of Federal Contaminated Sites Action Plan (FCSAP – Phase III); 
* An increase of $27.50 million in capital investments mainly due to reprofiling of funds from previous years;
* A decrease of $4.86 million related to the Budget 2016 reduction for professional services, travel, advertising;
* A decrease of $4.27 million due to the cessation of funding for the Accelerated Infrastructure Program in 2017–18;
* A decrease of $21.90 million related to the department's allocation of the employer's share of the employee benefit plan; and
* An increase of $0.03 million for miscellaneous items."
98,"dept","CSEC","2017-18","2017-18","EST_PROC","The Communications Security Establishment is estimating budgetary expenditures of $596.0 million in 2017–18. Of this amount, $560.5 million requires approval of Parliament. The remaining $35.5 million represents statutory forecasts that do not require additional approval and are provided for information purposes.


The Main Estimates for the department are $596.0 million, a net increase of $12.4 million. The major changes are as follows:
* A decrease of $1.4 million related to Budget 2016 reductions to professional services, travel, and advertising;
* A decrease of $3.5 million related to changes in the statutory forecasts;
* A net increase of $3.6 million related to CSE's accommodations mainly due to a transfer from Public Services and Procurement Canada (PSPC) in the last phase of CSE's move to the new facility; and
* A net increase of $13.7 million in support of CSE's mandate."
99,"dept","CSIS","2017-18","2017-18","EST_PROC","The Main Estimates for the department are $577.1 million, which represents a $5 million increase over the previous year. The major changes are as follows:
* An increase of $8.6 million in support of Canada's national security and the safety of Canadians; and
* A decrease of $3.6 million due to a Budget 2016 government-wide initiative."
100,"dept","CTA","2017-18","2017-18","EST_PROC","The Canadian Transportation Agency (the Agency) is estimating budgetary expenditures of $30.9 million in 2017–18. Of this amount, $27.7 million requires approval by Parliament. The remaining $3.2 million represents statutory forecasts that do not require additional approval and are provided for information purposes. Compared to 2016–17, the Main Estimates for 2017–18 have increased as a result of an amount that has been approved via a reverse reprofile requested by the Agency and will be used to pay for the costs related to _The Government of Canada Workplace 2.0 Fit-up Standards_. This amount is reflected under the Agency's Internal Services Program and will be reimbursed over a period of 15 years starting in 2018–19;


Looking forward, the Agency has established its strategic priorities for the 2017–20 period:
**A modern framework**: Legislation and regulations that reflect current and emerging business models, travellers' and shippers' needs, and best practices in the adjudicative and regulatory fields.
**Excellence in service delivery**: Timely, fair, and effective services in the areas of regulatory determination, dispute resolution, and compliance monitoring and enforcement, based on the letter and purpose of the legislation and regulations, relevant jurisprudence, and the evidence.
**Stakeholder and public awareness**: Clear, relevant information for stakeholders and the general public on the national transportation system, the rights and responsibilities of transportation providers and users, and Agency services.
**A healthy, high-performing organization**: An organization that is independent, expert, impartial, engaged, agile and innovative."
101,"dept","CTAIB","2017-18","2017-18","EST_PROC","The TSB is estimating budgetary expenditures of $29.4 million in 2017–18. Of this amount, $26.2 million requires approval by Parliament. The remaining $3.2 million represents statutory forecasts that do not require additional approval and are provided for information purposes. The organization's funding through Main Estimates has decreased from 2016–17 by $0.4 million due mainly to a decrease in the Employee Benefit Plan percentage as determined by Treasury Board Secretariat as part of the Annual Reference Level Update.


In 2017–18, the TSB will continue to strive to be a modern world-class organization that evolves and adapts as it strives to influence changes that advance transportation safety. This vision statement will be achieved by focusing on the strategic objectives of serving, improving, modernizing and updating, as outlined in the TSB's five-year Strategic Plan. Further details regarding plans and priorities can be found in the TSB's Departmental Plan and Strategic Plan."
102,"dept","EA","2017-18","2017-18","EST_PROC","Foreign Affairs, Trade and Development is estimating budgetary expenditures of $6.0 billion in 2017–18. Of this amount, $5.6 billion requires approval by Parliament. The remaining $368.4 million represents statutory forecasts that do not require additional approval and are provided for information purposes.


Significant items contributing to the net increase of $486.6 million from the 2016–17 Main Estimates include:
* An increase of $239.6 million to address the crises in Iraq and Syria and their impact on the region. This funding will support Canada's response to the Middle East crises and the needs of conflict-affected people in Iraq, Syria, Jordan and Lebanon. This includes military resources to train, advise and assist Iraqi security forces in their efforts to degrade and defeat Daesh; stabilization, humanitarian and development assistance in Iraq and the region to address short-term needs and support resiliency, stability and prosperity over the long term; as well as diplomatic engagement;
* An increase of $213.9 million for the Peace and Stabilization Operations Program. Through the program, Canada works with its allies, partners and the UN to help stop violence, foster stability and create the necessary conditions for dialogue and conflict resolution. 
The Program funds projects to advance key peace and security priorities, including support for peacebuilding efforts in the Middle East, as well as for the deployment of civilian experts to work in areas of fragility;
* An increase of $41.3 million to help developing countries in Asia and the Pacific address impact of climate change through the Climate Fund for the Private Sector;
* An increase of $31.1 million to support the management of the Canada-U.S. Softwood Lumber initiative, including negotiations towards a new agreement, ongoing monitoring of exports, and legal preparations for possible trade remedies action;
* A decrease of $25.3 million in the cost of assessed contributions, due to changes in the international organizations' budgets and the impact of currency fluctuations resulting from the payment in the prescribed foreign currency of these contributions which represent Canada's treaty obligations and legal commitments to international organizations such as United Nations and World Health Organization; and
* A decrease of $11.9 million relating to the impact of foreign currency fluctuations incurred on expenditures at missions abroad. 


For additional information, please refer to the 2017–18 Departmental Plan."
103,"dept","EC","2017-18","2017-18","EST_PROC","Environment and Climate Change Canada is estimating budgetary expenditures of $987.3 million in 2017–18. Of this amount, $902.8 million is voted funding which requires approval by Parliament. The remaining $84.5 million represents statutory forecasts that do not require additional approval and are provided for information only.


Compared with the 2016–17 Main Estimates, ECCC's 2017–18 Main Estimates show a net planned spending increase of $85.2 million or 9% attributable to an increase of $95.7 million in Operating, $21.8 million increase in Capital, $34.8 million decrease in Grants and Contributions and $2.5 million increase for employee benefit plans.


The major increases are:
* An increase of $59.6 million to address air pollution;
* An increase of $57.0 million for clean growth and climate change;
* An increase of $13.5 million for the revitalization of Canada's Weather Radar Network;
* An increase of $8.7 million for the Federal Contaminated Sites Action Plan;
* An increase of $6.1 million for the contaminated sediment remediation projects;
* An increase of $2.5 million for the employee benefit plans; and
* An increase of $1.5 million for the Federal Infrastructure Initiative.


These increases are offset by the following decreases:
* A decrease of $46.2 million due to the transfer of Sustainable Development Technology Canada – SD Tech Fund to Innovation, Science and Economic Development Canada;
* A decrease of $7.5 million for Lake Simcoe/South-Eastern Georgian Bay Clean-Up Fund;
* A decrease of $4.5 million for annual reductions in professional services, travel and government advertising from Budget 2016;
* A decrease of $2.8 million for the Lake Winnipeg Basin Initiative;
* A decrease of $2.0 million for World Class Tanker Safety System – Phase II; and
* Other decreases totalling a net amount of $0.7 million.


Once tabled in the House of Commons, additional information will be available in Environment and Climate Change Canada's Departmental Plan."
104,"dept","ERC","2017-18","2017-18","EST_PROC","The ERC is estimating budgetary expenditures of $945.5 thousand in 2017–18. Of this amount, $847.6 thousand requires approval by Parliament. The remaining $97.8 thousand represents a statutory employee benefit plan forecast that does not require additional approval and is provided for information purposes.


The 2017–18 Main Estimates will result in a net decrease of $609.3 thousand or 39% from the 2016–17 Mains. This decrease is attributable to the absence this year of a directed transfer of $600.0 thousand from the RCMP which was done through the ARLU for 2016–17, and a small decrease in statutory forecasts for 2017–18. The ERC is working with Public Safety Canada and central agencies to identify options to address resource requirements and related program risks for 2017–18 and future years."
105,"dept","FBCL","2017-18","2017-18","EST_PROC","The Federal Bridge Corporation Limited is estimating budgetary expenditures of $22.9 million in 2017–18. Of this amount, $3.6 million is for major upgrades to the Cornwall Island roadway connecting the North and South Channel Seaway International Bridges in Cornwall. $19.3 million is for the Port of Entry rehabilitation project at the Thousand Islands Bridge."
106,"dept","FEDSO","2017-18","2017-18","EST_PROC","FedDev Ontario estimates budgetary expenditures of $269.3 million in 2017–18. Of this amount, $266.6 million requires voted approval by Parliament. The remaining $2.7 million represents statutory funding and is provided for information purposes.


FedDev Ontario's planned spending in 2017–18 will support its strategic outcome by delivering its suite of programming and all associated internal support services. For 2017–18, FedDev Ontario anticipates expending $27.1 million in operating funds to support the investment of $242.2 million in transfer payment funding to strategic projects approved through its transfer payment programs.


Specifically, FedDev Ontario will continue to deliver its three core transfer payment programs in 2017–18: the Southern Ontario Prosperity Initiatives (SOPI); the Advanced Manufacturing Fund (AMF); and the Eastern Ontario Development Program (EODP). FedDev Ontario, like other regional development agencies, also plays an important role as a federal delivery agent for national programs, specifically the Community Futures Program (CFP), the Economic Development Initiative (EDI), the Canada 150 Community Infrastructure Program and certain national infrastructure programs across the entire province. The Agency also delivers special federal programming such as the $0.5-million grant for a remediation project in Brantford, Ontario.


FedDev Ontario provides a strong federal presence across southern Ontario and facilitates collaboration with a broad range of stakeholders. As a convenor and champion for the region, the Agency works with southern Ontario firms to identify opportunities to support Canada's Innovation Agenda. In total, FedDev Ontario is estimating an increase of $34.9 million or 13% from its 2016–17 Main Estimates.


Significant year-over-year changes in funding are due to:
* An increase of $46.6 million for delivery of the Canada 150 Community Infrastructure Program;
* A net decrease of $9.2 in grants to the Corporation of the City of Brantford to support the Brantford Greenwich-Mohawk Brownfield Remediation project;
* A decrease of $3.0 million to the Southern Ontario Prosperity Initiatives with the sun-setting of the project to fund the revitalization of Toronto's Massey Hall; and
* An increase of $2.3 million to the Advanced Manufacturing Fund."
107,"dept","FIN","2017-18","2017-18","EST_PROC","Finance is estimating budgetary expenditures of $90.1 billion in 2017–18. Of this amount $90.0 billion or 99% represents statutory forecasts that do not require additional approval and are provided for information only. The remaining $89.3 million require approval by Parliament.


The 2017–18 Main Estimates of $90.1 billion is $679.8 million higher compared to the 2016–17 Main Estimates of $89.5 billion, and is due to an increase of $681.3 million in statutory votes offset by a $1.5 million decrease in voted amounts.


The increase of $681.3 million in statutory votes is mainly due to:
* Canada Health Transfer – An increase of $1.1 billion reflecting the annual increased funding commitment in the _Jobs, Growth and Long-term Prosperity Act_, 2012. Starting in 2017–18, the CHT grows based on a three-year moving average of nominal gross domestic product growth, with funding guaranteed to increase by at least 3 per cent per year. From 2006–07 to 2016–17, the CHT grew 6 per cent per year;
* Canada Social Transfer – An increase of $400.4 million reflecting the 3% annual increased funding commitment that commenced in 2009–10 and which was continued in the _Jobs, Growth and Long-term Prosperity Act_, 2012 for 2014–15 and subsequent years;
* Fiscal Equalization – An increase of $373.2 million reflecting the 2.09% gross domestic product-based escalator being applied to the 2016–17 level;
* Territorial Financing – An increase of $145.5 million as a result of new and updated data used to calculate territorial expenditure requirements and revenue capacities entering the formula for Territorial Formula Financing;
* Alternative Payments for Standing Programs – A decrease in recoveries in the amount of $20.5 million as a result of a decrease in the value of personal income tax points that were transferred to Quebec;
* Purchase of Domestic Coinage – An increase of $8.0 million due to proposed amendments to the _Royal Canadian Mint Act_, which repealed the stipulation that the Mint cannot anticipate profit with respect to the provision of circulation coins;
* Youth Allowance Recovery – A decreased recovery of $2.0 million as a result of a decrease in the estimated value of personal income tax points that were transferred to Quebec;
* Additional Fiscal Equalization Offset Payment to Nova Scotia – A decrease of $13.3 million due to the decline in offshore oil and gas revenues received by Nova Scotia. The Nova Scotia 2005 offshore arrangement guarantees that the province's offshore oil and gas revenues that enter the Equalization formula do not impact Equalization payments. Consequently, the province receives payments equal to the decline in Equalization due to these revenues;
* Additional Fiscal Equalization to Nova Scotia – A decrease of $43.9 million due to new data entering the formula, which is an average of data for three fiscal years. This program ensures that there is no reduction in combined Equalization and 2005 Offshore Accord Offset Payments relative to the previous Equalization formula (pre-2007);
* Other Interest Costs – A decrease of $528.0 million reflecting forecasted long-term bond rates by private sector economists in the 2016 Fall Economic Statement, which affects the average long-term bond rate that is used to calculate interest on the public sector pension obligations pertaining to services pre-April 1, 2000; and
* Interest on Unmatured Debt – A decrease of $764.0 million due to a downward revision of interest rates by private sector economists for 2017–18, consistent with the 2016 Fall Economic Statement.


The decrease of $1.5 million in Vote 1, Program expenditures is mainly due to a decrease in funding for:
* Budget 2015 initiatives ($1.0 million): G-20 Framework Working Group ($0.6 million); Corporate Asset Management Review ($0.4 million); and
* Budget 2016 reductions to professional services, advertising and travel ($0.5 million)."
108,"dept","FJA","2017-18","2017-18","EST_PROC","FJA is estimating budgetary expenditures of $571.9 million in 2017–18. Of this amount, $12.3 million requires approval by Parliament. The remaining $559.6 million represents statutory forecasts that do not require additional approval and are provided for information purposes.


The total spending for the department shows a continual increase over the planning period.


A net increase of $13.7 million in statutory forecast from the 2016–17 Main Estimates is due to an increase in the number of judicial appointments, an increase in the overall average in the amounts of pensions being paid to pensioners in accordance with the _Judges Act_, as well as a provision for a salary increase to federally appointed judges.


Please refer to the 2017–18 Departmental Plan for additional information."
109,"dept","FO","2017-18","2017-18","EST_PROC","Fisheries and Oceans has three mandated strategic outcomes, which are:
* Economically prosperous maritime sectors and fisheries;
* Sustainable aquatic ecosystems; and
* Safe and secure waters.


Fisheries and Oceans is estimating budgetary expenditures of $2.2 billion in 2017–18. Compared to 2016–17, Main Estimates have decreased by $40.1 million. Significant changes include:
* An increase of $41.2 million related to investing in ocean and freshwater research in Canada;
* An increase of $20.0 million related to addressing the threat of pollutants from the M/V Kathryn Spirit;
* An increase of $15.7 million related to protecting marine coastal areas;
* A decrease of $43.6 million related to Canadian Coast Guard offshore fisheries science vessels;
* A decrease of $39.9 million related to the Federal Infrastructure Initiative; and
* A decrease of $16.0 million related to vessel fuel for the Canadian Coast Guard.


For additional information, please see the Departmental Plan."
110,"dept","FORDQ","2017-18","2017-18","EST_PROC","The total budget for CED for the 2017–18 fiscal year amounts to $303.8 million. The budget will cover expenditures for grants and contributions and operating expenses, in the following four programs: Business Development, Regional Economic Development, Strengthening Community Economies and Internal Services.


Compared to fiscal year 2016–17, CED's budget is increasing by $0.7 million or 0.2%. Forecasted expenditures for operating expenses and statutory amounts are decreasing by $2.0 million mainly due to the completion of the Building Canada Fund. Forecasted expenditures for grants and contributions are increasing by $2.7 million in 2017–18. The increase is primarily due to the combination of an increase in the Canada 150 Infrastructure Program (Part II) paired with the completion of the extension of the natural gas network between Lévis and Ste-Claire project in Quebec.


Please refer to CED's 2017–18 Departmental Plan for a description of CED's programs."
111,"dept","FTRAC","2017-18","2017-18","EST_PROC","During 2017–18, FINTRAC will continue to provide its partners, policy-makers and other interested parties with relevant and actionable financial intelligence that contributes to the public safety of Canadians. FINTRAC will also continue to support efforts to disrupt the ability of criminals and terrorist groups that seek to abuse Canada's financial system, and to reduce the profit incentive of crime.


As part of its compliance mandate, FINTRAC will seek to deter money laundering and terrorist financing by improving the compliance behaviours of reporting entities that have obligations for reporting, record keeping, identity verification and other requirements under Part 1 and Part 1.1 of the _Proceeds of Crime (Money Laundering) and Terrorist Financing Act_ and associated Regulations.


In 2017–18 FINTRAC will receive an additional $0.9 million for disclosures to provincial securities regulators as identified in Budget 2015. A decrease of $5.7 million is related to the profile of funds received in Budget 2014 for the implementation of legislative amendments and modernization of its analytics system. A further decrease of $0.7 million reflects Budget 2016 reductions and adjustments to Statutory funding.


For further details regarding FINTRAC, its operations and its use of funds, please refer to the 2017–18 Departmental Plan."
112,"dept","GG","2017-18","2017-18","EST_PROC","The Office is estimating budgetary expenditures of $22.7 million in 2017–18. Of this amount, $19.7 million requires approval by Parliament. The remaining $3.0 million represents statutory forecasts that do not require additional approval and are provided for information purposes only.


The Office's operating budget, as announced in Budget 2015, has been increased to include expenses to support and modernise the Canadian Honours system and bring it closer to all Canadians. These enhancements include increasing the number of nominations to the Order of Canada from under-represented sectors and modernizing eligibility and selection criteria for a number of other honours and awards. It also proposes to bring the Canadian honours and honourees closer to all Canadians through additional events and ceremonies, as well as the creation of an online portal.


The difference in the statutory forecasts is the result of the _Governor General's Act_ adjusting statutory payments paid to the current and former Governors General and an adjustment to the contributions to employee benefit plans."
113,"dept","GSC","2017-18","2017-18","EST_PROC","Public Works and Government Services Canada (PWGSC) is estimating budgetary expenditures of $3,694.1 million in 2017–18. Of this amount, $3,576.1 million requires approval by Parliament. The remaining $118 million represents statutory authorities that do not require additional approval and are provided for information purposes.


An increase in net spending of $823.6 million from $2,870.5 million in 2016–17 to $3,694.1 million in 2017–18 is primarily because of the following:
* $365.4 million for Real Property Program Integrity for repairs and maintenance of Federal buildings to provide a safe, healthy, and secure workplace; 
* $105.5 million for Parliamentary Precinct Rehabilitation to continue the implementation of the Parliamentary Precinct Rehabilitation, which will preserve Parliament buildings as heritage assets and national symbols;
* $75.2 million for Engineering Assets for the rehabilitation of major public infrastructure, to reduce risks related to health and safety, and to ensure long-term stewardship of these assets;
* $68.4 million for the Energy Services Acquisition Project to undertake a modernization of the district energy system serving federal buildings in the National Capital Region;
* $35.7 million for Federal Contaminated Sites Action Plan to renew support for remediation activities at various federal contaminated sites in order to reduce associated liabilities and mitigate human health and environmental risks; and
* $21.9 million for Card Acceptance and Postage Fees to provide federal organizations with the ability to accept electronic payments from Canadians and sustain the increase in postage fees caused by fluctuations in price and transaction volume. 


Accommodation and Real Property Services program administers the statutory grant, “Payments in lieu of taxes to municipalities and other taxing authorities”, which amounts to $594.6 million and is recovered by PWGSC from custodian departments."
114,"dept","H","2017-18","2017-18","EST_PROC","With authorities of $4.3 billion anticipated through the Main Estimates, Health Canada will continue improving the lives of all Canadians making this country's population among the healthiest in the world as measured by longevity, lifestyle and effective use of the public health care system. Health Canada's total authorities for 2017–18 have a net increase of $511.8 million from the previous year's Main Estimates.


This increase in funding will support Health Canada's goals and the Government of Canada priorities in the following areas:
Improving health outcomes for First Nations and Inuit:
* Funding to implement interim federal policy reforms related to Jordan's Principle to improve access to health and social services for First


Nations children living on reserve;
* Funding to continue to fulfill Canada's obligations under the Indian Residential Schools Settlement Agreement; and
* Funding to provide immediate and targeted mental wellness support to First Nations and Inuit.


Supporting innovation in health care and health research:
* Funding for Canada Health Infoway for the implementation of e-prescribing Technology and Telehomecare;
* Funding for the Brain Canada Foundation; and
* Funding for the Canadian Foundation for Healthcare Innovation.


Assessing and addressing environmental health impacts:
* Funding to support scientific research on the health impacts of air pollution; and
* Funding to support adaptation to climate change programs to mitigate health risks.


Supporting Infrastructure investments:
* Funding to undertake capital repairs, expansions and new builds to community health and social facilities on reserves;
* Funding to renew and enhance public health services related to water and wastewater on reserve; and
* Funding to maintain and upgrade federal infrastructure assets."
115,"dept","HC","2017-18","2017-18","EST_PROC","The budget increase is mostly attributable to increases in Members' and House Officers' budgets and to security enhancements."
116,"dept","HRSD","2017-18","2017-18","EST_PROC","ESDC is planning budgetary expenditures on programs and services totaling $57.4 billion in 2017–18. More than 96% of planned budgetary expenditures will directly benefit Canadians through the Old Age Security Program and other statutory transfer payment programs.


Of the total amount of planned expenditures, $2.4 billion requires approval from Parliament. The remaining $55.0 billion represents statutory forecasts that do not require additional approval and are provided for information purposes.


The 2017–18 planned expenditures represent a decrease of $2.2 billion, or approximately 4%, when compared to the 2015–16 actual budgetary expenditures of $59.6 billion. The decrease is partly explained by a decrease in Universal Child Care Benefit, replaced by the new Canada Child Benefit. The decrease is offset by an increase to Old Age Security Pension and Guaranteed Income Supplement payments resulting from the aging population and the planned increase in the average monthly benefit amount.


When compared to the 2016–17 budgetary Main Estimates of $61.6 billion, the 2017–18 planned expenditures represent a decrease of $4.2 billion, primarily associated with statutory items. In particular, Universal Child Care Benefit represents a decrease of $7.7 billion. This significant decrease is offset by increases to the following items:
* An increase of $2.8 billion to Old Age Security Pension and Guaranteed Income Supplement payments explained by changes in the average monthly rate and in the number of beneficiaries;
* An increase of $461.5 million to the Canada Student Loans and Grants for Students and Apprentices Program, mostly explained by an increase to Canada Student Grants as a result of Budget 2016 measures to make post-secondary education more affordable for low- and middle-income families; and
* A $107.0 million increase to the Canada Disability Savings Grants and Bonds, which is due to a steady increase in total registered Canada Disability Savings Plans and participation in the program.


The Department plans to spend $576.8 million in 2017–18 in net operating expenditures (Vote 1), representing a decrease of $31.2 million from the 2016–17 Main Estimates of $608.0 million. The net decrease is mainly related to a reduction in resources for the Temporary Foreign Worker Program.


Voted grants and contributions (Vote 5) are expected to reach $1.8 billion in 2017–18, an increase of $154.1 million from the 2016–17 Main Estimates. The increase is mainly attributable to investments announced in Budget 2016 to the Canada Summer Jobs and the Homelessness Partnering Strategy.


In relation to non-budgetary loans, there is a net decrease in authorities of $621.2 million from the 2016–17 Main Estimates, mainly as a result of Budget 2016 measures which increase grants and reduce the disbursement of loans as more borrowers will have their financial needs met by the increase in grants."
117,"dept","IDRC","2017-18","2017-18","EST_PROC","The International Development Research Centre is estimating budgetary expenditures of $138.7 million in 2017–18, which requires approval by Parliament.


The International Development Research Centre's year-over-year decrease of $10.5 million from the 2016–17 Main Estimates includes:
* A decrease of $11.0 million as a result of having reached the end of the Development Innovation Fund, which aimed to support leading-edge global health research that improves the lives of the poor in developing countries by mobilizing the scientific community to address priority areas for health research, and by the use of research findings to address development challenges; and
* An increase of $0.5 million related to the funding from Canadian Institutes of Health Research for the Innovating for Maternal and Child Health in Africa program."
118,"dept","IJC","2017-18","2017-18","EST_PROC","The Commission, in fulfilment of its mandate under the Boundary Waters Treaty, is continuing the development and implementation of scientific tools and approaches as part of its International Watersheds Initiative to assist governments anticipate, prevent and resolve water-related issues at the local level. These include:
* An increase of $3.3 million compared to 2016–17 Main Estimates due to the implementation of the 2016 Budget allocations to the IJC regarding conduct of Plans of Studies including Lake Champlain Richelieu River and the Souris basins for flood forecasting, management and mitigation;
* Hydrographic data harmonization in transboundary basins with a target completion date of June 2017;
* Completion, by the summer of 2017, of binational water quality modelling in the Great Lakes and the Rainy-Lake of the Woods basins; 
* Implementation of adaptive management approach to water level regulation in the Great Lakes-St. Lawrence system in consideration of climate change;
* Increasing the effectiveness of Commission operations particularly in the areas of information management and information technology; and
* Increasing public outreach and communications efforts through an enhanced and more reliable and interactive website (IJC.ORG)


In keeping with its responsibility to maintain effective regulation of certain boundary and transboundary waters, and its specific role under the 1938 Rainy Lake Convention, the International Joint Commission is reviewing its Order on the regulation of water levels in the Rainy and Namakan Lakes system. To inform this review, over 20 studies sponsored by the IJC are analyzed to inform the development of possible regulation alternatives. Extensive public and stakeholder consultations, including dedicated First Nations, Métis and Tribes sessions are being conducted in the basin. Recommendations based on the study evaluation and public input will be considered by the Commission in the summer of 2017 prior to formal public hearings in the basin.


The Commission is proceeding with its assigned role in the Great Lakes Water Quality Agreement. In particular, the IJC will be:
* Collecting and summarizing public input on the Progress Report of the Parties;
* Producing a triennial Assessment of Progress Report;
* Engaging the public on issues related to Great Lakes water quality, particularly as they relate to the Assessment of Progress; and
* Continue to provide advice on scientific matters related to the Great Lakes Basin Ecosystem and generate special reports relating to the quality of the waters of the Great Lakes."
119,"dept","INAC","2017-18","2017-18","EST_PROC","INAC is estimating budgetary and non-budgetary expenditures of $10.1 billion in 2017–18. Of this amount, $9.9 billion requires approval by Parliament and the remainder represents statutory forecasts that do not require additional approval and are provided for information.

The net increase in budgetary and non-budgetary spending of approximately $2.6 billion or 34% over the 2016–17 Main Estimates, primarily reflects the historic investments provided by Budget 2016 and changes in the resource profile for targeted initiatives:
* An increase of $540.2 million in the cash flow for the negotiation, settlement and implementation of specific and comprehensive claims (primarily an increase in funding for specific claims reflecting the anticipated settlement level);
* An increase of $416.4 million to support the delivery of water and wastewater servicing on First Nation reserves as well as on-reserve waste management infrastructure (Budget 2016);
* An increase of $320.4 million for additional investments in First Nations elementary and secondary education (Budget 2016); 
* An increase of $304.2 million for affordable housing and social infrastructure projects (Budget 2016);
* An increase of $282.5 million to support the Enhanced First Nations Education Infrastructure Fund (Budget 2016);
* An increase of $273.3 million for the assessment, management and remediation of federal contaminated sites;
* An increase of $149.4 million to support First Nation communities in the construction of public infrastructure on reserve through the First Nations Infrastructure Fund (Budget 2016); and
* An increase of $98.5 million to support urgent investments in the First Nations Child and Family Services Program (Budget 2016). 
For further details on the department's plans and priorities, please see the 2017–18 Departmental Plan."
120,"dept","IPC","2017-18","2017-18","EST_PROC","**OFFICE OF THE PRIVACY COMMISSIONER OF CANADA**
The Office of the Privacy Commissioner of Canada (OPC) is estimating budgetary expenditures of $24.34 million in 2017–18. Of this amount, $22.07 million requires approval by Parliament. The remaining $2.27 million represents statutory forecasts that do not require additional approval and are provided for information purposes only.


Permanent funding of the OPC in 2017–18 and ongoing will remain stable and will be used to carry out OPC efforts and activities towards achieving the organization's single strategic outcome, the privacy rights of individuals be protected and also the Office priorities for 2017–18:
* Advance the new privacy priorities;
* Support government and Parliamentary initiatives to reform federal privacy legislation;
* Enhance organizational capacity and agility; and
* Enhance strategic partnership and collaboration opportunities.


**OFFICE OF THE INFORMATION COMMISSIONER OF CANADA**
The Office of the Information Commissioner of Canada (OIC) is estimating budgetary expenditures of $11.19 million in 2017–18. Of this amount, $9.95 million requires approval by Parliament. The remaining $1.25 million represents statutory forecasts that do not require additional approval and are provided for information purposes.


The OIC's budgetary Main Estimates for 2017–18 are $11.19 million, a decrease of $115,899 due to a decreased EBP rate from 17.2% to 15.7% and an increase of $19,298 associated with collective bargaining. 


In 2017–18, the funding will be used first and foremost to carry out efficient, fair and confidential investigations of complaints and issues of concern on how federal institutions handle access to information requests from the public. Other activities will be conducted in support of the Commissioner's advisory role to Parliament on all access to information matters. Where required, the OIC staff will also assist the Commissioner in bringing issues of interpretation and enforcement of the Act before the courts."
121,"dept","IRB","2017-18","2017-18","EST_PROC","The Immigration and Refugee Board is estimating budgetary expenditures of $127.1 million in 2017–18. Of this amount, $113.2 million requires approval by Parliament. The remaining $13.8 million represents statutory forecasts that do not require approval and are provided for information purposes.


The 2017–18 Main Estimates present an overall increase of $12.6 million or 11% from 2016–17, which is mainly attributable to:
* An increase of $13.2 million in temporary funding for operating expenditures related to resolving cases as a result of the Mexico visa lift, exempting Mexican citizens from the Temporary Resident Visa requirement, which will result in an anticipated increase in asylum seekers;
* A decrease of $0.9 million arising from the 2016 Budget reduction measures; and
* A net increase in employee benefit costs and specific collective agreement funding of $0.3 million.


Additional information can be found in the 2017–18 Departmental Plan."
