Year,Department or agency,Age band,Number of employees
2011,Office of the Governor General's Secretary,<20,*
2011,Office of the Governor General's Secretary,20-24,20
2011,Office of the Governor General's Secretary,25-29,13
2011,Office of the Governor General's Secretary,30-34,21
2011,Office of the Governor General's Secretary,35-39,22
2011,Office of the Governor General's Secretary,40-44,16
2011,Office of the Governor General's Secretary,45-49,30
2011,Office of the Governor General's Secretary,50-54,34
2011,Office of the Governor General's Secretary,55-59,20
2011,Office of the Governor General's Secretary,60-64,8
2011,Office of the Governor General's Secretary,65+,*
2011,Office of the Governor General's Secretary Total,Total,190
2011,Office of the Public Sector Integrity Commissioner of Canada,25-29,*
2011,Office of the Public Sector Integrity Commissioner of Canada,30-34,*
2011,Office of the Public Sector Integrity Commissioner of Canada,35-39,*
2011,Office of the Public Sector Integrity Commissioner of Canada,45-49,6
2011,Office of the Public Sector Integrity Commissioner of Canada,50-54,6
2011,Office of the Public Sector Integrity Commissioner of Canada,55-59,*
2011,Office of the Public Sector Integrity Commissioner of Canada,65+,*
2011,Office of the Public Sector Integrity Commissioner of Canada Total,Total,27
2011,Office of the Superintendent of Financial Institutions Canada,20-24,8
2011,Office of the Superintendent of Financial Institutions Canada,25-29,36
2011,Office of the Superintendent of Financial Institutions Canada,30-34,71
2011,Office of the Superintendent of Financial Institutions Canada,35-39,83
2011,Office of the Superintendent of Financial Institutions Canada,40-44,85
2011,Office of the Superintendent of Financial Institutions Canada,45-49,84
2011,Office of the Superintendent of Financial Institutions Canada,50-54,103
2011,Office of the Superintendent of Financial Institutions Canada,55-59,57
2011,Office of the Superintendent of Financial Institutions Canada,60-64,28
2011,Office of the Superintendent of Financial Institutions Canada,65+,7
2011,Office of the Superintendent of Financial Institutions Canada Total,Total,562
2011,Offices of the Information and Privacy Commissioners of Canada,20-24,*
2011,Offices of the Information and Privacy Commissioners of Canada,25-29,29
2011,Offices of the Information and Privacy Commissioners of Canada,30-34,36
2011,Offices of the Information and Privacy Commissioners of Canada,35-39,28
2011,Offices of the Information and Privacy Commissioners of Canada,40-44,34
2011,Offices of the Information and Privacy Commissioners of Canada,45-49,39
2011,Offices of the Information and Privacy Commissioners of Canada,50-54,32
2011,Offices of the Information and Privacy Commissioners of Canada,55-59,34
2011,Offices of the Information and Privacy Commissioners of Canada,60-64,14
2011,Offices of the Information and Privacy Commissioners of Canada,65+,*
2011,Offices of the Information and Privacy Commissioners of Canada Total,Total,256
2011,Parks Canada,<20,9
2011,Parks Canada,20-24,143
2011,Parks Canada,25-29,280
2011,Parks Canada,30-34,432
2011,Parks Canada,35-39,519
2011,Parks Canada,40-44,526
2011,Parks Canada,45-49,642
2011,Parks Canada,50-54,798
2011,Parks Canada,55-59,558
2011,Parks Canada,60-64,186
2011,Parks Canada,65+,34
2011,Parks Canada Total,Total,4127
2011,Parole Board of Canada,<20,*
2011,Parole Board of Canada,20-24,11
2011,Parole Board of Canada,25-29,35
2011,Parole Board of Canada,30-34,35
2011,Parole Board of Canada,35-39,42
2011,Parole Board of Canada,40-44,59
2011,Parole Board of Canada,45-49,59
2011,Parole Board of Canada,50-54,64
2011,Parole Board of Canada,55-59,65
2011,Parole Board of Canada,60-64,30
2011,Parole Board of Canada,65+,*
2011,Parole Board of Canada Total,Total,409
2011,Passport Canada,<20,10
2011,Passport Canada,20-24,149
2011,Passport Canada,25-29,384
2011,Passport Canada,30-34,541
2011,Passport Canada,35-39,393
2011,Passport Canada,40-44,338
2011,Passport Canada,45-49,321
2011,Passport Canada,50-54,254
2011,Passport Canada,55-59,134
2011,Passport Canada,60-64,43
2011,Passport Canada,65+,12
2011,Passport Canada Total,Total,2579
2011,Patented Medicine Prices Review Board Canada,20-24,*
2011,Patented Medicine Prices Review Board Canada,25-29,9
2011,Patented Medicine Prices Review Board Canada,30-34,8
2011,Patented Medicine Prices Review Board Canada,35-39,12
2011,Patented Medicine Prices Review Board Canada,40-44,*
2011,Patented Medicine Prices Review Board Canada,45-49,7
2011,Patented Medicine Prices Review Board Canada,50-54,13
2011,Patented Medicine Prices Review Board Canada,55-59,6
2011,Patented Medicine Prices Review Board Canada,60-64,*
2011,Patented Medicine Prices Review Board Canada,65+,*
2011,Patented Medicine Prices Review Board Canada Total,Total,66
2011,Privy Council Office,<20,*
2011,Privy Council Office,20-24,61
2011,Privy Council Office,25-29,90
2011,Privy Council Office,30-34,126
2011,Privy Council Office,35-39,132
2011,Privy Council Office,40-44,137
2011,Privy Council Office,45-49,130
2011,Privy Council Office,50-54,144
2011,Privy Council Office,55-59,64
2011,Privy Council Office,60-64,25
2011,Privy Council Office,65+,*
2011,Privy Council Office Total,Total,921
2011,Public Health Agency of Canada,<20,6
2011,Public Health Agency of Canada,20-24,154
2011,Public Health Agency of Canada,25-29,357
2011,Public Health Agency of Canada,30-34,419
2011,Public Health Agency of Canada,35-39,442
2011,Public Health Agency of Canada,40-44,395
2011,Public Health Agency of Canada,45-49,414
2011,Public Health Agency of Canada,50-54,335
2011,Public Health Agency of Canada,55-59,250
2011,Public Health Agency of Canada,60-64,95
2011,Public Health Agency of Canada,65+,30
2011,Public Health Agency of Canada Total,Total,2897
2011,Public Prosecution Service of Canada,<20,*
2011,Public Prosecution Service of Canada,20-24,16
2011,Public Prosecution Service of Canada,25-29,72
2011,Public Prosecution Service of Canada,30-34,135
2011,Public Prosecution Service of Canada,35-39,138
2011,Public Prosecution Service of Canada,40-44,177
2011,Public Prosecution Service of Canada,45-49,136
2011,Public Prosecution Service of Canada,50-54,107
2011,Public Prosecution Service of Canada,55-59,82
2011,Public Prosecution Service of Canada,60-64,16
2011,Public Prosecution Service of Canada,65+,*
2011,Public Prosecution Service of Canada Total,Total,887
2011,Public Safety Canada,<20,*
2011,Public Safety Canada,20-24,59
2011,Public Safety Canada,25-29,161
2011,Public Safety Canada,30-34,160
2011,Public Safety Canada,35-39,198
2011,Public Safety Canada,40-44,143
2011,Public Safety Canada,45-49,149
2011,Public Safety Canada,50-54,126
2011,Public Safety Canada,55-59,89
2011,Public Safety Canada,60-64,35
2011,Public Safety Canada,65+,*
2011,Public Safety Canada Total,Total,1127
2011,Public Servants Disclosure Protection Tribunal Canada,45-49,*
2011,Public Servants Disclosure Protection Tribunal Canada,50-54,*
2011,Public Servants Disclosure Protection Tribunal Canada,55-59,*
2011,Public Servants Disclosure Protection Tribunal Canada Total,Total,*
2011,Public Service Commission of Canada,<20,*
2011,Public Service Commission of Canada,20-24,37
2011,Public Service Commission of Canada,25-29,92
2011,Public Service Commission of Canada,30-34,125
2011,Public Service Commission of Canada,35-39,121
2011,Public Service Commission of Canada,40-44,125
2011,Public Service Commission of Canada,45-49,132
2011,Public Service Commission of Canada,50-54,183
2011,Public Service Commission of Canada,55-59,119
2011,Public Service Commission of Canada,60-64,45
2011,Public Service Commission of Canada,65+,*
2011,Public Service Commission of Canada Total,Total,996
2011,Public Service Labour Relations Board,20-24,6
2011,Public Service Labour Relations Board,25-29,15
2011,Public Service Labour Relations Board,30-34,8
2011,Public Service Labour Relations Board,35-39,8
2011,Public Service Labour Relations Board,40-44,6
2011,Public Service Labour Relations Board,45-49,15
2011,Public Service Labour Relations Board,50-54,15
2011,Public Service Labour Relations Board,55-59,9
2011,Public Service Labour Relations Board,60-64,*
2011,Public Service Labour Relations Board,65+,*
2011,Public Service Labour Relations Board Total,Total,88
2011,Public Service Staffing Tribunal,25-29,*
2011,Public Service Staffing Tribunal,30-34,*
2011,Public Service Staffing Tribunal,35-39,*
2011,Public Service Staffing Tribunal,40-44,7
2011,Public Service Staffing Tribunal,45-49,*
2011,Public Service Staffing Tribunal,50-54,6
2011,Public Service Staffing Tribunal,55-59,12
2011,Public Service Staffing Tribunal,60-64,*
2011,Public Service Staffing Tribunal,65+,*
2011,Public Service Staffing Tribunal Total,Total,40
2011,Public Services and Procurement Canada,<20,32
2011,Public Services and Procurement Canada,20-24,668
2011,Public Services and Procurement Canada,25-29,1260
2011,Public Services and Procurement Canada,30-34,1537
2011,Public Services and Procurement Canada,35-39,1593
2011,Public Services and Procurement Canada,40-44,1759
2011,Public Services and Procurement Canada,45-49,2265
2011,Public Services and Procurement Canada,50-54,2620
2011,Public Services and Procurement Canada,55-59,1731
2011,Public Services and Procurement Canada,60-64,712
2011,Public Services and Procurement Canada,65+,208
2011,Public Services and Procurement Canada Total,Total,14385
2011,RCMP External Review Committee,25-29,*
2011,RCMP External Review Committee,35-39,*
2011,RCMP External Review Committee,40-44,*
2011,RCMP External Review Committee,50-54,*
2011,RCMP External Review Committee Total,Total,*
2011,Registrar of the Supreme Court of Canada,<20,*
2011,Registrar of the Supreme Court of Canada,20-24,15
2011,Registrar of the Supreme Court of Canada,25-29,27
2011,Registrar of the Supreme Court of Canada,30-34,18
2011,Registrar of the Supreme Court of Canada,35-39,25
2011,Registrar of the Supreme Court of Canada,40-44,30
2011,Registrar of the Supreme Court of Canada,45-49,33
2011,Registrar of the Supreme Court of Canada,50-54,29
2011,Registrar of the Supreme Court of Canada,55-59,19
2011,Registrar of the Supreme Court of Canada,60-64,11
2011,Registrar of the Supreme Court of Canada,65+,*
2011,Registrar of the Supreme Court of Canada Total,Total,210
2011,Registry of the Specific Claims Tribunal of Canada,25-29,*
2011,Registry of the Specific Claims Tribunal of Canada,30-34,*
2011,Registry of the Specific Claims Tribunal of Canada,35-39,*
2011,Registry of the Specific Claims Tribunal of Canada,40-44,*
2011,Registry of the Specific Claims Tribunal of Canada,55-59,*
2011,Registry of the Specific Claims Tribunal of Canada Total,Total,9
2011,Royal Canadian Mounted Police,<20,6
2011,Royal Canadian Mounted Police,20-24,154
2011,Royal Canadian Mounted Police,25-29,543
2011,Royal Canadian Mounted Police,30-34,653
2011,Royal Canadian Mounted Police,35-39,740
2011,Royal Canadian Mounted Police,40-44,867
2011,Royal Canadian Mounted Police,45-49,1019
2011,Royal Canadian Mounted Police,50-54,1136
2011,Royal Canadian Mounted Police,55-59,682
2011,Royal Canadian Mounted Police,60-64,291
2011,Royal Canadian Mounted Police,65+,56
2011,Royal Canadian Mounted Police Total,Total,6147
2011,Security Intelligence Review Committee,30-34,*
2011,Security Intelligence Review Committee,35-39,*
2011,Security Intelligence Review Committee,40-44,*
2011,Security Intelligence Review Committee,45-49,*
2011,Security Intelligence Review Committee,50-54,*
2011,Security Intelligence Review Committee,55-59,*
2011,Security Intelligence Review Committee,60-64,*
2011,Security Intelligence Review Committee Total,Total,15
2011,Social Sciences and Humanities Research Council of Canada,<20,*
2011,Social Sciences and Humanities Research Council of Canada,20-24,6
2011,Social Sciences and Humanities Research Council of Canada,25-29,24
2011,Social Sciences and Humanities Research Council of Canada,30-34,42
2011,Social Sciences and Humanities Research Council of Canada,35-39,32
2011,Social Sciences and Humanities Research Council of Canada,40-44,31
2011,Social Sciences and Humanities Research Council of Canada,45-49,29
2011,Social Sciences and Humanities Research Council of Canada,50-54,31
2011,Social Sciences and Humanities Research Council of Canada,55-59,15
2011,Social Sciences and Humanities Research Council of Canada,60-64,*
2011,Social Sciences and Humanities Research Council of Canada Total,Total,216
2011,Statistical Survey Operations,<20,40
2011,Statistical Survey Operations,20-24,163
2011,Statistical Survey Operations,25-29,177
2011,Statistical Survey Operations,30-34,107
2011,Statistical Survey Operations,35-39,112
2011,Statistical Survey Operations,40-44,135
2011,Statistical Survey Operations,45-49,189
2011,Statistical Survey Operations,50-54,223
2011,Statistical Survey Operations,55-59,260
2011,Statistical Survey Operations,60-64,180
2011,Statistical Survey Operations,65+,95
2011,Statistical Survey Operations Total,Total,1681
2011,Statistics Canada,<20,17
2011,Statistics Canada,20-24,265
2011,Statistics Canada,25-29,601
2011,Statistics Canada,30-34,741
2011,Statistics Canada,35-39,847
2011,Statistics Canada,40-44,963
2011,Statistics Canada,45-49,989
2011,Statistics Canada,50-54,1028
2011,Statistics Canada,55-59,629
2011,Statistics Canada,60-64,266
2011,Statistics Canada,65+,78
2011,Statistics Canada Total,Total,6424
2011,The Correctional Investigator Canada,20-24,*
2011,The Correctional Investigator Canada,25-29,6
2011,The Correctional Investigator Canada,30-34,8
2011,The Correctional Investigator Canada,35-39,*
2011,The Correctional Investigator Canada,40-44,7
2011,The Correctional Investigator Canada,45-49,6
2011,The Correctional Investigator Canada,50-54,*
2011,The Correctional Investigator Canada Total,Total,31
2011,Transport Canada,<20,12
2011,Transport Canada,20-24,194
2011,Transport Canada,25-29,403
2011,Transport Canada,30-34,559
2011,Transport Canada,35-39,560
2011,Transport Canada,40-44,722
2011,Transport Canada,45-49,913
2011,Transport Canada,50-54,987
2011,Transport Canada,55-59,748
2011,Transport Canada,60-64,348
2011,Transport Canada,65+,107
2011,Transport Canada Total,Total,5553
2011,Transportation Appeal Tribunal of Canada,45-49,*
2011,Transportation Appeal Tribunal of Canada,50-54,*
2011,Transportation Appeal Tribunal of Canada,55-59,*
2011,Transportation Appeal Tribunal of Canada,60-64,*
2011,Transportation Appeal Tribunal of Canada Total,Total,9
2011,Transportation Safety Board of Canada,20-24,*
2011,Transportation Safety Board of Canada,25-29,*
2011,Transportation Safety Board of Canada,30-34,18
2011,Transportation Safety Board of Canada,35-39,19
2011,Transportation Safety Board of Canada,40-44,21
2011,Transportation Safety Board of Canada,45-49,46
2011,Transportation Safety Board of Canada,50-54,39
2011,Transportation Safety Board of Canada,55-59,33
2011,Transportation Safety Board of Canada,60-64,17
2011,Transportation Safety Board of Canada,65+,9
2011,Transportation Safety Board of Canada Total,Total,211
2011,Treasury Board of Canada Secretariat,<20,*
2011,Treasury Board of Canada Secretariat,20-24,126
2011,Treasury Board of Canada Secretariat,25-29,247
2011,Treasury Board of Canada Secretariat,30-34,321
2011,Treasury Board of Canada Secretariat,35-39,295
2011,Treasury Board of Canada Secretariat,40-44,283
2011,Treasury Board of Canada Secretariat,45-49,309
2011,Treasury Board of Canada Secretariat,50-54,317
2011,Treasury Board of Canada Secretariat,55-59,200
2011,Treasury Board of Canada Secretariat,60-64,59
2011,Treasury Board of Canada Secretariat,65+,*
2011,Treasury Board of Canada Secretariat Total,Total,2177
2011,Veterans Affairs Canada,<20,19
2011,Veterans Affairs Canada,20-24,151
2011,Veterans Affairs Canada,25-29,204
2011,Veterans Affairs Canada,30-34,338
2011,Veterans Affairs Canada,35-39,445
2011,Veterans Affairs Canada,40-44,526
2011,Veterans Affairs Canada,45-49,723
2011,Veterans Affairs Canada,50-54,807
2011,Veterans Affairs Canada,55-59,559
2011,Veterans Affairs Canada,60-64,265
2011,Veterans Affairs Canada,65+,52
2011,Veterans Affairs Canada Total,Total,4089
2011,Western Economic Diversification Canada,20-24,38
2011,Western Economic Diversification Canada,25-29,59
2011,Western Economic Diversification Canada,30-34,63
2011,Western Economic Diversification Canada,35-39,45
2011,Western Economic Diversification Canada,40-44,45
2011,Western Economic Diversification Canada,45-49,65
2011,Western Economic Diversification Canada,50-54,67
2011,Western Economic Diversification Canada,55-59,65
2011,Western Economic Diversification Canada,60-64,*
2011,Western Economic Diversification Canada,65+,*
2011,Western Economic Diversification Canada Total,Total,479
2011,Women and Gender Equality Canada,20-24,7
2011,Women and Gender Equality Canada,25-29,12
2011,Women and Gender Equality Canada,30-34,13
2011,Women and Gender Equality Canada,35-39,11
2011,Women and Gender Equality Canada,40-44,8
2011,Women and Gender Equality Canada,45-49,11
2011,Women and Gender Equality Canada,50-54,23
2011,Women and Gender Equality Canada,55-59,12
2011,Women and Gender Equality Canada,60-64,*
2011,Women and Gender Equality Canada,65+,*
2011,Women and Gender Equality Canada Total,Total,102
2012,Agriculture and Agri-Food Canada,<20,44
2012,Agriculture and Agri-Food Canada,20-24,406
2012,Agriculture and Agri-Food Canada,25-29,478
2012,Agriculture and Agri-Food Canada,30-34,626
2012,Agriculture and Agri-Food Canada,35-39,755
2012,Agriculture and Agri-Food Canada,40-44,782
2012,Agriculture and Agri-Food Canada,45-49,1004
2012,Agriculture and Agri-Food Canada,50-54,1154
2012,Agriculture and Agri-Food Canada,55-59,906
2012,Agriculture and Agri-Food Canada,60-64,353
2012,Agriculture and Agri-Food Canada,65+,136
2012,Agriculture and Agri-Food Canada Total,Total,6644
2012,Assisted Human Reproduction Canada,25-29,*
2012,Assisted Human Reproduction Canada,30-34,*
2012,Assisted Human Reproduction Canada,40-44,*
2012,Assisted Human Reproduction Canada,45-49,*
2012,Assisted Human Reproduction Canada,50-54,*
2012,Assisted Human Reproduction Canada,55-59,*
2012,Assisted Human Reproduction Canada,60-64,*
2012,Assisted Human Reproduction Canada,65+,*
2012,Assisted Human Reproduction Canada Total,Total,14
2012,Atlantic Canada Opportunities Agency,20-24,23
2012,Atlantic Canada Opportunities Agency,25-29,40
2012,Atlantic Canada Opportunities Agency,30-34,68
2012,Atlantic Canada Opportunities Agency,35-39,100
2012,Atlantic Canada Opportunities Agency,40-44,117
2012,Atlantic Canada Opportunities Agency,45-49,133
2012,Atlantic Canada Opportunities Agency,50-54,105
2012,Atlantic Canada Opportunities Agency,55-59,72
2012,Atlantic Canada Opportunities Agency,60-64,*
2012,Atlantic Canada Opportunities Agency,65+,*
2012,Atlantic Canada Opportunities Agency Total,Total,677
2012,Canada Border Services Agency,<20,17
2012,Canada Border Services Agency,20-24,605
2012,Canada Border Services Agency,25-29,1851
2012,Canada Border Services Agency,30-34,2350
2012,Canada Border Services Agency,35-39,2138
2012,Canada Border Services Agency,40-44,1951
2012,Canada Border Services Agency,45-49,2128
2012,Canada Border Services Agency,50-54,1955
2012,Canada Border Services Agency,55-59,1188
2012,Canada Border Services Agency,60-64,403
2012,Canada Border Services Agency,65+,124
2012,Canada Border Services Agency Total,Total,14710
2012,Canada Economic Development for Quebec Regions,20-24,23
2012,Canada Economic Development for Quebec Regions,25-29,27
2012,Canada Economic Development for Quebec Regions,30-34,38
2012,Canada Economic Development for Quebec Regions,35-39,60
2012,Canada Economic Development for Quebec Regions,40-44,50
2012,Canada Economic Development for Quebec Regions,45-49,62
2012,Canada Economic Development for Quebec Regions,50-54,84
2012,Canada Economic Development for Quebec Regions,55-59,43
2012,Canada Economic Development for Quebec Regions,60-64,*
2012,Canada Economic Development for Quebec Regions,65+,*
2012,Canada Economic Development for Quebec Regions Total,Total,401
2012,Canada Energy Regulator,20-24,10
2012,Canada Energy Regulator,25-29,32
2012,Canada Energy Regulator,30-34,52
2012,Canada Energy Regulator,35-39,53
2012,Canada Energy Regulator,40-44,45
2012,Canada Energy Regulator,45-49,64
2012,Canada Energy Regulator,50-54,66
2012,Canada Energy Regulator,55-59,45
2012,Canada Energy Regulator,60-64,22
2012,Canada Energy Regulator,65+,7
2012,Canada Energy Regulator Total,Total,396
2012,Canada Industrial Relations Board,20-24,*
2012,Canada Industrial Relations Board,25-29,8
2012,Canada Industrial Relations Board,30-34,8
2012,Canada Industrial Relations Board,35-39,8
2012,Canada Industrial Relations Board,40-44,10
2012,Canada Industrial Relations Board,45-49,15
2012,Canada Industrial Relations Board,50-54,18
2012,Canada Industrial Relations Board,55-59,8
2012,Canada Industrial Relations Board,60-64,11
2012,Canada Industrial Relations Board,65+,*
2012,Canada Industrial Relations Board Total,Total,89
2012,Canada Revenue Agency,<20,64
2012,Canada Revenue Agency,20-24,1278
2012,Canada Revenue Agency,25-29,2863
2012,Canada Revenue Agency,30-34,3916
2012,Canada Revenue Agency,35-39,4769
2012,Canada Revenue Agency,40-44,5614
2012,Canada Revenue Agency,45-49,7264
2012,Canada Revenue Agency,50-54,8359
2012,Canada Revenue Agency,55-59,5498
2012,Canada Revenue Agency,60-64,2351
2012,Canada Revenue Agency,65+,692
2012,Canada Revenue Agency Total,Total,42668
2012,Canada School of Public Service,20-24,29
2012,Canada School of Public Service,25-29,95
2012,Canada School of Public Service,30-34,115
2012,Canada School of Public Service,35-39,131
2012,Canada School of Public Service,40-44,129
2012,Canada School of Public Service,45-49,107
2012,Canada School of Public Service,50-54,117
2012,Canada School of Public Service,55-59,108
2012,Canada School of Public Service,60-64,59
2012,Canada School of Public Service,65+,25
2012,Canada School of Public Service Total,Total,915
2012,Canadian Artists and Producers Professional Relations Tribunal,25-29,*
2012,Canadian Artists and Producers Professional Relations Tribunal,35-39,*
2012,Canadian Artists and Producers Professional Relations Tribunal,40-44,*
2012,Canadian Artists and Producers Professional Relations Tribunal,45-49,*
2012,Canadian Artists and Producers Professional Relations Tribunal,50-54,*
2012,Canadian Artists and Producers Professional Relations Tribunal,55-59,*
2012,Canadian Artists and Producers Professional Relations Tribunal,65+,*
2012,Canadian Artists and Producers Professional Relations Tribunal Total,Total,10
2012,Canadian Dairy Commission,20-24,*
2012,Canadian Dairy Commission,25-29,9
2012,Canadian Dairy Commission,30-34,9
2012,Canadian Dairy Commission,35-39,11
2012,Canadian Dairy Commission,40-44,11
2012,Canadian Dairy Commission,45-49,6
2012,Canadian Dairy Commission,50-54,7
2012,Canadian Dairy Commission,55-59,*
2012,Canadian Dairy Commission,60-64,*
2012,Canadian Dairy Commission,65+,*
2012,Canadian Dairy Commission Total,Total,63
2012,Canadian Food Inspection Agency,<20,*
2012,Canadian Food Inspection Agency,20-24,165
2012,Canadian Food Inspection Agency,25-29,544
2012,Canadian Food Inspection Agency,30-34,981
2012,Canadian Food Inspection Agency,35-39,955
2012,Canadian Food Inspection Agency,40-44,839
2012,Canadian Food Inspection Agency,45-49,989
2012,Canadian Food Inspection Agency,50-54,1044
2012,Canadian Food Inspection Agency,55-59,726
2012,Canadian Food Inspection Agency,60-64,266
2012,Canadian Food Inspection Agency,65+,*
2012,Canadian Food Inspection Agency Total,Total,6580
2012,Canadian Grain Commission,20-24,16
2012,Canadian Grain Commission,25-29,57
2012,Canadian Grain Commission,30-34,71
2012,Canadian Grain Commission,35-39,76
2012,Canadian Grain Commission,40-44,78
2012,Canadian Grain Commission,45-49,94
2012,Canadian Grain Commission,50-54,166
2012,Canadian Grain Commission,55-59,81
2012,Canadian Grain Commission,60-64,33
2012,Canadian Grain Commission,65+,8
2012,Canadian Grain Commission Total,Total,680
2012,Canadian Heritage,<20,*
2012,Canadian Heritage,20-24,62
2012,Canadian Heritage,25-29,133
2012,Canadian Heritage,30-34,266
2012,Canadian Heritage,35-39,295
2012,Canadian Heritage,40-44,289
2012,Canadian Heritage,45-49,279
2012,Canadian Heritage,50-54,335
2012,Canadian Heritage,55-59,208
2012,Canadian Heritage,60-64,92
2012,Canadian Heritage,65+,*
2012,Canadian Heritage Total,Total,1981
2012,Canadian Human Rights Commission,<20,*
2012,Canadian Human Rights Commission,20-24,*
2012,Canadian Human Rights Commission,25-29,19
2012,Canadian Human Rights Commission,30-34,20
2012,Canadian Human Rights Commission,35-39,32
2012,Canadian Human Rights Commission,40-44,18
2012,Canadian Human Rights Commission,45-49,44
2012,Canadian Human Rights Commission,50-54,31
2012,Canadian Human Rights Commission,55-59,23
2012,Canadian Human Rights Commission,60-64,12
2012,Canadian Human Rights Commission,65+,*
2012,Canadian Human Rights Commission Total,Total,209
2012,Canadian Institutes of Health Research,20-24,*
2012,Canadian Institutes of Health Research,25-29,38
2012,Canadian Institutes of Health Research,30-34,72
2012,Canadian Institutes of Health Research,35-39,76
2012,Canadian Institutes of Health Research,40-44,66
2012,Canadian Institutes of Health Research,45-49,64
2012,Canadian Institutes of Health Research,50-54,54
2012,Canadian Institutes of Health Research,55-59,34
2012,Canadian Institutes of Health Research,60-64,14
2012,Canadian Institutes of Health Research,65+,*
2012,Canadian Institutes of Health Research Total,Total,424
2012,Canadian Intergovernmental Conference Secretariat,25-29,*
2012,Canadian Intergovernmental Conference Secretariat,30-34,*
2012,Canadian Intergovernmental Conference Secretariat,40-44,*
2012,Canadian Intergovernmental Conference Secretariat,45-49,*
2012,Canadian Intergovernmental Conference Secretariat,50-54,6
2012,Canadian Intergovernmental Conference Secretariat,55-59,*
2012,Canadian Intergovernmental Conference Secretariat,60-64,*
2012,Canadian Intergovernmental Conference Secretariat,65+,*
2012,Canadian Intergovernmental Conference Secretariat Total,Total,21
2012,Canadian International Trade Tribunal,20-24,*
2012,Canadian International Trade Tribunal,25-29,*
2012,Canadian International Trade Tribunal,30-34,8
2012,Canadian International Trade Tribunal,35-39,16
2012,Canadian International Trade Tribunal,40-44,17
2012,Canadian International Trade Tribunal,45-49,7
2012,Canadian International Trade Tribunal,50-54,9
2012,Canadian International Trade Tribunal,55-59,9
2012,Canadian International Trade Tribunal,60-64,*
2012,Canadian International Trade Tribunal Total,Total,77
2012,Canadian Nuclear Safety Commission,20-24,23
2012,Canadian Nuclear Safety Commission,25-29,62
2012,Canadian Nuclear Safety Commission,30-34,70
2012,Canadian Nuclear Safety Commission,35-39,105
2012,Canadian Nuclear Safety Commission,40-44,121
2012,Canadian Nuclear Safety Commission,45-49,146
2012,Canadian Nuclear Safety Commission,50-54,154
2012,Canadian Nuclear Safety Commission,55-59,108
2012,Canadian Nuclear Safety Commission,60-64,58
2012,Canadian Nuclear Safety Commission,65+,17
2012,Canadian Nuclear Safety Commission Total,Total,864
2012,Canadian Polar Commission,50-54,*
2012,Canadian Polar Commission,55-59,*
2012,Canadian Polar Commission Total,Total,*
2012,Canadian Radio-television and Telecommunications Commission,20-24,17
2012,Canadian Radio-television and Telecommunications Commission,25-29,42
2012,Canadian Radio-television and Telecommunications Commission,30-34,69
2012,Canadian Radio-television and Telecommunications Commission,35-39,59
2012,Canadian Radio-television and Telecommunications Commission,40-44,41
2012,Canadian Radio-television and Telecommunications Commission,45-49,63
2012,Canadian Radio-television and Telecommunications Commission,50-54,71
2012,Canadian Radio-television and Telecommunications Commission,55-59,52
2012,Canadian Radio-television and Telecommunications Commission,60-64,26
2012,Canadian Radio-television and Telecommunications Commission,65+,11
2012,Canadian Radio-television and Telecommunications Commission Total,Total,451
2012,Canadian Space Agency,<20,*
2012,Canadian Space Agency,20-24,30
2012,Canadian Space Agency,25-29,58
2012,Canadian Space Agency,30-34,69
2012,Canadian Space Agency,35-39,105
2012,Canadian Space Agency,40-44,113
2012,Canadian Space Agency,45-49,136
2012,Canadian Space Agency,50-54,122
2012,Canadian Space Agency,55-59,69
2012,Canadian Space Agency,60-64,38
2012,Canadian Space Agency,65+,*
2012,Canadian Space Agency Total,Total,755
2012,Canadian Transportation Agency,<20,*
2012,Canadian Transportation Agency,20-24,13
2012,Canadian Transportation Agency,25-29,25
2012,Canadian Transportation Agency,30-34,28
2012,Canadian Transportation Agency,35-39,36
2012,Canadian Transportation Agency,40-44,23
2012,Canadian Transportation Agency,45-49,38
2012,Canadian Transportation Agency,50-54,45
2012,Canadian Transportation Agency,55-59,26
2012,Canadian Transportation Agency,60-64,9
2012,Canadian Transportation Agency,65+,*
2012,Canadian Transportation Agency Total,Total,250
2012,Civilian Review and Complaints Commission for the RCMP,20-24,10
2012,Civilian Review and Complaints Commission for the RCMP,25-29,6
2012,Civilian Review and Complaints Commission for the RCMP,30-34,*
2012,Civilian Review and Complaints Commission for the RCMP,35-39,*
2012,Civilian Review and Complaints Commission for the RCMP,40-44,8
2012,Civilian Review and Complaints Commission for the RCMP,45-49,*
2012,Civilian Review and Complaints Commission for the RCMP,50-54,10
2012,Civilian Review and Complaints Commission for the RCMP,55-59,9
2012,Civilian Review and Complaints Commission for the RCMP,60-64,*
2012,Civilian Review and Complaints Commission for the RCMP,65+,*
2012,Civilian Review and Complaints Commission for the RCMP Total,Total,55
2012,Communications Security Establishment,20-24,75
2012,Communications Security Establishment,25-29,172
2012,Communications Security Establishment,30-34,326
2012,Communications Security Establishment,35-39,282
2012,Communications Security Establishment,40-44,253
2012,Communications Security Establishment,45-49,315
2012,Communications Security Establishment,50-54,330
2012,Communications Security Establishment,55-59,147
2012,Communications Security Establishment,60-64,61
2012,Communications Security Establishment,65+,24
2012,Communications Security Establishment Total,Total,1985
2012,Competition Bureau Canada,25-29,*
2012,Competition Bureau Canada,30-34,*
2012,Competition Bureau Canada,35-39,*
