original_name,standardized_name
Assemblée des groupes de femmes d'interventions régionales,Assemblée des groupes de femmes d'interventions régionales
Assemblée des premières nations du Québec-Labrador,Assemblée des Premières des Nations Québec-Labrador
Assent Compliance Inc,Assent Compliance Inc
Asser Institute,Asser Institute
Asset Direct of Canada Inc,Asset Direct of Canada Inc
Assiniboia Residential School Legacy Group Inc,Assiniboia Residential School Legacy Group Inc
Assiniboine Community College,Assiniboine Community College
Assiniboine Credit Union,Assiniboine Credit Union Ltd
Assiniboine Credit Union Limited,Assiniboine Credit Union Ltd
Assiniboine Credit Union Ltd,Assiniboine Credit Union Ltd
Assiniboine Park Conservancy,Assiniboine Park Conservancy
Assiniboine Park Conservancy Inc,Assiniboine Park Conservancy
Assiniboine River Basin Initiative,Assiniboine River Basin Initiative
Assiniboine West Watershed District,Assiniboine West Watershed District
Associacao Hopem Homens Pela Mudanca,Associacao Hopem Homens Pela Mudanca
Associated Designers of Canada,Associated Designers of Canada
Association Afrique Future Canada,Association Afrique Future Canada
Association Bénévole Amitié Inc,Association Bénévole Amitié Inc
Association Canadienne Française de l'Alberta - Régionale Centralta,Association Canadienne Française de l'Alberta - Régionale Centralta
Association Canadienne de Tennis,Association Canadienne de Tennis
Association Canadienne française de L'Alberta,Association canadienne française de l'Alberta
Association Canadienne française de L'Alberta - Régionale de Calgary,Association canadienne française de l'Alberta
Association Canadienne française de l'Alberta,Association canadienne française de l'Alberta
Association Canadienne française de l'Alberta - Régionale de Calgary,Association canadienne française de l'Alberta
Association Canadienne pour la santé mentale Saguenay,Association Canadienne pour la santé mentale Saguenay
Association Canadienne-Française de L'Alberta Régionale de Lethbridge,Association canadienne française de l'Alberta
Association Canadienne-Française de Regina Inc.,Association canadienne française de Regina Inc
"Association Canadienne-Française de l'Alberta, Régionale de Grande Prairie","Association Canadienne-Française de l'Alberta, Régionale de Grande Prairie"
Association Canadienne-Française de l`Alberta - Régionale de Rivière-la-Paix,Association Canadienne-Française de l`Alberta - Régionale de Rivière-la-Paix
Association Chabad sur le Campus,Association Chabad sur le Campus
Association Communautaire Fransaskoise de Gravelbourg Inc.,Association Communautaire Fransaskoise de Gravelbourg Inc.
Association Coopérative des étudiants du collège Édouard-Montpetit,Association Coopérative des étudiants du collège Édouard-Montpetit
Association Culturelle Haïtienne La perle retrouvée,Association Culturelle Haïtienne La perle retrouvée
Association Culturelle Sociale et Age D'or de Kazabazua,Association Culturelle Sociale et Age D'or de Kazabazua
Association Culturelle de la Francophonie Manitobaine inc,Association culturelle de la francophonie Manitobaine Inc
Association De Gestion Halieutique Autochtone Mi'Gmaq Et Malecite,Association de Gestion Halieutique Autochtone Mi'Gmaq et Malecite
Association Forestière Des Deux Rives,Association Forestière Des Deux Rives
Association Forestière des Deux Rives,Association Forestière des Deux Rives
Association Franco-Albertaine de l'Unithéâtre,Association Franco-Albertaine de l'Unithéâtre
Association Franco-Albertaine de l'unithéâtre,Association Franco-Albertaine de l'Unithéâtre
Association Franco-Culturelle de Hay River (1999),Association Franco-Culturelle de Hay River (1999)
Association Franco-Ontarienne des Conseils Scolaires Catholiques,Association Franco-Ontarienne des Conseils Scolaires Catholiques
Association Franco-Yukonnaise,Association Franco-Yukonnaise
Association Francophone de La Vallée,Association Francophone de la Vallée
Association Francophone de la Vallée,Association Francophone de la Vallée
Association Francophone des Municipalités du Nouveau-Brunswick inc,Association francophone des municipalités du Nouveau-Brunswick Inc
Association Francophone des aînés du Nouveau-Brunswick Inc.,Association francophone des aînés du Nouveau-Brunswick Inc
Association LGBT+ Baie-des-Chaleurs,Association LGBT+ Baie-des-Chaleurs
Association Nationale des Éditeurs de Livres,Association Nationale des Éditeurs de Livres
Association Nationale des éditeurs de livres,Association Nationale des Éditeurs de Livres
Association Of Iroquois And Allied Indians,Association Of Iroquois And Allied Indians
"Association Of Metis, Non, Status Indians Of Saskatchewan Inc","Association Of Metis, Non, Status Indians Of Saskatchewan Inc"
Association PANDA,Association PANDA
Association Para El Desarrollo Sinergias,Association Para El Desarrollo Sinergias
Association Prévention Suicide Des Premières Nations Et Des Inuits Du Québec,Association prévention suicide des Premières nations et Inuits du Québec et du Labrador
Association Prévention Suicide Premières Nations et des Inuits du Québec,Association prévention suicide des Premières nations et Inuits du Québec et du Labrador
Association Québécoise de l'industrie du disque,Association Québécoise de l'Industrie du Disque Spectacle et Vidéo Inc
Association Renaissance des Appalaches,Association Renaissance des Appalaches
Association Récréotouristique Montréal-Nord,Association Récréotouristique Montréal-Nord
Association Sportive Les Ballons Intensifs,Association Sportive Les Ballons Intensifs
Association Touristique Autochtone De L'Ipe,Association Touristique Autochtone de L'Ipe
Association Touristique Autochtone de L'Ipe,Association Touristique Autochtone de L'Ipe
Association Touristique Autochtone de l'Île du Prince-Édouard,Association Touristique Autochtone de l'Île du Prince-Édouard
Association YWCA de Québec,YWCA
Association acadienne des artistes professionnel.Le.S Du N.-B. Inc,Association acadienne des artistes professionnelles du N-B Inc
Association acadienne des artistes professionnel.Le.S du N.-B. Inc,Association acadienne des artistes professionnelles du N-B Inc
Association acadienne des artistes professionnelLeS du N-B Inc,Association acadienne des artistes professionnelles du N-B Inc
Association canadienne d'éducation de langue française,Association canadienne d'éducation de langue française
Association canadienne des Professionnels de L'Immersion (Acpi),Association canadienne des professionnels de l'immersion
Association canadienne des Professionnels de l'Immersion (ACPI),Association canadienne des professionnels de l'immersion
Association canadienne des professionnels de l'Immersion (Acpi),Association canadienne des professionnels de l'immersion
Association canadienne des professionnels de l'immersion,Association canadienne des professionnels de l'immersion
Association canadienne des professionnels de l'immersion (Acpi),Association canadienne des professionnels de l'immersion
Association canadienne française de l'Alberta,Association canadienne française de l'Alberta
Association canadienne française de l'Alberta - Régionale de Calgary,Association canadienne française de l'Alberta
Association canadienne-Française de l'Alberta régionale de Lethbridge,Association canadienne française de l'Alberta
Association canadienne-française de L'Alberta Régionale D'Edmonton,Association canadienne française de l'Alberta
Association canadienne-française de l'Alberta Régionale d'Edmonton,Association canadienne française de l'Alberta
Association canadienne-française de l'Alberta régionale d'Edmonton,Association canadienne française de l'Alberta
Association canadienne-française de l'Alberta régionale de Lethbridge,Association canadienne française de l'Alberta
"Association canadienne-française de l'Alberta, Régionale de Red Deer","Association canadienne-française de l'Alberta, Régionale de Red Deer"
Association canadienne-française de l'Ontario régional des Mille-Îles,Association canadienne française de l'Ontario
"Association canadienne-française de l'Ontario, régionale Stormont, Dunda et Glengarry",Association canadienne française de l'Ontario
"Association canadienne-française de l'Ontario, régionale Stormont, Dundas et Glengarry",Association canadienne française de l'Ontario
Association chrétienne des jeunes femmes de Montréal,YWCA
Association communautaire fransaskoise de Regina Incorporée,Association communautaire fransaskoise de Regina Incorporée
Association coopérative d'économie familiale de l'île-Jésus,Association coopérative d'économie familiale de l'île-Jésus
Association culturelle de la francophonie Manitobaine Inc,Association culturelle de la francophonie Manitobaine Inc
Association culturelle franco-manitobaine inc (L'),Association Culturelle Franco Manitobaine Inc
Association d'entraide Le Chainon Inc,Association d'entraide Le Chainon Inc
Association de Gestion Halieutique Autochtone Mi'Gmaq et Malecite,Association de Gestion Halieutique Autochtone Mi'Gmaq et Malecite
Association de Gestion Halieutique Autochtone Mi'Kmaq Et Malécite,Association de Gestion Halieutique Autochtone Mi'Gmaq et Malecite
Association de Gestion Halieutique Autochtone Mi'Kmaq Et Wolastoqey,Association de Gestion Halieutique Autochtone Mi'Kmaq Et Wolastoqey
Association de La Presse francophone,Association de La Presse Francophone
Association de gestion halieutique Mi'gmaq et Malécite,Association de Gestion Halieutique Autochtone Mi'Gmaq et Malecite
Association de gestion halieutique autochtone Mi'gmaq et Wolastoqey,Association de gestion halieutique autochtone Mi'gmaq et Wolastoqey
Association de l'Agrotourisme et du Tourisme Gourmand du Québec,Association de l'Agrotourisme et du Tourisme Gourmand du Québec
Association de l'Aluminium du Canada,Association de l'Aluminium du Canada
Association de l'exploration minière du Québec,Association de l'exploration minière du Québec
Association de la gestion intégrée de la rivière Maskinongé,Association de la gestion intégrée de la rivière Maskinongé
Association de la presse francophone,Association de La Presse Francophone
Association de villégiature de la Station Mont Tremblant,Association de villégiature de la Station Mont Tremblant
Association des Collèges et Universités de La Francophonie canadienne,Association des collèges et universités de la francophonie canadienne
Association des Crabiers Acadiens,Association des crabiers acadiens
Association des Crabiers Gaspesiens Inc,Association des Crabiers Gaspésiens Inc
Association des Crabiers Gaspésiens Inc,Association des Crabiers Gaspésiens Inc
Association des Femmes Immigrantes Francophones Cornwall-SDG,Association des Femmes Immigrantes Francophones Cornwall-SDG
Association des Francophones du Nunavut,Association des Francophones du Nunavut
Association des Francophones et Francophiles du Nord-Ouest,Association des Francophones et Francophiles du Nord-Ouest
Association des Maisons de Jeunes de Mirabel,Association des Maisons de Jeunes de Mirabel
Association des Municipalités Bilingues du Manitoba Inc,Association des Municipalités Bilingues du Manitoba Inc
Association des Municipalités bilingues du Manitoba inc,Association des Municipalités bilingues du Manitoba inc
Association des Médecins Vétérinaires Praticiens du Québec,Association des Médecins Vétérinaires Praticiens du Québec
Association des Pecheurs Profession Crabiers Acadiens Inc (Appca),Association des Pecheurs Profession Crabiers Acadiens Inc (Appca)
Association des Pecheurs de Petoncles des Iles-de-la-Madeleine,Association des Pecheurs de Petoncles des Iles-de-la-Madeleine
Association des Personnes Handicapées de Témiscaming et Kipawa,Association des Personnes Handicapées de Témiscaming et Kipawa
Association des Universités de la francophonie canadienne,Association des universités de la francophonie Canadienne
Association des capitaines propriétaires de la Gaspésie,Association des capitaines propriétaires de la Gaspésie
Association des collèges et universités de la francophonie canadienne,Association des collèges et universités de la francophonie canadienne
Association des communautés francophones d'Ottawa,Association des communautés francophones d'Ottawa
Association des crabiers acadiens,Association des crabiers acadiens
Association des croisières du Saint-Laurent Inc,Association des croisières du Saint-Laurent Inc
Association des côtiers de la Basse Côte-Nord Inc,Association des côtiers de la Basse Côte-Nord Inc
Association des femmes autochtones du Canada,Association des femmes autochtones du Canada
Association des francophones de la région de York,Association des francophones de la région de York
Association des francophones de la région de York (L'),Association des francophones de la région de York
Association des francophones des Kootenays Ouest,Association des francophones des Kootenays Ouest
Association des francophones du Nord-Ouest de l'Ontario,Association des francophones du Nord-Ouest de l'Ontario
Association des francophones du Nunavut,Association des Francophones du Nunavut
Association des francophones et francophiles du Nord-Ouest,Association des Francophones et Francophiles du Nord-Ouest
Association des francophones et francophiles du nord-ouest,Association des Francophones et Francophiles du Nord-Ouest
Association des groupes en arts visuels francophones,Association des groupes en arts visuels francophones
Association des juristes d'expression française de l'Alberta,Association des juristes d'expression française de l'Alberta
Association des juristes d'expression française de l'Ontario,Association des juristes d'expression française de l'Ontario
Association des juristes d'expression française de la Colombie-Britannique,Association des juristes d'expression française de la Colombie-Britannique
Association des juristes d'expression française de la Nouvelle-Écosse,Association des juristes d'expression française de la Nouvelle-écosse
Association des juristes d'expression française de la Saskatchewan,Association des juristes d'expression française de la Saskatchewan
Association des juristes d'expression française du Manitoba,Association des juristes d'expression française du Manitoba
Association des juristes d'expression française du Nouveau-Brunswick,Association des juristes d'expression française du Nouveau-Brunswick
Association des libraires du Québec,Association des libraires du Québec
Association des municipalités bilingues du Manitoba Inc,Association des municipalités bilingues du Manitoba Inc
Association des parents fransaskois Inc,Association des Parents Fransaskois Inc
Association des parents fransaskois inc,Association des Parents Fransaskois Inc
Association des personnes handicapées Matawinie,Association des personnes handicapées Matawinie
Association des personnes handicapées de la MRC de Bécancour,Association des personnes handicapées de la MRC de Bécancour
Association des professsionnelles de la chanson et de la musique Franco-Ontariennes,Association des professsionnelles de la chanson et de la musique Franco-Ontariennes
Association des pêcheurs professionnels crabiers acadiens (APPCA),L'Association des pêcheurs professionnels crabiers acadiens
Association des radios,Association des radios
Association des radios communautaires acadiennes du Nouveau-Brunswick Inc,Association des radios communautaires acadiennes du Nouveau-Brunswick Inc
Association des radios communautaires acadiennes du Nouveau-Brunswick Inc.,Association des radios communautaires acadiennes du Nouveau-Brunswick Inc
Association des résidents de Champfleury,Association des résidents de Champfleury
Association des services de réhabilitation sociale du Québec,Association des services de réhabilitation sociale du Québec
Association des sociétés de développement commercial de Montréal (ASDCM),Association des sociétés de développement commercial de Montréal (ASDCM)
Association des stations de ski du Québec,Association des stations de ski du Québec
Association des théâtres francophones du Canada (L'),Association des théâtres francophones du Canada
Association des tréâtres francophones du Canada (L'),Association des théâtres francophones du Canada
Association du Centre Communautaire de la Rive Sud,Association du Centre Communautaire de la Rive Sud
Association du Festival de magie de Québec,Association du Festival de magie de Québec
Association du Québec pour l'intégration sociale,Association du Québec pour l'intégration sociale
Association du tourisme religieux et spirituel du Québec,Association du tourisme religieux et spirituel du Québec
Association entre CRC Sogema Inc/UQTR/Université de Sherbrooke/Collège de Maisonneuve,Association entre CRC Sogema Inc/Université du Québec à Trois-Rivières/Université de Sherbrooke/Collège de Maisonneuve
Association entre CRC Sogema Inc/Université du Québec à Trois-Rivières/Université de Sherbrooke/Collège de Maisonneuve,Association entre CRC Sogema Inc/Université du Québec à Trois-Rivières/Université de Sherbrooke/Collège de Maisonneuve
Association for Action on Smoking and Health,Association for Action on Smoking and Health
Association for Canadian Studies,Association for Canadian Studies
Association for Community Living - Steinbach Branch Inc,Association for Community Living
Association for Generational Equity,Association for Generational Equity
Association for Native Development in the Performing and Visual Arts,Association for Native Development in the Performing and Visual Arts
Association for New Canadians,Association for New Canadians
Association for new canadians,Association for New Canadians
Association for the Alberta Network of Immigrant Women,Association for the Alberta Network of Immigrant Women
Association for the Prevention of Torture,Association for the Prevention of Torture
Association franco-yukonnaise,Association Franco-Yukonnaise
Association francophone de Brooks,Association francophone de Brooks
Association francophone de Kamloops,Association francophone de Kamloops
Association francophone des aînés du Nouveau-Brunswick Inc,Association francophone des aînés du Nouveau-Brunswick Inc
Association francophone des municipalités du Nouveau-Brunswick,Association francophone des municipalités du Nouveau-Brunswick Inc
Association francophone des municipalités du Nouveau-Brunswick inc,Association francophone des municipalités du Nouveau-Brunswick Inc
Association francophone des parents du Nouveau-Brunswick Inc,Association francophone des parents du Nouveau-Brunswick Inc
Association francophone à l'education des services à l'enfance de l'Ontario,Association francophone à l'education des services à l'enfance de l'Ontario
Association féminine d'éducation et d'action sociale,Association féminine d'éducation et d'action sociale
Association jeunesse Fransaskoise Inc,Association Jeunesse Fransaskoise Inc
Association jeunesse fransaskoise Inc,Association jeunesse fransaskoise Inc
Association nationale des éditeurs de livres,Association Nationale des Éditeurs de Livres
Association of Alberta Municipalities,Association of Alberta Municipalities
Association of Alberta Sexual Assault Services,Association of Alberta Sexual Assault Services
Association of Black Entrepreneurs and Professionals of Ottawa-Gatineau,Association of Black Entrepreneurs and Professionals of Ottawa-Gatineau
Association of British Columbia Marine Industries,Association of British Columbia Marine Industries
Association of Canada Lands Surveyors,Association of Canada Lands Surveyors
Association of Canadian Faculties of Dentistry,Association of Canadian Faculties of Dentistry
Association of Canadian Occupational Therapy Regulatory Organizations,Association of Canadian Occupational Therapy Regulatory Organizations
Association of Canadian Psychology Regulatory Organizations,Association of Canadian Psychology Regulatory Organizations
Association of Canadian Publishers,Association of Canadian Publishers
Association of Canadian Universities for Northern Studies,Association of Canadian Universities for Northern Studies
Association of Communities Against Abuse,Association of Communities Against Abuse
Association of Conservation Authorities of Ontario,Association of Conservation Authorities of Ontario
Association of English-Language Publishers of Quebec,Association of English-Language Publishers of Quebec
Association of English-Language Publishers of Québec,Association of English-Language Publishers of Quebec
Association of Faculties of Medicine of Canada,Association of Faculties of Medicine of Canada
Association of French Speaking Jurists of New Brunswick,Association of French Speaking Jurists of New Brunswick
Association of Inshore Fisherman,Association of Inshore Fisherman
Association of Iroquois And Allied Indians,Association of Iroquois and Allied Indians
Association of Iroquois Sexual Assault Services,Association of Iroquois Sexual Assault Services
Association of Iroquois and Allied Indians,Association of Iroquois and Allied Indians
Association of Islamic Charitable Projects,Association of Islamic Charitable Projects
Association of Manitoba Bilingual Municipalities,Association of Manitoba Bilingual Municipalities
Association of Manitoba Book Publishers Inc.,Association of Manitoba Book Publishers Inc.
Association of Manitoba Community Pastures,Association of Manitoba Community Pastures
Association of Municipalities of Ontario,Association of Municipalities of Ontario
Association of Métis Capital Corporations,Association of Métis Capital Corporations
"Association of Métis, Non, Status Indians of Saskatchewan Inc","Association of Métis, Non, Status Indians of Saskatchewan Inc"
Association of Native Child And Family Services Agencies of Ontario,Association of Native Child and Family Services Agencies of Ontario
Association of Native Child and Family Services Agencies of Ontario,Association of Native Child and Family Services Agencies of Ontario
Association of Neighbourhood Houses British Columbia,Association of Neighbourhood Houses of British Columbia
Association of Neighbourhood Houses of BC,Association of Neighbourhood Houses of British Columbia
Association of Neighbourhood Houses of Bristish Columbia,Association of Neighbourhood Houses of Bristish Columbia
Association of Neighbourhood Houses of British Columbia,Association of Neighbourhood Houses of British Columbia
Association of Neighbourhood Houses of Greater Vancouver,Association of Neighbourhood Houses of Greater Vancouver
Association of Ontario Midwives,Association of Ontario Midwives
Association of Professional Engineers and Geoscientists of Alberta,The Association of Professional Engineers and Geoscientists of Alberta
Association of School Transportation Services of British Columbia,Association of School Transportation Services of British Columbia
Association of Seafood Producers Inc,Association of Seafood Producers Inc
Association of Tourist Resorts of Ontario,Association of Tourist Resorts of Ontario
Association pour l'intégration sociale de la région de Québec,Association pour l'intégration sociale de la région de Québec
Association pour la création et la recherche électro-acoustiques du Québec,Association pour la création et la recherche électroacoustiques du Québec
Association pour la création et la recherche électroacoustiques du Québec,Association pour la création et la recherche électroacoustiques du Québec
Association pour la santé publique du Québec,Association pour la santé publique du Québec
Association pour le développement de la recherche et de l'innovation du Québec,Association pour le développement de la recherche et de l'innovation du Québec
Association pulmonaire du Québec,Association pulmonaire du Québec
Association québécoise de l'industrie de la pêche,Association québécoise de l'industrie de la pêche
Association québécoise de l'industrie de la pêche (AQIP),Association québécoise de l'industrie de la pêche
Association québécoise des organismes de coopération internationale,Association québécoise des organismes de coopération internationale
Association québécoise des parents d'enfants handicapés visuels,Association québécoise des parents d'enfants handicapés visuels
Association québécoise des technologies (AQT),Association Québécoise des Technologies
Association québécoise des éditeurs de magazines,Association québécoise des éditeurs de magazines
Association régionale de la Côte Ouest Incorporée,Association régionale de la Côte Ouest Incorporée
Association régionale de la communauté francophone de Saint-Jean inc,Association régionale de la communauté francophone de Saint-Jean Inc
Association régionale de motoneigistes de la Haute-Gatineau Les Ours Blancs Inc,Association régionale de motoneigistes de la Haute-Gatineau Les Ours Blancs Inc
Association touristique de Charlevoix Inc,Association touristique de Charlevoix Inc
Association touristique des Cantons-de-l'Est,Association touristique des Cantons-de-l'Est
Association touristique des Laurentides Inc,Association touristique des Laurentides Inc
Association touristique régionale Centre-du-Québec,Association touristique régionale Centre-du-Québec
Association touristique régionale de l'Abitibi-Témiscamingue,Association touristique régionale de l'Abitibi-Témiscamingue
Association touristique régionale de la Mauricie,Association touristique régionale de la Mauricie
Association touristique régionale de la Montérégie Inc,Association touristique régionale de la Montérégie Inc
Association touristique régionale du Saguenay-Lac-Saint-Jean Inc,Association touristique régionale du Saguenay-Lac-Saint-Jean Inc
Associazione Foresta Modello delle Montagne Fiorentine,Associazione Foresta Modello delle Montagne Fiorentine
Associaçao H2N,Associaçao H2N
Associação Progresso,Associação Progresso
Asted Inc,Asted Inc
Astra Oil Corporation,Astra Oil Corporation
Astrolabe Interactive Inc,Astrolabe Interactive Inc
Astus Inc,Astus Inc
Atare Naija Foodie Corp,Atare Naija Foodie Corp
Atco Electric Ltd,Atco Electric Ltd
Atelier Culinaire Meilleur Apres,Atelier Culinaire Meilleur Apres
Atelier Fabmec Inc,Atelier Fabmec Inc
Atelier Gérard Beaulieu Inc,Atelier Gérard Beaulieu Inc
Atelier Kids,Atelier Kids
Atelier Kustom Inc,Atelier Kustom Inc
Atelier Rivard Inc,Atelier Rivard Inc
Atelier d'usinage Cloutier Inc,Atelier d'usinage Cloutier Inc
Atelier d'usinage Gélinas Inc,Atelier d'usinage Gélinas Inc
Atelier d'usinage Poudrier Inc,Atelier d'usinage Poudrier Inc
Atelier d'usinage et de soudure Val d'Or Inc,Atelier d'usinage et de soudure Val d'Or Inc
Atelier fabrication R.Y. Inc,Atelier fabrication R.Y. Inc
Atelier35 Inc,Atelier35 Inc
Ateliers T.A.Q. Inc,Ateliers T.A.Q. Inc
Aterlo Networks Inc,Aterlo Networks Inc
Athabasca Chipewyan First Nation,Athabasca Chipewyan First Nation
Athabasca Chipewyan First Nation: Dene Lands and Resource Management Corporation,Athabasca Chipewyan First Nation: Dene Lands and Resource Management Corporation
Athabasca Dene Education Corp,Athabasca Dene Education Corporation
Athabasca Dene Education Corp.,Athabasca Dene Education Corporation
Athabasca Dene Education Corporation,Athabasca Dene Education Corporation
Athabasca Health Authority Inc,Athabasca Health Authority Inc
Athabasca Health Authority Inc.,Athabasca Health Authority Inc
Athabasca Landing Metis Community Association,Athabasca Landing Metis Community Association
Athabasca Landing Metis Local #2010,Athabasca Landing Metis Local #2010
Athabasca Tribal Council,Athabasca Tribal Council
Athabasca Tribal Council Limited,Athabasca Tribal Council
Athabasca Tribal Council Ltd,Athabasca Tribal Council
Athabasca Tribal Council Ltd.,Athabasca Tribal Council
Athabasca University,Athabasca University
Athletes Can - Athletes' Association of Canada,Athletes Canada
Athletes Can-Athletes' Association of Canada,Athletes Canada
AthletesCan,Athletes Canada
Athletics Canada,Athletics Canada
Athletics Ontario,Athletics Canada
Athletigen Technologies Inc,Athletigen Technologies Inc
Atikameksheng Anishnawbek,Atikameksheng Anishnawbek
Atikameksheng Anishnawbek (Whitefish Lake First Nation),Atikameksheng Anishnawbek (Whitefish Lake First Nation)
Atikamekw Sipi - Conseil De La Nation Atikamekw,Atikamekw Sipi - Conseil de la Nation Atikamekw
Atikamekw Sipi - Conseil de La Nation Atikamekw,Atikamekw Sipi - Conseil de la Nation Atikamekw
Atikamekw Sipi - Conseil de la Nation Atikamekw,Atikamekw Sipi - Conseil de la Nation Atikamekw
Atikamekw Sipi - conseil de la nation Atikamekw,Atikamekw Sipi - Conseil de la Nation Atikamekw
Atikamekw Sipi-Conseil de la Nation Atikamekw,Atikamekw Sipi - Conseil de la Nation Atikamekw
AtikamekwSipi,AtikamekwSipi
Atikokan Economic Development,Atikokan Economic Development Corporation
Atikokan Economic Development Corporation,Atikokan Economic Development Corporation
Atikokan Native Friendship Centre,Atikokan Native Friendship Centre
Atira Women's Resource Society,Atira Women's Resource Society
AtlanTick Repellent Products Inc,AtlanTick Repellent Products Inc
Atlantic Ambassatours Ltd,Atlantic Ambassatours Ltd
Atlantic Aqua Farms Ltd,Atlantic Aqua Farms Ltd
Atlantic Association of Community Business Development Corporations,Atlantic Association of Community Business Development Corporations
Atlantic Ballet Theatre of Canada Inc,Atlantic Ballet Theatre of Canada Inc
Atlantic Ballet Theatre of Canada Inc.,Atlantic Ballet Theatre of Canada Inc
Atlantic Business Express Ltd,Atlantic Business Express Ltd
Atlantic Buskers Festival Society,Atlantic Buskers Festival Society
Atlantic Canada Aerospace and Defence Association,Atlantic Canada Aerospace and Defence Association
Atlantic Canada Airports Association,Atlantic Canada Airports Association
Atlantic Canada Conservation Data Centre,Atlantic Canada Conservation Data Centre
Atlantic Canada Cruise Association,Atlantic Canada Cruise Association
Atlantic Canada Fish Farmers Association,Atlantic Canada Fish Farmers Association Inc
Atlantic Canada Fish Farmers Association Inc,Atlantic Canada Fish Farmers Association Inc
Atlantic Canada Regional Council of Carpenters Millwrights and Allied Workers,Atlantic Canada Regional Council of Carpenters Millwrights and Allied Workers
Atlantic Cancer Research Insitute Inc,Atlantic Cancer Research Institute Inc
Atlantic Cancer Research Institute Inc,Atlantic Cancer Research Institute Inc
Atlantic Chamber of Commerce,Atlantic Chamber of Commerce Inc
Atlantic Chamber of Commerce Inc,Atlantic Chamber of Commerce Inc
Atlantic Coastal Action Program (ACAP) Saint John,Atlantic Coastal Action Program Saint John
Atlantic Coastal Action Program - Cape Breton,Atlantic Coastal Action Program - Cape Breton
Atlantic Coastal Action Program Cap E Breton,Atlantic Coastal Action Program Cap E Breton
Atlantic Coastal Action Program Saint John,Atlantic Coastal Action Program Saint John
Atlantic Colleges,Atlantic Colleges
Atlantic Council for International Cooperation,Atlantic Council for International Cooperation
Atlantic Council of the US,Atlantic Council of the US
Atlantic Film Festival Association,Atlantic Film Festival Association
Atlantic First Nation Water Authority,Atlantic First Nation Water Authority
Atlantic Food And Beverage Processors Association Inc,Atlantic Food And Beverage Processors Association Inc
Atlantic Food and Beverage Processors Association Inc,Atlantic Food And Beverage Processors Association Inc
Atlantic Friction Inc,Atlantic Friction Inc
Atlantic Grains Council,Atlantic Grains Council
Atlantic Grocery Distributors,Atlantic Grocery Distributors
Atlantic Groundfish Council,Atlantic Groundfish Council
Atlantic Grown Organics Inc,Atlantic Grown Organics Inc
Atlantic Halibut Council,Atlantic Halibut Council
Atlantic Hardchrome Ltd,Atlantic Hardchrome Ltd
Atlantic Industries Limited,Atlantic Industries Limited
Atlantic Inspection Services Inc,Atlantic Inspection Services Inc
Atlantic Institute for Resilience Inc,Atlantic Institute for Resilience Inc
Atlantic Maintenance Services Ltd,Atlantic Maintenance Services Ltd
Atlantic Naval Construction Inc,Atlantic Naval Construction Inc
Atlantic Policy Congress Of First Nation Chiefs Secretariat,Atlantic Policy Congress Of First Nation Chiefs Secretariat
Atlantic Policy Congress of First Nation Chiefs Secretariat,Atlantic Policy Congress of First Nation Chiefs Secretariat
Atlantic Policy Congress of First Nations Chiefs Secretariat,Atlantic Policy Congress of First Nation Chiefs Secretariat
Atlantic Policy Congress of First Nations Chiefs Secretariat Inc,Atlantic Policy Congress of First Nation Chiefs Secretariat
Atlantic Potato Distributors Ltd,Atlantic Potato Distributors Ltd
Atlantic Poultry Inc,Atlantic Poultry Inc
Atlantic Poultry Incorporated,Atlantic Poultry Inc
Atlantic Presenters Association Inc,Atlantic Presenters Association Inc
Atlantic Presenters Association inc,Atlantic Presenters Association Inc
Atlantic Provinces Chamber of Commerce,Atlantic Provinces Chamber of Commerce
Atlantic Provinces Economic Council,Atlantic Provinces Economic Council
Atlantic Publishers Marketing Association,Atlantic Publishers Marketing Association
Atlantic Region Association Of Immigrant Serving Agencies Inc,Atlantic Region Association Of Immigrant Serving Agencies Inc
Atlantic Region Association Of Immigrant Serving Agencies Inc.,Atlantic Region Association of Immigrant Serving Agencies Inc
Atlantic Region Association of Immigrant Serving Agencies (ARAISA),Atlantic Region Association of Immigrant Serving Agencies Inc
Atlantic Region Association of Immigrant Serving Agencies Inc,Atlantic Region Association of Immigrant Serving Agencies Inc
Atlantic Region Association of Immigrant Serving Agencies Inc.,Atlantic Region Association of Immigrant Serving Agencies Inc
Atlantic Roasted Products Inc,Atlantic Roasted Products Inc
Atlantic Salmon Federation,Atlantic Salmon Federation
Atlantic Shellfish Products Inc,Atlantic Shellfish Products Inc
Atlantic Signs Ltd,Atlantic Signs Ltd
Atlantic Star Uniforms 2009 Inc,Atlantic Star Uniforms Inc
Atlantic Star Uniforms Inc,Atlantic Star Uniforms Inc
Atlantic Student Development Alliance Inc,Atlantic Student Development Alliance Inc
Atlantic Summer Institute on Healthy and Safe Communities Inc,Atlantic Summer Institute on Healthy and Safe Communities Inc
Atlantic Systems Manufacturing (2019) Ltd,Atlantic Systems Manufacturing (2019) Ltd
Atlantic Tours Ltd,Atlantic Tours Ltd
Atlantic Women's Venture Foundation,Atlantic Women's Venture Foundation
Atlantica Centre for Energy,Atlantica Centre for Energy
Atlantis Programs And Pedalheads,Atlantis Programs And Pedalheads
Atlantis Programs Inc,Atlantis Programs Inc
Atlantis Programs and Pedalheads,Atlantis Programs And Pedalheads
Atlantis Research Labs Inc,Atlantis Research Labs Inc
