"measure_id","org_id","description_en","description_fr"
17,129,"The Arctic and Northern Policy Framework will provide activities and investments in the North and Arctic through support for higher education initiatives, including: the establishment of a task force to study the concept of a University of the Canadian Arctic; supporting the Dechinta Centre for Research and Learning in the Northwest Territories; and, helping fund the transition of Yukon College into Yukon University. The creation of the Yukon University is historically significant as it will be the first Canadian university physically located North of 60.","Le Cadre stratégique pour l’Arctique et le Nord fournira des activités et des investissements dans le Nord et l’Arctique grâce au soutien d’initiatives d’enseignement supérieur. Cela inclus: la création d’un groupe de travail chargé d’étudier le concept d’une université de l’Arctique canadien; le soutien du Centre de recherche et d’apprentissage Dechinta dans les Territoires du Nord-Ouest; et, finalement, aide à financer la transition du Collège du Yukon à l’Université du Yukon. La création de l’Université du Yukon revêt une importance historique puisqu’elle sera la première université canadienne physiquement située au nord du 60e parallèle."
17,134,"As part of the government’s ongoing priority to develop the immense potential of the Arctic and Northern Communities, Budget 2019 allocated $14M to Natural Resources Canada (NRCan) for two initiatives.  $10M over two years, including $5M in 2019-20, for the Polar Continental Shelf for Arctic Research program, which provides critical support to Arctic research projects, enabling participants to conduct fieldwork safely and efficiently. The investment reaffirms the government’s commitment to research to help deepen our understanding of the Arctic.   $3.6M over five years, including $1M in 2019-20, (plus $4.3M to be sourced internally from NRCan) was allocated towards Defining the Outer Limits of Canada’s Continental Shelf in the Arctic Ocean. Rigorous scientific data and evidence support Canada's entitlement to its continental shelf in the Arctic Ocean and sovereign rights over the seafloor and subsoil.","Dans le cadre de la priorité permanente du gouvernement à l’effet de développer l’immense potentiel des communautés de l’Arctique et du Nord, le budget de 2019 octroie 14 millions de dollars à Ressources naturelles Canada (RNCan) pour réaliser deux initiatives.  Un financement de 10 millions de dollars sur deux ans, dont 5 millions de dollars en 2019-2020, pour le Programme du plateau continental polaire pour la recherche dans l’Arctique, ce qui assure un appui essentiel aux projets de recherche dans l’Arctique, permettant aux participants de mener efficacement leurs travaux sur le terrain en toute sécurité. L’investissement réaffirme l’engagement du gouvernement à la recherche pour aider à approfondir notre compréhension de l’Arctique.  Un financement de 3,6 millions de dollars sur cinq ans, dont un million de dollars en 2019-2020 (en plus d’un montant de 4,3 millions de dollars qui proviendra de ressources internes à RNCan), a été octroyé pour définir les limites extérieures du plateau continental du Canada dans l’océan Arctique. Les données et les preuves scientifiques rigoureuses défendent le droit du Canada à son plateau continental dans l’océan Arctique et ses droits souverains sur le plancher océanique et le sous sol."
17,137,"The Eureka site, operated by Environment and Climate Change Canada, is part of a network of High Arctic Weather Stations and serves as both an operational weather station and science facility. It is the third-northernmost permanent research community in the world and is populated by a minimum of 8 staff on a continuous rotational basis. Eureka is located approximately 400 km North of the closest permanent civilian settlement of Grise Fiord, Nunavut, and 480 km South-West of Alert, Nunavut. Due to its extreme remoteness, Eureka must be operated independently, meaning that its operations can’t rely on immediate help or access to nearby resources, as is the case in more urban or populated areas. By its very existence, Eureka contributes to maintaining Canada’s sovereignty in the Arctic. ","Le site Eureka, exploité par Environnement et Changement climatique Canada, fait partie d’un réseau de stations météorologiques de l’Extrême?Arctique et sert de station météorologique opérationnelle et d’installation scientifique. Il s’agit de la troisième installation permanente de recherche la plus au nord du monde et elle est occupée par au moins 8 employés qui effectuent une rotation de façon continue. Le site Eureka est situé à environ 400 km au nord du peuplement civil permanent le plus près de Grise Fiord, au Nunavut, et à 480 km au sud?ouest d’Alert, au Nunavut. En raison de son éloignement extrême, Eureka doit être exploité de façon indépendante, c’est?à?dire que ses activités ne peuvent dépendre d’une aide immédiate ou de l’accès à des ressources à proximité, comme c’est le cas dans des régions plus urbaines ou peuplées. Par sa simple existence, Eureka contribue à maintenir la souveraineté du Canada dans l’Arctique."
18,93,"This initiative is rooted in Canada’s National Cyber Security Strategy (2018), which identified critical infrastructure as a potential risk area for cyber defence. Budget 2019 earmarks funds to identify and protect critical infrastructure (including banking, transport, telecommunications, and energy) from cyber threats. This program will be overseen by Public Safety Canada, and implemented by departments and regulators responsible for identified sectors, in partnership with Canada’s Centre for Cyber Security.  As the regulator for the telecommunications industry, the Canadian Radio-television and Telecommunications Commission will be responsible for ensuring that critical infrastructure owners and operators abide by the standards set out in the legislative and regulatory framework. First steps, once enabling legislation is in force, will be to develop regulations, and consult with stakeholders in order to foster a balanced approach to protecting Canada’s critical infrastructure.","Cette initiative émane de la Stratégie nationale de cybersécurité du Canada (2018) établissant que l’infrastructure essentielle est un domaine à risque potentiel pour la cyberdéfense. Le Budget de 2019 réserve des fonds afin d’identifier et de protéger les infrastructures essentielles (y compris les banques, les transports, les télécommunications et l’énergie) contre les cybermenaces. Ce programme sera supervisé par Sécurité publique Canada, et mis en œuvre par les ministères et les organismes de réglementation responsables des secteurs concernés, en partenariat avec le Centre canadien pour la cybersécurité.   En tant qu’organisme de réglementation pour l’industrie des télécommunications, le Conseil de la radiodiffusion et des télécommunications canadiennes sera responsable de s’assurer que les propriétaires et exploitants des infrastructures essentielles respectent les normes établies dans le cadre législatif et réglementaire. Les premières étapes, une fois la loi habilitante entrée en vigueur, seront d’élaborer des règlements, et de consulter les intervenants afin de favoriser une approche équilibrée pour la protection de l’infrastructure essentielle du Canada."
18,110,"CSE, through the new Canadian Centre for Cyber Security, would serve as the source of technical expertise, and cyber security advice and guidance, for the Government’s implementation of a new approach to ensuring the minimum baseline of cyber security of up to four of Canada's federally-regulated critical infrastructure sectors. This expert assistance will help ensure that the most critical of cyber systems on which Canadians depend are better secured against cyber threats.","Tirant avantage du nouveau Centre canadien pour la cybersécurité, le CST se veut une source d’expertise technique, de conseils et d’avis en cybersécurité qui sous-tend l’adoption d’une nouvelle approche gouvernementale visant à assurer la cybersécurité de base d’au plus quatre secteurs d’infrastructures essentielles assujettis à la réglementation fédérale du Canada. Grâce à cette assistance spécialisée, la plupart des cybersystèmes essentiels dont se servent les Canadiens seront protégés contre les cybermenaces."
18,130,"To strengthen the cyber security of Canada’s critical infrastructure, Budget 2019 proposes to provide $144.9 million over five years, starting in 2019–20, including $22.9 million from within existing Communications Security Establishment resources to help protect Canada’s critical cyber systems including in the finance, telecommunications, energy and transport sectors. Funding will also support the Canadian Centre for Cyber Security in providing advice and guidance to critical infrastructure owners and operators on how to better prevent and address cyber attacks.","Afin de renforcer la cybersécurité des infrastructures essentielles du Canada, le budget de 2019 propose de fournir 144,9 millions de dollars sur cinq ans, à compter de 2019-2020, ce qui comprend 22,9 millions tirés des ressources existantes du Centre de la sécurité des télécommunications pour protéger les cybersystèmes essentiels du Canada, notamment dans les secteurs des finances, des télécommunications, de l’énergie et du transport. L’investissement aidera aussi le Service canadien pour la cybersécurité à offrir aux propriétaires et exploitants des infrastructures essentielles des conseils et une orientation sur la façon de mieux prévenir et contrer les cyberattaques."
18,134,"The safety and security of Canadians and our energy sector is of paramount importance to the government.   The Government intends to propose new legislation and make necessary amendments to existing federal legislation in order to introduce a new critical cyber systems framework.  Budget 2019 allocates $3 million over three years to Natural Resources Canada, starting with $0.81M in 2019-20, to support development of the cyber systems framework as it relates to the energy sector.   This forms part of an overall commitment of $144.9M over five years (starting in 2019-20) to help protect Canada’s critical infrastructure systems such as banking, transport, telecommunications and energy, and also to support the Canadian Centre for Cyber Security in providing advice and guidance to critical infrastructure owners and operators on how to better prevent and address cyber attacks.","La sûreté et la sécurité des Canadiens et du secteur de l’énergie revêtent une importance capitale pour le gouvernement.  Le gouvernement entend proposer une nouvelle loi et apporter les modifications nécessaires aux lois fédérales en vigueur afin d’introduire un nouveau cadre pour protéger les cybersystèmes canadiens essentiels.  Le budget de 2019 octroie 3 millions de dollars sur trois ans à Ressources naturelles Canada, dont 0,81 million de dollars en 2019-2020, pour soutenir le développement de ce cadre visant le secteur de l’énergie.   Cet investissement s’inscrit dans un engagement de financement plus substantiel de 144,9 millions de dollars sur cinq ans (à compter de 2019-2020) pour aider à protéger les infrastructures essentielles du Canada, comme les systèmes bancaires, de transport, de télécommunications et énergétiques. Il servira également à soutenir le Centre canadien pour la cybersécurité qui fournira des conseils et des avis aux propriétaires et exploitants d’infrastructures essentielles sur la manière de mieux prévenir et contrer les cyberattaques."
18,135,"Provided the proposed legislation receives Royal Assent, funding received through Budget 2019-2020 would fund the creation of a team dedicated to the implementation of this program. This would include hiring four FTEs to staff the team (including necessary Top Secret clearances, as well as fit up costs and IT systems) who would be in charge of leading consultation and regulation development in the identified sectors. Additionally, in order to complete these tasks, funding would be used towards organizing these consultation meetings (rentals, hospitality costs, etc.), potential contracts (researchers, notetakers, etc.), regulation development, translation, travel, as well as a lawyer to ensure the proposal is on sound legal footing. ","Si le projet de loi reçoit la sanction royale, les fonds reçus dans le cadre du budget pour 2019 serviront à financer la création d'une équipe chargée de la mise en œuvre de ce programme. Pour l’année financière 2019-2020, cela comprendrait l'embauche de quatre ETP pour doter l'équipe (y compris les autorisations très secrètes nécessaires, ainsi que les coûts d'aménagement et les systèmes de TI) qui serait chargée de diriger les consultations et l'élaboration des règlements dans les secteurs identifiés. De plus, pour mener à bien ces tâches, le financement servirait à organiser ces réunions de consultation (loyers, frais d'accueil, etc.), les contrats éventuels (chercheurs, preneurs de notes, etc.), l'élaboration de règlements, la traduction, les déplacements, ainsi que les services d'un avocat pour s'assurer que la proposition est fondée sur une base juridique solide."
18,138,"The funds for this initiative will support a new critical cyber systems framework so that private sector operators of vital services and systems in the transportation sector develop and maintain a baseline level of cyber security.","Les fonds (pour cette initiative) serviront à appuyer le nouveau cadre de cybersystèmes essentiels afin que les exploitants de services et de systèmes essentiels du secteur privé des transports élaborent et maintiennent un niveau de cybersécurité de base."
19,94,"The purpose of the Investment Canada Act (ICA) is to provide for the review of significant foreign investments to ensure the investment delivers net economic benefits to Canada and to review foreign investments that could be injurious to national security. Analytical and investigative resources for CSIS will directly support CSIS' contributions to the ICA National Security review including through intelligence collection and assessment, and provision of advice to Government partners on economic-based national security threats. ","Le but de la loi sur Investissement Canada (LIC) est d’assurer la révision des investissements étrangers importants pour assurer que l’investissement fournit un bénéfice financier net au Canada et de réviser les investissements de l’étranger qui pourrait être une menace à la sécurité nationale.  Les analyses et investigations du SCRS supporteront directement les efforts du SCRS à l’examen relatif à la sécurité nationale du LIC, incluant la collecte et l’analyse de renseignements, en plus de fournir des conseils aux partenaires gouvernementaux sur les menaces de sécurité liés à l’économie nationale.  "
19,110,"In support of Government efforts to better respond to emerging economic-based national security threats, CSE will bolster its capacity to use its technical expertise in cyber security and foreign intelligence to provide evidence-based advice to Government actions in the interests of Canada’s economic security. ","Afin d’épauler le gouvernement dans sa lutte contre les menaces émergentes fondées sur l’économie, qui planent contre la sécurité nationale, le CST renforcera ses capacités afin de mettre à profit plus efficacement son expertise technique en cybersécurité et en renseignement électromagnétique étranger. Il sera ainsi en mesure de fournir au gouvernement des conseils fondés sur les preuves qui aideront ce dernier à prendre des mesures dans l’intérêt de la sécurité économique du Canada.   "
19,126,"The Department will maintain Canada as an attractive, innovative and open economy, while ensuring that it is well placed to better contribute to establishing an integrated and effective whole of government approach to managing the national security implications of economic engagement with foreign partners. The department will strengthen its ability to meet its responsibilities to review and approve commercial transactions and investments under various statutes.","Le ministère fera en sorte que le Canada demeure une économie attrayante, innovatrice et ouverte, tout en veillant à bien se positionner pour mieux contribuer à la création d’une démarche pangouvernementale intégrée et efficace visant à gérer les implications pour la sécurité nationale des relations économiques avec des partenaires étrangers. Le ministère renforcera sa capacité d’assumer ses responsabilités en ce qui concerne l’examen et l’approbation des transactions et des investissements commerciaux conformément aux lois."
19,130,"To support efforts to assess and respond to economic-based security threats, Budget 2019 proposes to invest $67.3 million over five years, starting in 2019–20 and $13.8 million per year ongoing. Funding will also enhance outreach and engagement with key stakeholders including Canadian businesses and academic institutions; raise awareness about risks; and enhance the suite of tools to appropriately address threats while continuing to encourage foreign investment, trade and economic growth.","Afin de soutenir les efforts visant à évaluer les menaces à la sécurité de nature économique et à les contrer, le budget de 2019 propose d’investir 67,3 millions de dollars sur cinq ans, à compter de 2019-2020, et 13,8 millions par année par la suite. Le financement améliorera aussi la sensibilisation et la mobilisation des principaux intervenants, y compris les entreprises canadiennes et les établissements universitaires, pour augmenter la sensibilisation aux risques et pour améliorer l’ensemble des outils visant à réagir aux menaces de manière appropriée tout en continuant d’encourager les investissements étrangers, le commerce et la croissance économique."
19,133,"To support efforts to assess and respond to economic-based security threats, Budget 2019 proposes to invest $67.3 million over five years, starting in 2019-20 and $13.8 million per year ongoing, to Public Safety Canada; Innovation, Science and Economic Development Canada; Global Affairs Canada; and the Royal Canadian Mounted Police, among other federal agencies.  DND is allocated $12 million over 5 years towards this initiative.","Afin de soutenir les efforts visant à évaluer les menaces à la sécurité de nature économique et à les contrer, le budget de 2019 propose d’investir 67,3 millions de dollars sur cinq ans, à compter de 2019-2020, et 13,8 millions par année par la suite, dans plusieurs ministères et organismes, dont Sécurité publique Canada, Innovation, Sciences et Développement économique Canada, Affaires mondiales Canada et la Gendarmerie royale du Canada. Le MDN doit recevoir 12 millions de dollars sur cinq ans dans le cadre de cette initiative."
19,135,"Budget 2019 proposes to invest $67.3 million over five years, starting in 2019–20 and $13.8 million per year ongoing, to support efforts to respond to economic-based security threats. Public Safety Canada will work closely with implicated departments and agencies such as Innovation, Science and Economic Development Canada; Global Affairs Canada; and the Royal Canadian Mounted Police, among others, to: enhance outreach and engagement with key stakeholders, including Canadian businesses and academic institutions; raise awareness about risks; and enhance the suite of tools to appropriately address threats while continuing to encourage foreign investment, trade and economic growth.","Le budget de 2019 propose d'investir 67,3 millions de dollars sur cinq ans, à compter de 2019-2020, et 13,8 millions de dollars par année par la suite, pour appuyer les efforts visant à contrer les menaces à la sécurité économique. Sécurité publique Canada travaillera en étroite collaboration avec les ministères et organismes concernés, comme Innovation, Sciences et Développement économique Canada, Affaires mondiales Canada et la Gendarmerie royale du Canada, entre autres, afin d'accroître la sensibilisation et la mobilisation des intervenants clés, y compris les entreprises et les établissements universitaires canadiens, de mieux faire connaître les risques et d'améliorer l'ensemble des outils pour faire face aux menaces, et ce, tout en continuant à encourager les investissements étrangers, le commerce et la croissance économique."
19,295,"Pursuant to the national security provisions of the Investment Canada Act (ICA), the Department of Public Safety and Emergency Preparedness manages the national security review process in collaboration with the Royal Canadian Mounted Police (RCMP) and other security and intelligence partners. Through the ICA and other economic security tools, the RCMP provides intelligence to detect, prevent and deter criminal activities that affect the integrity and security of the Canadian economy. Budget 2019 funding  will provide dedicated capacity to the RCMP to conduct research, and to identify and analyse trends in criminal activities with a nexus to foreign investments.","Conformément aux dispositions relatives à la sécurité nationale de la Loi sur Investissement Canada (LIC), le ministère de la Sécurité publique et de la Protection civile est responsable du processus d’examen sur la sécurité nationale en collaboration avec la Gendarmerie royale du Canada (GRC) et d’autres partenaires de la sécurité et du renseignement. Au moyen de la LIC et d’autres outils de sécurité économique, la GRC fournit des renseignements afin de détecter, de prévenir et de décourager les activités criminelles qui compromettent l’intégrité et la sécurité de l’économie canadienne. Les fonds du budget de 2019 fourniront à la GRC la capacité nécessaire pour mener des recherches et pour identifier et analyser les tendances des activités criminelles liées aux investissements étrangers."
20,94,"CSIS will maintain a security intelligence posture in the Middle East in support of Canadian and Coalition military operations. The organization will collect against threats to Canada and provide advice to Canada and allies. In doing so, we will make a significant and demonstrable contribution to stability in the Middle East and the North African region as a key player and active member of the Coalition.","Le SCRS maintiendra sa présence de renseignements de sécurité dans le Moyen-Orient à l'appui des opérations militaires canadiennes et des opérations de la coalition militaire. L'organisation fera de la collecte de renseignement lié aux menaces envers le Canada et fournira des conseils au Canada et leurs alliés.  En étant un participant clé et membre actif de la coalition, nous apporterons une contribution significative à la stabilité dans la région du Moyen-Orient et de l'Afrique du Nord."
20,110,"In support of the Government’s continuing implementation of its Middle East Strategy, CSE will continue to provide intelligence support to ensure the safety of deployed Canadian Armed Forces, as well as to support decision-making in pursuit of Canadian development and foreign affairs interest in the region. ","Pour appuyer la mise en œuvre continue de la stratégie du gouvernement concernant le Moyen-Orient, le CST continuera de fournir un soutien en matière de renseignement afin d’assurer la sécurité des Forces armées canadiennes déployées et de contribuer à une prise de décisions éclairées favorisant les intérêts du Canada sur le plan du développement et des affaires étrangères dans la région."
20,126,"Budget 2019 confirms the Government’s plan to provide an additional $1.39 billion over two years on a cash basis, starting in 2019–20, to renew the Middle East Strategy, with a greater focus on building stability, governance and long-term resilience. Of this amount, $500 million will be provided from the fiscal framework and $426 million would be sourced from Global Affairs Canada’s existing International Assistance Envelope resources. The total funding for Global Affairs Canada is: $926 million to support humanitarian, development, stabilization and security, and diplomatic activities.","Le budget de 2019 confirme le plan du gouvernement de fournir un financement supplémentaire de 1,39 milliards de dollars sur deux ans, selon la comptabilité de caisse, à compter de 2019-2020, afin de renouveler la Stratégie au Moyen-Orient en mettant davantage l’accent sur le renforcement de la stabilité de la gouvernance et de la résilience à long terme. De ce montant, 500 millions de dollars seront versés à même le cadre financier et 426 millions de dollars seront versés à même les ressources existantes de l’enveloppe de l’aide internationale d’Affaires mondiales Canada. Le financement total pour Affaires mondiales Canada est de 926 millions de dollars pour appuyer les activités humanitaires, de développement, de stabilisation et de sécurité, ainsi que les activités diplomatiques."
20,133,"Budget 2019 confirms the Government’s plan to provide an additional $1.39 billion over two years on a cash basis, starting in 2019-20, to renew the Middle East Strategy.  Of this amount, $967.9 million will be provided from the fiscal framework and $426 million would be sourced from Global Affairs Canada’s existing International Assistance Envelope resources.  The overall funding would be allocated as follows:
* $926 million to support humanitarian, development, stabilization and security, and diplomatic activities.
* $442 million to renew Operation IMPACT, Canada’s military contribution.
* $25.9 million to support intelligence activities.
","Le budget de 2019 confirme le plan du gouvernement de prévoir un financement supplémentaire de 1,39 milliard de dollars sur deux ans, selon la comptabilité de caisse, à compter de 2019-2020, afin de renouveler la Stratégie au Moyen-Orient. De ce montant, 967,9 millions seront versés à partir du cadre financier et 426 millions seront versés à partir des ressources existantes de l’enveloppe de l’aide internationale d’Affaires mondiales Canada. Le financement total serait réparti comme suit :
* 926 millions pour appuyer les activités humanitaires, de développement, de stabilisation et de sécurité, ainsi que les activités diplomatiques;
* 442 millions pour renouveler l’Opération IMPACT, qui est la contribution militaire du Canada;
* 25,9 millions pour appuyer les activités de renseignement."
21,124,"Recent reviews of Canada’s Anti-Money Laundering/Anti-Terrorist Financing (AML/ATF) Regime have identified improvements to close legislative and regulatory gaps, improve the exchange of information, strengthen intelligence capacity and enforcement, and modernize the framework. Implicated federal departments and agencies have worked together to develop a set of proposals that respond to the changing context, recommendations stemming from domestic and international reviews, as well as feedback received through Finance Canada-led public consultations.   These measures include, among others, legislative amendments to strengthen and modernize Canada’s legislative framework, the creation of an Anti-Money Laundering Fusion Centre on a pilot basis by Public Safety Canada, and the creation of a multi-disciplinary Centre of Expertise by the Canada Border Services Agency.","Des examens récents du régime canadien de lutte contre le blanchiment d’argent et le financement du terrorisme ont permis d’identifier des améliorations possibles afin de combler certaines lacunes législatives et réglementaires, d’améliorer l’échange d’informations, de renforcer les capacités en matière de renseignement et d’exécution de la loi, ainsi que de moderniser le cadre législatif. Les ministères et organismes fédéraux concernés ont travaillé ensemble afin d’élaborer un ensemble de propositions répondant à un contexte constamment en évolution, aux recommandations découlant d'examens nationaux et internationaux, ainsi qu'aux commentaires reçus lors des consultations publiques menées par le Ministère des Finances Canada.  Ces mesures comprennent, entre autres, des modifications législatives visant à renforcer et à moderniser le cadre législatif du Canada, la création d’un projet pilote de centre fusion de lutte contre le blanchiment d'argent par Sécurité publique Canada et la création d'un centre d'expertise multidisciplinaire à l’Agence des services frontaliers du Canada."
21,135,"Money laundering and financial crimes are increasingly complex and the actors involved are increasingly difficult to investigate and prosecute. Combatting complex forms of money laundering, such as the use of professional money launderers, require specialized resources, new tools and strategies, and coordinated action. The Anti-Money Laundering Action, Coordination and Enforcement (ACE) team is a five-year pilot initiative to bring together dedicated experts from across intelligence and law enforcement agencies to strengthen inter-agency coordination and cooperation to identify and address significant money laundering and financial crime threats. ACE resources will focus on: (1) developing mechanisms to strengthen and coordinate horizontal intelligence sharing and assessment to better understand and triage money laundering threats; and (2) piloting a collaborative model to use the improved intelligence to support priority case identification and support enforcement coordination.","Le blanchiment d’argent et les crimes financiers gagnent en complexité et il est d’autant plus difficile d’enquêter sur les acteurs concernés et de les traduire en justice. La lutte contre les formes complexes de blanchiment d’argent exige une action coordonnée, des stratégies, des outils et des des ressources spécialisés. L’Équipe d’action, de coordination et d’exécution de la loi pour la lutte contre le recyclage des produits de la criminalité (l’Équipe ACE) est une initiative pilote sur cinq ans qui réunira des experts de l'ensemble des organismes de renseignement et de l'application de la loi afin de renforcer la coordination et la coopération interagences, ainsi que pour cerner et contrer les importantes menaces de recyclage des produits de la criminalité et les menaces associées aux crimes financiers. Ses ressources seront axée sur: (1) la mise au point de mécanismes visant à renforcer et à coordonner le partage et l’évaluation horizontaux du renseignement pour mieux comprendre et de trier les menaces liés au blanchiment d’argent; (2) l’expérimentation d’un modèle collaboratif utilisant les renseignements améliorés afin de faciliter l’identification des cas prioritaires et la coordination de l’exécution de la loi. "
21,152,"Budget 2019 strengthens FINTRAC’s operational capacity, as well as the effectiveness of Canada’s anti-money laundering/anti-terrorist financing (AML/ATF) Regime, through five distinct initiatives: implementing new legislative and regulatory amendments without compromising the delivery of existing programs and systems; strengthening compliance outreach and examinations in the real estate and casino sectors with a focus on British Columbia; expanding FINTRAC’s ability to support public-private partnerships (PPP); expanding the disclosure of FINTRAC’s financial intelligence to new disclosure recipients; and providing financial intelligence support to CBSA’s new Trade-Based Money Laundering and Trade Fraud Centre of Expertise. Combined, these five initiatives will meaningfully strengthen Canada’s AML/ATF Regime, and bolster FINTRAC’s ability to contribute to the safety of Canadians and the security of the Canadian economy.","Le budget de 2019 renforce la capacité opérationnelle de CANAFE, ainsi que l’efficacité du régime canadien de lutte contre le blanchiment d’argent (BA) et le financement des activités terroristes (FAT), au moyen de cinq initiatives distinctes : la mise en œuvre des nouvelles modifications législatives et réglementaires sans compromettre l’application des programmes et systèmes existants; le renforcement de la sensibilisation et des examens de conformité dans les secteurs de l’immobilier et des casinos, tout particulièrement en Colombie-Britannique; la capacité accrue de CANAFE à soutenir les partenariats public-privé (PPP); la communication de renseignements financiers de CANAFE à de nouveaux destinataires; la prestation de soutien en matière de renseignements financiers au nouveau centre d’expertise sur le blanchiment d’argent par voies commerciales et la fraude commerciale de l’ASFC. Ces cinq initiatives combinées permettront de renforcer considérablement le régime de lutte contre le BA/FAT du Canada, et d’améliorer la capacité de CANAFE à contribuer à la sécurité des Canadiens et de l’économie canadienne."
21,295,"The RCMP is charged with a critical mandate of enforcing federal laws and protecting Canada's national security, institutions and officials.  In support of this mandate, a total of $68.9 million over 5 years was provided to the RCMP in Budget 2019 for the Federal Policing program, including to fight money laundering.","La GRC a pour mandat de faire respecter les lois fédérales et de protéger la sécurité nationale, les institutions et les fonctionnaires du Canada. À l'appui de ce mandat, un montant total de 68,9 millions de dollars sur cinq ans a été alloué à la GRC dans le budget 2019 pour le programme de la police fédérale incluant un montant pour lutter contre le blanchiment d'argent."
22,130,"Budget 2019 proposes to provide $9.1 million over three years, starting in 2019–20, to support the construction of an Indigenous Legal Lodge at the University of Victoria. The Indigenous Legal Lodge will house the university’s new dual degree program in Canadian Common Law and Indigenous Legal Orders, and will serve as a foundation for debate, learning, public education and partnership on the revitalization of Indigenous laws.","Le budget de 2019 propose de fournir un financement de 9,1 millions de dollars sur trois ans, à compter de 2019-2020, pour soutenir la construction du Indigenous Legal Lodge à l’Université de Victoria. Le Indigenous Legal Lodge hébergera le nouveau programme de diplômes universitaires doubles en common law canadien et en ordonnances juridiques autochtones de l’Université et servira d’assise pour des débats, l’apprentissage, l’éducation du public et un partenariat en matière de revitalisation des lois autochtones."
22,132,"Indigenous Peoples in Canada have unique laws and legal traditions. Call to Action 50 responds to the Truth and Reconciliation Commission's finding that colonialism impacted Indigenous communities' connection to their laws, along with the languages and cultures.  The Government recognizes the importance of revitalizing Indigenous legal systems, and the important role that Indigenous law institutes, in partnership with Indigenous communities, can play in the development, use, and understanding of Indigenous laws. The new resources announced in Budget 2019 will support Indigenous laws initiatives across Canada through the Justice Partnership and Innovation Program, to improve equality for Indigenous Peoples in Canada's legal system.   ","Les peuples autochtones du Canada ont des lois et des traditions juridiques uniques. L’appel à l’action no 50 répond à la conclusion de la Commission de vérité et de réconciliation selon laquelle le colonialisme a eu des répercussions sur le lien qu’ont les collectivités autochtones avec leurs lois, ainsi qu’avec leurs langues et leurs cultures. Le gouvernement reconnaît l’importance de revitaliser les systèmes juridiques autochtones ainsi que le rôle important que les instituts de droit autochtones, en partenariat avec les collectivités autochtones, peuvent jouer dans l’élaboration, l’utilisation et la compréhension des lois autochtones. Les nouvelles ressources annoncées dans le budget de 2019 appuieront les initiatives de droit autochtone dans tout le Canada, par l’intermédiaire du Programme juridique de partenariat et d’innovation, afin d’améliorer l’égalité des peuples autochtones dans le système juridique canadien."
23,128,"To support Indigenous students, Budget 2019 proposes to provide Indspire with $9 million over 3 years, starting in 2019–20, for additional bursaries and scholarships.  ","Pour aider les étudiants autochtones, le gouvernement propose, dans son budget de 2019, de verser 9 millions de dollars sur trois ans, à compter de 2019-2020, à Indspire pour offrir des bourses supplémentaires."
23,348,"Funding to advance Indigenous Post-Secondary Education through distinction-based strategies that support First Nations, Inuit and Métis Nation students to attain post-secondary credentials. Programming includes a variety of direct student supports and indirect supports for wrap-around services aimed at reducing the gap in educational attainment.","Financement pour faire progresser l'éducation postsecondaire autochtone par le biais de stratégies axées sur la distinctions des Premières Nations, de la nation métisse et des l'Inuits. Cela comprend divers soutiens directs et indirects aux étudiants pour des services visant à réduire l'écart entre les résultats scolaires."
24,125,"Funding will be used to support the continued improvement of marine environmental response planning in order to protect Canada's coastline. Environmental response plans will be co-developed with Indigenous and other partners to advance a state-of-the-art planning approach in Canada that will contribute to a more integrated and collaborative marine safety system.","Le financement sera utilisé pour appuyer l'amélioration continue de la planification de l'intervention environnementale marine dans le but de protéger le littoral canadien.  Des plans d'intervention environnementale seront co-développés avec nos partenaires autochtones et autres pour avancer une approche ultramoderne en planification au Canada qui contribuera à un système de sécurité maritime mieux intégré et collaboratif."
24,137,"Environment and Climate Change Canada’s primary role in Integrated Marine Environmental Response Planning is to facilitate the integration of operational science into response plans. Through this initiative, ECCC (working DFO, Indigenous peoples and other stakeholders) will fill priority data gaps relevant to marine safety planning and responses in British Columbia (B.C.). ECCC will develop and maintain a database of geospatially referenced, up-to-date data on environmental sensitivities and provide this data to Transport Canada to complete risk assessments and to the Canadian Coast Guard to inform the development and evolution of marine response plans. This will improve the ability of the Government of Canada, the province of B.C. and a wide range of stakeholders to predict and identify areas of ecological importance and environmental sensitivity for emergency prevention, preparedness and response.","Le principal rôle d’Environnement et Changement climatique Canada dans la planification intégrée des interventions environnementales en milieu maritime est de faciliter l’intégration des sciences opérationnelles dans les plans d’intervention. Grâce à cette initiative, ECCC (de concert avec le MPO, des peuples autochtones et d’autres intervenants) comblera des lacunes prioritaires en matière de données concernant la planification et l’intervention en sécurité maritime en Colombie?Britannique. ECCC élaborera et maintiendra une base de données géoréférencées à jour sur les éléments environnementaux de nature délicate et fournira ces données à Transports Canada pour réaliser des évaluations des risques et à la Garde côtière canadienne pour guider l’élaboration et l’évolution des plans d’intervention en milieu maritime. Ceci permettra d’améliorer la capacité du gouvernement du Canada, de la province de la Colombie-Britannique ainsi que de nombreux intervenants de prévoir et de déterminer les régions d’importance écologique et les éléments environnementaux de nature délicate en ce qui a trait à la prévention, à la préparation et à l’intervention en cas d’urgence."
