Year,Department or agency,Province or territory of work,Number of employees
2011,Natural Resources Canada,Manitoba,7
2011,Natural Resources Canada,National Capital Region (NCR),3227
2011,Natural Resources Canada,New Brunswick,114
2011,Natural Resources Canada,Newfoundland and Labrador,27
2011,Natural Resources Canada,Northwest Territories,13
2011,Natural Resources Canada,Nova Scotia,91
2011,Natural Resources Canada,Nunavut,16
2011,Natural Resources Canada,Ontario (minus the NCR),286
2011,Natural Resources Canada,Outside of Canada,1
2011,Natural Resources Canada,Quebec (minus the NCR),454
2011,Natural Resources Canada,Saskatchewan,11
2011,Natural Resources Canada,Yukon,10
2011,Natural Sciences and Engineering Research Canada,British Columbia,5
2011,Natural Sciences and Engineering Research Canada,Manitoba,4
2011,Natural Sciences and Engineering Research Canada,National Capital Region (NCR),407
2011,Natural Sciences and Engineering Research Canada,New Brunswick,4
2011,Natural Sciences and Engineering Research Canada,Ontario (minus the NCR),5
2011,Natural Sciences and Engineering Research Canada,Quebec (minus the NCR),3
2011,Northern Pipeline Agency,National Capital Region (NCR),2
2011,Office of the Auditor General of Canada,Alberta,14
2011,Office of the Auditor General of Canada,British Columbia,24
2011,Office of the Auditor General of Canada,National Capital Region (NCR),593
2011,Office of the Auditor General of Canada,Nova Scotia,9
2011,Office of the Auditor General of Canada,Ontario (minus the NCR),1
2011,Office of the Auditor General of Canada,Quebec (minus the NCR),18
2011,Office of the Auditor General of Canada,Saskatchewan,1
2011,Office of the Commissioner for Federal Judicial Affairs Canada,National Capital Region (NCR),69
2011,Office of the Commissioner for Federal Judicial Affairs Canada,Ontario (minus the NCR),1
2011,Office of the Commissioner of Lobbying of Canada,National Capital Region (NCR),27
2011,Office of the Commissioner of Official Languages,Alberta,2
2011,Office of the Commissioner of Official Languages,British Columbia,1
2011,Office of the Commissioner of Official Languages,Manitoba,5
2011,Office of the Commissioner of Official Languages,National Capital Region (NCR),140
2011,Office of the Commissioner of Official Languages,New Brunswick,5
2011,Office of the Commissioner of Official Languages,Ontario (minus the NCR),6
2011,Office of the Commissioner of Official Languages,Quebec (minus the NCR),4
2011,Office of the Commissioner of Official Languages,Saskatchewan,1
2011,Office of the Governor General's Secretary,National Capital Region (NCR),183
2011,Office of the Governor General's Secretary,Outside of Canada,1
2011,Office of the Governor General's Secretary,Quebec (minus the NCR),6
2011,Office of the Public Sector Integrity Commissioner of Canada,National Capital Region (NCR),27
2011,Office of the Superintendent of Financial Institutions Canada,British Columbia,12
2011,Office of the Superintendent of Financial Institutions Canada,National Capital Region (NCR),278
2011,Office of the Superintendent of Financial Institutions Canada,Ontario (minus the NCR),258
2011,Office of the Superintendent of Financial Institutions Canada,Quebec (minus the NCR),14
2011,Offices of the Information and Privacy Commissioners of Canada,National Capital Region (NCR),251
2011,Offices of the Information and Privacy Commissioners of Canada,Ontario (minus the NCR),5
2011,Parks Canada,Alberta,741
2011,Parks Canada,British Columbia,451
2011,Parks Canada,Manitoba,250
2011,Parks Canada,National Capital Region (NCR),610
2011,Parks Canada,New Brunswick,92
2011,Parks Canada,Newfoundland and Labrador,135
2011,Parks Canada,Northwest Territories,87
2011,Parks Canada,Nova Scotia,367
2011,Parks Canada,Nunavut,34
2011,Parks Canada,Ontario (minus the NCR),599
2011,Parks Canada,Prince Edward Island,63
2011,Parks Canada,Quebec (minus the NCR),476
2011,Parks Canada,Saskatchewan,136
2011,Parks Canada,Yukon,86
2011,Parole Board of Canada,Alberta,42
2011,Parole Board of Canada,British Columbia,47
2011,Parole Board of Canada,National Capital Region (NCR),130
2011,Parole Board of Canada,New Brunswick,39
2011,Parole Board of Canada,Ontario (minus the NCR),57
2011,Parole Board of Canada,Quebec (minus the NCR),56
2011,Parole Board of Canada,Saskatchewan,38
2011,Passport Canada,Alberta,119
2011,Passport Canada,British Columbia,164
2011,Passport Canada,Manitoba,33
2011,Passport Canada,National Capital Region (NCR),1299
2011,Passport Canada,New Brunswick,14
2011,Passport Canada,Newfoundland and Labrador,14
2011,Passport Canada,Nova Scotia,23
2011,Passport Canada,Ontario (minus the NCR),574
2011,Passport Canada,Quebec (minus the NCR),306
2011,Passport Canada,Saskatchewan,33
2011,Patented Medicine Prices Review Board Canada,National Capital Region (NCR),66
2011,Privy Council Office,British Columbia,14
2011,Privy Council Office,National Capital Region (NCR),899
2011,Privy Council Office,New Brunswick,1
2011,Privy Council Office,Ontario (minus the NCR),1
2011,Privy Council Office,Outside of Canada,4
2011,Privy Council Office,Quebec (minus the NCR),2
2011,Public Health Agency of Canada,Alberta,64
2011,Public Health Agency of Canada,British Columbia,69
2011,Public Health Agency of Canada,Manitoba,565
2011,Public Health Agency of Canada,National Capital Region (NCR),1808
2011,Public Health Agency of Canada,New Brunswick,6
2011,Public Health Agency of Canada,Newfoundland and Labrador,4
2011,Public Health Agency of Canada,Northwest Territories,1
2011,Public Health Agency of Canada,Nova Scotia,46
2011,Public Health Agency of Canada,Nunavut,2
2011,Public Health Agency of Canada,Ontario (minus the NCR),200
2011,Public Health Agency of Canada,Outside of Canada,1
2011,Public Health Agency of Canada,Prince Edward Island,1
2011,Public Health Agency of Canada,Quebec (minus the NCR),105
2011,Public Health Agency of Canada,Saskatchewan,25
2011,Public Prosecution Service of Canada,Alberta,96
2011,Public Prosecution Service of Canada,British Columbia,105
2011,Public Prosecution Service of Canada,Manitoba,37
2011,Public Prosecution Service of Canada,National Capital Region (NCR),208
2011,Public Prosecution Service of Canada,New Brunswick,7
2011,Public Prosecution Service of Canada,Newfoundland and Labrador,9
2011,Public Prosecution Service of Canada,Northwest Territories,41
2011,Public Prosecution Service of Canada,Nova Scotia,46
2011,Public Prosecution Service of Canada,Nunavut,27
2011,Public Prosecution Service of Canada,Ontario (minus the NCR),165
2011,Public Prosecution Service of Canada,Quebec (minus the NCR),91
2011,Public Prosecution Service of Canada,Saskatchewan,25
2011,Public Prosecution Service of Canada,Yukon,30
2011,Public Safety Canada,Alberta,16
2011,Public Safety Canada,British Columbia,16
2011,Public Safety Canada,Manitoba,12
2011,Public Safety Canada,National Capital Region (NCR),1001
2011,Public Safety Canada,New Brunswick,7
2011,Public Safety Canada,Newfoundland and Labrador,8
2011,Public Safety Canada,Northwest Territories,6
2011,Public Safety Canada,Nova Scotia,9
2011,Public Safety Canada,Ontario (minus the NCR),11
2011,Public Safety Canada,Outside of Canada,5
2011,Public Safety Canada,Prince Edward Island,6
2011,Public Safety Canada,Quebec (minus the NCR),19
2011,Public Safety Canada,Saskatchewan,10
2011,Public Safety Canada,Yukon,1
2011,Public Servants Disclosure Protection Tribunal Canada,National Capital Region (NCR),4
2011,Public Service Commission of Canada,Alberta,16
2011,Public Service Commission of Canada,British Columbia,16
2011,Public Service Commission of Canada,Manitoba,16
2011,Public Service Commission of Canada,National Capital Region (NCR),835
2011,Public Service Commission of Canada,Nova Scotia,31
2011,Public Service Commission of Canada,Ontario (minus the NCR),24
2011,Public Service Commission of Canada,Quebec (minus the NCR),58
2011,Public Service Labour Relations Board,National Capital Region (NCR),88
2011,Public Service Staffing Tribunal,National Capital Region (NCR),40
2011,Public Services and Procurement Canada,Alberta,425
2011,Public Services and Procurement Canada,British Columbia,585
2011,Public Services and Procurement Canada,Manitoba,233
2011,Public Services and Procurement Canada,National Capital Region (NCR),9377
2011,Public Services and Procurement Canada,New Brunswick,956
2011,Public Services and Procurement Canada,Newfoundland and Labrador,141
2011,Public Services and Procurement Canada,Northwest Territories,31
2011,Public Services and Procurement Canada,Nova Scotia,567
2011,Public Services and Procurement Canada,Nunavut,7
2011,Public Services and Procurement Canada,Ontario (minus the NCR),648
2011,Public Services and Procurement Canada,Outside of Canada,4
2011,Public Services and Procurement Canada,Prince Edward Island,54
2011,Public Services and Procurement Canada,Quebec (minus the NCR),1285
2011,Public Services and Procurement Canada,Saskatchewan,69
2011,Public Services and Procurement Canada,Yukon,3
2011,RCMP External Review Committee,National Capital Region (NCR),4
2011,Registrar of the Supreme Court of Canada,National Capital Region (NCR),210
2011,Registry of the Specific Claims Tribunal of Canada,National Capital Region (NCR),9
2011,Royal Canadian Mounted Police (Civilian Staff),Alberta,579
2011,Royal Canadian Mounted Police (Civilian Staff),British Columbia,1209
2011,Royal Canadian Mounted Police (Civilian Staff),Manitoba,335
2011,Royal Canadian Mounted Police (Civilian Staff),National Capital Region (NCR),1842
2011,Royal Canadian Mounted Police (Civilian Staff),New Brunswick,410
2011,Royal Canadian Mounted Police (Civilian Staff),Newfoundland and Labrador,173
2011,Royal Canadian Mounted Police (Civilian Staff),Northwest Territories,34
2011,Royal Canadian Mounted Police (Civilian Staff),Nova Scotia,286
2011,Royal Canadian Mounted Police (Civilian Staff),Nunavut,14
2011,Royal Canadian Mounted Police (Civilian Staff),Ontario (minus the NCR),279
2011,Royal Canadian Mounted Police (Civilian Staff),Prince Edward Island,36
2011,Royal Canadian Mounted Police (Civilian Staff),Quebec (minus the NCR),314
2011,Royal Canadian Mounted Police (Civilian Staff),Saskatchewan,602
2011,Royal Canadian Mounted Police (Civilian Staff),Yukon,34
2011,Security Intelligence Review Committee,National Capital Region (NCR),15
2011,Social Sciences and Humanities Research Council of Canada,National Capital Region (NCR),216
2011,Statistical Survey Operations,Alberta,265
2011,Statistical Survey Operations,British Columbia,99
2011,Statistical Survey Operations,Manitoba,208
2011,Statistical Survey Operations,National Capital Region (NCR),2
2011,Statistical Survey Operations,New Brunswick,41
2011,Statistical Survey Operations,Newfoundland and Labrador,28
2011,Statistical Survey Operations,Northwest Territories,3
2011,Statistical Survey Operations,Nova Scotia,192
2011,Statistical Survey Operations,Ontario (minus the NCR),494
2011,Statistical Survey Operations,Prince Edward Island,18
2011,Statistical Survey Operations,Quebec (minus the NCR),283
2011,Statistical Survey Operations,Saskatchewan,43
2011,Statistical Survey Operations,Yukon,5
2011,Statistics Canada,Alberta,144
2011,Statistics Canada,British Columbia,182
2011,Statistics Canada,Manitoba,53
2011,Statistics Canada,National Capital Region (NCR),5281
2011,Statistics Canada,New Brunswick,19
2011,Statistics Canada,Newfoundland and Labrador,20
2011,Statistics Canada,Nova Scotia,77
2011,Statistics Canada,Ontario (minus the NCR),402
2011,Statistics Canada,Prince Edward Island,1
2011,Statistics Canada,Quebec (minus the NCR),213
2011,Statistics Canada,Saskatchewan,32
2011,The Correctional Investigator Canada,National Capital Region (NCR),31
2011,Transport Canada,Alberta,212
2011,Transport Canada,British Columbia,571
2011,Transport Canada,Manitoba,269
2011,Transport Canada,National Capital Region (NCR),2915
2011,Transport Canada,New Brunswick,207
2011,Transport Canada,Newfoundland and Labrador,104
2011,Transport Canada,Northwest Territories,3
2011,Transport Canada,Nova Scotia,153
2011,Transport Canada,Ontario (minus the NCR),538
2011,Transport Canada,Outside of Canada,1
2011,Transport Canada,Prince Edward Island,9
2011,Transport Canada,Quebec (minus the NCR),553
2011,Transport Canada,Saskatchewan,13
2011,Transport Canada,Yukon,5
2011,Transportation Appeal Tribunal of Canada,National Capital Region (NCR),9
2011,Transportation Safety Board of Canada,Alberta,9
2011,Transportation Safety Board of Canada,British Columbia,14
2011,Transportation Safety Board of Canada,Manitoba,10
2011,Transportation Safety Board of Canada,National Capital Region (NCR),150
2011,Transportation Safety Board of Canada,Nova Scotia,10
2011,Transportation Safety Board of Canada,Ontario (minus the NCR),8
2011,Transportation Safety Board of Canada,Quebec (minus the NCR),10
2011,Treasury Board of Canada Secretariat,Alberta,1
2011,Treasury Board of Canada Secretariat,British Columbia,5
2011,Treasury Board of Canada Secretariat,Manitoba,1
2011,Treasury Board of Canada Secretariat,National Capital Region (NCR),2149
2011,Treasury Board of Canada Secretariat,New Brunswick,2
2011,Treasury Board of Canada Secretariat,Newfoundland and Labrador,4
2011,Treasury Board of Canada Secretariat,Nova Scotia,4
2011,Treasury Board of Canada Secretariat,Ontario (minus the NCR),5
2011,Treasury Board of Canada Secretariat,Prince Edward Island,1
2011,Treasury Board of Canada Secretariat,Quebec (minus the NCR),5
2011,Veterans Affairs Canada,Alberta,95
2011,Veterans Affairs Canada,British Columbia,262
2011,Veterans Affairs Canada,Manitoba,138
2011,Veterans Affairs Canada,National Capital Region (NCR),218
2011,Veterans Affairs Canada,New Brunswick,67
2011,Veterans Affairs Canada,Newfoundland and Labrador,38
2011,Veterans Affairs Canada,Nova Scotia,175
2011,Veterans Affairs Canada,Ontario (minus the NCR),440
2011,Veterans Affairs Canada,Outside of Canada,18
2011,Veterans Affairs Canada,Prince Edward Island,1409
2011,Veterans Affairs Canada,Quebec (minus the NCR),1197
2011,Veterans Affairs Canada,Saskatchewan,32
2011,Western Economic Diversification Canada,Alberta,194
2011,Western Economic Diversification Canada,British Columbia,93
2011,Western Economic Diversification Canada,Manitoba,72
2011,Western Economic Diversification Canada,National Capital Region (NCR),56
2011,Western Economic Diversification Canada,Saskatchewan,64
2011,Women and Gender Equality Canada,Alberta,5
2011,Women and Gender Equality Canada,National Capital Region (NCR),87
2011,Women and Gender Equality Canada,New Brunswick,5
2011,Women and Gender Equality Canada,Quebec (minus the NCR),5
2012,Agriculture and Agri-Food Canada,Alberta,526
2012,Agriculture and Agri-Food Canada,British Columbia,274
2012,Agriculture and Agri-Food Canada,Manitoba,916
2012,Agriculture and Agri-Food Canada,National Capital Region (NCR),2505
2012,Agriculture and Agri-Food Canada,New Brunswick,156
2012,Agriculture and Agri-Food Canada,Newfoundland and Labrador,39
2012,Agriculture and Agri-Food Canada,Northwest Territories,1
2012,Agriculture and Agri-Food Canada,Nova Scotia,147
2012,Agriculture and Agri-Food Canada,Nunavut,1
2012,Agriculture and Agri-Food Canada,Ontario (minus the NCR),419
2012,Agriculture and Agri-Food Canada,Outside of Canada,3
2012,Agriculture and Agri-Food Canada,Prince Edward Island,90
2012,Agriculture and Agri-Food Canada,Quebec (minus the NCR),650
2012,Agriculture and Agri-Food Canada,Saskatchewan,915
2012,Agriculture and Agri-Food Canada,Yukon,2
2012,Assisted Human Reproduction Canada,British Columbia,4
2012,Assisted Human Reproduction Canada,National Capital Region (NCR),10
2012,Atlantic Canada Opportunities Agency,National Capital Region (NCR),28
2012,Atlantic Canada Opportunities Agency,New Brunswick,361
2012,Atlantic Canada Opportunities Agency,Newfoundland and Labrador,114
2012,Atlantic Canada Opportunities Agency,Nova Scotia,115
2012,Atlantic Canada Opportunities Agency,Outside of Canada,2
2012,Atlantic Canada Opportunities Agency,Prince Edward Island,57
2012,Canada Border Services Agency,Alberta,517
2012,Canada Border Services Agency,British Columbia,1936
2012,Canada Border Services Agency,Manitoba,509
2012,Canada Border Services Agency,National Capital Region (NCR),4477
2012,Canada Border Services Agency,New Brunswick,402
2012,Canada Border Services Agency,Newfoundland and Labrador,72
2012,Canada Border Services Agency,Northwest Territories,1
2012,Canada Border Services Agency,Nova Scotia,323
2012,Canada Border Services Agency,Nunavut,1
2012,Canada Border Services Agency,Ontario (minus the NCR),4082
2012,Canada Border Services Agency,Outside of Canada,8
2012,Canada Border Services Agency,Prince Edward Island,9
2012,Canada Border Services Agency,Quebec (minus the NCR),2177
2012,Canada Border Services Agency,Saskatchewan,174
2012,Canada Border Services Agency,Yukon,22
2012,Canada Economic Development for Quebec Regions,National Capital Region (NCR),23
2012,Canada Economic Development for Quebec Regions,Quebec (minus the NCR),378
2012,Canada Energy Regulator,Alberta,393
2012,Canada Energy Regulator,Northwest Territories,2
2012,Canada Energy Regulator,Quebec (minus the NCR),1
2012,Canada Industrial Relations Board,British Columbia,4
2012,Canada Industrial Relations Board,Manitoba,2
2012,Canada Industrial Relations Board,National Capital Region (NCR),63
2012,Canada Industrial Relations Board,Nova Scotia,4
2012,Canada Industrial Relations Board,Ontario (minus the NCR),6
2012,Canada Industrial Relations Board,Quebec (minus the NCR),10
2012,Canada Revenue Agency,Alberta,2568
2012,Canada Revenue Agency,British Columbia,4970
2012,Canada Revenue Agency,Manitoba,2809
2012,Canada Revenue Agency,National Capital Region (NCR),11810
2012,Canada Revenue Agency,New Brunswick,615
2012,Canada Revenue Agency,Newfoundland and Labrador,1410
2012,Canada Revenue Agency,Nova Scotia,722
2012,Canada Revenue Agency,Ontario (minus the NCR),10557
2012,Canada Revenue Agency,Prince Edward Island,1118
2012,Canada Revenue Agency,Quebec (minus the NCR),5469
2012,Canada Revenue Agency,Saskatchewan,619
2012,Canada Revenue Agency,Yukon,1
2012,Canada School of Public Service,Alberta,15
2012,Canada School of Public Service,British Columbia,29
2012,Canada School of Public Service,Manitoba,14
2012,Canada School of Public Service,National Capital Region (NCR),751
2012,Canada School of Public Service,New Brunswick,20
2012,Canada School of Public Service,Newfoundland and Labrador,4
2012,Canada School of Public Service,Northwest Territories,2
2012,Canada School of Public Service,Nova Scotia,14
2012,Canada School of Public Service,Ontario (minus the NCR),22
2012,Canada School of Public Service,Prince Edward Island,1
2012,Canada School of Public Service,Quebec (minus the NCR),38
2012,Canada School of Public Service,Saskatchewan,3
2012,Canada School of Public Service,Yukon,2
2012,Canadian Artists and Producers Professional Relations Tribunal,British Columbia,1
2012,Canadian Artists and Producers Professional Relations Tribunal,National Capital Region (NCR),9
2012,Canadian Dairy Commission,National Capital Region (NCR),63
2012,Canadian Food Inspection Agency,Alberta,632
2012,Canadian Food Inspection Agency,British Columbia,535
2012,Canadian Food Inspection Agency,Manitoba,285
2012,Canadian Food Inspection Agency,National Capital Region (NCR),1938
2012,Canadian Food Inspection Agency,New Brunswick,285
2012,Canadian Food Inspection Agency,Newfoundland and Labrador,138
2012,Canadian Food Inspection Agency,Nova Scotia,211
2012,Canadian Food Inspection Agency,Ontario (minus the NCR),1090
2012,Canadian Food Inspection Agency,Prince Edward Island,131
2012,Canadian Food Inspection Agency,Quebec (minus the NCR),1089
2012,Canadian Food Inspection Agency,Saskatchewan,246
2012,Canadian Grain Commission,Alberta,3
2012,Canadian Grain Commission,British Columbia,224
2012,Canadian Grain Commission,Manitoba,270
2012,Canadian Grain Commission,National Capital Region (NCR),1
2012,Canadian Grain Commission,Ontario (minus the NCR),118
2012,Canadian Grain Commission,Quebec (minus the NCR),55
2012,Canadian Grain Commission,Saskatchewan,9
2012,Canadian Heritage,Alberta,15
2012,Canadian Heritage,British Columbia,46
2012,Canadian Heritage,Manitoba,33
2012,Canadian Heritage,National Capital Region (NCR),1662
2012,Canadian Heritage,New Brunswick,33
2012,Canadian Heritage,Newfoundland and Labrador,14
2012,Canadian Heritage,Northwest Territories,3
2012,Canadian Heritage,Nova Scotia,15
2012,Canadian Heritage,Ontario (minus the NCR),63
2012,Canadian Heritage,Prince Edward Island,9
2012,Canadian Heritage,Quebec (minus the NCR),65
2012,Canadian Heritage,Saskatchewan,18
2012,Canadian Heritage,Yukon,5
2012,Canadian Human Rights Commission,Alberta,6
2012,Canadian Human Rights Commission,British Columbia,1
2012,Canadian Human Rights Commission,Manitoba,2
2012,Canadian Human Rights Commission,National Capital Region (NCR),193
2012,Canadian Human Rights Commission,Ontario (minus the NCR),2
2012,Canadian Human Rights Commission,Quebec (minus the NCR),5
2012,Canadian Institutes of Health Research,National Capital Region (NCR),424
2012,Canadian Intergovernmental Conference Secretariat,National Capital Region (NCR),21
2012,Canadian International Trade Tribunal,National Capital Region (NCR),77
2012,Canadian Nuclear Safety Commission,Alberta,9
2012,Canadian Nuclear Safety Commission,National Capital Region (NCR),791
2012,Canadian Nuclear Safety Commission,New Brunswick,4
2012,Canadian Nuclear Safety Commission,Ontario (minus the NCR),34
2012,Canadian Nuclear Safety Commission,Outside of Canada,1
2012,Canadian Nuclear Safety Commission,Quebec (minus the NCR),11
2012,Canadian Nuclear Safety Commission,Saskatchewan,14
2012,Canadian Polar Commission,National Capital Region (NCR),4
2012,Canadian Radio-television and Telecommunications Commission,Alberta,2
2012,Canadian Radio-television and Telecommunications Commission,British Columbia,6
2012,Canadian Radio-television and Telecommunications Commission,Manitoba,2
2012,Canadian Radio-television and Telecommunications Commission,National Capital Region (NCR),426
2012,Canadian Radio-television and Telecommunications Commission,Nova Scotia,5
2012,Canadian Radio-television and Telecommunications Commission,Ontario (minus the NCR),2
2012,Canadian Radio-television and Telecommunications Commission,Quebec (minus the NCR),6
2012,Canadian Radio-television and Telecommunications Commission,Saskatchewan,2
2012,Canadian Space Agency,National Capital Region (NCR),65
2012,Canadian Space Agency,Ontario (minus the NCR),1
2012,Canadian Space Agency,Outside of Canada,11
2012,Canadian Space Agency,Quebec (minus the NCR),678
2012,Canadian Transportation Agency,Alberta,1
2012,Canadian Transportation Agency,British Columbia,1
2012,Canadian Transportation Agency,Manitoba,1
2012,Canadian Transportation Agency,National Capital Region (NCR),244
2012,Canadian Transportation Agency,New Brunswick,1
2012,Canadian Transportation Agency,Ontario (minus the NCR),1
2012,Canadian Transportation Agency,Quebec (minus the NCR),1
2012,Civilian Review and Complaints Commission for the RCMP,British Columbia,13
2012,Civilian Review and Complaints Commission for the RCMP,National Capital Region (NCR),42
2012,Communications Security Establishment,National Capital Region (NCR),1984
2012,Communications Security Establishment,Ontario (minus the NCR),1
2012,Competition Bureau Canada,National Capital Region (NCR),8
2012,Copyright Board Canada,National Capital Region (NCR),14
2012,Correctional Service Canada,Alberta,2066
2012,Correctional Service Canada,British Columbia,2752
2012,Correctional Service Canada,Manitoba,635
2012,Correctional Service Canada,National Capital Region (NCR),1655
2012,Correctional Service Canada,New Brunswick,1233
2012,Correctional Service Canada,Newfoundland and Labrador,45
2012,Correctional Service Canada,Northwest Territories,1
2012,Correctional Service Canada,Nova Scotia,676
2012,Correctional Service Canada,Ontario (minus the NCR),4229
2012,Correctional Service Canada,Prince Edward Island,18
2012,Correctional Service Canada,Quebec (minus the NCR),4201
2012,Correctional Service Canada,Saskatchewan,1501
2012,Courts Administration Service,Alberta,10
2012,Courts Administration Service,British Columbia,37
2012,Courts Administration Service,Manitoba,6
2012,Courts Administration Service,National Capital Region (NCR),473
2012,Courts Administration Service,New Brunswick,2
2012,Courts Administration Service,Nova Scotia,3
2012,Courts Administration Service,Ontario (minus the NCR),68
2012,Courts Administration Service,Quebec (minus the NCR),61
2012,Crown-Indigenous Relations and Northern Affairs Canada,Alberta,248
2012,Crown-Indigenous Relations and Northern Affairs Canada,British Columbia,608
2012,Crown-Indigenous Relations and Northern Affairs Canada,Manitoba,264
2012,Crown-Indigenous Relations and Northern Affairs Canada,National Capital Region (NCR),2654
2012,Crown-Indigenous Relations and Northern Affairs Canada,Newfoundland and Labrador,5
2012,Crown-Indigenous Relations and Northern Affairs Canada,Northwest Territories,259
2012,Crown-Indigenous Relations and Northern Affairs Canada,Nova Scotia,142
2012,Crown-Indigenous Relations and Northern Affairs Canada,Nunavut,114
2012,Crown-Indigenous Relations and Northern Affairs Canada,Ontario (minus the NCR),500
2012,Crown-Indigenous Relations and Northern Affairs Canada,Quebec (minus the NCR),180
2012,Crown-Indigenous Relations and Northern Affairs Canada,Saskatchewan,331
2012,Crown-Indigenous Relations and Northern Affairs Canada,Yukon,104
2012,Department of Finance Canada,National Capital Region (NCR),781
2012,Department of Justice Canada,Alberta,294
2012,Department of Justice Canada,British Columbia,540
2012,Department of Justice Canada,Manitoba,103
2012,Department of Justice Canada,National Capital Region (NCR),2947
2012,Department of Justice Canada,New Brunswick,7
2012,Department of Justice Canada,Newfoundland and Labrador,2
2012,Department of Justice Canada,Northwest Territories,24
2012,Department of Justice Canada,Nova Scotia,120
2012,Department of Justice Canada,Nunavut,3
2012,Department of Justice Canada,Ontario (minus the NCR),576
2012,Department of Justice Canada,Outside of Canada,3
2012,Department of Justice Canada,Prince Edward Island,8
2012,Department of Justice Canada,Quebec (minus the NCR),391
2012,Department of Justice Canada,Saskatchewan,101
2012,Department of Justice Canada,Yukon,11
2012,Elections Canada,National Capital Region (NCR),528
2012,Employment and Social Development Canada,Alberta,1344
2012,Employment and Social Development Canada,British Columbia,2024
2012,Employment and Social Development Canada,Manitoba,817
2012,Employment and Social Development Canada,National Capital Region (NCR),7743
2012,Employment and Social Development Canada,New Brunswick,1263
2012,Employment and Social Development Canada,Newfoundland and Labrador,612
2012,Employment and Social Development Canada,Northwest Territories,30
2012,Employment and Social Development Canada,Nova Scotia,596
2012,Employment and Social Development Canada,Nunavut,18
2012,Employment and Social Development Canada,Ontario (minus the NCR),4495
2012,Employment and Social Development Canada,Prince Edward Island,153
2012,Employment and Social Development Canada,Quebec (minus the NCR),3167
2012,Employment and Social Development Canada,Saskatchewan,479
2012,Employment and Social Development Canada,Yukon,15
2012,Environment and Climate Change Canada,Alberta,383
2012,Environment and Climate Change Canada,British Columbia,543
2012,Environment and Climate Change Canada,Manitoba,142
2012,Environment and Climate Change Canada,National Capital Region (NCR),2713
2012,Environment and Climate Change Canada,New Brunswick,124
2012,Environment and Climate Change Canada,Newfoundland and Labrador,75
2012,Environment and Climate Change Canada,Northwest Territories,63
2012,Environment and Climate Change Canada,Nova Scotia,284
2012,Environment and Climate Change Canada,Nunavut,22
2012,Environment and Climate Change Canada,Ontario (minus the NCR),1300
2012,Environment and Climate Change Canada,Outside of Canada,1
2012,Environment and Climate Change Canada,Prince Edward Island,2
2012,Environment and Climate Change Canada,Quebec (minus the NCR),899
2012,Environment and Climate Change Canada,Saskatchewan,176
2012,Environment and Climate Change Canada,Yukon,35
2012,Farm Products Council of Canada,National Capital Region (NCR),16
2012,Federal Economic Development Agency for Southern Ontario,National Capital Region (NCR),29
2012,Federal Economic Development Agency for Southern Ontario,Ontario (minus the NCR),196
2012,Federal Judges not part of any department,Alberta,96
2012,Federal Judges not part of any department,British Columbia,127
2012,Federal Judges not part of any department,Manitoba,53
2012,Federal Judges not part of any department,National Capital Region (NCR),111
2012,Federal Judges not part of any department,New Brunswick,41
2012,Federal Judges not part of any department,Newfoundland and Labrador,35
2012,Federal Judges not part of any department,Northwest Territories,5
2012,Federal Judges not part of any department,Nova Scotia,51
2012,Federal Judges not part of any department,Nunavut,6
2012,Federal Judges not part of any department,Ontario (minus the NCR),311
2012,Federal Judges not part of any department,Prince Edward Island,9
2012,Federal Judges not part of any department,Quebec (minus the NCR),208
2012,Federal Judges not part of any department,Saskatchewan,50
2012,Federal Judges not part of any department,Yukon,2
2012,Financial Consumer Agency of Canada,National Capital Region (NCR),68
2012,Financial Transactions and Reports Analysis Centre of Canada,British Columbia,16
2012,Financial Transactions and Reports Analysis Centre of Canada,National Capital Region (NCR),343
2012,Financial Transactions and Reports Analysis Centre of Canada,Ontario (minus the NCR),6
2012,Financial Transactions and Reports Analysis Centre of Canada,Quebec (minus the NCR),11
2012,Fisheries and Oceans Canada,Alberta,41
2012,Fisheries and Oceans Canada,British Columbia,2532
2012,Fisheries and Oceans Canada,Manitoba,241
2012,Fisheries and Oceans Canada,National Capital Region (NCR),1568
2012,Fisheries and Oceans Canada,New Brunswick,637
2012,Fisheries and Oceans Canada,Newfoundland and Labrador,1625
2012,Fisheries and Oceans Canada,Northwest Territories,53
2012,Fisheries and Oceans Canada,Nova Scotia,1786
2012,Fisheries and Oceans Canada,Nunavut,21
2012,Fisheries and Oceans Canada,Ontario (minus the NCR),822
2012,Fisheries and Oceans Canada,Prince Edward Island,111
2012,Fisheries and Oceans Canada,Quebec (minus the NCR),1431
2012,Fisheries and Oceans Canada,Saskatchewan,19
2012,Fisheries and Oceans Canada,Yukon,36
2012,Global Affairs Canada,Alberta,18
2012,Global Affairs Canada,British Columbia,22
2012,Global Affairs Canada,Manitoba,7
2012,Global Affairs Canada,National Capital Region (NCR),5285
2012,Global Affairs Canada,New Brunswick,9
2012,Global Affairs Canada,Newfoundland and Labrador,5
2012,Global Affairs Canada,Nova Scotia,9
2012,Global Affairs Canada,Ontario (minus the NCR),29
2012,Global Affairs Canada,Outside of Canada,1262
2012,Global Affairs Canada,Prince Edward Island,3
2012,Global Affairs Canada,Quebec (minus the NCR),45
2012,Global Affairs Canada,Saskatchewan,8
