measure_id,parent_measure_id,measure_en,chapter_key,id_en,description_en
40,,Ensuring Rules-Based and Responsible Trade,grw,Ensuring-Rules-Based-and-Responsible-Trade,"As we seek to open up markets around the world, we also need to support domestic industries in the wake of trade actions, and need to take steps to ensure a robust rules-based trading system that balances the interests of Canadian stakeholders at home and abroad.

To that end, the Government is committed to supporting and defending the Canadian forest industry in the face of unjustified U.S. duties. The Government proposes to provide $191 million over five years, starting in 2018–19, to Global Affairs Canada and Natural Resources Canada to support softwood lumber jobs, including through litigation under the World Trade Organization and the NAFTA dispute settlement mechanisms. The Government will also continue its negotiating efforts towards a durable softwood lumber agreement with the U.S. that will bring stability on both sides of the border.

The Government has also taken steps in recent years, including through amendments to the Special Import Measures Act, to ensure that the trade remedy system is effective and fair. In light of the essential function that the Canadian International Trade Tribunal performs in Canada’s trade remedy system, the Government proposes to amend the Canadian International Trade Tribunal Act to ensure that it continues to effectively deliver on its mandate. In addition, the Government recently reviewed the level of anti-dumping duties applied to imports of gypsum board from the U.S., and has concluded that they are preventing injury to domestic producers while ensuring adequate supply in the market. The Government will continue to monitor this situation to ensure the duties are having the intended effect. 

Because it believes that trade is best when it works for everyone, the Government has announced it is creating an independent Canadian Ombudsperson for Responsible Enterprise. This represents a new global standard in promoting responsible business conduct. The Ombudsperson will work to ensure that Canadian firms operating abroad exercise leadership in ethical, social and environmental practices. Funding of $6.8 million over six years, starting in 2017–18, with $1.3 million per year thereafter, will be provided for this initiative.
"
41,,Ensuring Security and Prosperity in the Digital Age,adv,Ensuring-Security-and-Prosperity-in-the-Digital-Age,"The digital age has revolutionized how Canadians live as well as how our institutions function. Digital technologies have changed the way we work, how we shop, how we access services—including government and financial services. These changes have brought with them vast benefits and new challenges, including efforts to preserve cyber security and protect the privacy of Canadians. Cyber-attacks are becoming more pervasive, increasingly sophisticated and ever more effective. Successful cyber-attacks have the potential to expose the private information of Canadians, cost Canadian businesses millions of dollars, and potentially put Canada’s critical infrastructure networks at risk.   

With this budget, the Government of Canada is implementing a plan for security and prosperity in the digital age to protect against cyber-attacks. The Government proposes significant investments of $507.7 million over five years, and $108.8 million per year thereafter, to fund a new National Cyber Security Strategy. The Strategy focuses on three principal goals: 
•Ensure secure and resilient Canadian systems.
•Build an innovative and adaptive cyber ecosystem.
•Support effective leadership and collaboration between different levels of Canadian government, and partners around the world. 

The Government will work alongside key partners in order to implement this plan: other levels of government, the business community, academia and trusted international partners. Canada will work to proactively solve mutual cyber issues, raising the cyber security bar for all Canadians.  
"
42,,Ensuring That Indigenous Children Are Safe and Supported Within Their Communities,rec,Indigenous-Health-Keeping-Families-Healthy-in-Their-Communities,"For all families and communities, there is no greater priority than ensuring the safety, security and well-being of their children. Indigenous children under the age of 14 make up 7.7 per cent of all children in Canada, but they represent more than half of all children in foster care. This means that Indigenous children have a much higher chance of being separated from their families, communities and cultures. This needs to change. 

The Government is committed to fully implementing the orders of the Canadian Human Rights Tribunal. To address the funding pressures facing child and family service agencies, while also increasing prevention resources for communities so that children are safe and families can stay together, Budget 2018 proposes to provide more than $1.4 billion in new funding over six years, starting in 2017–18, for First Nations Child and Family Services.  

The Government will continue to work with First Nations, Inuit and the Metis Nation, as well as other partners, to advance the reforms to child and family services that are needed and develop Indigenous-led solutions that put the well-being of children first.
"
43,,Ensuring the Safe Operation of Tankers,oth,23-Other-Budget-2018-Measures-(Not-Included-in-Previous-Chapters),Funding proposed for Transport Canada to continue to inspect 100 per cent of foreign-registered oil tankers on their first visit to Canada and once annually thereafter. 
44,,Evidence-Based Policy,grw,Evidence-Based-Policy,"In order to properly address gender inequality and track our progress towards a more equitable society, we need to better understand the barriers different groups face. The Government of Canada intends to address gaps in gathering data and to better use data related to gender and diversity. This includes proposing $6.7 million over five years, starting in 2018–19, and $0.6 million per year ongoing, for Statistics Canada to create a new Centre for Gender, Diversity and Inclusion Statistics. The Centre will maintain a public facing GBA+ data hub to support evidence-based policy development and decision-making—both within the federal government and beyond. 

The Centre will work to address gaps in the availability of disaggregated data on gender, race and other intersecting identities to enrich our understanding of social, economic, financial and environmental issues. The work conducted at the Centre will include collecting, analyzing and disseminating data on visible minorities to understand the barriers different groups face and how best to support them with evidence-based policy.  

As part of the Government’s commitment to address gaps in gender and diversity data, the Government is also proposing to provide $1.5 million over five years, starting in 2018–19, and $0.2 million per year ongoing, to the Department of Finance Canada to work with Statistics Canada and Status of Women to develop a broader set of indicators and statistics to measure and track Canada’s progress on achieving shared growth and gender equality objectives. 

Budget 2018 also proposes to provide $5 million per year to Status of Women Canada to undertake research and data collection in support of the Government’s Gender Results Framework. One of the first projects this would support is an analysis of the unique challenges visible minority and newcomer women face in finding employment in science, technology engineering and mathematics occupations. This research will fill important gaps in knowledge as to how to achieve greater diversity and inclusion among the high-paying jobs of tomorrow.

Recognizing the importance of poverty data in evidence-based decision-making by all levels of government, the federal government additionally proposes an investment of $12.1 million over five years, and $1.5  million per year thereafter, to address key gaps in poverty measurement in Canada. This includes ensuring that poverty data is inclusive of all Canadians, data on various dimensions of poverty are captured, and the data is robust and timely.
"
45,,Expanding the Diversity of Entrepreneurs,prg,Expanding-the-Diversity-of-Entrepreneurs,"Canada's Start-up Visa Program provides permanent resident immigration status to innovative global entrepreneurs with the potential to grow their companies in Canada. In July 2017, the Government announced that the Start-up Visa Program, initially launched as a pilot project, will be made a permanent pathway to immigrate to Canada, as of March 31, 2018.

When first introduced, the Start-up Visa was a small, low-volume program. But in recent years, it has seen increased interest from global entrepreneurs eager to come to Canada and grow their businesses. To match that growing demand, Budget 2018 proposes to provide $4.6 million over five years, beginning in 2018–19, and $0.8 million per year ongoing, to enhance the Start-up Visa client-service experience by ensuring applicants, private sector partners and immigration officials are able to process applications electronically and more efficiently.
"
46,,Expanding Unified Family Courts,adv,Expanding-Unified-Family-Courts,"Unified Family Courts aim to simplify family justice procedures for Canadians experiencing issues including separation, divorce, support and custody disputes. With access to Unified Family Courts, family law issues are considered under one court system, rather than two, which helps streamline the process and can help reduce the stress and confusion that families may face during this time. In addition, Unified Family Courts use specialized judges who are familiar with the sensitive nature of family law issues and offer a range of programs and support services to families. The combination of these specialized courts and enhanced services for families can help resolve issues more efficiently. 

To enhance access to justice and improve outcomes for a significant number of Canadian families, the Government proposes to provide $77.2 million over four years, starting in 2019–20, and $20.8 million per year ongoing, to support the expansion of Unified Family Courts, creating 39 new judicial positions in Alberta, Ontario, Nova Scotia, and Newfoundland and Labrador. This expansion will create a more streamlined process for those who rely on these services. The Government intends to introduce corresponding legislative amendments to create these new judicial positions to enhance Unified Family Courts. 
"
47,,Finance Canada Analytical Capacity,oth,23-Other-Budget-2018-Measures-(Not-Included-in-Previous-Chapters),Additional staff at the Department of Finance to support a new fiscal relationship with Indigenous Peoples.
48,,Funding to support the establishment of a National Council for Reconciliation,rec,23-Other-Budget-2018-Measures-(Not-Included-in-Previous-Chapters),Funding proposed to support work to establish a National Reconciliation Council.
49,,Further Improving Mental Health Supports for Inmates,adv,Further-Improving-Mental-Health-Supports-for-Inmates,"Through Budget 2017, the Government took an important step towards the goal of ensuring that offenders with mental health needs in federal correctional facilities receive the appropriate level of care. Challenges remain, however, in meeting the complex and varied needs of offenders, including for women inmates in federal corrections, whose numbers have grown by approximately 30 per cent over the last 10 years. Budget 2018 builds on the investments made in Budget 2017, proposing $20.4 million over five years, beginning in 2018–19, and $5.6 million per year ongoing, for the Correctional Service of Canada to further support the mental health needs of federal inmates. Funds would largely be targeted towards providing enhanced mental health supports for women in federal correctional facilities across Canada."
50,,Gairdner Foundation,oth,23-Other-Budget-2018-Measures-(Not-Included-in-Previous-Chapters),"Funding proposed for the Gairdner Foundation's activities, including far Canadian and international outreach efforts and to expand the diversity of recipients."
51,,Getting Into and Staying in the Workforce and Career Pathways for Visible Minority Newcomer Women in Canada,grw,Getting-Into-and-Staying-in-the-Workforce-and-Career-Pathways-for-Visible-Minority-Newcomer-Women-in-Canada,"Employment is key to the successful integration of newcomers to Canada, supporting their financial independence and allowing them to make social connections and retain and build job skills. However, newcomers sometimes face significant barriers to finding and keeping good jobs, including language challenges, lack of Canadian experience, a lack of social networks and, in some cases, discrimination. For many visible minority newcomer women, there are additional barriers, including both gender- and race-based discrimination, precarious or low-income employment, lack of affordable and accessible child care, lower language and literacy levels, lack of community and social supports, and limited or interrupted education in their home country. To help reduce these barriers, the Government will launch a three-year pilot to support programming for newcomer women who are also members of visible minorities and provide $31.8 million over three years starting in 2018–19. "
52,,Granting Councils,prg,Granting-Councils,"Canada’s three granting councils are arm’s-length organizations that provide federal funding for the work of researchers at post-secondary institutions and research hospitals. In Budget 2018, the Government is proposing a historic investment to support this work—the most new funding for fundamental research through the granting councils in Canadian history.

The Government proposes to invest $925 million over five years, starting in 2018–19, and $235 million per year ongoing:
•$354.7 million over five years ($90.1 million per year ongoing) to the Natural Sciences and Engineering Research Council (NSERC). 
•$354.7 million over five years ($90.1 million per year ongoing) to the Canadian Institutes of Health Research (CIHR).
•$215.5 million over five years ($54.8 million per year ongoing) to the Social Sciences and Humanities Research Council (SSHRC). 

To accelerate Canada’s transition to a more modern approach to research, Budget 2018 also proposes to create a new tri-council fund to support research that is international, interdisciplinary, fast-breaking and higher-risk. The Government proposes to provide $275 million over five years, starting in 2018–19, and $65 million per year ongoing, for this innovative approach, which will be administered by SSHRC on behalf of the granting councils.                              
These two proposed investments would increase the granting councils’ annual budgets for fundamental research by over 25 per cent when they reach their peak in three years time. The proposed funding would provide increased support and training opportunities for about 21,000 researchers, students and high-quality personnel across Canada every year by 2021–22, including: 6,000 top-tier researchers and principal investigators; 3,500 early-career researchers; 8,000 undergraduate, master’s and doctoral students; 1,300 postdoctoral students; and 2,000 research assistants and technicians.
With this investment, the granting councils will be tasked with developing new plans, strategies and targets to ensure greater collaboration between NSERC, CIHR and SSHRC and support for interdisciplinary research, as well as plans to achieve greater diversity among research funding recipients, including improved support for women, underrepresented groups and early-career researchers. To support these goals, the Government proposes to provide $6 million over five years ($0.5 million ongoing) for surveys to collect improved data on researchers, and $15 million over five years to implement programs that support improved equality and diversity in academia at post-secondary institutions.
"
53,,Harnessing Big Data,prg,Harnessing-Big-Data,"Digital research infrastructure is the collection of connectivity, computing power and storage services needed to support data-intensive and computationally-intensive research. Big data has become an essential tool for progress in science, underpinning world-class research across all disciplines. Improved technologies, such as cloud computing and faster networking, allow for new opportunities to address scientific challenges. For example, medical researchers in genomics can use advanced research computing to analyze genetic sequences to look for DNA-related changes that might cause cancer or dementia. Eventually, researchers may be able to develop personal medical treatment plans for patients based on genetics, age and behavioural data, improving health outcomes. Improved access to essential digital research tools and services will strengthen Canada’s reputation as a global leader in science, research and innovation.

The Government proposes to provide $572.5 million over five years, with $52 million per year ongoing, to implement a Digital Research Infrastructure Strategy that will deliver more open and equitable access to advanced computing and big data resources to researchers across Canada. The Minister of Science will work with interested stakeholders, including provinces, territories and universities, to develop the strategy, including how to incorporate the roles currently played by the Canada Foundation for Innovation, Compute Canada and CANARIE, to provide for more streamlined access for Canadian researchers.
"
54,,Helping Indigenous Nations Reconstitute,rec,Helping-Indigenous-Nations-Reconstitute,"The Government has committed to a forward-looking and transformative agenda to renew relationships with Indigenous Peoples. Indigenous groups are seeking to rebuild their nations in a manner that responds to their priorities and the unique needs of their communities—a message they have shared with the Working Group of Ministers on the Review of Laws and Policies related to Indigenous Peoples. This was also a key recommendation of the Royal Commission on Aboriginal Peoples, and is an objective outlined in the United Nations Declaration on the Rights of Indigenous Peoples. As stated by the Prime Minister at the United Nations General Assembly, the Government supports this vital work.

Through Budget 2018, the Government proposes to provide $101.5 million over five years, starting in 2018–19, to support capacity development for Indigenous Peoples. Funding would be made available to Indigenous groups to support activities that would facilitate their own path to reconstituting their nations. 
"
55,,Horizontal Skills Review,grw,Horizontal-Skills-Review,"From basic literacy and numeracy support to specific skilled trades training to financial supports and work experiences offered to students, the Government provides a wide range of skills programming to meet a variety of needs. To maximize the effectiveness of these programs, particularly in the way that they offer support to workers wishing to take advantage of emerging opportunities, the Government will undertake a horizontal review of skills programming over the next year. In support of this review, the Government proposes to provide $0.75 million in 2018–19 to the Treasury Board Secretariat. This, in conjunction with the Future Skills organization, will provide Canada’s labour force with the information and training needed to meet future challenges and opportunities head on.  "
56,,Implementing the 2030 Sustainable Development Agenda,adv,Implementing-the-2030-Agenda-for-Sustainable-Development,"Canadians can be proud of our history of helping others around the world, including providing emergency and development assistance to the poorest and most vulnerable. We understand that a safer, more prosperous world means a safer and more prosperous Canada. 

In 2015, Canada, along with all other United Nations member states, committed to implementing the 2030 Agenda for Sustainable Development, which set 17 goals (known as Sustainable Development Goals or SDGs) to eliminate poverty, protect the planet and ensure prosperity by the year 2030. These goals are universal, and apply to all countries. This means working to end all forms of poverty, fight inequalities, tackle climate change and support sustainable economic growth here at home, and helping other countries through our diplomacy, trade, peace and security, and international assistance efforts. 

To reach these goals, in 2016, the Government of Canada began a comprehensive review of its international assistance support to improve the effectiveness of Canada’s international assistance. The result was a new Feminist International Assistance Policy, unveiled in June 2017, and centred around SDG 5: Gender Equality. 
To support reporting and ensure continued progress and coordination of our efforts on the Sustainable Development Goals both domestically and internationally, the Government proposes to provide $49.4 million over 13 years, starting in 2018–19, to establish a Sustainable Development Goals Unit, and fund monitoring and reporting activities by Statistics Canada. This will enable better coordination among all levels of government, civil society organizations and the private sector on Canada’s efforts on the 2030 Agenda for Sustainable Development. It will also support the monitoring and reporting of Canada’s domestic and international efforts to ensure that all of the Sustainable Development Goals are achieved by 2030 and that no one is left behind. The Government is also proposing to provide, from existing departmental resources, up to $59.8 million over 13 years, starting in 2018–19, for programming to support the implementation of the Sustainable Development Goals.
"
57,,Improving Access to the Canada Child Benefit and other Benefits,grw,Improving-Access-to-the-Canada-Child-Benefit-and-Other-Benefits,"Indigenous Peoples, in particular those living in remote and northern communities, face distinct barriers when it comes to accessing federal benefits such as the Canada Child Benefit. To help Indigenous Peoples access the full range of federal social benefits, the Government will provide $17.3 million over three years, starting in 2018–19, to expand outreach efforts to Indigenous communities, and to conduct pilot outreach activities for urban Indigenous communities. "
58,,Improving Access to the Canada Workers Benefit,grw,Improving-Access-to-the-Canada-Workers-Benefit,"At the same time, the Government recognizes that not all low-income workers are receiving the CWB (previously WITB) payment that they are entitled to. This happens because some lower-income workers do not claim the benefit on their tax return. The Government is proposing amendments that will allow the Canada Revenue Agency (CRA) to automatically determine whether these tax filers are eligible for the benefit. An estimated 300,000 additional low-income workers will receive the new CWB for the 2019 tax year as a result of these changes. This represents a major step forward in fulfilling the Government’s commitment of making sure that all Canadians receive the tax benefits and credits to which they are entitled. 

CWB enhancements, combined with new investments to make sure that every worker who qualifies actually receives the benefit, will mean that the Government is investing almost $1 billion of new funding for the benefit in 2019, relative to 2018. The Government estimates that enhancements and improved take-up in 2019 will directly benefit more than 2 million working Canadians, many of whom were not benefitting from the WITB. This will help lift approximately 70,000 Canadians out of poverty.

Moving forward, the Government will continue to work with interested provinces and territories to harmonize benefits and help support the transition from social assistance and into work. Quebec, Alberta, British Columbia and Nunavut have already taken advantage of the opportunity to make province- and territory-specific changes to the design of the program. 

In addition, over the next year, the Government will also begin work on improving the delivery of the CWB to provide better support to low-income Canadians throughout the year, rather than through an annual refund after filing their taxes.
At the same time, the Government recognizes that not all low-income workers are receiving the CWB (previously WITB) payment that they are entitled to. This happens because some lower-income workers do not claim the benefit on their tax return. The Government is proposing amendments that will allow the Canada Revenue Agency (CRA) to automatically determine whether these tax filers are eligible for the benefit. An estimated 300,000 additional low-income workers will receive the new CWB for the 2019 tax year as a result of these changes. This represents a major step forward in fulfilling the Government’s commitment of making sure that all Canadians receive the tax benefits and credits to which they are entitled. 

CWB enhancements, combined with new investments to make sure that every worker who qualifies actually receives the benefit, will mean that the Government is investing almost $1 billion of new funding for the benefit in 2019, relative to 2018. The Government estimates that enhancements and improved take-up in 2019 will directly benefit more than 2 million working Canadians, many of whom were not benefitting from the WITB. This will help lift approximately 70,000 Canadians out of poverty.

Moving forward, the Government will continue to work with interested provinces and territories to harmonize benefits and help support the transition from social assistance and into work. Quebec, Alberta, British Columbia and Nunavut have already taken advantage of the opportunity to make province- and territory-specific changes to the design of the program. 

In addition, over the next year, the Government will also begin work on improving the delivery of the CWB to provide better support to low-income Canadians throughout the year, rather than through an annual refund after filing their taxes.
At the same time, the Government recognizes that not all low-income workers are receiving the CWB (previously WITB) payment that they are entitled to. This happens because some lower-income workers do not claim the benefit on their tax return. The Government is proposing amendments that will allow the Canada Revenue Agency (CRA) to automatically determine whether these tax filers are eligible for the benefit. An estimated 300,000 additional low-income workers will receive the new CWB for the 2019 tax year as a result of these changes. This represents a major step forward in fulfilling the Government’s commitment of making sure that all Canadians receive the tax benefits and credits to which they are entitled. 

CWB enhancements, combined with new investments to make sure that every worker who qualifies actually receives the benefit, will mean that the Government is investing almost $1 billion of new funding for the benefit in 2019, relative to 2018. The Government estimates that enhancements and improved take-up in 2019 will directly benefit more than 2 million working Canadians, many of whom were not benefitting from the WITB. This will help lift approximately 70,000 Canadians out of poverty.

Moving forward, the Government will continue to work with interested provinces and territories to harmonize benefits and help support the transition from social assistance and into work. Quebec, Alberta, British Columbia and Nunavut have already taken advantage of the opportunity to make province- and territory-specific changes to the design of the program. 

In addition, over the next year, the Government will also begin work on improving the delivery of the CWB to provide better support to low-income Canadians throughout the year, rather than through an annual refund after filing their taxes."
59,,Improving Access to the Digital Economy,oth,23-Other-Budget-2018-Measures-(Not-Included-in-Previous-Chapters),"Funding proposed for Innovation, Science and Economic Development Canada to increase access to computers and promote the development of information and communication technology skills required for participation in the digital and knowledge-based economy."
60,,Improving Client Services at the Canada Revenue Agency,adv,Improving-Client-Services-at-the-Canada-Revenue-Agency,"Providing excellent service to Canadians is a top priority for the Canada Revenue Agency (CRA). Over the past two years, the Government has made significant investments to improve the timeliness and responsiveness of service. While progress has been made, Canadians continue to face unacceptable delays and challenges in dealing with the CRA. More needs to be done to make the Agency and its services, fairer, more helpful and easier to use"
61,,Improving Support for Sexual Assault Crisis Centres on Campuses,adv,Taking-Action-to-Prevent-and-Address-Gender-Based-Violence-Harassment-and-Discrimination,"Of all sexual assault incidents reported in Canada, nearly half (47 per cent) were committed against women aged 15 to 24, and 41 per cent of all sexual assaults across Canada were reported by students. There is a need for federal leadership in this area, to support a harmonized national approach and dialogue, leading to strategies to address sexual violence, to create safe campuses, and to remove the stigma from reporting or seeking support following sexual violence. The Government proposes to provide up to $5.5 million over five years, starting in 2018–19, to Status of Women Canada to work with stakeholders, including provinces and territories, towards developing a harmonized national framework to ensure consistent, comprehensive and sustainable approaches in addressing gender-based violence at post-secondary institutions across the country. Starting in 2019, for those universities and college campuses that are not implementing best practices addressing sexual assaults on campus, the Government of Canada will consider withdrawing federal funding."
62,,Increased Health Support for Survivors of Indian Residential Schools and their Families,rec,Increased-Health-Supports-for-Survivors-of-Indian-Residential-Schools-and-Their-Families,"The Indian Residential School Settlement was intended to redress harm caused to students of residential schools and their families. Implementation began in September 2007 and is expected to wind down over the next few years. 

For many survivors of residential schools and their families, the healing process has been long and very difficult. In light of this, the Settlement Agreement committed to providing survivors and their families with mental health and emotional support services to help them as they heal. Through Budget 2018, the Government proposes to provide $248.6 million over three years, starting in 2018–19, for services, including mental health and emotional supports to survivors and their families for the duration of the Indian Residential School Settlement. 
"
63,,Increasing Diversity in Science,prg,,
64,,Indigenous Health: Keeping Families Healthy in Their Communities,rec,Indigenous-Health-Keeping-Families-Healthy-in-Their-Communities,"There are significant gaps in health outcomes between Indigenous and non-Indigenous people. Infant mortality rates of First Nations and Inuit children are up to three times higher, diabetes rates are up to four times higher, and suicide rates among First Nations youth are between five and seven times higher. This gap in health outcomes can be narrowed, and providing access to quality health care close to home is an essential part of that change. 

To keep Indigenous families healthy, Budget 2018 proposes to invest $1.5 billion over five years, starting in 2018–19, and $149 million per year ongoing, as follows:
•$498 million, with $97.6 million per year ongoing, to sustain access to critical medical care and services, including 24/7 nursing services in 79 remote and isolated First Nations communities. 
•$200 million, with $40 million per year ongoing, to enhance the delivery of culturally appropriate addictions treatment and prevention services in First Nations communities with high needs. 
•$235 million to work with First Nations partners to transform First Nations health systems by expanding successful models of self-determination so that health programs and services are developed, delivered and controlled by and for First Nations. This investment will also support access to quality and First Nations-controlled health care in remote and isolated James Bay communities as part of the Weeneebayko Area Health Integration Framework Agreement.
•$490 million over two years to preserve access to medically necessary health benefits and services through the Non-Insured Health Benefits Program.
•$109 million over 10 years, with $6 million per year ongoing, to respond to high rates of tuberculosis in Inuit communities, and develop a better understanding of the unique health needs of Inuit peoples through the co-creation of a distinct Inuit Health Survey.
•$6 million over five years to support the Métis Nation in gathering health data and developing a health strategy.

"
65,,Indigenous Skills and Employment Training Program,rec,Indigenous-Skills-and-Employment-Training-Program,"Indigenous Peoples are less likely to be employed than non-Indigenous Canadians, and those who do work typically earn less. To help close the employment and earning gaps between Indigenous and non-Indigenous people, Budget 2018 proposes to invest $2 billion over five years, and $408.2 million per year ongoing, to support the creation of a new Indigenous Skills and Employment Training Program, which will replace the Aboriginal Skills and Employment Training Strategy. This includes incremental investments of $447 million over five years, and $99.4 million per year ongoing, and a stronger focus on training for higher-quality, better-paying jobs rather than rapid re-employment. This additional funding will assist approximately 15,000 more clients gain greater skills and find jobs that will support their long-term career success.

The Government has consulted with, and heard from, Indigenous partners on the importance of a distinctions-based approach that recognizes the unique needs of First Nations, Inuit and the Métis Nation. To that end, the new program will provide: 
•$1.1 billion over five years, and $235.7 million per year ongoing, for a First Nations stream. 
•$325 million over five years, and $67 million per year ongoing, for a Métis Nation stream. 
•$161.2 million over five years, and $32.6 million per year ongoing, for an Inuit stream. 
•$213.4 million over five years, and $45.2 million per year ongoing, for an urban/non-affiliated stream. 

These investments will support Indigenous Peoples in developing employment skills and pursuing training for high-quality jobs.
"
66,,Indigenous Sport,rec,Indigenous-Sport,"Indigenous youth are far more likely than their non-Indigenous peers to be in care, not to complete high school, to be unemployed and to suffer from poor health. 

Community-led sport can be a powerful tool to support Indigenous youth. It promotes social inclusion, builds self-esteem, strengthens Indigenous identity, instills a sense of pride and reduces the risks of suicide. Indigenous boys are more likely than Indigenous girls to participate in sport, with adolescence being a pivotal time for predicting whether or not girls will participate in sports as they grow older. Girls who play sports at a young age are more likely to be physically active as adults. Through Budget 2018, the Government proposes to invest $47.5 million over five years, and $9.5 million per year ongoing, to expand the use of sport for social development in more than 300 Indigenous communities. This initiative will help to scale up a highly successful model developed by Right To Play that has led nearly 90 per cent of participants to have a more positive attitude toward school and a greater sense of identity. As this initiative is implemented, the Government will look for opportunities to profile excellence among Indigenous youth in sport. 
"
67,,Industrial Research Assistance Program,prg,The-Creation-of-Four-Flagship-Platforms,"To help Canadian entrepreneurs and small business owners develop innovative technologies and successfully commercialize them in a global marketplace, the Industrial Research Assistance Program (IRAP) offers flexible funding along with consulting services. IRAP has proven to be an effective resource for growing Canadian companies and innovative entrepreneurs. This program is well positioned to support funding for larger projects above the current contribution threshold of $1 million.To enable IRAP to support business research and development for projects up to a new threshold of $10 million, the Government proposes to invest $700 million over five years, starting in 2018–19, and $150 million per year ongoing. This funding will support hard-working Canadian entrepreneurs to create jobs as they grow and expand their companies."
68,,Innovation Canada,prg,Innovation-Canada-–-Accelerated-Growth-Service,"Efforts to support high-potential firms will be further promoted through the consolidation of the Accelerated Growth Service and the Industrial Research Assistance Program’s Concierge Service, with the consolidated program and associated funding to reside within Innovation Canada at Innovation, Science and Economic Development Canada.

The Government proposes to provide the new consolidated program with $13.5 million over five years, starting in 2018–19, and $3 million per year ongoing, for 15 new Innovation Advisors to support Canadian high-potential firms.
"
69,,Institute for Quantum Computing,prg,Research-Institutes-and-Organizations,"This world-leading Canadian research facility focuses on the development of new quantum technologies. The Government proposes to provide the Institute with renewed funding of $15 million over three years, starting in 2019–20, to continue to undertake high-calibre quantum research."
70,,Investing in Canadian Content,adv,Investing-in-Canadian-Content,"The Canada Media Fund is a non-profit organization that fosters, promotes, develops and finances the production of Canadian content for all audiovisual media platforms. The Canada Media Fund receives financial contributions from the Government and Canada’s cable, satellite and Internet protocol television distributors.

With Canadians increasingly watching content online, contributions from the broadcasting sector to the Canada Media Fund have started to decrease in step with their declining revenues. To address this issue, the Government has committed to increase its contribution in order to maintain the level of funding in the Canada Media Fund.

The Government proposes to provide $172 million over five years, starting in 2018–19, with $42.5 million per year ongoing, to maintain the level of funding in the Canada Media Fund at the 2016–17 level. While the actual Government contributions will fluctuate depending on the broadcasting sector revenues, this approach will provide a stable source of funding to develop Canadian content and support good jobs, including for our writers, producers, directors, actors and crews.
"
71,,Investing in the Equipment Researchers Need - Canadian Foundation for Innovation,prg,Investing-in-the-Equipment-Researchers-Need—Canada-Foundation-for-Innovation,"The Canada Foundation for Innovation provides access to the state-of-the-art tools and facilities that researchers need to carry out the promising and innovative research that makes Canada a leader on the global stage. This includes the equipment and labs that are right now allowing Canadian researchers to make discoveries in areas like new composite materials for jets and cars, new diagnostic techniques for childhood diseases, and new methods for cracking the quantum computing challenge   .In order to do this important research, however, researchers need state-of-the-art equipment and good places to do their work. Providing ongoing, stable funding to the Canada Foundation for Innovation will allow the Foundation to provide access to cutting-edge research tools for about 17,500 researchers and 27,000 students and post-doctoral fellows every year.

Budget 2018 proposes to provide the Canada Foundation for Innovation with $763 million over five years, starting in 2018–19, to provide the tools researchers need. This includes $160 million for increased support to Canada’s nationally important research facilities through the Foundation's Major Science Initiatives Fund. The Government also proposes to establish permanent funding at an ongoing level of $462 million per year by 2023–24 for research tools and infrastructure supported through the Canada Foundation for Innovation.
"
72,,Investment Canada Act - National Security Review of Foreign Investments,adv,Investment-Canada-Act,"Canada is open for business. Our competitive business environment is an attractive draw for foreign investors, and increased investments mean more good, well-paying jobs for Canadians, and continued economic growth. The Investment Canada Act enables the Government to undertake a review of proposed foreign investments in order to determine if they uphold Canada’s national interests—both from a net benefit perspective and for national security purposes. Similar to Budget 2017, Budget 2018 proposes to provide $1.24 million for Public Safety Canada and the Canadian Security Intelligence Service to support continued operations related to the Investment Canada Act’s National Security Review Program. The National Security Review Program provides a robust framework for reviewing foreign investments for various reasons, such as to protect defence capabilities, safeguard the transfer of sensitive technologies, and ensure no potential involvement from organized crime."
73,,Irregular Migration: Managing the Border,adv,Irregular-Migration-Managing-the-Border,"The Government of Canada is committed to protecting the safety of Canadians and keeping our borders secure. At the same time, people seeking asylum must be treated with compassion and afforded due process under Canadian and international law, and in keeping with our values as an open and welcoming country. To that end, the Government proposes to provide $173.2 million to support security operations at the Canada-U.S. border and the processing of asylum claimants arriving in 2018–19. Funding would be used to manage the increased number of people seeking asylum in Canada this year, many of whom arrive with their families seeking quick, safe and compassionate processing. Funds would be used to provide short-term processing and security screening supports at the border, as well as to support decision-making capacity for the Immigration and Refugee Board. "
74,,Long-Term Sustainability of the Coast Guard Fleet,oth,23-Other-Budget-2018-Measures-(Not-Included-in-Previous-Chapters),Funding proposed for Fisheries and Oceans Canada for the Canadian Coast Guard to maintain existing fleet capabilities and enable forward planning for a sustainable future.
75,,Maintaining Rail Service to Remote Communities,oth,23-Other-Budget-2018-Measures-(Not-Included-in-Previous-Chapters),"Funding proposed for Transport Canada for the renewal of the Remote Passenger Rail Program.  This program helps support two passenger rail services, the Sept-Îles–Schefferville service in Quebec and Labrador, and the The Pas–Pukatawagan service in northern Manitoba.    "
76,,Maintaining Service Levels of the Controlled Goods Program,oth,23-Other-Budget-2018-Measures-(Not-Included-in-Previous-Chapters),"Funding proposed to maintain the Controlled Goods Program, which oversees the examination, possession and transfer of controlled goods (primarily defence weaponry) within Canada."
