"id","name_en","def_en"
"SOBJ3","Information","Standard Object 3 encompasses all expenditures related to the creation and dissemination of government information to the public, including:  

* Advertising services acquired for publicity and general purposes from advertising agencies or directly for time on broadcast media or for space in print media or on outdoor posters or billboards. It includes advertising and creative work services such as graphic artwork.
* Publishing services for commissioning, marketing, distribution and sales of publications sponsored by the department, and for the acquisition of related government publications. Also included are services for printing, duplicating, photocopying, text editing, design of graphics, art work, technical and advisory services such as computerized text processing and mass transmission of printed material. In addition, it includes exposition services such as exhibits and associated audio-visual services related to exhibitions and displays. 
* Public relations and public affairs services for attitude and service assessment surveys, sales promotion, marketing, export marketing, public relations and publicity, opinion polls, and contracts to organize and operate focus groups and media monitoring services. It also includes services for speech writing, press releases, briefing, press conferences and special events."
"SOBJ4","Professional and special services","Standard Object 4 encompasses all expenditures related to professional and special services, including:

* Provision for all professional services performed by individuals or organizations such as payments (in the nature of fees, commissions, etc.) for the services of accountants, lawyers, architects, engineers, scientific analysts, reporters, and translators; for teachers at various levels of educational institutions; for doctors, nurses and other medical personnel; for management, data processing and other research consultants; and for other outside technical, professional and other expert assistance. 
* Payments for hospital treatment, care of veterans and welfare services, payments for the provision of informatics services, payment of tuition for Indians at non-federal schools, purchase of training services under the Adult Occupational Training Act, and payments made to the Canada School of Public Service for training. 
* Payments for Corps of Commissionaires services and for other operational and maintenance services performed under contract, such as armoured cars, laundry and dry cleaning, cleaning of buildings, temporary help, hospitality, storage and warehousing, and other business services, as well as payments made to the Department of Public Works and Government Services for contract administration."
"SOBJ5","Rentals","Standard Object 5 encompasses expenditures related to the rental of property or equipment, with the exception of storage and warehousing services (found in Standard Object 4). Standard Object 5 includes: 

* Rental of properties required for special purposes by the various departments and for the accommodation of government offices and services by the Department of Public Works and Government Services. 
* Hire and charter * with or without crew * of vessels, aircraft, motor vehicles and other equipment, and rental of telecommunication and office equipment including computers."
"SOBJ6","Purchased repair and maintenance","Standard Object 6 encompasses all expenditures related to the purchase of repair and maintenance, including:

* The repair and upkeep under contract of the durable physical assets provided for in Standard Object 8 (Acquisition of Land, Buildings, and Works) and of equipment provided for in Standard Object 9 (Acquisition of Machinery and Equipment). 
* Payments to the Department of Public Works and Government Services for tenant services. 
* Materials, supplies and other charges for repairs undertaken by a department directly are coded to other objects, according to the nature of the purchase."
"SOBJ7","Utilities, materials and supplies","Standard Object 7 encompasses all expenditures related to the purchase of utilities, materials, and supplies, including:

* The provision for all payments for services of a type normally provided by a municipality, or public utility service such as the supply of water, electricity, gas, etc., and includes water, light, power and gas services, and payment for such services whether obtained from the municipality or elsewhere.
* The provision for materials and supplies required for normal operation and maintenance of government services such as: 
 * gasoline and oil purchased in bulk; fuel for ships, planes, transport and heating 
 * feed for livestock 
 * food and other supplies for ships and other establishments 
 * livestock purchased for ultimate consumption or resale 
 * seed for farming operations 
 * books and other publications purchased for outside distribution 
 * uniforms and kits 
 * photographs, maps and charts purchased for administrative and operational purposes 
 * laboratory and scientific supplies, including samples for testing 
 * drafting, blueprinting and artists' supplies; supplies for surveys and investigations; 
 * chemicals product 
 * hospital, surgical and medical supplies 
 * works of art for exhibits, and historical material for galleries, museums and archives 
 * coal and wood 
 * electrical supplies 
 * repair parts other than parts normally acquired with equipment at the time of purchase for aircraft, ships, road vehicles, and for communication and other equipment; and all other materials and supplies 
 * metal products 
 * office and stationery supplies"
"SOBJ8","Acquisition of land, buildings and works","Standard Object 8 encompasses expenditures related to the acquisition of land, buildings, and other government works. Expenditures pursuant to contracts for new construction for casual employees hired or continuing employees assigned to work full or part–time on specified projects, travel, professional services, equipment rentals, equipment maintenance and of materials purchased directly for use on such projects are charged to the relevant standard objects (standard object 01 to 09). Standard Object 8 includes:

* All expenditures for the acquisition of buildings, roads, irrigation works, canals, airports, wharves, bridges and other such types of fixed assets. 
* Improvements involving additions or changes of a structural nature, and for installing fixed equipment which is essentially a part of the work or structure such as elevators, heating and ventilating equipment. 
* All reconstruction of such types of physical assets and such projects performed under contract or agreement. 
* The purchase of land."
"SOBJ9","Acquisition of machinery and equipement","Standard Object 9 encompasses all expenditures related to the acquisition of machinery and equipment, including:

* Expenditures for the acquisition of all machinery, equipment, office furniture and furnishings, electronic data processing and electronic or other office equipment. 
* Microfilming equipment and supplies, inter–office communication equipment, postal meter machines, machine records and all other office equipment. 
* Motor vehicles, aeroplanes, tractors, road equipment, telecommunications and related equipment, laboratory and other scientific equipment, vessels, icebreakers and other aids to navigation and all other types of light and heavy equipment; includes ammunition and various types of equipment for National Defence, such as ships, aircraft, mechanical equipment, fighting vehicles, weapons, engines and such spare parts and supplies as are normally acquired with that equipment at the time of purchase."
"SPEC_WARR","Governor General’s Special Warrants","Governor General’s Special Warrants are the established processes for obtaining funds urgently required for the public good when Parliament is dissolved for a general election."
"SSP","Sub-program (or sub-sub-program)","Sub-program represents smaller identifiable programs that are logically part of the Program under the Program Alignment Architecture. Similarly, below the Sub-Program are the Sub-Sub-Programs, which represent the lowest-level programs that are logically part of the Sub-Program. 


What distinguishes the three levels of a PAA (Program, Sub and Sub-Sub) is the scope and reach of the program(s) at those levels. Programs at the Program level represent those with a broad scope and areas of societal intervention, while programs at the Sub-Program level represent those that have a more limited and specific focus on a smaller target group and area of intervention. Consequently, the level of outcome for the Sub-Sub-Program is narrower in definition and reach than those for the Program and Sub-Programs. 


A similar situation occurs for the relationship between the Sub-Program and the Sub-Sub-Program levels.


Note: by the 2018-19 fiscal year the Program Alignment Architecture format for reporting results will be fully replaced by the new Departmental Results Framework and Program Inventory. This will bring greater clarity to presenting what organizations achieve and how they assess success across a single line of program-based reporting."
"STAT","Statutory authorities","Statutory authorities are the expenditure authorities approved by Parliament through legislation (other than Appropriations Acts). The legislation sets out the purpose of the expenditures and the terms and conditions under which they may be made."
"STAT_EXP","Statutory expenditures","Statutory expenditures are expenditures approved by Parliament through legislation (other than Appropriations Acts). The legislation sets out the purpose of the expenditures and the terms and conditions under which they may be made."
"STATUS_IGOC","Status","The status of an organization (e.g., active)."
"STATUS_PEOPLE","Employee status","Employee Status is the identifier to classify whether an employee is active or inactive."
"STUD_PEOPLE","Employee Type : Student Employee","Student employees are employees of the federal government hired under one of the government's student employment programs. To qualify as a student employee, a person must be:
* registered as a full-time secondary or post-secondary student in an accredited institution;
* currently recognized as having full-time status by the academic institution; and
* returning to full-time studies in the next academic term."
"SUPPS","Supplementary Estimates","Supplementary Estimates are part of the normal parliamentary approval process to ensure that previously planned government initiatives receive the necessary funding to move them forward, therefore meeting the needs of Canadians. They present information to Parliament on the Government of Canada’s spending requirements that were not sufficiently developed in time for inclusion in the Main Estimates, and will from time to time include urgent but unforeseen expenditures, such as natural disasters (an ice storm, H1N1, etc.). Supplementary Estimates directly support an appropriation act.

Supplementary Estimates are published throughout the year; each release is identified alphabetically (A, B, C, etc.)."
"SUPPSA","Supplementary Estimates (A)","Supplementary Estimates (A) are tabled in May and the associated appropriation act is granted royal assent and becomes law in June. These provide federal organizations with the funding they need early in the year."
"SUPPSB","Supplementary Estimates (B)","Supplementary Estimates (B) are tabled in late October or early November and the associated appropriation act is granted royal assent in December."
"SUPPSC","Supplementary Estimates (C)","Supplementary Estimates (C) are tabled in February and the associated appropriation act is granted royal assent in March."
"TAG","Program Tagging","Tagging is the assignment of standardized attributes to Programs. It assists in creating horizontal whole-of-government information that provides Parliamentarians and Canadians with greater insights on government Programs and enhances the overall transparency of government operations. 


Program metadata, which comprises: (1) linkage tags that identify the connection between Programs, Core Responsibilities, government priorities and Departmental Results; and (2) descriptive tags that identify standardized characteristics of Programs in the department’s Program Inventory, such as Method of Intervention (i.e. how we help)."
"TARGET","Target","A measurable performance or success level that an organization, program or initiative plans to achieve within a specified time period. Targets can be either quantitative or qualitative and are established for stated outcomes and results under the following types of indicators:

* Expected result indicators – used for programs reporting under the Program Alignment Architecture until full transition in fiscal year 2018-19 to the Program Inventory format, as per the Policy on Results;
* Program outcome indicators – used for programs reporting under the Program Inventory format, as per the Policy on Results; and 
* Departmental result indicators – used for reporting under the Departmental Results Framework, as per the Policy on Results."
"TB","Treasury Board Central votes","Treasury Board central votes are used to supplement other appropriations. They are subject to the approval of the Treasury Board and are used for such purposes as:

* Government Contingencies (TB Vote 5)
* Government-wide Initiatives (TB Vote 10)
* Compensation Adjustments (TB Vote 15)
* Operating Budget Carry Forward (TB Vote 25)
* Paylist Requirements (TB Vote 30)
* Capital Budget Carry Forward (TB Vote33)
"
"TB10","TB Vote 10 : Government-wide Initiatives","Treasury Board Central Vote 10 allocates supplementary funds for the implementation of strategic management initiatives that cut across many departments."
"TB15","TB Vote 15 : Compensation Adjustments","Treasury Board Central Vote 15 allocates supplementary funds for adjustments made to terms and conditions of service or employment of the federal public administration as a result of collective bargaining."
"TB25","TB Vote 25 : Operating Budget Carry Forward","Treasury Board Central Vote 25 allocates supplementary funds for the Operating Budget Carry Forward expenditure management mechanism, wherein departments are permitted to carry forward eligible lapsing funds from one fiscal year to the following fiscal year in an amount up to 5% of the operating budgets contained in their Main Estimates."
"TB30","TB Vote 30 : Paylist Requirements","Treasury Board Central Vote 30 allocates supplementary funds to meet legal requirements of the employer such as parental and maternity leave, entitlements upon cessation of service or employment."
"TB33","TB Vote 33 : Capital Budget Carry Forward","Treasury Board Central Vote 33 allocates supplementary funds for the Capital Budget Carry Forward expenditure management mechanism, wherein departments are permitted to carry forward eligible lapsing funds from one fiscal year to the following fiscal year in an amount up to 20% of their capital vote."
"TB5","TB Vote 5 : Government Contingencies","Treasury Board Central Vote 5 allocates temporary supplementary funds for urgent or unforeseen items that require funding in advance of the next Supplementary Estimates and related Supply bill."
"TERM_PEOPLE","Employee Type :  Term / Specified Term / Determinate Employee","Term / Specified Term / Determinate employees are persons appointed for a specified period in accordance with Section 58 of the Public Service Employment Act (PSEA)."
"TOT_AVAIL","Total budgetary authority available for use","Total budgetary authority available for use refers to the authorities available for spending during the current year (net of forecasted revenues and receipts available for spending)."
"TP","Transfer payment","A transfer payment is a monetary payment, or a transfer of goods, services or assets made, on the basis of an appropriation, to a third party, including a Crown corporation, that does not result in the acquisition by the Government of Canada of any goods, services or assets. Transfer payments are categorized as grants, contributions and other transfer payments. Transfer payments do not include investments, loans or loan guarantees."
"VOTED","Voted amounts","Voted amounts refer to the amounts approved in appropriation acts."
"YI_IGOC","Year of Incorporation","The year in which an organization was legally established."
"MRRS","Policy on Management, Resources and Results Structures","The Policy on Management, Resources and Results Structures (MRRS) supports the development of a common government-wide approach to the identification of programs and to the collection, management, and reporting of financial and non-financial information relative to those programs. The policy provides departments with the flexibility and discretion they need to design and manage their programs in a manner that best achieves results for Canadians."
"GEO","Geographic Data",""
"ESTIMATES","Estimates",""
"OC_PEOPLE","Occupational category","A generalized classification system of each employee's type of work. An individual employee's classification is determined by their collective agreement and, as such, may not precisely or entirely describe their work."
"RPS","Regional Pay System (RPS)","Regional Pay System (RPS) serves as the main data source for central HR reporting including demographic reports, analyses, open data and data extracts in response to people management information requests. In 2011, the Office of the Chief Human Resources Officer (OCHRO) of the Treasury Board of Canada, Secretariat (TBS) repatriated nine legacy Human Resources (HR) data files from Public Works and Government Services Canada (PWGSC). These files collectively identified as the HR Data Integration Broker (HRDIB). Some HRDIB data is also provided to multiple users within TBS and sent to multiple departments and agencies, bargaining agents, and other organizations."
"FOL","First Official Language","The official language (English or French) with which an employee has a primary personal identification (that is, the official language in which a person is generally more proficient)."
"EX_LVL","Executive Level",""
"SUPPRESSED_DATA","Suppressed Data",""
"GOCA","Government of Canada spending and high level activity areas","All federal organizations receiving appropriations must plan and manage their operations and report their performance against strategic outcomes or departmental results framework.


As a complement, organizations are required to indicate the alignment of their programs to a set of 16 high-level Government of Canada activities within four Government of Canada spending areas: 
* Economic Affairs, 
* Social Affairs,
* International Affairs and, 
* Government Affairs. 

For the purposes of the InfoBase, Internal Services and Crown Corporations are presented as areas of government spending.


**Alignment of program to high-level Government of Canada activities **

Departments and agencies are required to indicate the alignment of programs to the Government of Canada high-level activities. Because this alignment is intended to make it possible to calculate spending by activity, while correctly totaling all government spending, a program can only be aligned to one Government of Canada major activity area. A Core Responsibility and a Strategic Outcome, however, can contribute to more than one activity.


Note: As you navigate the InfoBase, you will notice that the tool uses ""Areas of Work"" and ""Activities"" in place of Spending Areas and Government Activities, respectively. This is done for illustrative purposes only."
"GOC001","Government of Canada high level activity area: Employment and Income Security","Program activities that aim to improve the financial situation of Canadians and to provide basic income support to the most vulnerable of Canadian society. This activity area also includes Employment Insurance."
"GOC002","Government of Canada high level activity area: Economic Development","Program activities that aim to create an environment conducive to economic growth and to promote the development of all sectors of the economy and in all regions of Canada."
"GOC003","Government of Canada high level activity area: Research and Development","Program activities that aim to prepare Canada for future challenges by investing in innovative research and development and in specialized education and training."
"GOC004","Government of Canada high level activity area: Environment","Program activities that aim to ensure that Canada's environment is restored and protected, and that natural resources are used in a sustainable manner for future generations."
"GOC005","Government of Canada high level activity area: Market integrity, regulation, and competition","Program activities that aim to stimulate private investment and business activities and to maintain the integrity of the Canadian marketplace."
"GOC006","Government of Canada high level activity area: Health","Program activities that aim to create a responsible, accessible, and sustainable health system. This activity area also includes the Canada Health Transfer."
"GOC007","Government of Canada high level activity area: Safety and Security","Program activities that aim to maintain the safety and security of Canada and its citizens through crime prevention, law enforcement, the securing of Canadian borders, and emergency preparedness."
"GOC008","Government of Canada high level activity area: Social Inclusion","Program activities that aim to promote and protect Canada’s official languages, human rights (including basic living standards), and the participation of all groups in Canadian society."
"GOC009","Government of Canada high level activity area: Heritage and Culture","Program activities that aim to support Canadian culture and enhance knowledge of Canada’s history and heritage, such as military history and national heritage sites."
"GOC010","Government of Canada high level activity area: International Engagement","Program activities that aim both to promote peace and security, freedom, democracy, human rights and the rule of law throughout the world, and to provide Canadian representation abroad. This is achieved through the provision of military and police support, services to Canadians abroad, and international diplomacy. Where and when the focus of program activities is primarily in a domestic context, that is, within Canadian borders, those program activities should then be identified within the A Safe and Secure Canada activity area."
"GOC011","Government of Canada high level activity area: International Development","Program activities that aim to support sustainable development in developing countries. This includes supporting social and economic development and food security activities; providing emergency international development assistance and debt relief; strengthening the effectiveness of public, non-governmental and international institutions; engaging Canadians; and influencing the global aid agenda."
"GOC012","Government of Canada high level activity area: North American Partnership","Program activities that aim to improve the socio-economic well-being and security of citizens across the continent. Canada’s efforts in this activity area touch on issues, such as security, trade facilitation, transportation, the environment and public health."
"GOC013","Government of Canada high level activity area: International Trade and Investment","Program activities that aim to promote and sustain international trade and investment for Canada and Canadian businesses through the promotion of Canadian goods and services abroad, the negotiation of international trade agreements, and the regulation of Canadian products to meet international market requirements."
"GOC014","Government of Canada high level activity area: Democratic Institutions","Program activities that include the functions performed by the three arms of government – the judiciary, the legislature, and the executive – and activities that aim to support these institutions and to maintain their independence. This is achieved through the provision of services and advice to the judiciary, the legislature and the executive, as well as the implementation of various Acts and Codes."
"GOC015","Government of Canada high level activity area: Transparency and Accountability","Program activities that aim to safeguard public trust in government and strengthen the interaction between the government and Canadian citizens. This is done through the delivery of services that are responsive to citizens’ needs, and through public accountability, compliance and recourse measures."
"GOC016","Government of Canada high level activity area: Government Operations","Program activities that aim to support the government in delivering its core operations, and to maintain rigorous stewardship over financial resources, assets and human resources. This includes the federal treasury, tax collection, public service recruitment and development, the provision of linguistic and procurement services, and administrative tribunals."
"IFORM_INT","Interests","Interests are entities in which the federal government holds an interest (via share ownership) or participates in oversight (via the right to appoint or nominate a member of the organization’s governing body)."
"RESULTS_STATUS","Result Status","If the date to achieve target is **before or by the end of fiscal year 2016-17 (March 31, 2017)**:
* Target met: If the result is higher than the minimum target; lower than the maximum target; within the target range; or is exactly equal to the unique value target.
* Attention required: If the result is lower than the minimum target; higher than the maximum target; outside the target range; or is not equal to the target value.  
* No Target/Target no longer applicable:  If there is no target or if the target is no longer relevant due to changes in policy or other circumstances (e.g. dissolution of a department, change in government direction, etc.). 
* Not available: If the result has not been collected or is not available for any other reason. 


If the date to achieve target is **ongoing or after the end of fiscal year 2016-17 (after March 31,2017)**:
* On track: If there is a high probability that the actual result will be higher than the minimum target; lower than the maximum target; within the target range; or will be exactly equal to the unique value target.
* Attention required: If there are any reasons to believe that the target may not be met by the date to achieve target. 
* No Target/Target no longer applicable:  If there is no target or if target is no longer relevant due to changes in policy or other circumstances (e.g. dissolution of a department, change in government direction, etc.).
* Not available: If it is not possible to predict whether the target will be met or not by the date to achieve target."
"HWM","Method of Intervention","‘Method of Intervention’ refers to the means by which policy objectives are pursued. It is the method used by a Program to achieve a desired outcome (e.g., regulations, transfer payments, services, etc.). 


Each program should have one primary method of intervention. However, in some cases, there is a secondary method of intervention, e.g. if a program maintains both grants and a contributions.
"
"RESULTS_MET","Met","If the date to achieve target is **before or by the end of fiscal year 2016-17 (March 31, 2017)**:
* Target met: If the result is higher than the minimum target; lower than the maximum target; within the target range; or is exactly equal to the unique value target."
"RESULTS_AR","Attention Required","If the date to achieve target is **before or by the end of fiscal year 2016-17 (March 31, 2017)**:
* Attention required: If the result is lower than the minimum target; higher than the maximum target; outside the target range; or is not equal to the target value.  


If the date to achieve target is **ongoing or after the end of fiscal year 2016-17 (after March 31,2017)**:
* Attention required: If there are any reasons to believe that the target may not be met by the date to achieve target."
"RESULTS_NOTAPP","Not applicable","If the date to achieve target is **before or by the end of fiscal year 2016-17 (March 31, 2017)**:
* No Target/Target no longer applicable:  If there is no target or if the target is no longer relevant due to changes in policy or other circumstances (e.g. dissolution of a department, change in government direction, etc.). 


If the date to achieve target is **ongoing or after the end of fiscal year 2016-17 (after March 31,2017)**:
* No Target/Target no longer applicable:  If there is no target or if target is no longer relevant due to changes in policy or other circumstances (e.g. dissolution of a department, change in government direction, etc.).
"
"RESULTS_NA","Not available","If the date to achieve target is **before or by the end of fiscal year 2016-17 (March 31, 2017)**:
* Not available: If the result has not been collected or is not available for any other reason. 


If the date to achieve target is **ongoing or after the end of fiscal year 2016-17 (after March 31,2017)**:
* Not available: If it is not possible to predict whether the target will be met or not by the date to achieve target."
"RESULTS_OT","On track","If the date to achieve target is **ongoing or after the end of fiscal year 2016-17 (after March 31,2017)**:
* On track: If there is a high probability that the actual result will be higher than the minimum target; lower than the maximum target; within the target range; or will be exactly equal to the unique value target."
"RESULTS_COUNT","Count of Indicators",""
"MYA","Multi-Year Appropriation","A multi-year appropriation is an appropriation with a specific purpose and monetary limit granted by Parliament that can be utilized over more than one fiscal year."
"PAY_CC","Payments to Crown Corporation","The Payments to Crown Corporations includes all the voted and statutory authorities approved by Parliament through Appropriations Acts and legislation to Crown Corporation"
"INTER_EST","Interim Estimates","In June 2017, the House of Commons approved a motion to change Standing Order 81. This means that, for the duration of this parliament :
* On or by March 1, the Government will table an Interim Estimates to support Parliament’s scrutiny of interim supply;
* The deadline for the tabling of Main Estimates is delayed to April 16, increasing the likelihood that the Budget will precede rather than follow it.


These changes address the government’s commitment to provide more coherent information to Parliament and to align the federal budget and the estimates.


Given that voted spending authorities expire at the end of each fiscal year, the Government must seek sufficient spending authorities to begin the fiscal year. This will be done through the first appropriation act of 2018–19, for approval by the end of March. The first appropriation act will be supported by this new document, called “Interim Estimates”.


These **2018–19 Interim Estimates** include:
* an overview of spending requirements for the first three months of the fiscal year as they compare to 2017–18 Estimates;
* a listing of planned grants to allow organizations to make grant payments effective April 1, 2018; and,
* the proposed schedules to the first appropriation bill.


This funding supports the government’s financial requirements for the first three months of the fiscal year. In March 2018, the Government will introduce a supply bill and Parliament will vote on appropriations for the 2018–19 Interim Estimates.

_Other Estimates in 2018–19_
The Government will table a full Main Estimates, including planned voted and statutory expenditures for the full fiscal year, on or by April 16, 2018. These Main Estimates will likely be tabled after the 2018 Federal Budget and therefore be able to reflect Budget priorities. The Government will introduce another appropriation act in June to reflect the additional amounts requested in the Main Estimates.  


Supplementary Estimates will continue to present information on additional spending requirements which were either not sufficiently developed in time for inclusion in the Main Estimates, or have subsequently been refined to account for developments in particular programs and services. Two Supplementary Estimates are planned for 2018–19, to be tabled in the fall of 2018 and in early 2019, and the associated appropriation acts will follow shortly thereafter.


"
"NB_EXP","Non-budgetary expenditures","Non-budgetary expenditures – or loans, investments and advances – are outlays that represent changes in the composition of the Government’s financial assets. Negative figures indicate that recoveries exceed expenditures."

