Year,Universe,Department or agency,Number of employees
2016,CPA,Federal Economic Development Agency for Southern Ontario,222
2016,CPA,Federal Judges not part of any department,1141
2016,CPA,Fisheries and Oceans Canada,9901
2016,CPA,Global Affairs Canada,5890
2016,CPA,Health Canada,9189
2016,CPA,Immigration and Refugee Board of Canada,973
2016,CPA,"Immigration, Refugees and Citizenship Canada",6587
2016,CPA,Impact Assessment Agency of Canada,258
2016,CPA,Infrastructure Canada,351
2016,CPA,"Innovation, Science and Economic Development Canada",4776
2016,CPA,International Joint Commission,32
2016,CPA,Library and Archives Canada,938
2016,CPA,Military Grievances External Review Committee,35
2016,CPA,Military Police Complaints Commission of Canada,26
2016,CPA,National Defence,22954
2016,CPA,Natural Resources Canada,4191
2016,CPA,Office of the Commissioner for Federal Judicial Affairs Canada,59
2016,CPA,Office of the Commissioner of Lobbying of Canada,26
2016,CPA,Office of the Commissioner of Official Languages,164
2016,CPA,Office of the Governor General's Secretary,166
2016,CPA,Office of the Public Sector Integrity Commissioner of Canada,26
2016,CPA,Offices of the Information and Privacy Commissioners of Canada,259
2016,CPA,Parole Board of Canada,447
2016,CPA,Patented Medicine Prices Review Board Canada,69
2016,CPA,Privy Council Office,712
2016,CPA,Public Health Agency of Canada,2223
2016,CPA,Public Prosecution Service of Canada,970
2016,CPA,Public Safety Canada,1125
2016,CPA,Public Service Commission of Canada,741
2016,CPA,Public Services and Procurement Canada,12061
2016,CPA,RCMP External Review Committee,7
2016,CPA,Registrar of the Supreme Court of Canada,212
2016,CPA,Royal Canadian Mounted Police (Civilian Staff),6571
2016,CPA,Shared Services Canada,5157
2016,CPA,Statistics Canada,5717
2016,CPA,Transport Canada,5154
2016,CPA,Transportation Safety Board of Canada,215
2016,CPA,Treasury Board of Canada Secretariat,1728
2016,CPA,Veterans Affairs Canada,3413
2016,CPA,Western Economic Diversification Canada,292
2016,CPA,Women and Gender Equality Canada,91
2016,SA,Canada Energy Regulator,469
2016,SA,Canada Revenue Agency,39484
2016,SA,Canadian Food Inspection Agency,5946
2016,SA,Canadian Institutes of Health Research,409
2016,SA,Canadian Nuclear Safety Commission,851
2016,SA,Communications Security Establishment,2162
2016,SA,Financial Consumer Agency of Canada,94
2016,SA,Financial Transactions and Reports Analysis Centre of Canada,374
2016,SA,Indian Oil and Gas Canada,85
2016,SA,National Film Board,389
2016,SA,National Research Council Canada,3780
2016,SA,Natural Sciences and Engineering Research Canada,444
2016,SA,Office of the Auditor General of Canada,588
2016,SA,Office of the Superintendent of Financial Institutions Canada,667
2016,SA,Parks Canada,3886
2016,SA,Polar Knowledge Canada,29
2016,SA,Security Intelligence Review Committee,20
2016,SA,Social Sciences and Humanities Research Council of Canada,210
2016,SA,Statistical Survey Operations,1701
2016,SA,The Correctional Investigator Canada,37
2017,CPA,Administrative Tribunals Support Service of Canada,570
2017,CPA,Agriculture and Agri-Food Canada,5234
2017,CPA,Atlantic Canada Opportunities Agency,593
2017,CPA,Canada Border Services Agency,13707
2017,CPA,Canada Economic Development for Quebec Regions,336
2017,CPA,Canada School of Public Service,610
2017,CPA,Canadian Dairy Commission,61
2017,CPA,Canadian Grain Commission,435
2017,CPA,Canadian Heritage,1759
2017,CPA,Canadian Human Rights Commission,191
2017,CPA,Canadian Intergovernmental Conference Secretariat,22
2017,CPA,Canadian Northern Economic Development Agency,78
2017,CPA,Canadian Radio-television and Telecommunications Commission,462
2017,CPA,Canadian Space Agency,655
2017,CPA,Canadian Transportation Agency,223
2017,CPA,Civilian Review and Complaints Commission for the RCMP,67
2017,CPA,Copyright Board Canada,14
2017,CPA,Correctional Service Canada,17109
2017,CPA,Courts Administration Service,636
2017,CPA,Crown-Indigenous Relations and Northern Affairs Canada,4708
2017,CPA,Department of Finance Canada,747
2017,CPA,Department of Justice Canada,4461
2017,CPA,Elections Canada,584
2017,CPA,Employment and Social Development Canada,23729
2017,CPA,Environment and Climate Change Canada,6601
2017,CPA,Federal Economic Development Agency for Southern Ontario,217
2017,CPA,Federal Judges not part of any department,1128
2017,CPA,Fisheries and Oceans Canada,10230
2017,CPA,Global Affairs Canada,6061
2017,CPA,Health Canada,9327
2017,CPA,Immigration and Refugee Board of Canada,1031
2017,CPA,"Immigration, Refugees and Citizenship Canada",6465
2017,CPA,Impact Assessment Agency of Canada,289
2017,CPA,Infrastructure Canada,329
2017,CPA,"Innovation, Science and Economic Development Canada",4947
2017,CPA,International Joint Commission,32
2017,CPA,Library and Archives Canada,930
2017,CPA,Military Grievances External Review Committee,39
2017,CPA,Military Police Complaints Commission of Canada,25
2017,CPA,National Defence,23178
2017,CPA,Natural Resources Canada,4264
2017,CPA,Office of the Commissioner for Federal Judicial Affairs Canada,59
2017,CPA,Office of the Commissioner of Lobbying of Canada,24
2017,CPA,Office of the Commissioner of Official Languages,155
2017,CPA,Office of the Governor General's Secretary,149
2017,CPA,Office of the Public Sector Integrity Commissioner of Canada,24
2017,CPA,Offices of the Information and Privacy Commissioners of Canada,261
2017,CPA,Parole Board of Canada,448
2017,CPA,Patented Medicine Prices Review Board Canada,69
2017,CPA,Privy Council Office,799
2017,CPA,Public Health Agency of Canada,2234
2017,CPA,Public Prosecution Service of Canada,990
2017,CPA,Public Safety Canada,1149
2017,CPA,Public Service Commission of Canada,780
2017,CPA,Public Services and Procurement Canada,12894
2017,CPA,RCMP External Review Committee,6
2017,CPA,Registrar of the Supreme Court of Canada,216
2017,CPA,Royal Canadian Mounted Police (Civilian Staff),6801
2017,CPA,Shared Services Canada,5257
2017,CPA,Statistics Canada,5187
2017,CPA,Transport Canada,4782
2017,CPA,Transportation Safety Board of Canada,209
2017,CPA,Treasury Board of Canada Secretariat,1841
2017,CPA,Veterans Affairs Canada,2809
2017,CPA,Veterans Review and Appeal Board,86
2017,CPA,Western Economic Diversification Canada,279
2017,CPA,Women and Gender Equality Canada,99
2017,SA,Canada Energy Regulator,456
2017,SA,Canada Revenue Agency,40223
2017,SA,Canadian Food Inspection Agency,6180
2017,SA,Canadian Institutes of Health Research,462
2017,SA,Canadian Nuclear Safety Commission,859
2017,SA,Communications Security Establishment,2209
2017,SA,Financial Consumer Agency of Canada,99
2017,SA,Financial Transactions and Reports Analysis Centre of Canada,378
2017,SA,Indian Oil and Gas Canada,88
2017,SA,National Film Board,371
2017,SA,National Research Council Canada,3864
2017,SA,Natural Sciences and Engineering Research Canada,442
2017,SA,Office of the Auditor General of Canada,617
2017,SA,Office of the Superintendent of Financial Institutions Canada,688
2017,SA,Parks Canada,3976
2017,SA,Polar Knowledge Canada,27
2017,SA,Security Intelligence Review Committee,22
2017,SA,Social Sciences and Humanities Research Council of Canada,211
2017,SA,Statistical Survey Operations,1797
2017,SA,The Correctional Investigator Canada,36
2018,CPA,Administrative Tribunals Support Service of Canada,548
2018,CPA,Agriculture and Agri-Food Canada,5277
2018,CPA,Atlantic Canada Opportunities Agency,586
2018,CPA,Canada Border Services Agency,14013
2018,CPA,Canada Economic Development for Quebec Regions,307
2018,CPA,Canada School of Public Service,599
2018,CPA,Canadian Dairy Commission,68
2018,CPA,Canadian Grain Commission,426
2018,CPA,Canadian Heritage,1841
2018,CPA,Canadian Human Rights Commission,206
2018,CPA,Canadian Intergovernmental Conference Secretariat,21
2018,CPA,Canadian Northern Economic Development Agency,81
2018,CPA,Canadian Radio-television and Telecommunications Commission,455
2018,CPA,Canadian Space Agency,647
2018,CPA,Canadian Transportation Agency,235
2018,CPA,Civilian Review and Complaints Commission for the RCMP,67
2018,CPA,Copyright Board Canada,16
2018,CPA,Correctional Service Canada,17146
2018,CPA,Courts Administration Service,647
2018,CPA,Crown-Indigenous Relations and Northern Affairs Canada,4931
2018,CPA,Department of Finance Canada,788
2018,CPA,Department of Justice Canada,4532
2018,CPA,Elections Canada,676
2018,CPA,Employment and Social Development Canada,24739
2018,CPA,Environment and Climate Change Canada,6836
2018,CPA,Federal Economic Development Agency for Southern Ontario,235
2018,CPA,Federal Judges not part of any department,1165
2018,CPA,Fisheries and Oceans Canada,11138
2018,CPA,Global Affairs Canada,6354
2018,CPA,Health Canada,9739
2018,CPA,Immigration and Refugee Board of Canada,1087
2018,CPA,"Immigration, Refugees and Citizenship Canada",6993
2018,CPA,Impact Assessment Agency of Canada,278
2018,CPA,Infrastructure Canada,401
2018,CPA,"Innovation, Science and Economic Development Canada",5146
2018,CPA,International Joint Commission,31
2018,CPA,Library and Archives Canada,927
2018,CPA,Military Grievances External Review Committee,33
2018,CPA,Military Police Complaints Commission of Canada,18
2018,CPA,National Defence,24024
2018,CPA,Natural Resources Canada,4358
2018,CPA,Office of the Commissioner for Federal Judicial Affairs Canada,62
2018,CPA,Office of the Commissioner of Lobbying of Canada,22
2018,CPA,Office of the Commissioner of Official Languages,164
2018,CPA,Office of the Governor General's Secretary,148
2018,CPA,Office of the Public Sector Integrity Commissioner of Canada,23
2018,CPA,Offices of the Information and Privacy Commissioners of Canada,256
2018,CPA,Parole Board of Canada,453
2018,CPA,Patented Medicine Prices Review Board Canada,61
2018,CPA,Privy Council Office,1006
2018,CPA,Public Health Agency of Canada,2159
2018,CPA,Public Prosecution Service of Canada,1005
2018,CPA,Public Safety Canada,1205
2018,CPA,Public Service Commission of Canada,809
2018,CPA,Public Services and Procurement Canada,13988
2018,CPA,RCMP External Review Committee,6
2018,CPA,Registrar of the Supreme Court of Canada,230
2018,CPA,Royal Canadian Mounted Police (Civilian Staff),7240
2018,CPA,Shared Services Canada,5816
2018,CPA,Statistics Canada,5210
2018,CPA,Transport Canada,5362
2018,CPA,Transportation Safety Board of Canada,210
2018,CPA,Treasury Board of Canada Secretariat,1954
2018,CPA,Veterans Affairs Canada,2800
2018,CPA,Veterans Review and Appeal Board,85
2018,CPA,Western Economic Diversification Canada,302
2018,CPA,Women and Gender Equality Canada,121
2018,SA,Canada Energy Regulator,477
2018,SA,Canada Revenue Agency,42152
2018,SA,Canadian Food Inspection Agency,6249
2018,SA,Canadian Institutes of Health Research,470
2018,SA,Canadian Nuclear Safety Commission,899
2018,SA,Communications Security Establishment,2361
2018,SA,Financial Consumer Agency of Canada,115
2018,SA,Financial Transactions and Reports Analysis Centre of Canada,372
2018,SA,Indian Oil and Gas Canada,88
2018,SA,National Film Board,399
2018,SA,National Research Council Canada,3871
2018,SA,Natural Sciences and Engineering Research Canada,447
2018,SA,Office of the Auditor General of Canada,603
2018,SA,Office of the Superintendent of Financial Institutions Canada,721
2018,SA,Parks Canada,4202
2018,SA,Polar Knowledge Canada,61
2018,SA,Security Intelligence Review Committee,25
2018,SA,Social Sciences and Humanities Research Council of Canada,210
2018,SA,Statistical Survey Operations,1504
2018,SA,The Correctional Investigator Canada,33
2019,CPA,Administrative Tribunals Support Service of Canada,579
2019,CPA,Agriculture and Agri-Food Canada,5292
2019,CPA,Atlantic Canada Opportunities Agency,588
2019,CPA,Canada Border Services Agency,14469
2019,CPA,Canada Economic Development for Quebec Regions,324
2019,CPA,Canada School of Public Service,620
2019,CPA,Canadian Dairy Commission,65
2019,CPA,Canadian Grain Commission,429
2019,CPA,Canadian Heritage,1862
2019,CPA,Canadian Human Rights Commission,199
2019,CPA,Canadian Intergovernmental Conference Secretariat,24
2019,CPA,Canadian Northern Economic Development Agency,76
2019,CPA,Canadian Radio-television and Telecommunications Commission,493
2019,CPA,Canadian Space Agency,692
2019,CPA,Canadian Transportation Agency,272
2019,CPA,Civilian Review and Complaints Commission for the RCMP,76
2019,CPA,Copyright Board Canada,15
2019,CPA,Correctional Service Canada,17482
2019,CPA,Courts Administration Service,715
2019,CPA,Crown-Indigenous Relations and Northern Affairs Canada,5087
2019,CPA,Department of Finance Canada,802
2019,CPA,Department of Justice Canada,4659
2019,CPA,Elections Canada,777
2019,CPA,Employment and Social Development Canada,25160
2019,CPA,Environment and Climate Change Canada,7276
2019,CPA,Federal Economic Development Agency for Southern Ontario,240
2019,CPA,Federal Judges not part of any department,1198
2019,CPA,Fisheries and Oceans Canada,11911
2019,CPA,Global Affairs Canada,6561
2019,CPA,Health Canada,10794
2019,CPA,Immigration and Refugee Board of Canada,1413
2019,CPA,"Immigration, Refugees and Citizenship Canada",7864
2019,CPA,Impact Assessment Agency of Canada,330
2019,CPA,Infrastructure Canada,514
2019,CPA,"Innovation, Science and Economic Development Canada",5459
2019,CPA,International Joint Commission,30
2019,CPA,Library and Archives Canada,981
2019,CPA,Military Grievances External Review Committee,37
2019,CPA,Military Police Complaints Commission of Canada,25
2019,CPA,National Defence,25278
2019,CPA,Natural Resources Canada,4551
2019,CPA,Office of the Commissioner for Federal Judicial Affairs Canada,58
2019,CPA,Office of the Commissioner of Lobbying of Canada,25
2019,CPA,Office of the Commissioner of Official Languages,174
2019,CPA,Office of the Governor General's Secretary,148
2019,CPA,Office of the Public Sector Integrity Commissioner of Canada,25
2019,CPA,Offices of the Information and Privacy Commissioners of Canada,252
2019,CPA,Parole Board of Canada,462
2019,CPA,Patented Medicine Prices Review Board Canada,74
2019,CPA,Privy Council Office,1075
2019,CPA,Public Health Agency of Canada,2379
2019,CPA,Public Prosecution Service of Canada,991
2019,CPA,Public Safety Canada,1329
2019,CPA,Public Service Commission of Canada,889
2019,CPA,Public Services and Procurement Canada,15721
2019,CPA,RCMP External Review Committee,8
2019,CPA,Registrar of the Supreme Court of Canada,225
2019,CPA,Royal Canadian Mounted Police (Civilian Staff),7564
2019,CPA,Secretariat of the National Security and Intelligence Committee of Parliamentarians,5
2019,CPA,Shared Services Canada,6528
2019,CPA,Statistics Canada,5405
2019,CPA,Transport Canada,5683
2019,CPA,Transportation Safety Board of Canada,216
2019,CPA,Treasury Board of Canada Secretariat,2125
2019,CPA,Veterans Affairs Canada,3159
2019,CPA,Veterans Review and Appeal Board,79
2019,CPA,Western Economic Diversification Canada,316
2019,CPA,Women and Gender Equality Canada,181
2019,SA,Canada Energy Regulator,479
2019,SA,Canada Revenue Agency,43908
2019,SA,Canadian Food Inspection Agency,6247
2019,SA,Canadian Institutes of Health Research,502
2019,SA,Canadian Nuclear Safety Commission,903
2019,SA,Communications Security Establishment,2549
2019,SA,Financial Consumer Agency of Canada,128
2019,SA,Financial Transactions and Reports Analysis Centre of Canada,361
2019,SA,Indian Oil and Gas Canada,87
2019,SA,National Film Board,392
2019,SA,National Research Council Canada,4058
2019,SA,Natural Sciences and Engineering Research Canada,475
2019,SA,Office of the Auditor General of Canada,601
2019,SA,Office of the Superintendent of Financial Institutions Canada,769
2019,SA,Parks Canada,4356
2019,SA,Polar Knowledge Canada,61
2019,SA,Security Intelligence Review Committee,22
2019,SA,Social Sciences and Humanities Research Council of Canada,244
2019,SA,Statistical Survey Operations,1485
2019,SA,The Correctional Investigator Canada,41
2020,CPA,Administrative Tribunals Support Service of Canada,587
2020,CPA,Agriculture and Agri-Food Canada,5531
2020,CPA,Atlantic Canada Opportunities Agency,594
2020,CPA,Canada Border Services Agency,14971
2020,CPA,Canada Economic Development for Quebec Regions,320
2020,CPA,Canada School of Public Service,668
2020,CPA,Canadian Dairy Commission,65
2020,CPA,Canadian Grain Commission,430
2020,CPA,Canadian Heritage,1889
2020,CPA,Canadian Human Rights Commission,242
2020,CPA,Canadian Intergovernmental Conference Secretariat,23
2020,CPA,Canadian Northern Economic Development Agency,99
2020,CPA,Canadian Radio-television and Telecommunications Commission,534
2020,CPA,Canadian Space Agency,686
2020,CPA,Canadian Transportation Agency,292
2020,CPA,Civilian Review and Complaints Commission for the RCMP,80
2020,CPA,Copyright Board Canada,16
2020,CPA,Correctional Service Canada,17818
2020,CPA,Courts Administration Service,788
2020,CPA,Crown-Indigenous Relations and Northern Affairs Canada,5418
2020,CPA,Department of Finance Canada,833
2020,CPA,Department of Justice Canada,4844
2020,CPA,Elections Canada,903
2020,CPA,Employment and Social Development Canada,27115
2020,CPA,Environment and Climate Change Canada,7550
2020,CPA,Federal Economic Development Agency for Southern Ontario,274
2020,CPA,Federal Judges not part of any department,1204
2020,CPA,Fisheries and Oceans Canada,12654
2020,CPA,Global Affairs Canada,6860
2020,CPA,Health Canada,11223
2020,CPA,Immigration and Refugee Board of Canada,1742
2020,CPA,"Immigration, Refugees and Citizenship Canada",8496
2020,CPA,Impact Assessment Agency of Canada,438
2020,CPA,Infrastructure Canada,617
2020,CPA,"Innovation, Science and Economic Development Canada",5516
2020,CPA,International Joint Commission,34
2020,CPA,Library and Archives Canada,1000
2020,CPA,Military Grievances External Review Committee,41
2020,CPA,Military Police Complaints Commission of Canada,28
2020,CPA,National Defence,26047
2020,CPA,Natural Resources Canada,4574
2020,CPA,Office of the Commissioner for Federal Judicial Affairs Canada,66
2020,CPA,Office of the Commissioner of Lobbying of Canada,26
2020,CPA,Office of the Commissioner of Official Languages,173
2020,CPA,Office of the Governor General's Secretary,167
2020,CPA,Office of the Public Sector Integrity Commissioner of Canada,27
2020,CPA,Offices of the Information and Privacy Commissioners of Canada,302
2020,CPA,Parole Board of Canada,485
2020,CPA,Patented Medicine Prices Review Board Canada,80
2020,CPA,Privy Council Office,1011
2020,CPA,Public Health Agency of Canada,2340
2020,CPA,Public Prosecution Service of Canada,1035
2020,CPA,Public Safety Canada,1269
2020,CPA,Public Service Commission of Canada,955
2020,CPA,Public Services and Procurement Canada,16892
2020,CPA,RCMP External Review Committee,10
2020,CPA,Registrar of the Supreme Court of Canada,237
2020,CPA,Royal Canadian Mounted Police (Civilian Staff),8022
2020,CPA,Secretariat of the National Security and Intelligence Committee of Parliamentarians,9
2020,CPA,Shared Services Canada,7185
2020,CPA,Statistics Canada,5452
2020,CPA,Transport Canada,5877
2020,CPA,Transportation Safety Board of Canada,225
2020,CPA,Treasury Board of Canada Secretariat,2276
2020,CPA,Veterans Affairs Canada,3321
2020,CPA,Veterans Review and Appeal Board,77
2020,CPA,Western Economic Diversification Canada,349
2020,CPA,Women and Gender Equality Canada,264
2020,SA,Canada Energy Regulator,503
2020,SA,Canada Revenue Agency,45019
2020,SA,Canadian Food Inspection Agency,6042
2020,SA,Canadian Institutes of Health Research,505
2020,SA,Canadian Nuclear Safety Commission,863
2020,SA,Communications Security Establishment,2752
2020,SA,Financial Consumer Agency of Canada,147
2020,SA,Financial Transactions and Reports Analysis Centre of Canada,376
2020,SA,Indian Oil and Gas Canada,88
2020,SA,National Film Board,388
2020,SA,National Research Council Canada,4215
2020,SA,Natural Sciences and Engineering Research Canada,511
2020,SA,Office of the Auditor General of Canada,639
2020,SA,Office of the Superintendent of Financial Institutions Canada,848
2020,SA,Parks Canada,4519
2020,SA,Polar Knowledge Canada,72
2020,SA,Security Intelligence Review Committee,20
2020,SA,Social Sciences and Humanities Research Council of Canada,275
2020,SA,Statistical Survey Operations,1454
2020,SA,The Correctional Investigator Canada,38
2021,CPA,Administrative Tribunals Support Service of Canada,628
2021,CPA,Agriculture and Agri-Food Canada,5495
2021,CPA,Atlantic Canada Opportunities Agency,626
2021,CPA,Canada Border Services Agency,15224
2021,CPA,Canada Economic Development for Quebec Regions,360
2021,CPA,Canada School of Public Service,647
2021,CPA,Canadian Dairy Commission,71
2021,CPA,Canadian Grain Commission,447
2021,CPA,Canadian Heritage,1935
2021,CPA,Canadian Human Rights Commission,252
2021,CPA,Canadian Intergovernmental Conference Secretariat,22
2021,CPA,Canadian Northern Economic Development Agency,109
2021,CPA,Canadian Radio-television and Telecommunications Commission,541
2021,CPA,Canadian Space Agency,744
2021,CPA,Canadian Transportation Agency,355
2021,CPA,Civilian Review and Complaints Commission for the RCMP,77
2021,CPA,Copyright Board Canada,16
2021,CPA,Correctional Service Canada,17904
2021,CPA,Courts Administration Service,765
2021,CPA,Crown-Indigenous Relations and Northern Affairs Canada,2072
2021,CPA,Department of Finance Canada,853
2021,CPA,Department of Justice Canada,4972
2021,CPA,Elections Canada,1261
2021,CPA,Employment and Social Development Canada,32697
2021,CPA,Environment and Climate Change Canada,7616
2021,CPA,Federal Economic Development Agency for Southern Ontario,316
2021,CPA,Federal Judges not part of any department,1209
2021,CPA,Fisheries and Oceans Canada,13526
2021,CPA,Global Affairs Canada,6994
2021,CPA,Health Canada,9204
2021,CPA,Immigration and Refugee Board of Canada,1993
2021,CPA,"Immigration, Refugees and Citizenship Canada",8991
2021,CPA,Impact Assessment Agency of Canada,460
2021,CPA,Indigenous Services Canada,6670
2021,CPA,Infrastructure Canada,700
2021,CPA,"Innovation, Science and Economic Development Canada",5700
2021,CPA,International Joint Commission,31
2021,CPA,Library and Archives Canada,926
2021,CPA,Military Grievances External Review Committee,46
2021,CPA,Military Police Complaints Commission of Canada,28
2021,CPA,National Defence,26422
2021,CPA,Natural Resources Canada,4685
2021,CPA,Office of the Commissioner for Federal Judicial Affairs Canada,72
2021,CPA,Office of the Commissioner of Lobbying of Canada,25
2021,CPA,Office of the Commissioner of Official Languages,177
2021,CPA,Office of the Governor General's Secretary,158
2021,CPA,Office of the Prime Minister,1
2021,CPA,Office of the Public Sector Integrity Commissioner of Canada,34
2021,CPA,Offices of the Information and Privacy Commissioners of Canada,323
2021,CPA,Parole Board of Canada,479
2021,CPA,Patented Medicine Prices Review Board Canada,79
2021,CPA,Privy Council Office,1076
2021,CPA,Public Health Agency of Canada,3281
2021,CPA,Public Prosecution Service of Canada,1082
2021,CPA,Public Safety Canada,1256
2021,CPA,Public Service Commission of Canada,878
2021,CPA,Public Services and Procurement Canada,17085
2021,CPA,RCMP External Review Committee,15
2021,CPA,Registrar of the Supreme Court of Canada,233
2021,CPA,Royal Canadian Mounted Police (Civilian Staff),8436
2021,CPA,Secretariat of the National Security and Intelligence Committee of Parliamentarians,6
2021,CPA,Shared Services Canada,7553
2021,CPA,Statistics Canada,6360
2021,CPA,Transport Canada,6339
2021,CPA,Transportation Safety Board of Canada,231
2021,CPA,Treasury Board of Canada Secretariat,2355
2021,CPA,Veterans Affairs Canada,3799
2021,CPA,Veterans Review and Appeal Board,93
2021,CPA,Western Economic Diversification Canada,394
2021,CPA,Women and Gender Equality Canada,329
2021,SA,Canada Energy Regulator,553
2021,SA,Canada Revenue Agency,47426
2021,SA,Canadian Food Inspection Agency,6539
2021,SA,Canadian Institutes of Health Research,539
2021,SA,Canadian Nuclear Safety Commission,862
2021,SA,Communications Security Establishment,2974
2021,SA,Financial Consumer Agency of Canada,161
2021,SA,Financial Transactions and Reports Analysis Centre of Canada,401
2021,SA,Indian Oil and Gas Canada,88
2021,SA,National Film Board,389
2021,SA,National Research Council Canada,4380
2021,SA,National Security Intelligence and Review Agency,73
2021,SA,Natural Sciences and Engineering Research Canada,536
2021,SA,Office of the Auditor General of Canada,749
2021,SA,Office of the Superintendent of Financial Institutions Canada,903
2021,SA,Parks Canada,4666
2021,SA,Polar Knowledge Canada,69
2021,SA,Social Sciences and Humanities Research Council of Canada,308
2021,SA,Statistical Survey Operations,2208
2021,SA,The Correctional Investigator Canada,38
2022,CPA,Accessibility Standards Canada,44
2022,CPA,Administrative Tribunals Support Service of Canada,655
2022,CPA,Agriculture and Agri-Food Canada,5638
2022,CPA,Atlantic Canada Opportunities Agency,624
2022,CPA,Canada Border Services Agency,15441
2022,CPA,Canada Economic Development for Quebec Regions,374
2022,CPA,Canada School of Public Service,707
2022,CPA,Canadian Dairy Commission,70
2022,CPA,Canadian Grain Commission,455
2022,CPA,Canadian Heritage,2062
2022,CPA,Canadian Human Rights Commission,279
2022,CPA,Canadian Intergovernmental Conference Secretariat,26
2022,CPA,Canadian Northern Economic Development Agency,113
2022,CPA,Canadian Radio-television and Telecommunications Commission,546
2022,CPA,Canadian Space Agency,789
2022,CPA,Canadian Transportation Agency,291
2022,CPA,Civilian Review and Complaints Commission for the RCMP,81
2022,CPA,Copyright Board Canada,16
2022,CPA,Correctional Service Canada,17925
2022,CPA,Courts Administration Service,758
2022,CPA,Crown-Indigenous Relations and Northern Affairs Canada,2092
2022,CPA,Department of Finance Canada,875
2022,CPA,Department of Justice Canada,5070
2022,CPA,Elections Canada,1046
2022,CPA,Employment and Social Development Canada,35609
2022,CPA,Environment and Climate Change Canada,7840
2022,CPA,Federal Economic Development Agency for Southern Ontario,344
2022,CPA,Federal Judges not part of any department,1190
2022,CPA,Fisheries and Oceans Canada,13537
2022,CPA,Global Affairs Canada,7112
2022,CPA,Health Canada,9886
2022,CPA,Immigration and Refugee Board of Canada,2114
2022,CPA,"Immigration, Refugees and Citizenship Canada",10248
2022,CPA,Impact Assessment Agency of Canada,432
2022,CPA,Indigenous Services Canada,7030
2022,CPA,Infrastructure Canada,1043
2022,CPA,"Innovation, Science and Economic Development Canada",6094
2022,CPA,International Joint Commission,33
2022,CPA,Library and Archives Canada,842
2022,CPA,Military Grievances External Review Committee,44
2022,CPA,Military Police Complaints Commission of Canada,28
2022,CPA,National Defence,26399
2022,CPA,Natural Resources Canada,4737
2022,CPA,Office of the Commissioner for Federal Judicial Affairs Canada,68
2022,CPA,Office of the Commissioner of Lobbying of Canada,28
2022,CPA,Office of the Commissioner of Official Languages,178
2022,CPA,Office of the Governor General's Secretary,177
2022,CPA,Office of the Public Sector Integrity Commissioner of Canada,31
2022,CPA,Offices of the Information and Privacy Commissioners of Canada,356
2022,CPA,Parole Board of Canada,463
2022,CPA,Patented Medicine Prices Review Board Canada,77
2022,CPA,Privy Council Office,1130
2022,CPA,Public Health Agency of Canada,4254
2022,CPA,Public Prosecution Service of Canada,1118
2022,CPA,Public Safety Canada,1381
2022,CPA,Public Service Commission of Canada,899
2022,CPA,Public Services and Procurement Canada,17178
2022,CPA,RCMP External Review Committee,22
2022,CPA,Registrar of the Supreme Court of Canada,221
2022,CPA,Royal Canadian Mounted Police (Civilian Staff),8690
2022,CPA,Secretariat of the National Security and Intelligence Committee of Parliamentarians,6
2022,CPA,Shared Services Canada,7948
2022,CPA,Statistics Canada,6364
2022,CPA,Transport Canada,6063
2022,CPA,Transportation Safety Board of Canada,226
2022,CPA,Treasury Board of Canada Secretariat,2378
2022,CPA,Veterans Affairs Canada,3566
2022,CPA,Veterans Review and Appeal Board,97
2022,CPA,Western Economic Diversification Canada,461
2022,CPA,Women and Gender Equality Canada,390
2022,SA,Canada Energy Regulator,556
2022,SA,Canada Revenue Agency,54933
2022,SA,Canadian Food Inspection Agency,6603
2022,SA,Canadian Institutes of Health Research,569
2022,SA,Canadian Nuclear Safety Commission,858
2022,SA,Communications Security Establishment,3018
2022,SA,Financial Consumer Agency of Canada,196
2022,SA,Financial Transactions and Reports Analysis Centre of Canada,523
2022,SA,Indian Oil and Gas Canada,85
2022,SA,National Film Board,379
2022,SA,National Research Council Canada,4301
2022,SA,National Security Intelligence and Review Agency,67
2022,SA,Natural Sciences and Engineering Research Canada,524
2022,SA,Office of the Auditor General of Canada,655
2022,SA,Office of the Intelligence Commissioner,3
2022,SA,Office of the Superintendent of Financial Institutions Canada,942
2022,SA,Parks Canada,4702
2022,SA,Polar Knowledge Canada,75
2022,SA,Social Sciences and Humanities Research Council of Canada,304
2022,SA,Statistical Survey Operations,2318
2022,SA,The Correctional Investigator Canada,37
2023,CPA,Accessibility Standards Canada,55
2023,CPA,Administrative Tribunals Support Service of Canada,722
2023,CPA,Agriculture and Agri-Food Canada,5677
2023,CPA,Atlantic Canada Opportunities Agency,623
2023,CPA,Canada Border Services Agency,16520
2023,CPA,Canada Economic Development for Quebec Regions,370
2023,CPA,Canada School of Public Service,742
2023,CPA,Canadian Dairy Commission,73
2023,CPA,Canadian Grain Commission,453
2023,CPA,Canadian Heritage,1975
2023,CPA,Canadian Human Rights Commission,297
2023,CPA,Canadian Intergovernmental Conference Secretariat,28
2023,CPA,Canadian Northern Economic Development Agency,111
2023,CPA,Canadian Radio-television and Telecommunications Commission,564
2023,CPA,Canadian Space Agency,885
2023,CPA,Canadian Transportation Agency,313
2023,CPA,Civilian Review and Complaints Commission for the RCMP,92
2023,CPA,Copyright Board Canada,17
2023,CPA,Correctional Service Canada,18527
