"org_id","dept_code","PAS","abbr_en","legal_title_en","applied_title_en","old_applied_title_en","description_en","ministry","institutional_form","incorp_yr","end_yr","status","dp_status","enabling_instrument_en","FAA_schedule_institutional","FAA_schedule_HR_status","federal_ownership_en","auditor_en","notes_en","dept_website_en","eval_url_en","article1_fr","article2_fr","other_lang_abbr","other_lang_legal_title","other_lang_applied_title"
89,,,,"Canadian Partnership Against Cancer Corporation (CPAC)",,,"CPAC is an independent, not-for-profit corporation established to implement the Canadian Strategy for Cancer Control (CSCC). The CSCC was developed in consultation with more than 700 cancer experts and stakeholders with the following objectives:
•	Reduce the expected number of new cases of cancer among Canadians;
•	Enhance the quality of life of those living with cancer; and,
•	Lessen the likelihood of Canadians dying from cancer.
Health Canada is responsible for managing the funding to the corporation. CPAC was eligible to receive $250 million from the federal government for its first five-year term (2007 to 2012) and $241 million for its second five-year term (2012 to 2017). Budget 2016 confirmed ongoing funding for CPAC, which is governed by a five-year agreement (2017 to 2022) for $237.5 million.",9,"shared_gov_corp",2006,,"a",0,"Canada Not-for-profit Corporations Act, S.C. 2009, c. 23",,,"1/19 board members","Grant Thornton LLP",,"www.partnershipagainstcancer.ca",,,,,"Partenariat canadien contre le cancer (PCC)",
90,,,,"Canadian Patient Safety Institute (CPSI)",,,"The Canadian Patient Safety Institute has amalgamated with the Canadian Foundation for Healthcare Improvement and is now operating as Healthcare Excellence Canada.  See description under that organization’s entry.",9,"shared_gov_corp",2003,2020,"d",0,"Canada Not-for-profit Corporations Act, S.C. 2009, c. 23",,,"1/16 board members","Deloitte & Touche LLP",,"www.patientsafetyinstitute.ca/English/Pages/default.aspx",,,,,"Institut canadien pour la sécurité des patients (ICSP)",
92,"CRRF","RRF",,"Canadian Race Relations Foundation",,,"To facilitate throughout Canada the development, sharing, and application of knowledge and expertise to contribute to the elimination of racism and all other forms of racial discrimination in Canadian society.",5,"crown_corp",1996,,"a",0,"Canadian Race Relations Foundation Act, S.C. 1998, c. 8",,,,"Auditor General of Canada",,"www.crr.ca",,,,,"Fondation canadienne des relations raciales",
93,"CRTC","RTC","CRTC","Canadian Radio-television and Telecommunications Commission","Canadian Radio-television and Telecommunications Commission",,"The Canadian Radio-television and Telecommunications Commission (CRTC)  is an independent quasi-judicial tribunal that regulates the Canadian communications sector in the public interest. The CRTC holds public consultations on telecommunications and broadcasting matters and makes decisions based on the public record. The CRTC reports to Parliament through the Minister of Canadian Heritage.",5,"dept_agency",1968,,"a",1,"Canadian Radio-television and Telecommunications Commission Act, R.S.C. 1985, c. C-22","I.1","IV",,,,"www.crtc.gc.ca",,"le","du","CRTC","Conseil de la radiodiffusion et des télécommunications canadiennes","Conseil de la radiodiffusion et des télécommunications canadiennes"
94,"CSIS","CSI","CSIS","Canadian Security Intelligence Service",,,"The Canadian Security Intelligence Service (CSIS) is mandated to investigate activities suspected of constituting threats to the security of Canada, and to report on these to the Government of Canada. CSIS may also take measures to reduce threats to the security of Canada in accordance with well-defined legal requirements and Ministerial Direction. CSIS also provides security assessments and advice to Government of Canada partners in support of government security screening and immigration screening.",6,"dept_agency",1984,,"a",0,"Canadian Security Intelligence Service Act, R.S.C. 1985, c. C-23","I.1","V",,,,"https://www.canada.ca/en/security-intelligence-service.html",,"le","du","SCRS","Service canadien du renseignement de sécurité",
95,"CSA","CSA","CSA","Canadian Space Agency","Canadian Space Agency",,"The mandate of the Canadian Space Agency (CSA) is ""to promote the  peaceful use and development of space, to advance the knowledge of space  through science and to ensure that space science and technology provide social and economic benefits for Canadians"". The CSA is delivering on its mandate in collaboration with Canadian  industry, academia, Government of Canada (GoC) organizations and other international space agencies or organizations. The founding legislation that received Royal Assent in 1990 attributed four main functions to the CSA: Assist the Minister to coordinate the space policies and programs of the Government of Canada; Plan, direct, manage and implement programs and projects relating to  scientific or industrial space research and development, and the application of space technology;   Promote the transfer and diffusion of space technology to and throughout Canadian industry; and Encourage commercial exploitation of space capabilities, technology, facilities and systems. The Minister of Innovation, Science and Economic Development is responsible for this organization.",7,"dept_agency",1989,,"a",1,"Canadian Space Agency Act, S.C. 1990, c. 13","I.1","IV",,,,"www.asc-csa.gc.ca","http://asc-csa.gc.ca/eng/publications/ae.asp","l'","de l'","ASC","Agence spatiale canadienne","Agence spatiale canadienne"
96,,,,"Canadian Sport Institute Ontario",,,"The Canadian Sport Institute Ontario is committed to the pursuit of excellence by providing world-class programs, services, and leadership to high-performance athletes and choaches to enhance their ability to achieve international podium performances.",5,"shared_gov_corp",1990,,"a",0,"Corporations Act, R.S.C. 1990, c. C-38",,,"0/8 board members","Grant Thornton LLP",,"www.csiontario.ca/home",,,,,"Institut canadien du sport Ontario",
97,"TOUR","TRC","DC","Canadian Tourism Commission","Destination Canada",,"To sustain a vibrant and profitable tourism industry in Canada; to market Canada as a desirable tourist destination; to support a cooperative relationship between the private sector and the governments of Canada, the provinces, and the territories with respect to Canadian tourism; and to provide information about Canadian tourism to the private sector and to the federal, provincial, and territorial governments.",7,"crown_corp",2001,,"a",0,"Canadian Tourism Commission Act, S.C. 2000, c. 28","III",,,"Auditor General of Canada",,"en-corporate.canada.travel",,,"de","DC","Commission canadienne du tourisme","Destination Canada"
98,"CTAIB","TSB","TSB","Canadian Transportation Accident Investigation and Safety Board","Transportation Safety Board of Canada",,"The Canadian Transportation Accident Investigation and Safety Board, commonly referred to as the Transportation Safety Board of Canada (TSB) in its day-to-day activities, is an independent agency created in 1990 by an Act of Parliament. It operates at arm's length from other government departments and agencies to ensure that there are no real or perceived conflicts of interest. The TSB's sole objective is to advance air, marine, pipeline and rail transportation safety.
The President of the King's Privy Council for Canada is the designated minister for the purposes of tabling the TSB's administrative reports in Parliament, such as the Departmental Plan and the Departmental Results Report. The TSB is part of the Privy Council portfolio of departments and agencies.",15,"dept_corp",1990,,"a",1,"Canadian Transportation Accident Investigation and Safety Board Act, S.C. 1989, c. 3","II","IV",,,,"www.tsb-bst.gc.ca",,"le","du","BST","Bureau canadien d'enquête sur les accidents de transport et de la sécurité des transports","Bureau de la sécurité des transports du Canada"
99,"CTA","ATN","CTA","Canadian Transportation Agency","Canadian Transportation Agency",,"The Canadian Transportation Agency is an independent, quasi-judicial  tribunal and regulator. It plays a unique role with respect to the national transportation system.    The Agency's core mandate is to help ensure the efficiency and  accessibility of the national transportation system through the use of a  range of authorities and tools, which fall into four main categories:     Making and applying rules and guidance : The establishment of  ""rules of the game"" through regulations, guidelines, codes of practice,  and interpretation notes, and the use of various instruments to foster compliance.    Overseeing market entry and exit : The issuance of operating  licences and permits to companies that meet specific criteria and the  application of discontinuance processes where prescribed by statute.    Resolving disputes : The resolution of disagreements over costs or  services between transportation companies and their customers  (passengers and shippers) and neighbours (residents and communities),  using facilitation, mediation, arbitration, and adjudication.    Providing information : The collection, analysis, and dissemination  of information on the national transportation system through mechanisms such as the Agency's Annual Report.     The Agency is an arm's length organization that reports to Parliament through the Minister of Transport.    Additional information on the Agency's role, mission and mandate can be  found in the Agency's Report on Plans and Priorities and is available on the Agency's website.",2,"dept_agency",1903,,"a",1,"Canada Transportation Act, S.C. 1996, c. 10","I.1","IV",,,,"https://www.otc-cta.gc.ca/eng",,"l'","de l'","OTC","Office des transports du Canada","Office des transports du Canada"
100,,,,"Canadian Wheat Board, The",,,"The object of the Corporation is to market grain for the benefit of producers who choose to deal with the Corporation. ",,"shared_gov_corp",1935,2014,"d",0,"Canadian Wheat Board (Interim Operations) Act, S.C. 2011, c. 25, s.14",,,,,,,,,,,"Commission canadienne du blé, La",
103,,,,"Caribbean Development Bank",,,"The Caribbean Development Bank intends to be the leading catalyst for development resources into the region, working in an efficient, responsive and collaborative manner with borrowing member countries and other development partners toward the systematic reduction of poverty through social and economic development.",22,"inter_org",1970,,"a",0,"Articles of Agreement of the Caribbean Development Bank, 1969; implemented in Canada by the International Development (Financial Institutions) Assistance Act, R.S.C. 1985, c. I-18",,,"9.3% ownership","Ernst and Young",,"www.caribank.org",,,,,"Banque de développement des Caraïbes",
104,,,,"Centre national multisport-Montréal",,,"To help high-performance athletes training for the Olympic Games, world championships, and other international competitions to reach their highest level of performance.",,"shared_gov_corp",1997,2012,"d",0,"Companies Act, R.S.Q. c. C-38",,,,,,,,,,,"Centre national multisport – Montréal",
105,,,,"Charlottetown Airport Authority Inc.",,,"To manage, operate, and develop the airport.",2,"shared_gov_corp",1999,,"a",0,"Canada Not-for-profit Corporations Act (S.C. 2009, c. 23)",,,"2/12 board members","Arsenault Best Cameron Ellis LLP",,"www.flypei.com",,,,,"Charlottetown Airport Authority Inc.",
107,,,,"Coaching Association of Canada",,,"Lead ethically sound coaching and sport leader training, delivery and promotion in association with other stakeholders, through a leading-edge national coach and sport leader development program that provides for coaching within a broad context of sport leadership based on the needs of sport participants in all contexts of participation.",5,"shared_gov_corp",1971,,"a",0,"Canada-Not-For-Profit Corporations Act, S.C. 2009, c. 23",,,"1/15 board members","Ouseley Hanvey Clipsham Deep LLP",,"www.coach.ca",,,,,"Association canadienne des entraîneurs",
108,,"CIO",,"Communication Canada",,,,,"other",2019,,"a",0,,,"IV",,,"Non-operational.",,,,,,"Communication Canada",
110,"CSEC","CSE","CSEC","Communications Security Establishment","Communications Security Establishment Canada",,"To acquire and use information from the global information infrastructure for the purpose of providing foreign intelligence, in accordance with Government of Canada intelligence priorities; To provide advice, guidance and services to help ensure the protection of electronic information and of information infrastructures of importance to the Government of Canada; and To provide technical and operational assistance to federal law enforcement and security agencies in the performance of their lawful duties.",3,"dept_agency",2011,,"a",0,"Communications Security Establishment Act (S.C. 2019, c. 13, s. 76)","I.1","V",,,"The Communications Security Establishment was re-established and replaced the existing organization of the same name (Communications Security Establishment Act and Order in Council P.C. 2019-1091).","www.cse-cst.gc.ca",,"le","du","CSTC","Centre de la sécurité des télécommunications","Centre de la sécurité des télécommunications Canada"
112,,,,"Consulting and Audit Canada Revolving Fund",,,"The Consulting and Audit Canada Revolving Fund is a Special Operating Agency that provides, on an optional and fee-for-service basis, consulting and audit services to federal departments and agencies. Upon request, these services are also provided to provincial, territorial, municipal and aboriginal governments in Canada, to foreign governments and to international organizations.",,"spec_op_agency",1991,2013,"d",0,"Revolving Funds Act, R.S.C. 1985, c. R-8 Treasury Board Decision No. 813848, May 30, 1990",,,,,,,,,,,"Fonds renouvelable de Conseils et Vérification Canada",
114,"CB","COP","CB","Copyright Board","Copyright Board Canada",,"The Copyright Boardis an independent administrative tribunal and economic regulatory body empowered to establish the tariffs which set the royalties to be paid for the use of copyrighted works, when the copyright in such works is administered collectively by a society. The Board also issues licences which set the royalties to be paid for the use of copyrighted works when the copyright owner cannot be located. By issuing fair and equitable tariffs and licences, the Board ensures that rights owners are remunerated in a timely manner, while supporting prosperity and innovation in the Canadian economy. Its work also promotes confidence in Canada’s tariff and licensing processes.",7,"dept_agency",1989,,"a",1,"Copyright Act, R.S.C. 1985, c. C-42","I.1","IV",,,,"https://cb-cda.gc.ca/en","https://cb-cda.gc.ca/en/about-us/reports-publications","la","de la","CDA","Commission du droit d’auteur","Commission du droit d'auteur Canada"
115,,,,"CORCAN",,,"CORCAN's mandate is to aid in the safe reintegration of offenders into Canadian society by providing employment and employability related interventions, training and support services to offenders serving a federal sentence.",6,"spec_op_agency",1992,,"a",0,"Corrections and Conditional Release Regulations, 1992 c. 20 (section 105) Treasury Board Decision February 20, 1992",,,,,,,,,,,"CORCAN",
116,,,,"Corporation for the Mitigation of Mackenzie Gas Project Impacts",,,"Will be responsible for the administration of $500 million to regional organizations for projects that mitigate the existing or anticipated socio-economic impacts on communities in the Northwest Territories arising from the Mackenzie Gas Project.",,"crown_corp",2006,2014,"d",0,"Mackenzie Gas Project Impacts Act, S.C. 2006, c. 4, s. 208",,,,,,,,,,,"Société d’atténuation des répercussions du projet gazier Mackenzie",
117,"CSC","PEN","CSC","Correctional Service of Canada","Correctional Service Canada",,"The Minister of Public Safety is responsible for the Correctional Service of Canada.    The purpose of the federal correctional system, as defined in law, is to  contribute to the maintenance of a just, peaceful and safe society by  carrying out sentences imposed by courts through the safe and humane custody and supervision of offenders; and by assisting the rehabilitation of offenders and their reintegration into the community as law-abiding citizens through the provision of programs in  penitentiaries and in the community (Corrections and Conditional Release Act,  s. 3).    The Correctional Service of Canada, as part of the criminal justice  system and respecting the rule of law, contributes to public safety by  actively encouraging and assisting offenders to become law-abiding  citizens, while exercising reasonable, safe, secure and humane control.",6,"dept_agency",1979,,"a",1,"Corrections and Conditional Release Act, S.C. 1992, c. 20","I.1","IV",,,,"www.canada.ca/correctional-service",,"le","du","SCC","Service correctionnel du Canada","Service correctionnel Canada"
118,"CAS","CAJ","CAS","Courts Administration Service","Courts Administration Service",,"The Courts Administration Service (CAS) was established in 2003 with the coming into force of the  Courts Administration Service Act . The  role of CAS is to provide effective and efficient judicial, registry and  corporate services to four superior courts of record – the Federal Court  of Appeal, the Federal Court, the Court Martial Appeal Court of Canada  and the Tax Court of Canada. The Act enhances judicial independence by  placing administrative services at arm’s length from the Government of  Canada and enhances accountability for the use of public money. The Minister of Justice and Attorney General of Canada is responsible for this organization.",20,"dept_agency",2003,,"a",1,"Courts Administration Service Act, S.C, 2002, c. 8","I.1","IV",,,,"www.cas-satj.gc.ca",,"le","du","SATJ","Service administratif des tribunaux judiciaires","Service administratif des tribunaux judiciaires"
119,,"DCL",,"Defence Construction (1951) Limited","Defence Construction Canada",,"To deliver and maintain infrastructure and environmental projects and services, and provide full lifecycle support for infrastructure and environmental assets, required for the defence of Canada.",1,"crown_corp",1951,,"a",0,"Defence Production Act,  R.S.C. 1985, c. D-1 Canada Business Corporations Act,  R.S.C. 1985, c. C-44","III",,,"Auditor General of Canada",,"https://www.dcc-cdc.gc.ca/",,,"de",,"Construction de Défense (1951) Limitée","Construction de Défense Canada"
120,,,,"Defence Research and Development Canada","Defence Research and Development Canada",,"Our mission is to provide a strategic knowledge and technology advantage. Defence Research and Development Canada (DRDC) supports defence and security operations at home and abroad with knowledge and technology; provides S&T to forecast, cost, and deliver future readiness levels to meet operational requirements; and, generates knowledge and technology for a robust, connected and multi-jurisdictional security and intelligence environment. DRDC leverages other organizations’ expertise, knowledge and resources so that diverse collaborations with partners create a more networked environment. DRDC anticipates S&T defence and security challenges and acts as the catalyst for an innovative defence and security sector across Canada.",3,"spec_op_agency",2000,,"a",0,"National Defence Act, R.S.C. 1985, c. N-5 Treasury Board Decision No. 828209, April 1, 2000",,,,,,"www.drdc-rddc.gc.ca/en/",,,"de la",,"Recherche et développement pour la défense Canada","Recherche et développement pour la Défense Canada"
121,,,,"2010 Games Operating Trust Society",,,"To promote high performance amateur sport in Canada and to contribute to the maintenance and operation of certain facilities created for the 2010 Olympic and Paralympic Winter Games.",5,"shared_gov_corp",2004,,"a",0,"Society Act, R.S.B.C.1996, c. 433",,,"1/8 board members","Ernst & Young LLP",,,,,,,"Société du legs des Jeux de 2010",
122,"CH","PCH","PCH","Department of Canadian Heritage","Canadian Heritage",,"The Department of Canadian Heritage (the Department) and its Portfolio organizations play a vital role in the cultural, civic and economic life of Canadians. Our policies and programs promote an environment where Canadians can experience dynamic cultural expressions, celebrate our history and heritage and build strong communities. The Department invests in the future by supporting the arts, our official and indigenous languages and our athletes and the sport system.",5,"min_dept",1996,,"a",1,"Department of Canadian Heritage Act, S.C. 1995, c. 11","I",,,,,"https://www.canada.ca/en/canadian-heritage.html",,"le","du","PCH","Ministère du Patrimoine canadien","Patrimoine canadien"
123,"CI","IMC","IRCC","Department of Citizenship and Immigration","Immigration, Refugees and Citizenship Canada",,"Canada is a country that has been positively impacted by immigration, welcoming over 21 million people since Confederation and home to over 200 ethnic communities. Immigration has been crucial in shaping Canada into the diverse and prosperous nation it is today and, looking forward, stands to be equally fundamental to Canada’s future social cohesion and economic prosperity. To this end, Immigration, Refugees and Citizenship Canada facilitates the entry of temporary residents, manages the selection, settlement and integration of newcomers, grants citizenship and issues passports to eligible citizens. The Minister of Immigration, Refugees and Citizenship is responsible for this organization.

Note: Until the establishing legislation is amended, the legal name of the department for the purposes of Appropriation Acts remains Department of Citizenship and Immigration.",24,"min_dept",1994,,"a",1,"Department of Citizenship and Immigration Act, S.C. 1994, c. 31","I",,,,,"www.cic.gc.ca",,,"de l'","IRCC","Ministère de la Citoyenneté et de l'Immigration","Immigration, Réfugiés et Citoyenneté Canada"
124,"FIN","FIN","FIN","Department of Finance","Department of Finance Canada",,"The Department of Finance Canada contributes to a strong economy and sound public finances for Canadians. It does so by monitoring developments in Canada and around the world to provide first-rate analysis and advice to the Government of Canada and by developing and implementing fiscal and economic policies that support the economic and social goals of Canada and its people. The Department also plays a central role in ensuring that government spending is focused on results and delivers value for taxpayer dollars. The Department interacts extensively with other federal organizations and acts as an effective conduit for the views of participants in the economy from all parts of Canada.",19,"min_dept",1867,,"a",1,"Financial Administration Act, R.S.C. 1985, c. F-11","I",,,,,"https://www.canada.ca/en/department-finance.html",,,"de","FIN","Ministère des Finances","Ministère des Finances Canada"
125,"FO","DFO","DFO","Department of Fisheries and Oceans","Fisheries and Oceans Canada",,"Fisheries and Oceans Canada (DFO) supports strong and sustainable economic growth in our marine and fisheries sectors and contributes to a prosperous economy through global commerce by supporting exports and advancing safe maritime trade. The Department supports the innovation needed for a knowledge-based economy through research in expanding sectors such as aquaculture and biotechnology. The Department contributes to a clean and healthy environment and sustainable aquatic ecosystems for Canadians through habitat protection, oceans management and ecosystems research.
The Canadian Coast Guard (CCG), as a Special Operating Agency within DFO, is responsible for services and programs that contribute to all three of the Department's strategic outcomes while also contributing significantly to the safety, security, and accessibility of Canada's waterways. The CCG also supports other government organizations by providing a civilian fleet and a broadly distributed shore-based infrastructure.",12,"min_dept",1979,,"a",1,"Fisheries Act; Oceans Act; Species at Risk Act; Coastal Fisheries Protection Act; Canada Shipping Act, 2001; Fishing and Recreational Harbours Act","I",,,,,"www.dfo-mpo.gc.ca",,,"de","MPO","Ministère des Pêches et des Océans","Pêches et Océans Canada"
126,"EA","EXT","GAC","Department of Foreign Affairs, Trade and Development","Global Affairs Canada",,"Global Affairs Canada, under the leadership of the Minister of Foreign Affairs, the Minister of International Trade, the Minister responsible for Canada-US trade, Intergovernmental Affairs and One Canadian Economy, and the Secretary of State (International Development), is responsible for advancing Canada’s international relations, including:
* developing and implementing foreign policy
* fostering the development of international law, international trade and commerce
* providing international humanitarian, development, and peace and security assistance
* providing consular services for Canadians
* overseeing the Government of Canada’s global network of missions abroad",22,"min_dept",1909,,"a",1,"Department of Foreign Affairs, Trade and Development Act, S.C. 2013, c. 33, s. 174","I",,,,,"www.international.gc.ca",,,"d'","AMC","Ministère des Affaires étrangères, du Commerce et du Développement","Affaires mondiales Canada"
127,"H","SHC","HC","Department of Health","Health Canada",,"Health Canada upholds the public health care system, expands access to health services, helps to reduce health risks, and supports Canadians in making informed health decisions.",9,"min_dept",1913,,"a",1,"Department of Health Act, S.C. 1996, c. 8","I",,,,,"www.canada.ca/en/health-canada.html",,,"de","SC","Ministère de la Santé","Santé Canada"
128,"HRSD","CSD","ESDC","Department of Employment and Social Development","Employment and Social Development Canada",,"Raison d’être, mandate and role: who we are and what we do

“Raison d’être, mandate and role: who we are and what we do” is available on the ESDC’s [website](https://www.canada.ca/en/employment-social-development.html).",21,"min_dept",2005,,"a",1,"Department of Employment and Social Development Act, S.C. 2005, c. 34","I",,,,,"www.canada.ca/en/employment-social-development.html",,,"d'","EDSC","Ministère de l'Emploi et du Développement social","Emploi et Développement social Canada"
129,"INAC","IAN","CIRNAC","Department of Crown-Indigenous Relations and Northern Affairs","Crown-Indigenous Relations and Northern Affairs Canada",,"Crown-Indigenous Relations and Northern Affairs Canada continues to renew the nation-to-nation, Inuit-Crown, government-to-government relationship between Canada and First Nations, Inuit and Métis; modernize Government of Canada structures to enable Indigenous peoples to build capacity and support their vision of self-determination; and lead the Government of Canada's work in the North.",4,"min_dept",1880,,"a",1,"Department of Crown-Indigenous Relations and Northern Affairs Act (S.C. 2019, c. 29, s. 337)","I",,,,"On July 15, 2019, legislative changes dissolving the Department of Indian Affairs and Northern Development (Indian Act) and formally establishing the Department of Crown-Indigenous Relations and Northern Affairs (Department of Crown-Indigenous Relations and Northern Affairs Act) came into effect.","https://www.canada.ca/en/crown-indigenous-relations-northern-affairs.html",,,"des","RCAANC","Ministère des Relations Couronne-Autochtones et des Affaires du Nord","Relations Couronne-Autochtones et Affaires du Nord Canada"
130,"ISC","DUS","ISED","Department of Industry","Innovation, Science and Economic Development Canada",,"Innovation, Science and Economic Development Canada (ISED) helps Canadian businesses grow, innovate and export so that they can create good quality jobs and wealth for Canadians. The Department works with provinces, territories, municipalities, the post-secondary education system, employers and labour to improve the quality and impact of its programs that support innovation, scientific research and entrepreneurship, in order to build a prosperous and innovative Canada. The Minister of Innovation, Science and Industry is responsible for this organization.",7,"min_dept",1892,,"a",1,"Department of Industry Act, S.C. 1995, C. 1","I",,,,,"www.ic.gc.ca",,,"de l'","ISDE","Ministère de l'Industrie","Innovation, Sciences et Développement économique Canada"
132,"JUS","JUS","JUS","Department of Justice","Department of Justice Canada",,"The Department of Justice Canada was officially established in 1868, when the Department of Justice Act was passed in Parliament. The Act sets out the roles and responsibilities of the Department as well as those of the Minister of Justice and the Attorney General of Canada. The Department supports the dual roles of the Minister of Justice and the Attorney General of Canada. 

Under Canada’s legal system, the administration of justice is an area of shared jurisdiction between the federal government and the provinces and territories. The Department supports the Minister of Justice’s responsibilities for statutes and areas of law that fall under federal jurisdiction by ensuring a bilingual and bijural national legal framework, principally within the following domains: criminal justice (including justice for victims of crime and youth criminal justice), family justice, access to justice, Indigenous justice, public law, and international private law. This responsibility is fulfilled through the development of policies, laws, programs and services for Canadians. The Minister is the legal advisor to Cabinet and ensures that the administration of public affairs is in accordance with the law.

The Department also provides legal advisory, litigation and legislative drafting services to the Government and federal government departments and agencies. The Department supports the role of the Attorney General of Canada as the chief law officer of the Crown, representing the Crown and not individual departments and agencies. Therefore, the Attorney General seeks to protect interests for the whole of government.",20,"min_dept",1868,,"a",1,"Department of Justice Act (R.S.C., 1985, c. J-2)","I",,,,,"www.justice.gc.ca","https://www.justice.gc.ca/eng/rp-pr/cp-pm/eval/index.html",,"de","JUS","Ministère de la Justice","Ministère de la Justice Canada"
133,"ND","DND","DND","Department of National Defence","National Defence",,"On behalf of the people of Canada, the Canadian Armed Forces (CAF) and the Department of National Defence (DND) stand ready to perform three key roles:Protecting Canada and defending our sovereignty; Defending North America in cooperation with the United States, Canada's closest ally; and Contributing to international peace and security through operations around the world, most often in partnership with allies from other countries.",3,"min_dept",1923,,"a",1,"National Defence Act, R.S.C. 1985, c. N-5","I",,,,,"www.forces.gc.ca",,,"de","MDN","Ministère de la Défense nationale","Défense nationale"
134,"NR","RSN","NRCan","Department of Natural Resources","Natural Resources Canada",,"The Minister of Natural Resources is responsible for this organization.    Natural Resources Canada (NRCan) works to improve the quality of life of  Canadians by ensuring that our resource sector remains a source of jobs,  prosperity, and opportunity within the context of a world that values sustainable practices and low carbon processes.",10,"min_dept",1994,,"a",1,"Department of Natural Resources Act, S.C. 1994, c. 41","I",,,,,"www.nrcan-rncan.gc.ca",,,"des","RNCan","Ministère des Ressources naturelles","Ressources naturelles Canada"
135,"PSEP","PSP","PS","Department of Public Safety and Emergency Preparedness","Public Safety Canada",,"The Department of Public Safety and Emergency Preparedness (PSEP) plays  a key role in discharging the Government’s fundamental responsibility  for the safety and security of its citizens. The Minister of PSEP is  responsible for the Department. Legislation governing the Department sets out three essential roles: (i) support the Minister’s  responsibility for all matters related to public safety and emergency  management not assigned to another federal organization; (ii) exercise  leadership at the national level for national security and emergency  preparedness; and (iii) support the Minister’s responsibility for the  coordination of Public Safety’s Portfolio entities and for setting their strategic priorities.    The Department provides strategic policy advice and support to the  Minister of PSEP on a range of issues including: national security,  border strategies, countering crime, emergency management and  interoperability. The Department also delivers a number of grant and  contribution programs related to emergency management, national security and community safety.",6,"min_dept",2003,,"a",1,"Department of Public Safety and Emergency Preparedness Act, S.C. 2005, c. 10;Emergency Management Act (2007)","I",,,,,"www.publicsafety.gc.ca",,"la","de","SP","Ministère de la Sécurité publique et de la Protection civile","Sécurité publique Canada"
136,"GSC","SVC","PSPC","Department of Public Works and Government Services","Public Services and Procurement Canada",,"Public Works and Government Services Canada (PWGSC) plays an important  role in the daily operations of the Government of Canada. It supports  federal departments and agencies in the achievement of their mandated  objectives as their central purchasing agent, real property manager,  linguistic authority, treasurer, accountant, pay and pension administrator, and common service provider. The Department’s vision is to excel in government operations. Its mission is to deliver high-quality, central programs and services that ensure sound  stewardship on behalf of Canadians and meet the program needs of federal institutions. The Minister of Public Services and Procurement is responsible for this organization.",1,"min_dept",1996,,"a",1,"Department of Public Works and Government Services Act, S.C. 1996, c. 16","I",,,,,"www.tpsgc-pwgsc.gc.ca",,,"de","SPAC","Ministère des Travaux publics et des Services gouvernementaux","Services publics et Approvisionnement Canada"
137,"EC","DOE","ECCC","Department of the Environment","Environment and Climate Change Canada",,"Environment and Climate Change Canada leads and supports a wide range of environmental issues, including taking action on clean growth and climate change, pollution, conserving nature, and predicting weather and environmental conditions. The Department addresses these issues through various actions and initiatives including leading Canada’s efforts to transition to a net-zero economy and strengthening resilience to climate change, protecting more of our lands and waters, strengthening protection and recovery for species at risk and their habitats, and providing environmental and weather information to Canadians. To achieve its mandate, the Department works with provinces, territories, Indigenous peoples, civil society, industry, and international partners, and undertakes monitoring, science-based research, policy and regulatory development, and enforcement of environmental laws and regulations.

The Department’s program focus reflects the interdependence between environmental sustainability and economic well-being.",23,"min_dept",1971,,"a",1,"Department of the Environment Act, R.S.C. 1985, c. E-10","I",,,,,"www.canada.ca/en/environment-climate-change.html","https://www.canada.ca/en/environment-climate-change/corporate/transparency/priorities-management/evaluations.html",,"d'","ECCC","Ministère de l'Environnement","Environnement et Changement climatique Canada"
138,"TC","MOT","TC","Department of Transport","Transport Canada",,"A safe and secure transportation system provides reliable and efficient  movement of goods and people across the country and around the world. In  an environmentally responsible way, it meets the challenges posed by  topography and geography, linking communities and reducing the effects  of the distance that separates people. These vital roles reflect  transportation's interdependent relationship with all sectors of the economy and society.    Transport Canada (Department) is responsible for the Government of  Canada's transportation policies and programs. The Department develops  legislative and regulatory frameworks, and conducts transportation  oversight through legislative, regulatory, surveillance and enforcement  activities. While not directly responsible for all aspects or modes of  transportation, the department plays a leadership role to ensure that  all parts of the transportation system across Canada work together effectively.",2,"min_dept",1936,,"a",1,"Department of Transport Act, R.S.C. 1985, c. T-18","I",,,,,"www.tc.gc.ca",,,"de","TC","Ministère des Transports","Transports Canada"
139,"VAC","DVA","VAC","Department of Veterans Affairs","Veterans Affairs Canada",,"Canada’s development as an independent country with a unique identity stems partly from its achievements in times of war. Veterans Affairs Canada (VAC) exists to assist and help those whose courageous efforts gave us this legacy and contributed to our growth as a nation.

The Department of Veterans Affairs Act provides authority to the Minister of Veterans Affairs to administer Acts of Parliament and orders in council as are not by law assigned to any other federal department or any Minister for the care, treatment and re-establishment in civil life of Veterans and the care of their dependents and survivors, and such other matters as the Governor in Council may assign.

The Minister of Veterans Affairs and Associate Minister of National Defence is responsible for this organization.",16,"min_dept",1923,,"a",1,"Department of Veterans Affairs Act, R.S.C. 1985, c. V-1","I",,,,,"www.veterans.gc.ca","https://www.veterans.gc.ca/eng/about-vac/publications-reports/reports/departmental-audit-evaluation",,"d'","ACC","Ministère des Anciens Combattants","Anciens Combattants Canada"
