measure_id,measure_en,measure_fr,chapter_key,id_en,id_fr,description_en,description_fr
39,Ensuring a Workplace Free of Violence and Harassment,Garantir un milieu de travail exempt de violence et de harcèlement,adv,Taking-Action-to-Prevent-and-Address-Gender-Based-Violence-Harassment-and-Discrimination,Combattre-la-violence-fondee-sur-le-sexe-et-le-harcelement,"Harassment and violence prevents Canadians—particularly women, young people, LGBTQ2 persons, Indigenous Peoples and visible minorities—from participating to the fullest of their potential. Harassment and violence at work stands in the way of growth and success by contributing to productivity loss, turnover, stress and anxiety, and lower job satisfaction. 

On November 7, 2017, the Government of Canada introduced Bill C-65 to create a single, integrated framework that will protect federally regulated employees from harassment and violence in the workplace. The Government will provide $34.9 million over five years, starting in 2018–19, with $7.4 million per year ongoing, to support Bill C-65. This will ensure that federally regulated workplaces are free from harassment and violence.

The Government also proposes to establish a Centre of Diversity, Inclusion and Wellness within the public service that will have, as part of its mandate, to better support public servants in dealing with sexual harassment in the workplace within the public service.
","Le harcèlement et la violence empêchent les Canadiens, en particulier les femmes, les jeunes, les personnes LGBTQ2, les Autochtones et les membres d’une minorité visible, d’être partie prenante de leur milieu selon leur plein potentiel. Le harcèlement et la violence au travail sont des obstacles à la croissance et au succès en causant une baisse de productivité, du roulement de personnel, du stress et de l’anxiété, sans parler d’une baisse de satisfaction au travail.

Le 7 novembre 2017, le gouvernement du Canada a présenté le projet de loi C-65 dans le but de créer un seul cadre intégré qui protégera les employés sous réglementation fédérale contre le harcèlement et la violence en milieu de travail. Le gouvernement fournira 34,9 millions de dollars de plus sur cinq ans à compter de 2018-2019, et 7,4 millions par année par la suite, à l’appui de l’objectif du projet de loi C-65. Cette mesure fera en sorte que les milieux de travail sous réglementation fédérale soient exempts de harcèlement et de violence.

En outre, le gouvernement propose de mettre sur pied un Centre pour la diversité, l’inclusion et le mieux-être dans la fonction publique qui, dans le cadre de son mandat, sera chargé d’aider les fonctionnaires qui font face au harcèlement sexuel en milieu de travail au sein de la fonction publique.
"
40,Ensuring Rules-Based and Responsible Trade,Assurer un commerce responsable et axé sur les règles,grw,Ensuring-Rules-Based-and-Responsible-Trade,Assurer-un-commerce-responsable-et-axe-sur-les-regles,"As we seek to open up markets around the world, we also need to support domestic industries in the wake of trade actions, and need to take steps to ensure a robust rules-based trading system that balances the interests of Canadian stakeholders at home and abroad.

To that end, the Government is committed to supporting and defending the Canadian forest industry in the face of unjustified U.S. duties. The Government proposes to provide $191 million over five years, starting in 2018–19, to Global Affairs Canada and Natural Resources Canada to support softwood lumber jobs, including through litigation under the World Trade Organization and the NAFTA dispute settlement mechanisms. The Government will also continue its negotiating efforts towards a durable softwood lumber agreement with the U.S. that will bring stability on both sides of the border.

The Government has also taken steps in recent years, including through amendments to the Special Import Measures Act, to ensure that the trade remedy system is effective and fair. In light of the essential function that the Canadian International Trade Tribunal performs in Canada’s trade remedy system, the Government proposes to amend the Canadian International Trade Tribunal Act to ensure that it continues to effectively deliver on its mandate. In addition, the Government recently reviewed the level of anti-dumping duties applied to imports of gypsum board from the U.S., and has concluded that they are preventing injury to domestic producers while ensuring adequate supply in the market. The Government will continue to monitor this situation to ensure the duties are having the intended effect. 

Because it believes that trade is best when it works for everyone, the Government has announced it is creating an independent Canadian Ombudsperson for Responsible Enterprise. This represents a new global standard in promoting responsible business conduct. The Ombudsperson will work to ensure that Canadian firms operating abroad exercise leadership in ethical, social and environmental practices. Funding of $6.8 million over six years, starting in 2017–18, with $1.3 million per year thereafter, will be provided for this initiative.
","À mesure que nous cherchons à ouvrir des marchés partout dans le monde, nous devons également appuyer les industries nationales dans le sillage de la prise de mesures commerciales. Nous devons aussi adopter les mesures nécessaires pour assurer un  système commercial rigoureux axé sur les règles qui établit un équilibre entre les intérêts des intervenants canadiens, tant au Canada qu’à l’étranger.

À cette fin, le gouvernement s’est engagé à soutenir et à défendre l’industrie forestière canadienne face à des droits américains non justifiés. Le gouvernement propose d’accorder 191 millions de dollars sur cinq ans, à compter de 2018-2019, à Affaires mondiales Canada et à Ressources naturelles Canada pour soutenir les emplois liés au bois d’œuvre, y compris au moyen des mécanismes de règlement des différends de l’Organisation mondiale du commerce et de l’ALENA. Le gouvernement poursuivra également ses efforts en vue de négocier un accord durable sur le bois d’œuvre avec les États-Unis qui assurera la stabilité des deux côtés de la frontière.

Le gouvernement a également pris des mesures au cours des dernières années, y compris la modification de la Loi sur les mesures spéciales d’importation, afin de s’assurer que le système de recours commerciaux est efficace et équitable. À la lumière de la fonction essentielle qu’exerce le Tribunal canadien du commerce extérieur dans le cadre du système de recours commerciaux du Canada, le gouvernement propose de modifier la Loi sur le Tribunal canadien du commerce extérieur afin de s’assurer que l’organisme continue d’exécuter son mandat efficacement. Après avoir examiné récemment le niveau des droits antidumping appliqués aux importations de panneaux de gypse en provenance des États-Unis, le gouvernement a conclu qu’ils préviennent un dommage pour les producteurs nationaux, tout en assurant un approvisionnement adéquat sur le marché. Le gouvernement continuera de surveiller cette situation afin de s’assurer que les droits produisent l’effet voulu.

Puisqu’il croit que le commerce est à son meilleur lorsqu’il profite à tous, le gouvernement a annoncé qu’il créerait un poste d’ombudsman indépendant canadien chargé de l’entreprise sociale responsable. Ce rôle représente une nouvelle norme mondiale en matière de promotion de la conduite responsable des entreprises. L’ombudsman veillera à s’assurer que les entreprises canadiennes qui exercent des activités à l’étranger font preuve de leadership en ce qui concerne les pratiques déontologiques, sociales et environnementales. Un financement de 6,8 millions de dollars sur six ans à compter de 2017-2018, et 1,3 millions de dollars par année par la suite, sera fourni à cette fin."
41,Ensuring Security and Prosperity in the Digital Age,Assurer la sécurité et la prospérité à l’ère numérique,adv,Ensuring-Security-and-Prosperity-in-the-Digital-Age,Assurer-la-securite-et-la-prosperite-a-l-ere-numeri,"The digital age has revolutionized how Canadians live as well as how our institutions function. Digital technologies have changed the way we work, how we shop, how we access services—including government and financial services. These changes have brought with them vast benefits and new challenges, including efforts to preserve cyber security and protect the privacy of Canadians. Cyber-attacks are becoming more pervasive, increasingly sophisticated and ever more effective. Successful cyber-attacks have the potential to expose the private information of Canadians, cost Canadian businesses millions of dollars, and potentially put Canada’s critical infrastructure networks at risk.   

With this budget, the Government of Canada is implementing a plan for security and prosperity in the digital age to protect against cyber-attacks. The Government proposes significant investments of $507.7 million over five years, and $108.8 million per year thereafter, to fund a new National Cyber Security Strategy. The Strategy focuses on three principal goals: 
•Ensure secure and resilient Canadian systems.
•Build an innovative and adaptive cyber ecosystem.
•Support effective leadership and collaboration between different levels of Canadian government, and partners around the world. 

The Government will work alongside key partners in order to implement this plan: other levels of government, the business community, academia and trusted international partners. Canada will work to proactively solve mutual cyber issues, raising the cyber security bar for all Canadians.  
","L’ère numérique a révolutionné la façon dont vivent les Canadiens et fonctionnent nos établissements. Les technologies numériques ont changé notre façon de travailler, de magasiner, d’accéder aux services – y compris les services gouvernementaux et financiers. Ces changements ont été accompagnés de vastes avantages et de nouveaux défis, notamment celui de préserver la cybersécurité et de protéger la vie privée des Canadiens. Les cyberattaques sont de plus en plus envahissantes, sophistiquées et efficaces. Les cyberattaques réussies peuvent rendre les renseignements privés de Canadiens publics, coûter des millions de dollars aux entreprises canadiennes et mettre en péril les réseaux d’infrastructures essentielles du Canada. 

Avec le présent budget, le gouvernement du Canada met en œuvre un plan pour la sécurité et la prospérité à l’ère numérique afin que nous soyons protégés contre les cyberattaques. Le gouvernement propose de réaliser d’importants investissements de 507,7 millions de dollars sur cinq ans, et de 108,8 millions par année par la suite, afin de financer une nouvelle stratégie nationale de cybersécurité. La stratégie est centrée sur trois objectifs :
•assurer la sécurité et la résilience des systèmes canadiens; 
•mettre en place un écosystème cybernétique qui est novateur et adapté; 
•soutenir un leadership et une collaboration efficaces entre les différents ordres de gouvernement au Canada et avec les partenaires de partout dans le monde. 

Le gouvernement mettra ce plan en œuvre avec la collaboration de partenaires clés : les autres ordres de gouvernement, le milieu des affaires, le milieu universitaire et des partenaires internationaux de confiance. Le Canada cherchera à résoudre de manière proactive les questions cybernétiques mutuelles, relevant ainsi la barre en matière de cybersécurité pour tous les Canadiens. 
"
42,Ensuring That Indigenous Children Are Safe and Supported Within Their Communities,S’assurer que les enfants des Premières Nations sont en sécurité et reçoivent un soutien au sein de leur communauté,rec,,,,
43,Ensuring the Safe Operation of Tankers,Garantir le fonctionnement sécuritaire des navires-citernes,oth,,,,
44,Evidence-Based Policy,Politique fondée sur des données probantes,grw,Evidence-Based-Policy,Politique-fondee-sur-des-donnees-probantes,"In order to properly address gender inequality and track our progress towards a more equitable society, we need to better understand the barriers different groups face. The Government of Canada intends to address gaps in gathering data and to better use data related to gender and diversity. This includes proposing $6.7 million over five years, starting in 2018–19, and $0.6 million per year ongoing, for Statistics Canada to create a new Centre for Gender, Diversity and Inclusion Statistics. The Centre will maintain a public facing GBA+ data hub to support evidence-based policy development and decision-making—both within the federal government and beyond. 

The Centre will work to address gaps in the availability of disaggregated data on gender, race and other intersecting identities to enrich our understanding of social, economic, financial and environmental issues. The work conducted at the Centre will include collecting, analyzing and disseminating data on visible minorities to understand the barriers different groups face and how best to support them with evidence-based policy.  

As part of the Government’s commitment to address gaps in gender and diversity data, the Government is also proposing to provide $1.5 million over five years, starting in 2018–19, and $0.2 million per year ongoing, to the Department of Finance Canada to work with Statistics Canada and Status of Women to develop a broader set of indicators and statistics to measure and track Canada’s progress on achieving shared growth and gender equality objectives. 

Budget 2018 also proposes to provide $5 million per year to Status of Women Canada to undertake research and data collection in support of the Government’s Gender Results Framework. One of the first projects this would support is an analysis of the unique challenges visible minority and newcomer women face in finding employment in science, technology engineering and mathematics occupations. This research will fill important gaps in knowledge as to how to achieve greater diversity and inclusion among the high-paying jobs of tomorrow.

Recognizing the importance of poverty data in evidence-based decision-making by all levels of government, the federal government additionally proposes an investment of $12.1 million over five years, and $1.5  million per year thereafter, to address key gaps in poverty measurement in Canada. This includes ensuring that poverty data is inclusive of all Canadians, data on various dimensions of poverty are captured, and the data is robust and timely.
","Afin de régler de manière adéquate l’inégalité des sexes et de suivre nos progrès en vue de créer une société plus égale, nous devons mieux comprendre les obstacles auxquels sont confrontés les différents groupes. Le gouvernement du Canada prévoit combler les lacunes en recueillant des données et en utilisant mieux les données sur les sexes et la diversité. Cela comprend une proposition d’un financement de 6,7 millions de dollars sur cinq ans, à compter de 2018-2019, pour Statistique Canada, avec un financement de 0,6 million de dollars par année par la suite, en vue de créer un nouveau Centre pour les statistiques sur les sexes, la diversité et l’inclusion. Le Centre tiendra à jour un carrefour public de données tirées de l’ACS+ afin d’appuyer l’élaboration de politiques et de processus décisionnels fondés sur des données probantes au sein du gouvernement fédéral et au-delà. 

Le Centre s’efforcera également de combler les lacunes en matière de disponibilité des données désagrégées par sexe, groupe ethnique et autres facteurs identitaires en vue d’enrichir notre compréhension des questions sociales, économiques, financières et environnementales. Les travaux menés au Centre comprendront la collecte, l’analyse et la diffusion de données sur les minorités visibles afin de comprendre les obstacles auxquels différents groupes sont confrontés, et la meilleure façon de les appuyer au moyen d’une politique fondée sur des données probantes.

Dans le cadre de l’engagement du gouvernement visant à combler les écarts quant aux données sur les sexes et la diversité, le gouvernement propose également de fournir au ministère des Finances du Canada un financement de 1,5 million de dollars sur cinq ans, à compter de 2018-2019, et de 0,2 million de dollars par année par la suite, pour collaborer avec Statistique Canada et Condition féminine en vue d’élaborer un ensemble plus général d’indicateurs et de statistiques pour évaluer et suivre les progrès réalisés par le Canada dans l’atteinte d’une croissance inclusive et de l’égalité des sexes.

Dans le budget de 2018, le gouvernement propose de fournir 5 millions de dollars par année à Condition féminine Canada pour que l’on entreprenne une recherche et une collecte de données à l’appui du cadre de résultats en matière d’égalité des sexes du gouvernement. L’un des premiers projets qui seraient ainsi soutenus est une analyse des défis spécifiques auxquels font face les femmes des minorités visibles et les femmes nouvellement arrivées au moment de se trouver un emploi en sciences, en technologies, en ingénierie ou en mathématiques. Cette recherche permettra de combler d’importants écarts quant à la façon d’assurer une plus grande diversité et une plus grande inclusion parmi les emplois bien rémunérés de demain.

Reconnaissant l’importance des données sur la pauvreté dans la prise de décisions fondée sur des données probantes par tous les ordres de gouvernement, le gouvernement propose également d’investir 12,1 millions de dollars sur cinq ans, et 1,5 million par année par la suite, afin de réduire les principales lacunes dans la mesure de la pauvreté au Canada. Pour y arriver, il faut notamment s’assurer que les données sur la pauvreté soient inclusives de tous les Canadiens, que des données sur diverses dimensions de la pauvreté soient saisies et que les données soient fiables et présentées en temps utile.
"
45,Expanding the Diversity of Entrepreneurs,Accroître la diversité des entrepreneurs,prg,,,,
46,Expanding Unified Family Courts,Élargir les tribunaux unifiés de la famille,adv,,,,
47,Finance Canada Analytical Capacity,Capacité analytique du ministère des Finances du Canada,oth,,,,
48,Funding to support the establishment of a National Council for Reconciliation,Financement pour appuyer l’établissement d’un conseil national pour la réconciliation,rec,,,,
49,Further Improving Mental Health Supports for Inmates,Améliorer davantage les services de soutien en santé mentale à l’intention des détenus,adv,Further-Improving-Mental-Health-Supports-for-Inmates,Ameliorer-davantage-les-services-de-soutien-en-sante-mentale-a-l-intention-des-detenus,"Through Budget 2017, the Government took an important step towards the goal of ensuring that offenders with mental health needs in federal correctional facilities receive the appropriate level of care. Challenges remain, however, in meeting the complex and varied needs of offenders, including for women inmates in federal corrections, whose numbers have grown by approximately 30 per cent over the last 10 years. Budget 2018 builds on the investments made in Budget 2017, proposing $20.4 million over five years, beginning in 2018–19, and $5.6 million per year ongoing, for the Correctional Service of Canada to further support the mental health needs of federal inmates. Funds would largely be targeted towards providing enhanced mental health supports for women in federal correctional facilities across Canada.","Dans le cadre du budget de 2017, le gouvernement a pris une mesure importante en vue de s’assurer que les délinquants ayant besoin de soins en santé mentale dans les établissements correctionnels fédéraux reçoivent un niveau de soins approprié. Cependant, il reste difficile de répondre aux besoins complexes et variés des délinquants, y compris des détenus féminins dans les établissements correctionnels fédéraux, dont le nombre a augmenté d’environ 30 % au cours des dix dernières années. Le budget de 2018 s’appuie sur les investissements faits dans le budget 2017, en accordant au Service correctionnel du Canada 20,4 millions de dollars à compter de 2018-2019, et 5,6 millions par année par la suite, afin de mieux subvenir aux besoins en matière de santé mentale des détenus sous responsabilité fédérale. Les fonds serviraient surtout à améliorer le soutien à la santé mentale pour les femmes dans les établissements correctionnels fédéraux de partout au Canada."
50,Gairdner Foundation,Fondation Gairdner,oth,,,,
51,Getting Into and Staying in the Workforce and Career Pathways for Visible Minority Newcomer Women in Canada,"Intégrer le marché du travail et y demeurer, et parcours professionnels des femmes qui sont membres des minorités visibles et nouvellement arrivées au Canada",grw,,,,
52,Granting Councils,Conseils subventionnaires,prg,Granting-Councils,Conseils-subventionnaires,"Canada’s three granting councils are arm’s-length organizations that provide federal funding for the work of researchers at post-secondary institutions and research hospitals. In Budget 2018, the Government is proposing a historic investment to support this work—the most new funding for fundamental research through the granting councils in Canadian history.

The Government proposes to invest $925 million over five years, starting in 2018–19, and $235 million per year ongoing:
•$354.7 million over five years ($90.1 million per year ongoing) to the Natural Sciences and Engineering Research Council (NSERC). 
•$354.7 million over five years ($90.1 million per year ongoing) to the Canadian Institutes of Health Research (CIHR).
•$215.5 million over five years ($54.8 million per year ongoing) to the Social Sciences and Humanities Research Council (SSHRC). 

To accelerate Canada’s transition to a more modern approach to research, Budget 2018 also proposes to create a new tri-council fund to support research that is international, interdisciplinary, fast-breaking and higher-risk. The Government proposes to provide $275 million over five years, starting in 2018–19, and $65 million per year ongoing, for this innovative approach, which will be administered by SSHRC on behalf of the granting councils.                              
These two proposed investments would increase the granting councils’ annual budgets for fundamental research by over 25 per cent when they reach their peak in three years time. The proposed funding would provide increased support and training opportunities for about 21,000 researchers, students and high-quality personnel across Canada every year by 2021–22, including: 6,000 top-tier researchers and principal investigators; 3,500 early-career researchers; 8,000 undergraduate, master’s and doctoral students; 1,300 postdoctoral students; and 2,000 research assistants and technicians.
With this investment, the granting councils will be tasked with developing new plans, strategies and targets to ensure greater collaboration between NSERC, CIHR and SSHRC and support for interdisciplinary research, as well as plans to achieve greater diversity among research funding recipients, including improved support for women, underrepresented groups and early-career researchers. To support these goals, the Government proposes to provide $6 million over five years ($0.5 million ongoing) for surveys to collect improved data on researchers, and $15 million over five years to implement programs that support improved equality and diversity in academia at post-secondary institutions.
","Les trois conseils subventionnaires du Canada sont des organismes indépendants qui fournissent le financement fédéral pour soutenir le travail des chercheurs dans les établissements postsecondaires et les hôpitaux de recherche. Dans le budget de 2018, le gouvernement propose un investissement sans précédent pour soutenir leur travail, le plus grand financement jamais accordé au Canada à la recherche fondamentale par l’intermédiaire de conseils subventionnaires.

Le budget de 2018 propose un financement de 925 millions de dollars sur cinq ans, à compter de 2018-2019, et de 235 millions par année par la suite, réparti comme suit :
•354,7 millions de dollars sur cinq ans (90,1 millions par année par la suite) au Conseil de recherches en sciences naturelles et en génie; 
•354,7 millions de dollars sur cinq ans (90,1 millions par année par la suite) aux Instituts de recherche en santé du Canada; 
•215,5 millions de dollars sur cinq ans (54,8 millions par année par la suite) au Conseil de recherches en sciences humaines. 

Pour accélérer la transition du Canada vers une approche de recherche plus moderne, le budget de 2018 propose également de créer un nouveau fonds pour les trois conseils pour soutenir la recherche internationale, interdisciplinaire, présentant des risques élevés et demandant des résultats rapides. Le gouvernement propose de fournir 275 millions de dollars sur cinq ans, à compter de 2018-2019, et 65 millions par année par la suite pour cette approche novatrice dont l’administration sera confiée au Conseil de recherches en sciences humaines du Canada au nom des trois conseils subventionnaires.

Grâce aux investissements proposés, l’augmentation des budgets annuels des conseils subventionnaires pour la recherche fondamentale atteindrait plus de 25 % en trois ans. Le financement proposé fournirait de plus un soutien accru et des possibilités de formation professionnelle pour environ 21 000 chercheurs, étudiants et employés hautement qualifiés dans l’ensemble du Canada tous les ans d’ici 2021-2022, y compris 6 000 chercheurs de premier plan et chercheurs principaux, 3 500 chercheurs en début de carrière, 8 000 étudiants de premier cycle, de deuxième cycle et au doctorat, 1 300 étudiants postdoctoraux, et 2 000 assistants de recherche et techniciens.

Forts de ces investissements, les conseils subventionnaires seront chargés d’élaborer de nouveaux plans, stratégies et cibles afin d’assurer une plus grande collaboration entre le Conseil de recherches en sciences humaines, le Conseil de recherches en sciences naturelles et en génie du Canada et les Instituts de recherche en santé du Canada, pour un appui accru à la recherche interdisciplinaire et pour atteindre une plus grande diversité parmi les bénéficiaires de ce financement, y compris un soutien accru aux femmes, aux groupes sous-représentés et aux chercheurs en début de carrière. Afin de soutenir ces objectifs, le gouvernement propose d’accorder 6 millions de dollars sur cinq ans (0,5 million par la suite) pour des enquêtes destinées à recueillir des données améliorées sur les chercheurs, ainsi que 15 millions sur cinq ans pour mettre en œuvre des programmes qui valorisent l’égalité et la diversité parmi les chercheurs des établissements d’enseignement postsecondaire.
"
53,Harnessing Big Data,Exploiter les données massives,prg,,,,
54,Helping Indigenous Nations Reconstitute,Aider les Nations autochtones à se reconstituer,rec,Helping-Indigenous-Nations-Reconstitute,Aider-les-nations-autochtones-a-se-reconstituer,"The Government has committed to a forward-looking and transformative agenda to renew relationships with Indigenous Peoples. Indigenous groups are seeking to rebuild their nations in a manner that responds to their priorities and the unique needs of their communities—a message they have shared with the Working Group of Ministers on the Review of Laws and Policies related to Indigenous Peoples. This was also a key recommendation of the Royal Commission on Aboriginal Peoples, and is an objective outlined in the United Nations Declaration on the Rights of Indigenous Peoples. As stated by the Prime Minister at the United Nations General Assembly, the Government supports this vital work.

Through Budget 2018, the Government proposes to provide $101.5 million over five years, starting in 2018–19, to support capacity development for Indigenous Peoples. Funding would be made available to Indigenous groups to support activities that would facilitate their own path to reconstituting their nations. 
","Le gouvernement s'est engagé à mettre sur pied un programme transformateur et tourné vers l'avenir dans le but de renouveler les relations avec les peuples autochtones. Les groupes autochtones cherchent à rebâtir leurs nations d'une manière qui correspond à leurs priorités et aux besoins spécifiques de leurs communautés. Ils ont communiqué ce message au Groupe de travail de ministres chargé d'examiner les lois et les politiques liées aux Autochtones. Cela constituait également une recommandation clé de la Commission royale sur les peuples autochtones, et figure parmi les objectifs décrits dans la Déclaration des Nations Unies sur les droits des peuples autochtones. Comme l'a déclaré le premier ministre à l'Assemblée générale des Nations Unies, le gouvernement appuie ces efforts essentiels.

Dans le budget de 2018, le gouvernement propose de fournir un financement de 101,5 millions de dollars sur cinq ans, à compter de 2018-2019, pour faciliter le développement des capacités en vue de la reconstitution des peuples autochtones. Un financement serait accordé à des groupes autochtones pour appuyer des activités qui faciliteraient leur propre cheminement vers la reconstitution de leurs nations.
"
55,Horizontal Skills Review,Examen horizontal des compétences,grw,,,,
56,Implementing the 2030 Sustainable Development Agenda,Mise en œuvre du Programme de développement durable à l’horizon 2030,adv,,,,
57,Improving Access to the Canada Child Benefit and other Benefits,Améliorer l’accès à l’Allocation canadienne pour enfants et à d’autres prestations,grw,Improving-Access-to-the-Canada-Child-Benefit-and-Other-Benefits,Ameliorer-l-acces-a-l-Allocation-canadienne-pour-enfants-et-a-d-autres-prestations,"Indigenous Peoples, in particular those living in remote and northern communities, face distinct barriers when it comes to accessing federal benefits such as the Canada Child Benefit. To help Indigenous Peoples access the full range of federal social benefits, the Government will provide $17.3 million over three years, starting in 2018–19, to expand outreach efforts to Indigenous communities, and to conduct pilot outreach activities for urban Indigenous communities. ","Les peuples Autochtones, et plus particulièrement ceux qui vivent dans des régions éloignées et nordiques, sont confrontés à des obstacles distincts au moment d’avoir accès aux prestations fédérales comme l'Allocation canadienne pour enfants. Afin de les aider à accéder à la gamme complète de prestations sociales fédérales, le gouvernement fournira un financement de 17,3 millions de dollars sur trois ans, à compter de 2018-2019, pour élargir les efforts de sensibilisation adaptés aux communautés autochtones et pour déployer des activités de sensibilisation dans le cadre d’un projet pilote à l’intention des communautés autochtones urbaines."
