"RMCID","ParentID","Title_en","Description_en","PlannedSpending1718","PlannedSpending1819","PlannedSpending1920","PlannedFTE1718","PlannedFTE1819","PlannedFTE1920","ExpNoPlanSpend_EN","ExpSpendTrend_EN","ExpNoPlanFTE_EN","ExpFTETrend_EN","PlannedSpending1617","ActualSpending1617","Expl_Spending_en","PlannedFTE1617","ActualFTE1617","Expl_FTE_en"
"P1016-0003","CRTC-CAB00","Quality communication services","Through its regulatory frameworks, the CRTC will ensure that Canadians have a choice of quality communication service providers for telephone, internet access, wireless and broadcasting distribution services. The CRTC will monitor the broadband speeds and network practices of internet service providers to ensure that they meet the expectations of Canadians and are capable of providing Canadians with access to new and innovative services. The CRTC will review and update its regulatory decisions and provide alternative dispute resolution services to ensure all impediments to a competitive marketplace for the delivery of communication services are addressed. As well, the CRTC will continue to develop regulatory frameworks and coordinate the activities of industry groups to provide Canadians with disabilities access to communication services.",1218559.00,1218559.00,1218559.00,76.00,76.00,76.00,"","","","",1328518.00,341182.00,"The actual spending has been below the planned spending by $1.0M.  This decrease is attributable to a $0.5M reduction in salary expenditures, in part allocated to the sub-program Safety-Enhancing Communication Services.  The expenditure reduction of employee benefits plan (EBP) has been $0.3M due to the decrease in salary expenditures and a lower EBP rate at year-end, in comparison to the rate used at the planning stage.  Finally, operating and maintenance expenditures have decreased by $0.2M.",77.00,70.00,""
"P1016-0004","CRTC-CAB00","Affordable Communication Services","The CRTC seeks to ensure that Canadians are able to connect to telephone, internet access, wireless and broadcasting distribution services at rates that are affordable and provide value. The CRTC will assess tariffs provided by service providers, monitor developments in the Communications industry, monitor consumer complaints and provide information to consumers to ensure that Canadians can make informed choices between service providers who offer innovative and affordable packages of services.",1109152.00,1109152.00,1109152.00,71.00,71.00,71.00,"","","","",1213695.00,302558.00,"The actual spending has been below the planned spending by $0.9M.  This decrease is attributable to a $0.5M reduction in salary expenditures, in part allocated to the sub-program Safety-Enhancing Communication Services.  The expenditure reduction of employee benefits plan (EBP) has been $0.2M due to the decrease in salary expenditures and a lower EBP rate at year-end, in comparison to the rate used at the planning stage.  Finally, operating and maintenance expenditures have decreased by $0.2M.",71.00,63.00,"The actual full time equivalents (FTEs) were less than expected for a total of 8 FTEs. This reduction is attributable to a decrease in salary expenditures, to the benefit of the sub-program Safety-Enhancing Communication Services, and delays in staffing processes resulting in vacant positions over the course of the fiscal year."
"P1016-0007","CRTC-CPA00","Safety-enhancing communication services","The CRTC will ensure that the Canadian Communication system provides services that enhance the safety of Canadians. All Canadians will have access to emergency communication services, such as 911 services and public alerting systems. The CRTC will monitor the development of, and broadcaster participation in, the public alert system. In order to ensure that the 911 system remains up to date, the CRTC will review the regulatory framework for next generation 911 systems.",1073362.00,1073362.00,1073362.00,17.00,17.00,17.00,"","","","",1050903.00,1202401.00,"The actual spending has exceeded the planned spending by $0.2M.  This increase is mainly due to the reallocation of salary expenditures originally scheduled under the program Connection to the communication system following the review of the allocation between programs and sub-programs at the beginning of the fiscal year.",17.00,19.00,"The actual full time equivalents (FTEs) have exceeded initial forecasts by 2 FTEs. This increase is attributable to the reallocation of salary expenditures that had originally been scheduled under the program Connection to the communication system."
"P1016-0008","CRTC-CPA00","Unsolicited commercial communications","The CRTC will enhance the privacy and protection of Canadians by promoting compliance with and enforcement of its rules and regulations relating to unsolicited communications, including those related to the National Do Not Call List (DNCL) and Canada’s anti-spam legislation (CASL). In order to make Canadians more aware of the measures available to protect themselves from unsolicited communications, the CRTC will design public education and outreach activities for the DNCL and CASL. The CRTC will also develop domestic and international partnerships in order to facilitate enforcement activities related to the DNCL and CASL. The CRTC will investigate complaints and take appropriate enforcement actions for both the DNCL and CASL.",3964871.00,3964871.00,3964871.00,66.00,66.00,66.00,"","","","",4101102.00,4025430.00,"",66.00,64.00,""
"P1018-0051","ND-CQA00","Domestic and Continental Defence Operations","Domestic and Continental Defence Operations aim to deliver military power within Canada and across the North America in response to armed threats, or potential armed aggression, in order to protect Canadian sovereignty, uphold the values of Canadians, and defend the interests of the Government of Canada. Results are achieved through the employment of force elements, either independently or in concert with continental partners, that apply requisite military capabilities in the conduct of routine and contingency operations. Routine operations typically occur on an ongoing basis where as contingency operations may be planned for but occur only in response to a particular event or upon specific request from the Government of Canada to the MND in response to requests from provincial authorities, or from other federal departments or ministries. Therefore not all of the sub-sub-programs under this Program may contain significant operations every fiscal year. However, regardless of when and if they occur, the operations within this Program typically aim to maintain and/or restore domestic and continental security through the detection and monitoring of threats and, when necessary, military intervention. This Program is bound by several federal laws, regulations, policies, international conventions and bi-national agreements such as the North American Aerospace Defence agreement that facilitates co-ordination and shared responsibilities for the defence of the North American continent.",198782361.00,203478294.00,207201156.00,1873.00,1902.00,1906.00,"","","","",252899104.00,197517238.00,"",2314.00,1668.00,"Variances between planned and actual FTEs at the Sub- and Sub-Sub-Program levels are primarily due to a shift in activities across the Program Alignment Architecture."
"P1018-0052","ND-CQA00","International Combat Operations","International Combat Operations aim to achieve timely strategic effects in support of Canada’s national interests and in accordance with Canadian values, as directed by the Government of Canada through the delivery of military power outside of the domestic or continental setting, typically in response to armed threats or potential armed aggression. Results are achieved through the application of Defence capabilities, in concert with national and international partners, within the context of military operations across the globe. Typically the military operations under this program are conducted to enhance global peace and security, counter international terrorism, assist failing states, or defuse intra- and interstate conflicts that may threaten Canada’s national security interests. These operations are usually delivered in the context of: a United Nations (UN) resolution; Canada’s membership in the North Atlantic Treaty Organization (NATO); or other international agreements. Some of the operations conducted under this Program are considered routine while other operations occur on a contingency basis. Routine operations occur on an ongoing basis where as contingency operations may be planned for but occur only in response to a particular event or upon specific request from the Government of Canada. Therefore not all of the sub-programs under this Program may contain significant operations every fiscal year. This Program is bound by several federal laws, regulations, policies, and international conventions, agreements and laws, like the Law of Armed Conflicts, that pertain to the conduct military forces in armed conflict.",203851269.00,209812385.00,215886958.00,1781.00,1808.00,1811.00,"","","","",195451958.00,388733120.00,"",1209.00,1516.00,"Variances between planned and actual FTEs at the Sub- and Sub-Sub-Program levels are primarily due to a shift in activities across the Program Alignment Architecture."
"P1018-0053","ND-CQA00","Ongoing Centralized Operations and Operational Enablement","The Ongoing Centralized Operations and Operational Enablement Program ensures that programs delivering Defence Combat and Support Operations and delivering Defence Services and Contributions to Government have: clearly aligned operational objectives; a well-defined national command and communications structure; a balanced portfolio of resources and information; and access to the operational support capabilities, so that operations can be accomplished with an acceptable degree of risk. Results are achieved through the application of Defence capabilities that enable the delivery of strategic control, national command, diplomatic support, and provide operational support which includes the delivery of intelligence, surveillance and reconnaissance.",801975062.00,828912571.00,866676346.00,4109.00,4158.00,4163.00,"","","","",787267266.00,761703123.00,"",3276.00,3234.00,"Variances between planned and actual FTEs at the Sub- and Sub-Sub-Program levels are primarily due to a shift in activities across the Program Alignment Architecture."
"P1018-0054","ND-CQB00","Disaster Relief and Humanitarian Operations","Disaster Relief and Humanitarian Operations aim to assist populations in distress in order to establish, re-establish or enhance the human safety and well-being through the use of military operations. Results are achieved through this Program by the employment of force elements with the requisite capabilities to minimize suffering, assist in recovery operations, facilitate synergies with other responding bodies, and conduct related support functions during natural disaster events, non-combat evacuation events, humanitarian emergencies, and other perilous situations as directed by the Government of Canada. Operations in this Program are bound by a number of federal and provincial laws, regulations, orders-in-council, federal policies, and international agreements.",7775125.00,7918944.00,7970242.00,90.00,91.00,91.00,"","","","",17898969.00,8482972.00,"",188.00,69.00,""
"P1018-0055","ND-CQB00","Defence Services for Canadian Safety and Security","Defence Services for Canadian Safety and Security seeks to support Canadian Safety and Security initiatives across Canada through the delivery of force elements with the requisite capabilities to conduct military operations. Results are achieved by responding to a wide variety of threats to the safety and security of Canadians as part of a larger government-wide effort or a focused intervention. Examples of responses include providing support to major Canadian events, anti-terrorism and terrorism event response, Search and Rescue operations, operations performed in direct support of other Government Departments and Agencies, as well as, related partnership programs such as the National Search and Rescue Program Coordination and the Canadian Safety and Security Program. Significant operations may not occur in all subordinate program areas every fiscal year as Defence only performs support operations when tasked by the Government of Canada.",99423789.00,102540272.00,105942067.00,769.00,780.00,782.00,"","","","",97797905.00,112143461.00,"",678.00,727.00,"Variances between planned and actual FTEs at the Sub- and Sub-Sub-Program levels are primarily due to a shift in activities across the Program Alignment Architecture."
"P1018-0056","ND-CQB00","Military Heritage and Outreach","The Military Heritage and Outreach Program aims to instil in the Canadian public a sense of pride by sharing Canada’s military history and traditions, showcasing Canadian military expertise and values, and developing leadership and good citizenship in Canada’s youth. Results are accomplished through the delivery of military awareness events, historical preservation and communication services, and youth training opportunities. This Program also contributes to a cohesive culture within the Canadian Armed Forces and the Department of National Defence and helps to build and promote the Canadian identity. The Military Heritage and Outreach Program is directed to the Canadian Armed Forces, the Canadian public and the international community.",324593603.00,331898358.00,341290721.00,863.00,873.00,874.00,"","","","",207862048.00,291663854.00,"",819.00,694.00,""
"P1018-0057","ND-CQC00","Force Elements Readiness Sustainment","The Force Elements Readiness Sustainment Program aims to sustain the readiness state of force elements that have been assigned to roles that require them to be ready for operations. The force elements produced by the Canadian Armed Forces are organized into portfolios according to the land, aerospace, maritime and special forces environments in which they operate. There are also portfolios for force elements that operate jointly across these domains and force elements that provide common support functions. In each portfolio there are subsets of force elements that are in one of three states: assigned to roles that required them to be ready to respond to contingency operations; delivering Defence operations and services; or in a reduced state of readiness. This Program focuses on force elements in the first of these states. In some cases the existence of ready force elements can act as a deterrent against threats. Results are achieved through the provision of periodic training, exercises, validation activities, and related production services which ensure that force elements capabilities that have been assigned to roles in contingency operations do not degrade and that these force elements remain responsive to fulfill assigned roles when called upon. When contingency operations occur, and the force elements that reside within this Program are activated, their military capabilities are delivered via the Defence Combat and Support Operations Program or the Defence Services and Contributions to Government Program. Force elements participating in this program may be returned to Force Elements Integration Training Program for short periods. They may also be moved to the Force Elements Production Program once they have exceeded the amount of time for which they have been assigned to a contingency role.",1076989595.00,1103816303.00,1124432723.00,8320.00,8446.00,8461.00,"","","","",1159779945.00,1150978969.00,"",10911.00,9360.00,"Variances between planned and actual FTEs at the Sub- and Sub-Sub-Program levels are primarily due to a shift in activities across the Program Alignment Architecture"
"P1018-0058","ND-CQC00","Force Elements Integration Training","The Force Elements Integration Training Program produces force elements with enhanced levels of interoperability with other force elements so that they can operate together, to achieve the collective objectives of a larger formation. The force elements received by this Program are organized into portfolios according to the land, aerospace and maritime environments in which they operate. There are also portfolios for force elements that operate jointly across these domains like special operations and force elements that provide common support functions. Results are achieved through the execution of training events in which force elements within the same portfolio exercise together for the explicit purpose of enhancing interoperability. Results are also achieved through training events where the explicit focus is interoperability between force elements in different portfolios. These are considered joint training events. International (combined) training events focus on the interoperability of force elements produced in Canada with those of allied nations. After partaking in this Program, force elements typically attain new or improved abilities to deliver a broader range of military effects during a defence operation and therefore this Program enables them to enhance their state of readiness. If the level of readiness attained through this Program is sufficient, then individual force elements may be assigned to fulfill a contingency role or they may be employed to deliver Defence operations or Defence services already in progress. They may also be delivered back to the Defence Ready Force Element Production Program.",317548848.00,326617148.00,335816292.00,2041.00,2073.00,2076.00,"","","","",421969180.00,316967541.00,"",3878.00,2318.00,"Variances between planned and actual FTEs at the Sub- and Sub-Sub-Program levels are primarily due to a shift in activities across the Program Alignment Architecture."
"P1018-0059","ND-CQC00","Force Elements Production","The Force Elements Production Program aims to produce individual force elements with the ability to operate effectively as a cohesive unit, as per their design specification. The force elements produced by the Canadian Armed Forces are organized into portfolios according to the land, aerospace, maritime and special forces environments in which they operate. There are also portfolios for force elements that operate jointly across these environments and force elements that provide common support functions. This Program delivers results by assembling force elements from the fundamental elements of Defence capability (i.e., military personnel, materiel and information systems, information, and, in some cases, real property) and integrating them through various training and certification programs. Within this Program individual force elements attain a certain degree of readiness. If a sufficient level of readiness is attained, then individual force elements may be assigned to fulfill a contingency role or they may be directly employed to deliver Defence operations or Defence services that are already in progress. However, this Program does not necessarily provide individual force elements with the ability to operate effectively as part of a larger integrated formation. If the force elements produced by this Program require advanced levels of interoperability, then they may be assigned to take part in the Force Element Integration Training Program.",1482864299.00,1510267822.00,1526674694.00,14045.00,14228.00,14249.00,"","","","",1238913945.00,1525387550.00,"",9938.00,12675.00,"Variances between planned and actual FTEs at the Sub- and Sub-Sub-Program levels are primarily due to a shift in activities across the Program Alignment Architecture."
"P1018-0060","ND-CQC00","Operational Readiness Production, Coordination and Command and Control","The Operational Readiness Production Coordination and Command and Control Program aims to deliver the command and control structures that support the readiness and balance of Maritime, Land, Aerospace, Special Operations, and Joint and Common force elements. This is accomplished through the development of plans, distribution of resources, coordination of activities, and exercise of overarching control. This supports the programs that provide individual force elements and integrated Forces that are ready to be employed in Defence operations or deliver Defence services.",489232406.00,503152076.00,516640828.00,3623.00,3666.00,3669.00,"","","","",648364087.00,461720821.00,"",3759.00,2946.00,"Variances between planned and actual FTEs at the Sub- and Sub-Sub-Program levels are primarily due to a shift in activities across the Program Alignment Architecture."
"P1018-0061","ND-CQD00","Military Personnel and Organization Lifecycle","The Military Personnel and Organization Lifecycle Program seeks to enable the production of ready force elements and fulfill obligations of Defence Combat and Support Operations, Defence Services and Contributions to Government, and Defence Capability Development and Research through the provision of the military establishment, personnel, and personnel services. The Program also honours and recognizes the service and unique sacrifices of our military personnel, provides for a safe and secure workplace, and ensures the appropriate conduct of Defence military personnel. It ensures that personnel are available in the quantity, mix of occupations and with the requisite occupational skills that provides for an optimized military establishment that enables the readiness and employment of multi-purpose combat capable forces and other Defence services. The Program oversees the availability of Regular and Reserve Force personnel to fulfill the military establishment, and the delivery of services provided to the personnel, including recruitment services; transition and release services; professional development services, occupation training services; morale and well-being services; health care services; compensation and benefits services, honours and recognition services, security, protection, justice and safety services, and the planning and governance of the Program. The Program coordinates the execution of subordinate programs responsible for promoting a unified Defence culture and a safe and secure workplace and the planning and governance of the Program. The authority for this Program is derived from the National Defence Act.",3775901211.00,3886477047.00,3998788470.00,26927.00,27269.00,27307.00,"","","","",3737129401.00,3827898077.00,"",27575.00,27816.00,"Variances between planned and actual FTEs at the Sub- and Sub-Sub-Program levels are primarily due to a shift in activities across the Program Alignment Architecture."
"P1018-0062","ND-CQD00","Materiel Lifecycle","The Materiel Lifecycle Program aims to provide the defence materiel products and services required to ready Defence force elements and fulfill obligations of Defence Combat and Support Operations, Defence Services and Contributions to Government, and Defence Capability Development and Research activities. It ensures that defence materiel capability elements are available in the quantity, mix and condition that enables the production of ready force elements, the employment of multi-purpose combat capable forces, and Defence services. The Program oversees and delivers defence materiel, and the lifecycle management services provided to ensure the availability of defence materiel, including acquisition services, equipment upgrade and insertion services; divestment and disposal services; engineering, testing, production and maintenance services; inventory management and distribution services; investigation, assurance and certification services; and the planning and governance of the Program. The authority for this Program is derived from the National Defence Act.",6099226904.00,7436581859.00,6535067075.00,13176.00,13285.00,13299.00,"","","","",6019894981.00,5813521976.00,"",13646.00,12673.00,"Variances between planned and actual FTEs at the Sub- and Sub-Sub-Program levels are primarily due to a shift in activities across the Program Alignment Architecture."
"P1018-0063","ND-CQD00","Real Property Lifecycle","The Real Property Lifecycle Program provides the real property products and services required to ready Defence force elements and fulfill obligations of Defence Combat and Support Operations, Defence Services and Contributions to Government, and Defence Capability Development and Research activities. It ensures that defence real property capability elements are available in the quantity, mix and condition that enables the production of ready force elements, the employment of multi-purpose combat capable forces, and other Defence services. The Program oversees and delivers real property and the lifecycle management services to ensure the availability of real property, including acquisition and new capability construction services, recapitalization and betterment services, divestment and disposal services, operation, maintenance and repair services, navigation and traffic control services, environment and remediation services, and the planning and governance of the Program. The authority for this Program is derived from the National Defence Act.",2205744105.00,2081832910.00,2044013591.00,4795.00,4817.00,4820.00,"","","","",2230300542.00,2107627869.00,"",6369.00,5032.00,"Variances between planned and actual FTEs at the Sub- and Sub-Sub-Program levels are primarily due to a shift in activities across the Program Alignment Architecture."
"P1018-0064","ND-CQE00","Capability Design, Development and Integration","The Capability Design, Development and Integration Program provides focused expertise to develop and introduce new capabilities, develop new knowledge, integrate knowledge from internal and external sources, develop new concepts, innovate ways to provide competitive advantage to military operations, and enhance the effectiveness of Defence programs. Results from this Program are accomplished by: developing, demonstrating, testing and evaluating advanced systems and technologies and integrating these and other scientific research into Defence programs; identifying lessons from on-going and historical operations; producing new concepts and doctrine; designing and assessing alternative capabilities; providing planning, oversight and expertise for the introduction and divestment of capabilities; and developing analyses to enable evidence-based decisions concerning the selection and effective use of capabilities at strategic, operational and tactical levels. The products and services from this Program sustain Defence by directly enabling the Strategic Direction and Planning Support Program. They also enable aspects of the Defence Capability Elements Production Program, the Defence Ready Force Element Production Program, and the programs that deliver Defence Combat and Support Operations as well as Defence Services and Contributions to Government.",355713660.00,368780087.00,382062337.00,2281.00,2295.00,2296.00,"","","","",324935081.00,419786574.00,"",2126.00,1924.00,""
"P1018-0065","ND-CQE00","Strategic Direction and Planning Support","The Strategic Direction and Planning Support Program aims to identify the strategic demand for Defence capabilities and to enable strategic decisions and the development of strategic direction concerning the corresponding use of available resources to: apply and maintain existing capabilities; introduce new or modified capabilities; and divest of surplus capabilities with acceptable levels of risk across near- and long-term time horizons. In the near-term, a quantifiable relationship is established between Government and strategic direction, ongoing and contingency operations requirements and performance, defence roles, and readiness targets in order to align force element production resources. In the long-term, challenge areas that may require changes to the Defence capability and program portfolios are established. Results are achieved through monitoring, threat and security environment analysis, change requirement identification, trend synthesis, portfolio challenge identification, and portfolio alteration approach formulation and assessment. This Program sustains Defence by directly enabling the Defence Ready Force Element Production Program, the Defence Capability Element Production Program, the Defence Capability Development and Research Program, and the management and oversight of Defence as a whole.",39444636.00,40274707.00,33730999.00,167.00,170.00,170.00,"","","","",72679709.00,28475885.00,"",102.00,117.00,"Variances between planned and actual FTEs at the Sub- and Sub-Sub-Program levels are primarily due to a shift in activities across the Program Alignment Architecture."
"P1018-0066","ND-CQD00","Information Systems Lifecycle","The Information Systems Lifecycle Program seeks to ensure that the information systems infrastructure and applications are made available to the production ready force elements, capability development and research, and Defence services and to fulfill obligations of Defence Combat and Support Operations, Defence Services and Contributions to Government, and Defence Capability Development and Research activities. It ensures that the defence information systems infrastructure and applications capability elements are available in the quantity, mix and condition that enables the readiness and employment of multi-purpose combat capable forces and other Defence services. The Program oversees and delivers defence information systems infrastructure and applications, and the lifecycle management services provided to ensure the availability information systems and applications, including acquisition services, development and deployment services, system management and user support services, and the planning and governance of the Program. The authority for this Program is derived from the National Defence Act.",745787974.00,786871398.00,796833355.00,3155.00,3178.00,3181.00,"","","","",788272852.00,699715858.00,"",2927.00,2934.00,"Variances between planned and actual FTEs at the Sub- and Sub-Sub-Program levels are primarily due to a shift in activities across the Program Alignment Architecture."
"P1021-0001","VAC-BCX00","Public Recognition and Awareness","This program pays tribute to Canadian Veterans and those who died in service and raises awareness of their achievements and sacrifices. This includes organizing commemorative ceremonies and events, both in Canada and overseas, in collaboration with regional, national and international partners. This program also engages Canadians, most notably educators and youth, in remembrance through a suite of resources and initiatives that tell our country’s military history. In addition, first issue and replacement war service medals are provided to Veterans, and the Minister’s Commendation Award is presented to those who have demonstrated exemplary service to Veterans. This program is delivered through operating funds.",11744158.00,7338071.00,7357608.00,63.60,65.00,66.00,"","","","",12928967.00,16722348.00,"The variance is primarily a timing issue as funding approved in-year for the 2017 commemoration of major milestones of the First World War and Second World War was not included in 2016-17 Planned Spending.",65.00,60.70,""
"P1021-0002","VAC-BNC00","Disability Pension Benefits and Allowances","This program recognizes and compensates eligible Veterans as well as Canadian Armed Forces members who applied for a disability pension prior to April 1, 2006, survivors, dependants and, in certain circumstances, civilians for the effects of a service-related disability and/or death. Compensation is provided in the form of a monthly disability pension. The program also provides Clothing Allowance for the distinct effects that disabilities may have on clothing; Attendance Allowance for pensioners who are totally disabled, whether by reason of military service or not, and in need of attendance; Treatment Allowance for the period of time pensioners are hospitalized or receiving outpatient care for a pensioned condition to temporarily compensate at a 100% pension rate for that period of time; and, Educational Assistance of up to four years or 36 academic months for the cost of university, college or trade courses to eligible dependent children of pensioners who died as the result of military service or were pensioned at the 48% rate or greater at the time of death. This program uses funding from the following transfer payments: Pensions for Disability and Death; Payments under the Flying Accidents Compensation Regulations; Payments of Gallantry Awards; and, Treatment Allowances.",1315660369.00,1308884481.00,1305560802.00,296.30,286.50,288.30,"","","","",1398130759.00,1360056679.00,"",276.00,274.20,""
"P1021-0003","VAC-BNC00","Disability Awards, Critical Injury and Death Benefits","The program recognizes and compensates eligible Canadian Armed Forces (CAF) Veterans and members, and in some cases surviving spouses/common-law partners and surviving dependent children, for the non-economic effects of service-related disability, death, detention and/or the immediate consequences of a sudden, single incident on or after April 1, 2006. Compensation is provided in the form of a lump sum Critical Injury Benefit and a lump sum Disability Award with options for the Disability Award to be paid in annual payment(s) or a combination of annual payments and lump sum. This program also compensates those in receipt of a Disability Award for the effects that disabilities may have on clothing. This program uses funding from the following transfer payment: Disability Awards and Allowances and Critical Injury Benefit.",1538095849.00,709354917.00,701805111.00,476.90,461.20,464.00,"","","","",743626520.00,748282531.00,"",451.00,441.40,""
"P1021-0004","VAC-BND00","Earnings Loss Benefit","This program provides income replacement to respond to the economic impact a military career-ending or service-connected health problem may have on a Veteran’s ability to earn income following release from the Canadian Armed Forces. To meet their basic needs, eligible Veterans participating in the Veterans Affairs Canada’s rehabilitation program are provided, post military release, with temporary income replacement in the form of a monthly payment so that their income does not fall below 90% of their gross pre-release military salary. Where a Veteran who had been participating in the rehabilitation program is not able to participate in suitable gainful employment (due to health problems), the income replacement continues until the Veteran reaches the age of 65. This benefit can also be paid to the survivors and/or orphans of a Veteran who dies as a result of a service-related injury or disease until the Veteran would have reached the age of 65 years. This program uses funding from the following transfer payment: Earnings Loss and Supplementary Retirement Benefit.",426962844.00,374400210.00,384276471.00,43.40,41.90,42.20,"","","","",196511801.00,273600241.00,"On October 1st 2017, the Earnings Loss Benefit increased from 75% to 90% of a Veteran’s pre-release salary; this funding was not included in the planned spending figures at the start of the fiscal year. The 2016–17 Planned Spending amounts are based on forecasts completed in 2015 as per the 2016–17 RPP, and not the updated 2016 forecasts, which included Budget 2016 funding to support Canada's Veterans and their families.",26.00,36.10,"Additional resources were hired as a result of program improvements including increasing the financial benefits in the Earnings Loss Program. These resources were required to implement the changes, complete calculations and process payments to Veterans."
"P1021-0005","VAC-BND00","Canadian Forces Income Support Benefit","This program ensures that eligible Veterans have a minimum level of family income to meet basic needs while they are engaged in job search activities. This is achieved through a temporary monthly payment which supports low income Canadian Armed Force Veterans who have completed Veterans Affairs Canada’s rehabilitation program but have not yet obtained employment. Program recipients must continue to meet the income test to maintain eligibility for this benefit and some must demonstrate that they continue to seek employment. This program is also available to survivors and/or orphans of Veterans in certain circumstances. This program uses funding from the following transfer payment: Canadian Forces Income Support Allowance.",1775100.00,1648563.00,1632040.00,1.10,1.10,1.10,"","","","",1309590.00,1204933.00,"",1.00,0.90,""
"P1021-0007","VAC-BND00","Career Impact Allowance","This program recognizes the impact on employment potential and career advancement caused by severe and permanent service-related disabilities. A monthly allowance is payable to Canadian Armed Forces Veterans who received a disability benefit for health conditions that are creating a permanent and severe impairment and for which rehabilitation services and vocational assistance program eligibility have been approved. The allowance is payable at an increased amount to Veterans not capable of suitable gainful employment (due to eligible health problems).This program uses funding from the following transfer payment: Earnings Loss and Supplementary Retirement Benefit.",131277465.00,112545546.00,115097641.00,36.90,35.70,35.90,"","","","",69944376.00,82859063.00,"This variance is primarily a timing issue as additional funding was received in-year for Permanent Impairment Allowance, which is funded under quasi-statutory authority based on actual demand. The 2016–17 Planned Spending amounts are based on forecasts completed in 2015 as per the 2016–17 RPP, and not the updated 2016 forecasts completed in fall 2016.",27.00,30.70,"Additional resources were hired as a result of program improvements including improved access to the PIA program. These resources were required to implement the changes, complete assessments, calculations, and to process payments to Veterans."
"P1021-0008","VAC-BND00","War Veterans Allowance","This program provides financial assistance to eligible Veterans, Merchant Navy Veterans, qualified civilians and their survivors, dependents and orphans. In recognition of war service, qualified persons are provided with a regular, monthly income to meet basic needs and/or access to other Veterans Affairs Canada programs. Eligibility for War Veterans Allowance (WVA) is determined by the wartime service of a Veteran or qualified civilian, age or health, family income and residency. A surviving spouse, a surviving common-law partner or orphan may also qualify for a WVA. Recipients may also be eligible to receive financial assistance for emergencies or unexpected contingencies through the Assistance Fund. This program uses funding from the following transfer payments: War Veterans Allowances and Civilian War Allowances, Assistance in accordance with the provisions of the Assistance Fund Regulations, Assistance to Canadian Veterans - Overseas District, Veterans Insurance Actuarial Liability Adjustment (statutory), Returned Soldiers Insurance Actuarial Liability Adjustment (statutory), Repayments under Section 15 of the War Service Grants Act (statutory) and Re-Establishment Credits under Section 8 of the War Service Grants Act (statutory).",7646806.00,7066012.00,6978770.00,5.90,5.70,5.70,"","","","",7879517.00,7328437.00,"",5.00,4.90,""
"P1021-0009","VAC-BBX00","Intermediate and Long Term Care","This program supports eligible Veterans and other individuals who require nursing home type care to meet their needs. The program works in cooperation with provincial agencies and long term care facilities to support eligible Veterans and other individuals in an appropriate long term care setting. This program is delivered through operating funds and from the following transfer payment: Contributions to Veterans, under the Veterans Independence Program.",275032265.00,257785440.00,249151838.00,131.40,127.10,127.80,"","","","",269155775.00,263256231.00,"",105.00,120.70,"An increase of over 113 FTEs in Health Care Program and Re-establishment Services, has resulted in additional resources being dedicated across VAC's sub programs including Intermediate and Long Term Care. This increase would be related primarily to front line resources such as Case Managers and Veteran Service Agents."
"P1021-0010","VAC-BBX00","Ste. Anne’s Hospital","Ste. Anne’s Hospital supports eligible Veterans, Canadian Armed Forces members and civilians so that their physical, mental and social needs are met. The Hospital provides high quality long term and respite care services as well as a vast range of programs to eligible Veterans and civilians. Through its Day Centre, it is able to offer support services to those still residing in their communities and through the Ste. Anne’s Centre, it provides mental health services to Veterans and Canadian Armed Forces members. This program is delivered through operating funds.",".",".",".",".",".",".","","","","",35801600.00,68527414.00,"The 2016-17 Planned Spending did not include funding approved in-year required for the transfer of Ste-Anne's Hospital to the Province of Quebec.",0.00,0.00,""
"P1021-0011","VAC-BBX00","Health Care Benefits","This program provides eligible Veterans, certain Reserve Force personnel, civilians and other individuals with access to appropriate treatment benefits for their health needs. Treatment benefits include medical, surgical or dental examinations or treatment; surgical or prosthetic devices and aids and their maintenance; home adaptations to accommodate the use of devices or aids; preventive health care; pharmaceuticals; and travel and other expenses incurred to access these benefits. This program is delivered through operating funds.",450393594.00,399193584.00,389547341.00,430.10,415.90,418.40,"","","","",382960400.00,423755188.00,"This variance is primarily a timing issue as additional funding was received in-year for Health Care Benefits, which are funded under quasi-statutory authority, based on actual demand. The 2016–17 Planned Spending amounts are based on forecasts completed in 2015 as per the 2016–17 RPP, and not the updated 2016 forecasts completed in fall 2016.",369.00,395.10,""
"P1021-0012","VAC-BBX00","Rehabilitation Services","This program provides Veterans with military career ending or service connected health problems with funding, post military release, to ensure timely access to the rehabilitation or vocational assistance services needed to improve their functional capacity, their employability, and reduce barriers to re-establishment in civilian life. Through this program, Veterans and their families have access to health insurance through the Public Service Health Care Plan (PSHCP), if they are not otherwise eligible. In addition, a broad group of Veterans are eligible for funding for career transition services. In certain circumstances, survivors or spouses/common-law partners may be eligible for these services This program is delivered through operating funds and through funding from the following transfer payment: Career Transition Services.",78444228.00,73342394.00,65871425.00,368.40,356.10,358.30,"","","","",63007137.00,67709653.00,"",285.00,338.40,"An increase of over 113 FTEs in Health Care Program and Re-establishment Services, has resulted in additional resources being dedicated across VAC's sub programs including Rehabilitation Services. This increase would be related primarily to front line resources such as Case Managers and Veteran Service Agents."
