year,standard,standard_comment_en,standard_comment_fr,lower,upper,met_count,count,is_target_met
2022,1504,,,90.0,100,1320,2810,0
2018,1504,,,100.0,100,1,1,1
2020,1504,Unspecified,Non spécifié,100.0,100,1861,2546,0
2021,1504,"For FY 2021-2022: 79,85%","Pour l'année fiscale 2021-2022: 79,85%",90.0,100,1325,1903,0
2018,1505,,,100.0,100,2,3,0
2018,1506,,,100.0,100,2,4,0
2018,1507,,,100.0,100,5,6,0
2018,1508,,,90.0,100,8,8,1
2018,1509,,,98.0,100,123750,125000,1
2019,1509,,,98.0,100,67320,68000,1
2020,1509,,,90.0,100,6570,7300,1
2021,1509,,,90.0,100,0,0,0
2018,1511,,,90.0,100,324,334,1
2020,1511,The majority of stockshots are delivered digitally via Media Shuttle ou Wetransfer. Some are sent by postal mail,La majorité des archives sont livrées de façon numérique via Media Shuttle ou Wetransfer. Certains envois sont faits par la poste.,90.0,100,236,262,1
2021,1511,,,90.0,100,0,0,0
2018,1512,"Applications were sent by email. At present, we do not have a centralized electronic system for receiving and tracking applications, so this number represents an estimate based on our existing records from 2018-2019.","Les demandes ont été envoyées par courrier électronique. À l'heure actuelle, nous ne disposons pas d'un système électronique centralisé pour recevoir et suivre les demandes. Ce nombre représente donc une estimation basée sur nos enregistrements existants de 2018-2019",90.0,100,51,53,1
2018,1513,"Applications were sent by email. At present, we do not have a centralized electronic system for receiving and tracking applications, so this number represents an estimate based on our existing records from 2018-2019.","Les demandes ont été envoyées par courrier électronique. À l'heure actuelle, nous ne disposons pas d'un système électronique centralisé pour recevoir et suivre les demandes. Ce nombre représente donc une estimation basée sur nos enregistrements existants de 2018-2019",90.0,100,51,53,1
2018,1514,"Applications were sent by email. At present, we do not have a centralized electronic system for receiving and tracking applications, so this number represents an estimate based on our existing records from 2018-2019.","Les demandes ont été envoyées par courrier électronique. À l'heure actuelle, nous ne disposons pas d'un système électronique centralisé pour recevoir et suivre les demandes. Ce nombre représente donc une estimation basée sur nos enregistrements existants de 2018-2019",90.0,100,51,53,1
2018,1515,"Applications were sent by email. At present, we do not have a centralized electronic system for receiving and tracking applications, so this number represents an estimate based on our existing records from 2018-2019.","Les demandes ont été envoyées par courrier électronique. À l'heure actuelle, nous ne disposons pas d'un système électronique centralisé pour recevoir et suivre les demandes. Ce nombre représente donc une estimation basée sur nos enregistrements existants de 2018-2019",90.0,100,51,53,1
2022,1516,Data not currently collected,Données non collectées actuellement,80.0,100,0,0,0
2020,1516,"This data is currently not tracked, but we estimate that less than 1% would not meet the standard.","Ces données ne sont présentement pas suivi, mais nous estimons que moins de 1% ne répondrait pas à la norme.",80.0,100,0,0,0
2021,1516,,,80.0,100,28,28,1
2020,1519,The 2019 IAEP was a Department of Fisheries and Oceans program and was co-delivered by Employment and Social Development Canada.,Le Programme d'urgence d'aide à la lutte contre les glaces de 2019 était un programme du ministère des Pêches et des Océans et était co-délivré par Emploi et Développement social Canada.,80.0,100,249,249,1
2018,1521,,,90.0,100,0,732,0
2018,1522,,,90.0,100,0,732,0
2022,1523,,,90.0,100,0,0,0
2020,1523,,,90.0,100,40,40,1
2021,1523,,,90.0,100,53,53,1
2022,1526,,,80.0,100,0,0,0
2018,1526,,,100.0,100,240000,240000,1
2020,1526,"This data is currently not tracked, but we estimate that less than 1% would not meet the standard","Ces données ne sont présentement pas suivi, mais nous estimons que moins de 1% ne répondrait pas à la norme.",80.0,100,0,0,0
2021,1526,,,80.0,100,20,20,1
2018,1527,,,90.0,100,8,8,1
2018,1528,,,90.0,100,6,8,0
2022,1529,As published in the 21-22 ATIP Annual Report,Conformément au rapport annuel 21-22 de l'AIPRP.,90.0,100,263,269,1
2018,1529,,,90.0,100,5,7,0
2020,1529,No standard has been established for the business volume.,Aucune norme n'a été établie pour le volume d'activités annuelles.,100.0,100,0,0,0
2021,1529,As published in the 21-22 ATIP Annual Report,Conformément au rapport annuel 21-22 de l'AIPRP.,90.0,100,88,240,0
2019,1530,,,90.0,100,4,6,0
2018,1530,,,90.0,100,2,2,1
2022,1531,,,95.0,100,517,517,1
2020,1531,,,95.0,100,205,205,1
2021,1531,,,95.0,100,491,491,1
2018,1532,,,90.0,100,2,2,1
2019,1533,,,90.0,100,6,6,1
2018,1533,,,90.0,100,0,2,0
2020,1533,,,90.0,100,325,325,1
2021,1533,100% of CanNor's Expression of Interests received acknowledgement within ten (10) business days of receipt.,100 % des déclarations d'intérêt de CanNor ont reçu un accusé de réception dans les dix (10) jours ouvrables suivant leur réception.,90.0,100,422,422,1
2020,1534,The business volume satisfying the standard is MUCH Higher than normal as it includes the RRRF/NBRF applications which were deemed complete upon receipt and therefore received email acknowledgements from CanNor intake on the same day as received. 99% received acknowledgement by email within (10 business days) of receipt of signed application.,"Le volume d'affaires satisfaisant à la norme est BEAUCOUP plus élevé que la normale, car il comprend les demandes de FRRR/NBRF qui ont été jugées complètes dès leur réception et ont donc reçu un accusé de réception par courriel de CanNor le jour même de leur réception. 99 % ont reçu un accusé de réception par courriel dans les (10 jours ouvrables) suivant la réception de la demande signée.",90.0,100,677,679,1
2021,1534,95% of Applications submitted received acknowledgment within 10 business days of receipt.,95 % des demandes soumises ont reçu un accusé de réception dans les 10 jours ouvrables suivant leur réception.,90.0,100,171,180,1
2018,1535,,,100.0,100,147,150,0
2020,1535,"The business volume satisfying the standard is MUCH higher than normal as it include RRRF/NBRF applications which were approved through the DAR by the President.  Average was 27 business days to approval, 7 projects took longer than 90 business days which were sent to MinO for approval.","Le volume d'affaires satisfaisant à la norme est BEAUCOUP plus élevé que la normale, car il comprend des demandes de FRR et de FRBR qui ont été approuvées par le président par le biais du DAR.  La moyenne est de 27 jours ouvrables pour l'approbation, 7 projets ont pris plus de 90 jours ouvrables et ont été envoyés au MinO pour approbation.",90.0,100,667,674,1
2021,1535,CanNor rendered a decision within ninety days for 86% of applications that were received as signed and complete.,CanNor a rendu une décision dans un délai de quatre-vingt-dix jours pour 86 % des demandes qui ont été reçues signées et complètes.,90.0,100,156,180,0
2020,1537,Total number includes requests carried over from the previous reporting period,Le nombre total comprend les demandes reportées de la période précédente.,100.0,100,13,21,0
2021,1537,,,100.0,100,13,13,1
2022,1539,,,75.0,100,368539,564197,0
2020,1539,,,75.0,100,342497,735645,0
2021,1539,,,75.0,100,487694,866241,0
2022,1541,"The % is based on the general concept of ""medium"" system availability, rather than on a transaction by transaction basis. Library services does not log-down time in detail. Business volume is measured as website hits measured through Google analytics.","La proportion de  % repose sur le concept général d’une disponibilité « moyenne » du système, plutôt que sur la base des transactions individuelles. Les services de bibliothèque ne consignent pas en détail les données concernant les délais. Le volume d'activité est mesuré par le nombre de visites de sites Web mesuré à l'aide de Google Analytics.",99.0,100,68334,69024,1
2020,1541,"The 99% is based on the general concept of medium system availability, rather than on a transaction by transaction basis. Library services does not log-down time in detail. Business volume is measured as website hits measured through Google analytics.","La proportion de 99 % repose sur le concept général d’une disponibilité « moyenne » du système, plutôt que sur la base des transactions individuelles. Les services de bibliothèque ne consignent pas en détail les données concernant les délais. Le volume d'activité est mesuré par le nombre de visites de sites Web mesuré à l'aide de Google Analytics.",99.0,100,116672,117851,1
2021,1541,"The 99% is based on the general concept of ""medium"" system availability, rather than on a transaction by transaction basis. Library services does not log-down time in detail. Business volume is measured as website hits measured through Google analytics.","La proportion de 99 % repose sur le concept général d’une disponibilité « moyenne » du système, plutôt que sur la base des transactions individuelles. Les services de bibliothèque ne consignent pas en détail les données concernant les délais. Le volume d'activité est mesuré par le nombre de visites de sites Web mesuré à l'aide de Google Analytics.",99.0,100,97135,97135,1
2022,1542,,,95.0,100,778,781,1
2020,1542,,,95.0,100,126,126,1
2021,1542,,,95.0,100,404,404,1
2022,1543,,,95.0,100,787,787,1
2020,1543,,,95.0,100,331,331,1
2018,1543,"Planned of aid reviews are done by each region/sector annually based on resources and operational capabilities. The completed review numbers are accurate and inclusive of all regions.  
The statistic in column L does not include the planned numbers for the Great Lakes sector or St. Lawrence sector. These two sectors did not plan aids due to staff shortages. However, the Great Lakes sector and St. Lawrence sector did record the number of reviews completed. So the completed number (column M) will be proportionally higher than the planned numbers (column L) due to the missing planned data from the two sectors. 

'Other' Channel: Service is provided through the provision of reviewed aids to navigation systems for use by the public. Lawrence sector did record the number of reviews completed. So the completed number (column M) will be proportionally higher than the planned numbers (column L) due to the missing planned data from the two sectors.","La planification des examens de l'aide est effectuée chaque année par chaque région / secteur en fonction des ressources et des capacités opérationnelles attendues. Les chiffres de la revue complétée (colonne M) sont exacts et incluent toutes les régions. La statistique de la colonne L n'inclut pas les chiffres prévus pour le secteur des Grands Lacs ou le secteur du Saint-Laurent. Ces deux secteurs n’ont pas prévu d’examens de l’aide en raison de contraintes opérationnelles. Cependant, les secteurs des Grands Lacs et du Saint-Laurent ont enregistré le nombre de révisions effectuées. Ainsi, le nombre complété (colonne M) sera proportionnellement plus élevé que le nombre prévu (colonne L) en raison des données planifiées manquantes des deux secteurs. A déjà été expliqué lors des rapports de fin d'année.

Canal «Autre»:  Le service est fourni par la fourniture de systèmes révisés d’aides à la navigation destinés au public",100.0,100,1830,2382,0
2021,1543,,,95.0,100,118,118,1
2022,1544,Total Annual Business Volume and Annual Business Volume Satisfying Standard are the total sum of FSLN Partners and Public (External) requests.,Le volume total annuel des activités et le volume annuel des activités qui ont respecté la norme de service sont la somme totale des demandes des partenaires du RBSF et du public (demandes externes).,100.0,100,692,692,1
2020,1544,"The service is standard is administered through the following channels: 
•Telephone 
•In-person
•Email","La norme de service est administrée par les voies suivantes :
• au téléphone; 
• en personne;
• courriel.",100.0,100,522,522,1
2021,1544,,,100.0,100,733,733,1
2022,1549,"All orders that were placed in Fiscal Year 2023 were shipped the next day. Delays may occur  when finance needs to process the credit card  and places a block on the order which sometimes will take up to 2 weeks to unblock. Such instances have not been tracked, but are uncommon.","Toutes les commandes passées au cours de l’exercice 2023 ont été expédiées le jour suivant. Des retards peuvent survenir lorsque les services financiers doivent traiter la carte de crédit et bloquent la commande, qui peut parfois prendre jusqu’à deux semaines pour être débloquée. Ces cas n’ont pas fait l’objet d’un suivi, mais sont peu fréquents.",95.0,100,3883,3883,1
2020,1549,"The service was completed within 14 days 94% of the time.  FY 20-21 saw two downtime periods where the print shop was not able to distribute print copies of the codes due to COVID lockdown in Ontario. Lower volume of satisfying standard reflects this.

In a normal year, we reach a 97% volume of satisfying standard. The 3% can be due to out of stock issues or delivery delays or complications. For that reason, the estimated time of delivery communicated to clients is 4 to 6 weeks.","Dans 94 % des cas, le service a été assuré dans une période de 14 jours. À deux reprises en 2020-2021, l’imprimerie a dû interrompre ses activités et n’a pu distribuer les exemplaires papier des codes en raison de la COVID-19 qui a amené les autorités de l’Ontario à décréter une période de confinement dans la province. La baisse de l’indicateur reflétant le respect de la norme de service est attribuable à cette situation.

Au cours d’une année normale, 97 % des commandes reçues sont traitées dans le délai prévu par la norme; l’écart de 3 % est attribuable à l’insuffisance des stocks ou à des retards de livraison. Pour cette raison, le délai de livraison indiqué aux clients est de 4 à 6 semaines.",100.0,100,8093,8610,0
2021,1549,The service was completed within 14 days 89% of the time.  FY 21-22 saw COVID lockdown periods in Ontario forcing printshop staff to limit their presence on-site and alternate shifts. Lower volume of satisfying standard reflects this.,"Le service a été rendu dans un délai de 14 jours dans 89 % des cas. Des réductions de service ont eu lieu pendant l'EF 21-22 en raison des prériodes de confinement en Ontario en lien avec la COVID, pendant lesquelles le personnel des services d'impression ont dû limiter leur présence sur le campus et adopter des quarts de travail rotatifs. Le plus faible volume de satisfaction de la norme découle de ces interruptions.",95.0,100,15183,17002,0
2020,1550,"Regarding the 2h delay for granting access to electronic versions of our publications:

Up until Sept. 2019, the delay was 24-48h due to the billing process not being automated. This issue was resolved and we were then able to provide access to the electronic versions within two hours, most of the time. This change required another level of detail in our reports to be able to provide the volume of satisfying standard, which we did not develop because we were planning to move all the electronic versions of the Codes and Guides to NPARC (as of April 2021). This removes the need for a 2h service standard, as codes users now have instant access to a downloadable PDF of the codes and guides. This is a service improvement was initiated in 20-21 and was completed in April 2021.","Concernant le délai de deux heures pour donner accès aux versions électroniques de nos publications :

Jusqu’en septembre 2019, le délai était de 24 h à 48 h, parce que le processus de facturation n’était pas automatisé. Le problème a été corrigé et nous sommes maintenant en mesure de donner accès aux publications dans un délai de deux heures dans la plupart des cas. Ce changement nécessitait l’ajout d’un indicateur dans nos rapports pour refléter la proportion des commandes qui respectaient la norme. Or, comme il était prévu que les versions électroniques des codes et des guides seraient versées aux Archives (NPArC) en avril 2021, cet indicateur n’a pas été créé. La norme de service de deux heures n’est donc plus fondée, les utilisateurs pouvant désormais télécharger instantanément les versions PDF des publications. Cette bonification du service commencée en 2020-2021 s’est terminée en avril 2021.",100.0,100,0,76712,0
2022,1551,,,100.0,100,742096,742096,1
2020,1551,"Canadian official time is disseminated to the public via multiple routes: short wave radio broadcast, Network Time Protocol service, telephone talking clock and other.","Le signal horaire officiel du Canada est diffusé au public par plusieurs moyens : par service sur ondes courtes, par le service NTP, par l’horloge parlante téléphonique et d’autres encore.",100.0,100,1,1,1
2021,1551,,,100.0,100,990000,990000,1
2018,1553,The Service Standards provided are from the 2010 Levels of Service.  The Service Standards are currently under review.,les normes de service fournies sont celles des niveaux de service de 2010. les normes de service sont en cours de révision,99.0,100,3043,3100,0
2022,1555,"CLAS provides ongoing services such as on-site visits and measurement audits to 40 laboratories to maintain their accreditation. In 2022-23, it completed 23 assessments for 23 laboratories and provided the final results within 1 week","Le CLAS fournit des services continus tels que des visites sur site et des vérifications des mesures à 40 laboratoires pour maintenir leur accréditation. En 2022-23, il a réalisé 23 évaluations pour 23 laboratoires et a fourni les résultats finaux dans un délai d’une semaine.",100.0,100,23,23,1
2020,1555,"Performance targets are dependent on the client successfully implementing the accreditation requirements. For the 40 laboratories accredited, 18 remote assessments were completed in 2020-21; 2 laboratories voluntarily withdrew from the program.","Les cibles de rendement sont subordonnées à la capacité des clients de mettre en œuvre les exigences d’accréditation. En 2020-2021, 18 des 40 laboratoires accrédités ont fait l’objet d’une évaluation à distance, et 2 se sont désistés du programme.",100.0,100,18,18,1
2021,1555,,,100.0,100,38,38,1
2022,1557,"1,323 orders submitted and processed. 9,716 individual CRMs sold. Service standard tracking has been suspended until a new eCommerce system has been implemented.",1 323 commandes soumises et traitées. 9 716 produits distincts vendus. Le suivi des normes de service a été suspendu jusqu’à la mise en place d’un nouveau système de commerce électronique.,90.0,100,0,1323,0
2020,1557,"1,045 total number of CRM orders submitted and processed. 10,093 individual CRMs sold. Processing times were not tracked due to COVID impacts & delays while adhering to safety protocols.","En tout, 1 045 commandes ont été reçues et traitées; 10 093 produits distincts ont été vendus. En raison des répercussions de la COVID et des retards causés par les protocoles sanitaires à respecter, les données sur les temps de traitement n’ont pas été consignées.",90.0,100,0,1045,0
2021,1557,"1,344 orders submitted and processed. 9,747 individual CRMs sold. Service standard tracking had been suspended for the 2021-22 during the pandemic due to staffing and on-site restrictions","En tout, 1 344 commandes ont été reçues et traitées. 9 747 produits distincts ont été vendus. Le suivi des normes de service avait été suspendu en 2021-2022 pendant la pandémie, en raison des restrictions sur les lieux et touchant le personnel.",90.0,100,0,1344,0
2018,1559,The Service Standards provided are from the 2010 Levels of Service.  The Service Standards are currently under review.,les normes de service fournies sont celles des niveaux de service de 2010. les normes de service sont en cours de révision,99.0,100,3043,3100,0
2020,1564,"Data presently not tracked for this service. As a result, there is also no benchmark satisfaction standard.","Données présentement non suivies pour ce service. De ce fait, il n'y a aucun standard de satisfaction d'établi.",100.0,100,0,0,0
2022,1565,Client enquiries received via Microdata Access Portal and e-mail,Les demandes des clients sont par le Portail d'accès aux microdonnées et courriels.,80.0,100,288,330,1
2020,1565,"Data presently not tracked for this service. As a result, there is also no benchmark satisfaction standard.","Données présentement non suivies pour ce service. De ce fait, il n'y a aucun standard de satisfaction d'établi.",100.0,100,0,0,0
2021,1565,Client enquiries received via Microdata Access Portal and e-mail,Les demandes des clients sont par le Portail d'accès aux microdonnées et courriels.,80.0,100,334,369,1
2022,1566,Performance was negatively impacted by technical issues.,Les performances ont été affectées négativement par des problèmes techniques.,90.0,100,2607,3500,0
2020,1566,,,90.0,100,3858,4317,0
2021,1566,Performance on this standard was negatively impacted by limited resources.,La performance de cette norme a été affectée négativement par des ressources limitées.,90.0,100,4336,5096,0
2022,1567,,,95.0,100,3322,3331,1
2020,1567,Performance on this standard was negatively impacted by process changes implemented to respond to the public health restrictions as a result of the COVID-19 pandemic.,Les performances relatives à cette norme ont été affectées par les changements de processus mis en œuvre pour répondre aux restrictions de santé publique résultant de la pandémie de COVID-19.,95.0,100,1285,3631,0
2021,1567,Performance on this standard was negatively impacted by process changes,Les performances relatives à cette norme ont été affectées par les changements de processus,95.0,100,3611,3890,0
2018,1568,,,90.0,100,39,39,1
2022,1569,,,90.0,100,181,182,1
2020,1569,,,90.0,100,233,259,1
2018,1569,,,100.0,100,39,39,1
2021,1569,,,90.0,100,294,298,1
2022,1570,,,90.0,100,180,181,1
2020,1570,,,90.0,100,261,267,1
2021,1570,,,90.0,100,296,302,1
2022,1571,,,90.0,100,850,855,1
2020,1571,,,90.0,100,775,909,0
2021,1571,,,90.0,100,881,891,1
2022,1577,"Claims office operations were significantly restricted during April-May 2020 due to business continuity impacts caused by the Covid-19 pandemic. 35% of total annual claims were received April-May, resulting in the annual data being skewed. Discounting that period, the service standard target of 80% was met.","En avril et mai 2020, la pandémie de COVID-19 a grandement limité la conduite des activités du Bureau des réclamations. Sur toutes les demandes reçues au cours de l’année, 35 % l’ont été en avril et mai, ce qui a faussé les données annuelles. Si l’on ne tient pas compte de cette période, l’objectif de 80 % en matière de norme de service a été atteint.",90.0,100,15749,15779,1
2020,1577,"Claims office operations were significantly restricted during April-May 2020 due to business continuity impacts caused by the Covid-19 pandemic. 35% of total annual claims were received April-May, resulting in the annual data being skewed. Discounting that period, the service standard target of 80% was met.","En avril et mai 2020, la pandémie de COVID-19 a grandement limité la conduite des activités du Bureau des réclamations. Sur toutes les demandes reçues au cours de l’année, 35 % l’ont été en avril et mai, ce qui a faussé les données annuelles. Si l’on ne tient pas compte de cette période, l’objectif de 80 % en matière de norme de service a été atteint.",80.0,100,1192,2216,0
2021,1577,,,90.0,100,15749,15779,1
2022,1578,,,80.0,100,7855,7949,1
2020,1578,,,80.0,100,167,188,1
2021,1578,,,80.0,100,7855,7949,1
2022,1579,,,80.0,100,650,683,1
2020,1579,,,80.0,100,251,273,1
2021,1579,,,80.0,100,650,683,1
2018,1590,,,100.0,100,48,48,1
2018,1591,,,80.0,100,846,855,1
2018,1594,Processed two applications in 126 days rather than 120 day. Service guidline; not service standard,Traitement de deux applications en 126 jours au lieu de 120 jours. Directive de service; pas de service standard,90.0,100,8,10,0
2018,1595,,,90.0,100,50,50,1
2018,1596,,,90.0,100,35,35,1
2022,1599,,,,100,0,0,0
2020,1599,"Of the 486 requests completed this fiscal year, 354 (72.8%) were closed on time, a decrease from
2019-2020’s 78.0%, owing in large part to the measures put in place to contain the COVID-19
virus and keep people safe.","Sur les 486 demandes traitées au cours de l’exercice, 354 (72,8 %) ont été complétées à temps,
ce qui représente une diminution par rapport au taux de 78,0 % de 2019-2020, laquelle est due en
grande partie aux mesures mises en place pour contenir le virus de la COVID-19 et pour assurer
la sécurité des personnes.",80.0,100,354,486,0
2021,1599,,,80.0,100,0,0,0
2018,1600,"Data presently not tracked for this service. As a result, there is also no benchmark satisfaction standard.","Données présentement non suivies pour ce service. De ce fait, il n'y a aucun standard de satisfaction d'établi.",100.0,100,0,0,0
2020,1603,,,100.0,100,0,0,0
2021,1603,,,100.0,100,0,0,0
2020,1604,,,100.0,100,17024,17024,1
2021,1604,,,100.0,100,33206,33206,1
2020,1605,,,100.0,100,24477,24477,1
2021,1605,,,100.0,100,47656,47656,1
2020,1607,,,100.0,100,0,0,0
2021,1607,,,100.0,100,0,0,0
2020,1608,,,95.0,100,1658,1745,1
2021,1608,,,95.0,100,848,851,1
2020,1609,,,100.0,100,8,8,1
2021,1609,,,100.0,100,8,8,1
2020,1610,,,100.0,100,1939,1939,1
2021,1610,,,100.0,100,100,100,1
2020,1611,,,100.0,100,810,810,1
2021,1611,,,100.0,100,100,100,1
2020,1612,,,100.0,100,325,325,1
2021,1612,,,100.0,100,100,100,1
2020,1614,,,100.0,100,88,88,1
2021,1614,,,100.0,100,100,100,1
2020,1616,,,100.0,100,412,412,1
2021,1616,,,100.0,100,100,100,1
2020,1618,,,100.0,100,0,0,0
2021,1618,,,100.0,100,1,1,1
2020,1619,,,100.0,100,0,0,0
2021,1619,,,100.0,100,1,1,1
2020,1622,,,80.0,100,1,1,1
2021,1622,,,80.0,100,56,56,1
2020,1623,,,80.0,100,9,11,1
2021,1623,,,80.0,100,21,21,1
2020,1624,,,80.0,100,11,11,1
2021,1624,,,80.0,100,0,0,0
2020,1625,,,80.0,100,15,18,1
2021,1625,,,80.0,100,18,22,1
2020,1627,,,80.0,100,1,1,1
2020,1628,,,80.0,100,10,10,1
2020,1632,,,80.0,100,127,127,1
2021,1632,,,80.0,100,303,303,1
2020,1633,,,80.0,100,147,159,1
2021,1633,,,80.0,100,148,162,1
2018,1634,,,100.0,100,33000000,33000000,1
2020,1634,,,80.0,100,0,0,0
2021,1634,,,80.0,100,0,0,0
2020,1635,,,80.0,100,9,9,1
2021,1635,,,80.0,100,1,1,1
2020,1636,,,80.0,100,0,0,0
2021,1636,,,80.0,100,0,0,0
2020,1637,,,80.0,100,1,1,1
2021,1637,,,80.0,100,0,0,0
2020,1638,,,100.0,100,0,0,0
2021,1638,,,100.0,100,0,0,0
2020,1640,,,100.0,100,0,0,0
2021,1640,,,100.0,100,1,2,0
2020,1641,,,100.0,100,10,11,0
2021,1641,,,100.0,100,3,3,1
2020,1645,,,80.0,100,31,31,1
2021,1645,,,80.0,100,77,77,1
2020,1646,,,80.0,100,24,24,1
2021,1646,,,80.0,100,82,86,1
2020,1648,,,80.0,100,422,422,1
2021,1648,,,80.0,100,98,99,1
2018,1649,,,95.0,100,6616,6955,1
2020,1650,,,80.0,100,74,74,1
2021,1650,,,80.0,100,99,99,1
2018,1651,,,95.0,100,751,754,1
2020,1651,,,80.0,100,17,17,1
2021,1651,,,80.0,100,65,69,1
2018,1652,,,80.0,100,4707,7816,0
2020,1652,,,80.0,100,104,105,1
2021,1652,,,80.0,100,74,74,1
2020,1653,,,80.0,100,49,52,1
2021,1653,,,80.0,100,240,243,1
2020,1654,,,80.0,100,15,16,1
2021,1654,,,80.0,100,190,193,1
2018,1655,,,85.0,100,2242,2774,0
2019,1656,Service Standard is identified using the Automated Buyer Environment within the Acquisitions Program.,Le standard de service est identifié dans l'Environnement automatisé de l'acheteur du Programme des approvisionnements.,80.0,100,1006,1348,0
2018,1656,,,80.0,100,997,1402,0
2020,1656,,,80.0,100,55,57,1
2021,1656,,,80.0,100,25,25,1
2018,1657,,,80.0,100,374,453,1
2018,1658,,,80.0,100,387,453,1
2020,1658,,,80.0,100,19,19,1
2021,1658,,,80.0,100,16,16,1
2022,1659,We met the performance targets for all permits issued under the WAPTR in 2022 to 2023.,Nous avons respecté les normes de service pour tous les permis d’import RCEAVS durant la période 2022 à 2023.,90.0,100,3,3,1
2018,1659,,,80.0,100,259,453,0
2020,1659,,,90.0,100,12,13,1
2021,1659,,,90.0,100,12,13,1
2020,165,FINTRAC's SecureLane and FWR sytems were available to receive reports >99% of the time outside of maintenance windows or approved downtime for releases,Les systèmes SecureLane et FWR de CANAFE étaient disponibles pour recevoir des déclarations >99 % du temps en dehors des fenêtres d'entretien ou des temps d'arrêt approuvés pour les mises à jour.,80.0,100,0,0,0
2018,1660,"Service Standard currently acts as best practices, however should not be considered as a Acquisitions Program service standard until such a time that they can be tracked and  measured.  As such, we recommend removing this service standard until a tool for logging client inquiries is available across the Acquisitions Program.","La norme de service est actuellement une pratique exemplaire, mais ne devrait pas être considérée comme une norme de service du programme des acquisitions tant qu’elle ne pourra pas être suivie et mesurée. Par conséquent, nous recommandons de supprimer cette norme de service jusqu'à ce qu'un outil de journalisation des demandes de clients soit disponible dans le programme d'acquisitions.",95.0,100,0,0,0
2018,1662,"Service Standard currently acts as best practices, however should not be considered as a Acquisitions Program service standard until such a time that they can be tracked and  measured.  As such, we recommend removing this service standard until a tool for logging client inquiries is available across the Acquisitions Program.","La norme de service est actuellement une pratique exemplaire, mais ne devrait pas être considérée comme une norme de service du programme des acquisitions tant qu’elle ne pourra pas être suivie et mesurée. Par conséquent, nous recommandons de supprimer cette norme de service jusqu'à ce qu'un outil de journalisation des demandes de clients soit disponible dans le programme d'acquisitions.",95.0,100,0,0,0
2018,1664,"The mechanism for tracking results against this service standard does not currently provide for the results to be broken out by service channels, as a single interaction could take place across multiple channels. Going forward, the Acquisitions Program will assess how to modify our approach.  The majority of initial interactions occur by telephone.","Le mécanisme de suivi des résultats par rapport à cette norme de service ne prévoit pas pour le moment que les résultats soient ventilés par mode de service, car une seule interaction pourrait avoir lieu sur plusieurs modes. À l'avenir, le programme des acquisitions déterminera comment modifier notre approche. La majorité des interactions initiales se font par téléphone.",95.0,100,11446,11800,1
2019,1664,"The mechanism for tracking results against this service standard does not currently provide for the results to be broken out by service channels, as a single interaction could take place across multiple channels. The majority of initial interactions occur by telephone.","Le mécanisme de suivi des résultats par rapport à cette norme de service ne prévoit pas pour le moment que les résultats soient ventilés par mode de service, car une seule interaction pourrait avoir lieu sur plusieurs modes. La majorité des interactions initiales se font par téléphone.",95.0,100,13889,14172,1
2020,1664,,,80.0,100,12,12,1
2021,1664,,,80.0,100,12,12,1
2018,1666,"The mechanism for tracking results against this service standard does not currently provide for the results to be broken out by service channels, as a single interaction could take place across multiple channels. Going forward, the Acquisitions Program will assess how to modify our approach.  The majority of initial interactions with clients for the InfoLine occur by telephone and for seminars occur in person.","Le mécanisme de suivi des résultats par rapport à cette norme de service ne prévoit pas pour le moment que les résultats soient ventilés par mode de service, car une seule interaction pourrait avoir lieu sur plusieurs modes. À l'avenir, le programme des acquisitions déterminera comment modifier notre approche. La majorité des interactions initiales avec les clients pour InfoLine ont lieu par téléphone et pour les séminaires, en personne.",80.0,100,1383,1456,1
2020,1666,,,80.0,100,32,37,1
2021,1666,,,80.0,100,0,0,0
2020,1668,,,80.0,100,1,1,1
2021,1668,,,80.0,100,4,4,1
2020,1669,,,80.0,100,1,1,1
2021,1669,,,80.0,100,1,1,1
2020,1670,,,80.0,100,1,1,1
2021,1670,,,80.0,100,1,1,1
2020,1671,,,0.0,100,0,0,0
2021,1671,,,0.0,100,0,0,0
2020,1672,,,80.0,100,0,0,0
2021,1672,,,80.0,100,1,2,0
2020,1673,,,80.0,100,5,5,1
2021,1673,,,80.0,100,0,0,0
2020,1674,,,80.0,100,0,0,0
2021,1674,,,80.0,100,1,1,1
2020,1675,,,80.0,100,0,0,0
2019,1675,,,0.0,100,0,0,0
2018,1675,,,100.0,100,86,86,1
2021,1675,,,80.0,100,1,2,0
2020,1676,,,80.0,100,9,9,1
2019,1676,,,0.0,100,0,0,0
2018,1676,,,100.0,100,30,30,1
2021,1676,,,80.0,100,2,2,1
2020,1677,,,80.0,100,10,10,1
2021,1677,,,80.0,100,7,8,1
