"dept_code","type","name_en","name_fr","pa_last_year_5_auth","pa_last_year_5_exp","pa_last_year_4_auth","pa_last_year_4_exp","pa_last_year_3_auth","pa_last_year_3_exp","pa_last_year_2_auth","pa_last_year_2_exp","pa_last_year_auth","pa_last_year_exp"
"EA","g","Religious Freedom Fund Program","Programme pour la Liberté de religion",500000,0,400000,400000,500000,500000,92888,92888,0,0
"EA","c","Convention on Biological Diversity","Convention sur la diversité biologique (483 084 $US)",463306,463306,525388,525139,523559,523559,633014,633014,637140,0
"EA","c","World Customs Organization","Organisation mondiale des douanes (382 686 euros)",514413,439700,466825,465885,529041,529041,558292,558292,573610,573610
"EA","c","World Intellectual Property Organization","Organisation mondiale de la propriété intellectuelle (455 790 francs suisses)",554605,495489,538239,537787,539929,539929,617292,617292,604298,604298
"EA","c","Investment Cooperation Program","Programme de coopération pour l'investissement",18969544,5285977,1531676,1531676,563945,563945,19971145,121145,2400,2400
"EA","c","Asia-Pacific Economic Cooperation Secretariat","Secrétariat de coopération économique avec l'Asie-Pacifique (81 316 $US) (637 453 SGD)",644141,641355,679836,630357,683181,683181,724237,724237,697500,697500
"EA","c","Northern Dimension of Canada's Foreign Policy","Volet nordique de la politique étrangère du Canada",700000,424404,722789,722789,700000,689628,576487,576487,700000,689966
"EA","c","United Nations framework Convention on Climate Change","Convention-cadre des Nations Unies sur les changements climatiques (569 010 euros)",607902,607902,696801,690025,756692,756692,788984,788984,775641,775641
"EA","c","Nuclear Energy Agency of the Organization for Economic Cooperation and Development","Agence de l'Organisation de coopération et de développement économiques pour l'énergie nucléaire (528 750 euros)",564368,564329,552200,549560,757873,757873,737474,737474,767302,767302
"EA","g","Annual host-country financial support for the United Nations Convention on Biological Diversity","Soutien financier annuel pour le pays hôte de la Convention des Nations Unies sur la diversité biologique",1114294,1036990,1040395,1040395,1122362,1122362,1182489,1182489,1188519,1188519
"EA","c","Commonwealth Foundation","Fondation du Commonwealth (690 365 livres sterling)",1111233,1102084,1098473,1098472,1201889,1201889,1347689,1347689,1139344,1139344
"EA","g","Grants in aid of academic relations","Subventions dans le domaine des relations avec les universités",5644554,3914515,1554267,1554267,1583700,1283800,1423890,1185825,1045341,1045341
"EA","c","International Energy Agency","Agence internationale de l'énergie (956 718 euros)",1360121,1202448,1469483,1464338,1310220,1310220,1433818,1433818,1371053,1371053
"EA","c","Commonwealth Youth Program","Programme du Commonwealth pour la jeunesse (789 750 livres sterling)",1156419,1156419,1267159,1267159,1338123,1338123,1533759,1533759,1602711,1090389
"EA","c","Annual Voluntary Contributions","Contributions volontaires annuelles",1000000,999448,1000000,1000000,1502800,1502800,3242770,3242770,3450000,2780577
"EA","c","Roosevelt Campobello International Park Commission","Commission du parc international Roosevelt de Campobello (1 626 900 $US)",1610860,1595769,1838473,1811879,1903941,1903941,2145718,1903942,2239578,2239578
"EA","c","Religious Freedom Fund Program","Programme pour la Liberté de religion",3750000,0,364747,364747,3750000,2281424,5612621,5397808,0,0
"EA","c","International Civil Aviation Organization","Organisation de l'aviation civile internationale",2227767,2227767,2362511,2362510,2414895,2414895,2701997,2701997,2596462,2596462
"EA","c","International Science and Technology Partnership Program","Programme de partenariats internationaux en science et technologie",3150000,2319391,5653361,5653361,2588040,2588040,0,0,0,0
"EA","g","Grants for the Anti-Crime Capacity Building Program","Subventions pour le Programme visant à renforcer les capacités de lutte contre la criminalité",5139938,4789937,9728079,9728079,2680000,2675857,7683323,7683323,9371140,9356430
"EA","c","Organization for the Prohibition of Chemical Weapons","Organisation pour l'interdiction des armes chimiques (2 183 005 euros)",2698382,2698382,3029248,3029248,2798821,2798821,2953326,2953326,3253769,2679755
"EA","c","Contributions for the Anti-Crime Capacity Building Program","Contributions au Programme visant à renforcer les capacités de lutte contre la criminalité",12191731,10454595,7541970,7541970,3167148,3167148,6693265,6682940,8031071,7735084
"EA","c","Inter-American Institute for Cooperation on Agriculture","Institut interaméricain de coopération pour l'agriculture (3 102 512 $US)",3397472,3390782,3695915,3659186,4125517,4125517,4062234,4062234,4154658,4154658
"EA","c","Comprehensive Nuclear-Test-Ban Treaty Organization","Organisation du Traité d'interdiction complète des essais nucléaires (2 347 383 euros) (1 200 605 $US)",3916533,3916533,4188424,4184203,4143485,4143485,4726264,4726264,5082252,4531823
"EA","c","Global Commerce Support Program","Programme de soutien au commerce mondial",6037363,5364715,5410799,5410799,5533864,5496262,8539189,6256127,17961169,15761912
"EA","c","World Trade Organization","Organisation mondiale du commerce (5 434 900 francs suisses)",6969787,5890003,6336241,6336240,6020076,6020076,7198867,7198867,7460488,6547332
"EA","c","Commonwealth Secretariat","Secrétariat du Commonwealth (3 435 200 livres sterling)",5313919,5085649,5620241,5620240,6035560,6035560,6839170,6839170,6971361,5839576
"EA","c","Contributions in Aid of Academic Relations","Contributions dans le domaine des relations avec les universités",7613236,7605875,6082608,6082608,6047221,6047221,6110096,6110096,6131578,6131578
"EA","g","Grants for Counter-Terrorism Capacity Building Program","Subventions pour le Programme d'aide au renforcement des capacités antiterroristes",7891963,4613994,5176993,5176993,6480000,6478379,8642706,8642706,7920579,7920579
"EA","c","Contribution for Counter-Terrorism Capacity Building","Contributions pour le Programme d'aide au renforcement des capacités antiterroristes",5772581,5589635,7530855,7530855,7927898,7927898,16743445,16700522,40158070,40158070
"EA","c","International Criminal Court","Cour pénale internationale (7 261 206 euros)",8137677,6799046,9175751,9161807,8328897,8249884,10078233,10078233,10822827,9944741
"EA","c","Projects and development activities resulting from Summits of La Francophonie","Projets et activités de développement découlant des sommets de la Francophonie",7569544,7569544,8711661,8711661,8300000,8300000,8300000,8300000,7997600,7829949
"EA","c","Organization of American States","Organisation des États américains (8 762 438 $US)",9557447,9557428,10392957,10392957,10621621,10621621,11959822,11959822,11535398,11535398
"EA","o","(S) Advance Market Commitment for Pneumococcal Vaccines","(S) Mécanisme de garantie de marchés pour le vaccin antipneumococcique",0,0,17000000,17000000,10915566,10915566,0,0,0,0
"EA","c","Organization for Security and Cooperation in Europe","Organisation pour la sécurité et la coopération en Europe (13 377 308 euros)",10387353,10207579,11869858,11869858,11304080,11271439,17792563,17792563,20289813,20289813
"EA","c","United Nations Educational, Scientific and Cultural Organization","Organisation des Nations Unies pour l'éducation, la science et la culture (5 672 435 euros) (4 279 205 $US)",12369276,10286553,11568930,11501374,11692657,11692657,13182412,13182412,14098608,11591061
"EA","c","International Organization of La Francophonie","Organisation internationale de la Francophonie (10 112 694 euros)",14096534,13990720,14377072,14377072,12758343,12758343,15742901,15742901,16813963,16813963
"EA","c","Contributions for Multilateral Programming: Contributions in support of development assistance, humanitarian assistance or disaster preparedness, for global operations, programs, projects, activi","Contributions pour la programmation multilatérale : Contributions pour l'aide au développement, l'assistance humanitaire ou la planification préalable aux catastrophes, à l'égard d'opérations, de programmes, de projets, d'activités et",0,0,9205103,9205103,13181942,13181942,17072872,17072872,164680077,164680077
"EA","c","Organization for Economic Cooperation and Development","Organisation de coopération et de développement économiques (9 934 443 euros)",11968922,11948703,10973405,10958162,13197717,13197717,14503008,14503008,14807287,13970172
"EA","c","International Labour Organization","Organisation internationale du travail (11 705 611 francs suisses)",11764251,11764251,13418265,13418265,13363103,13363103,14827277,14827277,16068293,14835877
"EA","g","Grants in lieu of taxes on diplomatic, consular and international organizations' property in Canada in accordance with terms and conditions approved by the Governor in Council","Subventions en remplacement de taxes sur les propriétés diplomatiques, consulaires et celles des organisations internationales au Canada conformément aux conditions approuvées par le gouverneur en conseil",13516000,12788830,13017225,13017225,13507476,13503804,15853999,13804944,15982860,15982860
"EA","c","Canada Fund for Local Initiatives","Fonds canadien d'initiatives locales",14934544,13766422,6930412,6930412,34100000,14007645,14222248,13859610,34100000,14477764
"EA","c","International Atomic Energy Agency","Agence internationale de l'énergie atomique (9 796 800 euros) (1 507 200 $US)",14080264,13384582,14502925,14485023,14416706,14416706,14706139,14706139,16589976,14475115
"EA","c","Contributions under the Global Partnership Program for the destruction, disposal and securing of weapons and materials of mass destruction and related expertise","Contributions, dans le cadre du Programme de partenariat mondial visant la destruction, l'élimination et la mise en sécurité des armes et des matières de destruction massive, ainsi que l'expertise connexe",70870544,49623800,19709928,19709928,14973760,14973760,30590000,29968958,46361341,46361341
"EA","c","World Health Organization","Organisation mondiale de la santé (7 138 726 $US) (6 696 125 francs suisses)",14847216,14847216,15071097,15071097,15501963,15501963,17853723,17853723,18607036,17917997
"EA","c","Food and Agriculture Organization","Organisation pour l'alimentation et l'agriculture (8 162 700 $US) (5 930 956 euros)",15841940,15841940,16604554,16580444,17116944,17116944,19022922,19022922,19605874,18686622
"EA","g","Global Partnership Program for the destruction, disposal and securing of weapons and materials of mass destruction and related expertise","Programme de partenariat mondial pour la destruction, l'élimination et la protection des armes de destruction massive ainsi que des matières et de l'expertise connexes",0,0,19668063,19668063,19983775,19982998,18286083,18286083,17128659,14870278
"EA","g","Grants for Partnerships with Canadians Programming: Grants for development assistance programs, projects and activities intended to support development for the benefit of developing countries or","Subventions pour la programmation des partenariats avec les Canadiens: Subventions pour les programmes, les projets et les activités d'aide au développement destinés à appuyer des initiatives liées au développement au profit des pays",0,0,12181473,12172500,23072926,23072926,22397552,22397552,14705448,14705448
"EA","o","(S) Payments to International Financial Institutions—Direct payments","(S) Paiements aux institutions financières internationales – Paiements directs",0,0,0,0,27280000,27280000,287539955,287539955,240772641,240772641
"EA","c","North Atlantic Treaty Organization—Civil administration","Organisation du Traité de l'Atlantique Nord – Administration civile (17 160 398 euros)",24418035,24418035,32602581,32602573,27896184,27896184,41169066,36637479,25577573,24914558
"EA","g","Grants in support of the Peace and Stabilization Operations Program","Subventions à l'appui du Programme de paix et de stabilisation des opérations",24308413,21763386,16023057,16023057,30000000,29946583,44581736,44581736,135000000,133985518
"EA","c","Contributions in support of the Peace and Stabilization Operations Program","Contributions à l'appui du Programme de paix et de stabilisation des opérations",86092333,51051372,44387363,44387363,66124186,53164666,59081268,58161626,43800000,40638721
"EA","c","United Nations Organization","Organisation des Nations Unies (96 000 000 $US)",82416021,82242793,89549168,89548241,109756252,109756252,117161191,107815896,115317978,100964605
"EA","c","Contributions for Partnership with Canadians Programming: Contributions for development assistance programs, projects and activities intended to support development for the benefit of developing","Contributions pour la programmation de partenariat avec les Canadiens : Contributions pour les programmes, les projets et les activités d'aide au développement destinés à appuyer des initiatives liées au développement au profit des pa",0,0,181530889,181530889,188712276,188712276,238795161,238795161,295818238,295818238
"EA","o","(S) Payments to International Financial Institutions – Encashment of notes","(S) Paiements aux institutions financières internationales – Encaissement de billets",0,0,29205000,29205000,211742627,211742627,0,0,0,0
"EA","c","Payments of assessed contributions to International Organizations: United Nations peacekeeping operations","Paiements de quote-parts aux organisations internationales : Opérations de maintien de la paix des Nations Unies (246 388 370 $US)",248595287,196952437,215251789,213618115,271004489,271004489,332629204,323932304,314473208,259066333
"EA","c","Contributions for Bilateral Programming: Contributions in support of development assistance, contributions for cooperation with countries in transition and contributions in support of regional or","Contributions pour la programmation bilatérale : Contributions pour l'aide au développement, contributions pour la coopération avec les pays en transition et contributions à l'appui de programmes, de projets et d'activités d'aide au d",0,0,578106558,578106558,718616838,717584838,757527850,704536880,730350024,715950024
"EA","g","Grants for Multilateral Programming: Grants in support of development assistance, humanitarian assistance or disaster preparedness, for global operations, programs, projects, activities and appea","Subventions pour la programmation multilatérale : Subventions pour l'aide au développement, l'assistance humanitaire ou la planification préalable aux catastrophes, à l'égard d'opérations, de programmes, de projets, d'activités et d'a",0,0,1641374818,1641374818,1917318521,1894318521,1940967993,1940967993,1971688918,1925888917
"EC","c","Assessed Contribution to the Commission for Environmental Cooperation","Contribution obligatoire à la Commission de coopération environnementale",3101100,3101100,2514300,2514300,3271685,3271685,2391100,2391100,4170640,4170640
"EC","c","Contributions in support for the Science Horizons Youth Internship programs under the Career Focus Program of the federal Youth Employment Strategy","Contributions à l'appui du Programme de stages pour les jeunes Horizons Sciences relevant du programme Objectif carrière de la Stratégie d'emploi jeunesse",2869000,1693556,2922990,2922990,3000594,2999744,3295663,3295663,10419000,10419000
"EC","c","Contributions in support of Climate Change and Clean Air","Contributions à l'appui de Changements climatiques et qualité de l'air",39316519,39030461,9501716,9501716,9502247,9459133,8710291,8684618,18045157,18043165
"EC","c","Contributions in support of Substances and Waste Management","Contributions à l'appui de Gestion des substances et des déchets",1690706,1690706,1745900,1745900,1481095,1481095,1380975,1380975,1161807,1161807
"EC","c","Contributions in support of Sustainable Ecosystems","Contributions à l'appui d'Écosystèmes durables",8645205,8143654,11654321,11654321,16025183,15987750,17864818,17841669,16210500,16210500
"EC","c","Contributions in support of Water Resources","Contributions à l'appui de Ressources en eau",1578400,1418098,1564500,1564500,989500,989500,771000,771000,792500,792500
"EC","c","Contributions in support of Weather and Environmental Services for Canadians","Contributions à l'appui de services météorologiques et environnementaux pour les Canadiens",14964490,14908822,2649230,2649230,2650174,2637889,2971153,2957059,2717370,2709069
"EC","c","Habitat Stewardship Contribution Program","Programme de contribution à l'égard de l'intendance de l'habitat",11769000,9464259,11916645,11916645,12637260,12629243,12175201,12151876,13430744,13187733
"EC","g","(S) Nature Conservancy Canada","(S) Conservation de la nature Canada",24029852,24029852,11207512,11207512,8792488,8792488,0,0,0,0
"EC","g","Grants for the implementation of the Montreal Protocol on substances that deplete the ozone layer","Subventions pour la mise en œuvre du Protocole de Montréal sur les substances qui appauvrissent la couche d'ozone",2652068,2652067,2636000,2636000,2525717,2525717,2674256,2674256,2326122,2326122
"EC","g","(S) Grant to the Canada Foundation for Sustainable Development Technology","(S) Subvention à la Fondation du Canada pour l'appui technologique au développement durable",62500000,0,0,0,37500000,0,337616,337616,2290112,2290112
"EC","c","Assessed contribution to the Convention on Wetlands of International Importance (Ramsar Convention)","Contribution obligatoire à la Convention relative aux zones humides d'importance internationale (Convention de Ramsar)",168062,168061,167074,167074,171370,171370,198974,198974,190875,190875
"EC","c","Assessed Contribution in the World Meteorological Organization","Contribution obligatoire à l'Organisation météorologique mondiale",2204583,2204583,2121311,2121311,2296265,2296265,2796501,2796500,2558518,2558518
"EC","g","Grants in support of Weather and Environmental Services for Canadians","Subvention à l'appui de services météorologiques et environnementaux pour les Canadiens",44000,40000,44000,38000,35000,35000,18000,18000,6000,6000
"EC","c","Contributions in support of Biodiversity—Wildlife and Habitat","Contributions à l'appui de Biodiversité – Espèces sauvages et habitats",13585178,12974482,13947581,13587798,25372378,24774134,30905304,30310084,32784560,32223112
"EC","c","EcoAction Community Funding Program","Programme de financement communautaire ÉcoAction",4525000,4141003,4345938,4334290,4525000,4456044,4197586,4183693,4469681,4468743
"EC","c","Assessed contribution to the Convention on International Trade to Endangered Species of Wild Fauna and Flora","Assessed contribution to the Convention on International Trade to Endangered Species of Wild Fauna and Flora",172621,172621,194500,194228,212130,201771,253943,253942,235671,235671
"EC","c","Assessed contribution to the Organization for Economic Co-operation and Development","Assessed contribution to the Organization for Economic Co-operation and Development",100000,98562,118663,118662,119627,106782,121215,121214,121214,121214
"EC","c","Contribution--Multilateral fund of the Montreal Protocol","Contribution--Fonds multilatéral du Protocole de Montréal",147933,147933,0,0,0,0,0,0,0,0
"EC","c","Contributions for Inuit activities related to the Implementation of the Inuit Impact and Benefit Agreement","Contributions pour les activités des Inuits liées à la mise en oeuvre de l'Entente sur les répercussions et les avantages des Inuits",1604390,1604390,1502998,331440,0,0,0,0,0,0
"EC","c","Contribution to the Canada Foundation for Sustainable Development Technology Fund","Contribution à la Fondation du Canada pour l'appui technologique au développement durable",0,0,0,0,0,0,6000000,6000000,17293000,17293000
"EC","g","Grant in support of The Natural Areas Conservation Program","Subvention à l'appui du Programme de conservation des zones naturelles",0,0,0,0,10000000,10000000,22500000,22500000,22500000,22500000
"EDC","o","(S) Forgiveness of non-budgetary loans pursuant to Section 23 (6) of the Export Development Act","(S) Renonciation de prêts non-budgétaires en vertu de l'article 23 (6) de la Loi sur le développement des exportations",229541422,229541422,117322727,117322727,0,0,0,0,0,0
"EDC","o","(S) Payments of Concessional Loans to Facilitate and Develop Trade between Canada and Foreign Countries","(S) Versement de prêts à des conditions de faveur pour faciliter et développer le commerce entre le Canada et les pays étrangers",-4780559,-4780559,-460020,-460020,0,0,0,0,0,0
"FEDSO","c","Contributions for Southern Ontario Prosperity Initiatives","Contributions pour l'Initiatives pour la prospérité du Sud de l'Ontario",181303409,181299999,144141318,137296695,115773898,49714017,108373898,105459447,100773855,100773855
"FEDSO","c","Contributions under the Community Futures Program","Contributions en vertu du Programme de développement des collectivités",11285992,11207788,11267696,11267696,11285992,11265751,11285992,11248597,11285992,11285992
"FEDSO","c","Contributions under the Eastern Ontario Development Program","Contributions en vertu du Programme de développement de l'Est de l'Ontario",13200000,13195957,13200000,13200000,9600000,9600000,9600000,9600000,9600000,9600000
"FEDSO","c","Contributions for the Advanced Manufacturing Fund","Contributions pour le Fonds de fabrication de pointe",0,0,0,0,40000000,2972454,52000000,32592288,51000000,42835000
"FEDSO","c","Contributions under the Economic Development Initiative—Official Languages","Contributions en vertu de l'initiative de développement économique – Langues officielles",864359,864358,0,0,971632,834078,979612,979612,979612,979612
"FEDSO","c","Contributions for the Community Infrastructure Improvement Fund","Contributions pour le Fonds d'amélioration de l'infrastructure communautaire",24800000,4979647,44630000,40943853,0,0,0,0,0,0
"FEDSO","c","Contributions under the Canada 150 Community Infrastructure Program","Contributions en vertu du Programme d’infrastructure communautaire de Canada 150",0,0,0,0,0,0,0,0,44400000,18730978
"FEDSO","g","Grant to the Corporation of the City of Brantford","Subvention à la Corporation de la Ville de Brantford",494000,493777,1461100,1461100,0,0,0,0,9640412,9640412
"FIN","o","(S) Canada Health Transfer","(S) Transfert canadien en matière de santé",28568644223,28568644223,30282900196,30282900196,32114006363,32114006363,34024617855,34024617855,36057581263,36057581263
"FIN","o","(S) Fiscal Equalization","(S) Péréquation fiscale",15422503000,15422503000,16105194000,16105194000,16669278000,16669278000,17341310000,17341310000,17880415000,17880415000
"FIN","o","(S) Canada Social Transfer","(S) Transfert canadien en matière de programmes sociaux",11859486000,11859486000,12215271000,12215271000,12581729000,12581729000,12959181000,12959181000,13347956000,13347956000
"FIN","o","(S) Territorial Financing","(S) Financement des territoires",3110679940,3110679940,3288281700,3288281700,3469215474,3469215474,3561034002,3561034002,3602979726,3602979726
"FIN","o","(S) Payments to International Development Association","(S) Paiements à l'Association internationale de développement",441620000,441620000,441610000,441610000,883220000,883220000,441610000,441610000,441620000,441620000
"FIN","o","(S) Establishment of a Canadian Securities Regulation Regime and Canadian Regulatory Authority","(S) Mise sur pied d'un régime canadien et d'un organisme national de réglementation des valeurs mobilières",0,0,0,0,169000000,169000000,0,0,0,0
"FIN","o","(S) Additional Fiscal Equalization to Nova Scotia","(S) Paiement de péréquation supplémentaire – Nouvelle-Écosse",297317000,297317000,260257000,260257000,131184000,131184000,88186000,88186000,10598000,10598000
"FIN","o","(S) Fiscal Stabilization","(S) Stabilisation fiscale",0,0,0,0,103400000,103400000,283059600,283059600,0,0
"FIN","o","(S) Incentives for provinces to eliminate taxes on capital","(S) Incitatif pour l'élimination des impôts provinciaux sur le capital",5486000,5486000,1405000,1405000,95042000,95042000,52100000,52100000,0,0
"FIN","o","(S) Obligation to Ontario related to General Motors","(S) Obligation à l'Ontario reliée à General Motors",32191907,32191907,132291575,132291575,75034392,75034392,0,0,0,0
"FIN","o","(S) Additional Fiscal Equalization Offset Payment to Nova Scotia","(S) Paiement de péréquation compensatoire supplémentaire – Nouvelle-Écosse",146059000,146059000,89461000,89461000,64481000,64481000,36779000,36779000,33255000,33255000
"FIN","o","(S) Canadian Securities Regulation Regime Transition Office","(S) Bureau de transition vers un régime canadien de réglementation des valeurs mobilières",0,0,10000000,10000000,53100000,53100000,0,0,0,0
"FIN","o","(S) Debt payments on behalf of poor countries to International Organizations pursuant to section 18(1) of the Economic Recovery Act","(S) Paiements de dettes à des organisations internationales au nom des pays pauvres en vertu du paragraphe 18(1) de la Loi sur la reprise économique",51200000,51200000,51200000,51200000,51200000,51200000,51200000,51200000,51200000,51200000
"FIN","o","(S) Statutory Subsidies","(S) Subventions législatives",32149329,32149329,34118831,34118831,34363164,34363164,34362809,34362809,42355839,42355839
"FIN","o","(S) Payment to the International Bank for Reconstruction and Development for the Agriculture Advance Market Commitment","Paiement à la Banque internationale pour la reconstruction et le développement pour les garanties de marché en matière d'agriculture",0,0,10000000,10000000,10000000,10000000,0,0,0,0
"FIN","c","Contribution to the Harbourfront Centre","Contribution au Harbourfront Centre",5000000,5000000,5000000,5000000,5000000,5000000,3000000,3000000,4000000,4000000
"FIN","c","Research and Policy Initiatives Assistance","Soutien à des initiatives stratégiques et de recherche",15000,15000,10000,10000,35000,0,35000,27500,35000,10000
"FIN","o","(S) Payments to Provinces Regarding Sales Tax Harmonization","(S) Paiement aux provinces relatifs à l'harmonisation des taxes de vente",438200000,438200000,1161200000,1161200000,-319800000,-319800000,-319800000,-319800000,0,0
"FIN","o","(S) Youth Allowances Recovery","(S) Recouvrement ayant trait aux allocations aux jeunes",-736513992,-736513992,-762975225,-762975225,-767147511,-767147511,-810613866,-810613866,-804534285,-804534285
"FIN","o","(S) Alternative Payments for Standing Programs","(S) Paiements de remplacement au titre des programmes permanents",-3357025000,-3357025000,-3459827000,-3459827000,-3466658000,-3466658000,-3640752000,-3640752000,-3646468000,-3646468000
"FIN","c","Canadian Securities Regulation Regime Transition Office","Bureau de transition vers un régime canadien de réglementation des valeurs mobilières",0,0,4200000,4200000,0,0,0,0,0,0
"FIN","c","Toronto waterfront revitalization initiative","Initiative de revitalisation du secteur riverain de Toronto",9987008,9987006,0,0,0,0,0,0,0,0
"FIN","g","Compensation to Canadian agencies or entities established by an Act of Parliament for reduction of debts of debtor countries","Compensation aux entités ou organismes canadiens créés en vertu d'une loi du Parlement pour la réduction de la dette de pays débiteurs",209985000,0,0,0,0,0,0,0,0,0
"FIN","o","(S) Additional fiscal equalization payment Total transfer protection","(S) Paiement de péréquation additionnel Protection sur les transferts totaux",679660000,679660000,55806000,55806000,0,0,0,0,0,0
"FIN","o","(S) Canadian Millennium Scholarship Foundation","(S) Fondation canadienne des bourses d'études du millénaire",0,0,-10823,-10823,0,0,0,0,0,0
"FIN","o","(S) International Bank for Reconstruction and Development for the Agriculture Advance Market commitment","(S) Banque internationale pour la reconstruction et le développement pour les garanties de marché en matière d'agriculture",10000000,10000000,0,0,0,0,0,0,0,0
"FIN","o","(S) Payment to Ontario related to the Canada Health Transfer","(S) Paiements liés au transfert canadien en matière de santé versé à l'Ontario",93710000,93710000,10052000,10052000,0,0,0,0,0,0
"FIN","o","(S) Wait times reduction transfer","(S)Transfert visant la réduction des temps d'attente",250000000,250000000,250000000,250000000,0,0,0,0,0,0
"FIN","o","Small and Medium Enterprise (SME) Finance Challenge","Projet de financement des petites et moyennes entreprises (PME)",-1402080,-1402080,0,0,0,0,0,0,0,0
"FO","c","Contribution agreements to permit the Canadian Coast Guard Auxiliary Associations to carry out authorized activities related to maritime Search and Rescue operations, Search and Rescue prevention","Ententes de contributions pour permettre aux associations liées à la Garde côtière auxiliaire canadienne de procéder à des activités autorisées relatives aux opérations de recherche et de sauvetage en mer, de la prévention de recherch",5091000,5090000,5021000,5021000,5021000,5021000,5533540,5533536,5521000,5521000
"FO","c","Contributions to support increased Native participation in commercial fisheries, cooperative fisheries management arrangements and consultations respecting Aboriginal fisheries agreements","Contributions à l'appui d'une participation accrue des Autochtones aux pêches commerciales, aux ententes de gestion des pêches coopératives et aux consultations liées aux ententes de pêches des Autochtones",46691626,46690567,46716592,46716592,48260481,48248062,46049320,45585599,46507061,45679412
"FO","c","Contributions to support organizations associated with research, development, management, and promotion of fisheries and oceans-related issues","Contributions à l'appui des organismes qui participent à la recherche, à la mise en valeur, à la gestion et à la promotion des activités liées aux pêches et océans",178193,177000,494870,494870,871305,865556,3261618,3215830,1247782,1239719
"FO","c","Contributions to support the Academic Research Contribution Program for the support of academic research and development related to science priorities","Contributions à l'appui du Programme de contribution à la recherche universitaire afin de soutenir le perfectionnement et la recherche universitaire relativement aux priorités scientifiques",285165,265165,182868,182868,1686050,1563538,2331230,2310415,2310783,2300368
"FO","c","Contributions to support the Recreational Fisheries Conservation Partnerships Program","Contributions à l'appui du Programme de partenariats relatifs à la conservation des pêches récréatives",0,0,3273788,3273788,9618163,8615130,11346920,11277179,10008160,9840246
"FO","c","Contributions to support the Small Craft Harbours Class Contribution Program","Contributions à l'appui du Programme de contributions de catégorie de ports pour petits bateaux",3178500,3174765,3496712,3496712,2416784,2384379,707330,698887,1101444,1090919
"FO","c","Contributions under the Aboriginal Aquatic Resource and Oceans Management Program","Contributions en vertu du Programme autochtone de gestion des ressources aquatiques et océaniques",19349084,19346174,18339522,18339522,19397111,19397085,20679330,20679290,22236537,21611394
"FO","c","Contribution to the Pacific Salmon Foundation","Contribution à la Fondation du saumon du Pacifique",962000,373396,1329832,1329832,2021975,1433432,2085772,1497513,2154068,1586277
"FO","c","Contribution to the Salmon Sub-Committee of the Yukon Fish and Wildlife Management Board for implementing responsibilities pursuant to comprehensive land claim settlements","Contribution au Sous-comité du saumon de la Commission de gestion du poisson et de la faune du Yukon en vue de mettre en œuvre les responsabilités qui se rapportent aux règlements des revendications territoriales globales",231500,224925,224296,224296,240900,240800,248100,248100,254300,254300
"FO","g","Grant Program for the disposal of small craft harbours","Programme de subvention globale pour la disposition de ports pour petits bateaux",365000,365000,1480000,1480000,840400,840400,3040600,1600000,3400000,3400000
"FO","g","Grants for the Disposal of Surplus Lighthouses","Subventions pour l'aliénation des phares excédentaires",312000,312000,85000,85000,1030160,1005000,1480000,1480000,455000,455000
"FO","g","Grants to support organizations associated with research, development, management, and promotion of fisheries and oceans-related issues","Subventions à l'appui des organismes qui participent à la recherche, à la mise en valeur, à la gestion et à la promotion des activités liées aux pêches et océans",173813,156519,161964,161964,105637,95459,158000,139944,218083,201308
"FO","c","Contribution to Support Establishment and Management of Conservation Measures","Contribution visant à appuyer l’élaboration et la mise en oeuvre de mesures de conservations",0,0,0,0,0,0,0,0,40763,40763
"FO","c","Ocean and Freshwater Science Contribution Program","Programme de contribution aux sciences marines et d'eaux douces",0,0,0,0,0,0,0,0,4292500,4273033
"FO","c","Participant Funding Program for Reviews Related to Fish, Fish Habitat and Navigation","Programme de Fonds d’aide financière aux participants pour les examens liés aux poissons, à leur habitat et à la navigation",0,0,0,0,0,0,0,0,2250970,2058553
"FO","c","Contributions to support the economic viability and long term sustainability of the Quebec and Atlantic Canada lobster fishery (Atlantic Lobster Sustainability Measures)","Contributions pour aider à assurer la viabilité économique et la durabilité à long terme de l'industrie du homard du Canada atlantique et du Québec (mesures de durabilité pour l'industrie du homard de l'Atlantique)",7455000,7350828,4542145,4464019,0,0,0,0,0,0
"FO","c","Contributions under the Aquaculture innovation and market access program","Contributions en vertu du Programme d'innovation en aquaculture et d'accès au marché",4660000,4659708,0,0,0,0,0,0,0,0
"FORDQ","c","Contributions under the Community Futures Program","Contributions en vertu du Programme de développement des collectivités",28941676,28613133,28471467,28471467,28444820,28444820,28968018,28594770,29607493,29607493
"FORDQ","c","Contributions under the Quebec Economic Development Program","Contributions en vertu du Programme de développement économique du Québec",217454608,203654608,197447309,197447309,183582593,183582593,192464783,189898802,245854225,244818183
"FORDQ","g","Grants under the Quebec Economic Development Program","Subventions en vertu du Programme de développement économique du Québec",50000,50000,16504,16504,140638,140638,0,0,0,0
"FORDQ","c","Contributions under the Regional development research program","Contributions en vertu du Programme de recherche en développement régional",54079,54079,0,0,0,0,0,0,0,0
"FORDQ","c","Contributions under the Vallée-Jonction to Thetford Mines gas pipeline construction funding program","Contribution en vertu du Programme de financement de la construction d'un gazoduc entre Vallée-Jonction et Thetford Mines",15137179,15137179,0,0,0,0,0,0,0,0
